ts,open,high,low,close,volume
1746576000,0.189,0.193,0.186,0.189,299255.84
1746662400,0.19,0.22,0.19,0.219,799595.05
1746748800,0.22,0.237,0.218,0.228,1188884.88
1746835200,0.228,0.246,0.225,0.246,807402.05
1746921600,0.244,0.245,0.228,0.234,513915.81
1747008000,0.235,0.244,0.224,0.235,1362331.63
1747094400,0.235,0.248,0.222,0.247,1049998.56
1747180800,0.247,0.25,0.234,0.236,879699.18
1747267200,0.237,0.24,0.22,0.228,1069675.96
1747353600,0.227,0.237,0.224,0.226,513065.75
1747440000,0.226,0.226,0.212,0.214,477308.12
1747526400,0.215,0.231,0.213,0.227,238070.5
1747612800,0.227,0.227,0.209,0.226,264757.79
1747699200,0.225,0.234,0.218,0.226,403739.18
1747785600,0.226,0.237,0.223,0.231,524429.9
1747872000,0.232,0.244,0.231,0.243,545096.85
1747958400,0.241,0.246,0.224,0.224,508063.53
1748044800,0.224,0.232,0.224,0.227,226614
1748131200,0.227,0.227,0.218,0.226,157905.56
1748217600,0.226,0.233,0.225,0.229,292934.12
1748304000,0.226,0.24,0.223,0.236,454467.72
1748390400,0.236,0.239,0.227,0.236,280494.73
1748476800,0.234,0.244,0.233,0.234,510569.28
1748563200,0.235,0.236,0.207,0.208,488081.07
1748649600,0.207,0.212,0.2,0.208,480259.57
1748736000,0.208,0.213,0.204,0.212,287005.83
1748822400,0.212,0.219,0.204,0.219,283650.2
1748908800,0.219,0.222,0.214,0.217,153607.37
1748995200,0.218,0.222,0.21,0.211,103990.87
1749081600,0.21,0.213,0.194,0.194,720399.75
1749168000,0.195,0.202,0.193,0.196,141576.13
1749254400,0.196,0.206,0.196,0.205,86056.59
1749340800,0.205,0.208,0.202,0.203,128445.81
1749427200,0.203,0.216,0.199,0.214,218262.91
1749513600,0.215,0.228,0.212,0.228,282337.22
1749600000,0.228,0.228,0.218,0.22,439245.79
1749686400,0.218,0.219,0.203,0.205,1012264.64
1749772800,0.204,0.204,0.185,0.196,697979.85
1749859200,0.196,0.196,0.19,0.194,208344.9
1749945600,0.196,0.196,0.19,0.194,160309.43
1750032000,0.193,0.205,0.193,0.196,225830.92
1750118400,0.195,0.2,0.186,0.189,233524.91
1750204800,0.19,0.193,0.182,0.191,270194.73
1750291200,0.19,0.193,0.184,0.187,186467.48
1750377600,0.187,0.192,0.177,0.182,333740.99
1750464000,0.182,0.183,0.168,0.172,300142.84
1750550400,0.172,0.174,0.157,0.167,640050.35
1750636800,0.167,0.182,0.165,0.182,369469.6
1750723200,0.182,0.184,0.18,0.182,203267.01
1750809600,0.182,0.183,0.179,0.181,238125.28
1750896000,0.18,0.184,0.173,0.173,229942.33
1750982400,0.174,0.178,0.173,0.178,258597.07
1751068800,0.177,0.18,0.175,0.18,139310.26
1751155200,0.179,0.187,0.177,0.186,289307.41
1751241600,0.185,0.186,0.176,0.179,188365.86
1751328000,0.178,0.179,0.167,0.168,372002.4
1751414400,0.168,0.184,0.167,0.181,407926.37
1751500800,0.182,0.189,0.179,0.182,255127.33
1751587200,0.182,0.182,0.171,0.174,108775.21
1751673600,0.175,0.181,0.171,0.179,1833766.81
1751760000,0.181,0.192,0.181,0.189,689164.86
1751846400,0.19,0.195,0.187,0.192,299804.73
1751932800,0.192,0.209,0.188,0.206,559242.43
1752019200,0.205,0.214,0.201,0.212,541487.35
1752105600,0.213,0.238,0.211,0.235,403342.85
1752192000,0.236,0.323,0.234,0.294,12811777.13
1752278400,0.293,0.335,0.268,0.322,4617878.02
1752364800,0.322,0.393,0.307,0.317,10050369.4
1752451200,0.316,0.364,0.307,0.353,5259104.14
1752537600,0.354,0.358,0.324,0.339,4095525.85
1752624000,0.339,0.377,0.325,0.327,2478310.54
1752710400,0.329,0.333,0.315,0.325,1598301.65
1752796800,0.325,0.342,0.31,0.317,1853419.48
1752883200,0.317,0.323,0.307,0.318,375802.06
1752969600,0.316,0.33,0.312,0.319,605319.39
1753056000,0.32,0.333,0.313,0.317,1446888.79
1753142400,0.317,0.318,0.296,0.311,1412068.67
1753228800,0.311,0.314,0.275,0.283,1235465.87
1753315200,0.283,0.287,0.263,0.273,678040.49
1753401600,0.274,0.28,0.266,0.279,400405.93
1753488000,0.28,0.287,0.276,0.282,220926.98
1753574400,0.281,0.293,0.28,0.292,310317.84
1753660800,0.291,0.295,0.269,0.271,221873.43
1753747200,0.272,0.279,0.263,0.273,410892.37
1753833600,0.274,0.274,0.252,0.264,363102.56
1753920000,0.264,0.272,0.249,0.25,397713.54
1754006400,0.25,0.25,0.235,0.241,463730.53
1754092800,0.241,0.245,0.233,0.243,477312.88
1754179200,0.243,0.252,0.24,0.251,380225.19
1754265600,0.253,0.276,0.253,0.273,584894.15
1754352000,0.274,0.275,0.253,0.258,405031.8
1754438400,0.258,0.271,0.25,0.269,594122.55
1754524800,0.268,0.279,0.264,0.276,445691.36
1754611200,0.276,0.29,0.271,0.284,1477402.81
1754697600,0.283,0.299,0.282,0.295,581338
1754784000,0.295,0.297,0.278,0.281,434104.77
1754870400,0.281,0.284,0.257,0.259,822191.98
1754956800,0.259,0.276,0.259,0.273,817108.8
1755043200,0.273,0.28,0.269,0.278,437323.05
1755129600,0.278,0.284,0.246,0.254,780807.54
1755216000,0.254,0.261,0.247,0.254,348796
1755302400,0.254,0.258,0.252,0.258,153243.09
1755388800,0.257,0.265,0.256,0.258,212953.66
1755475200,0.258,0.258,0.244,0.251,230079.87
1755561600,0.25,0.256,0.237,0.242,2433778.33
1755648000,0.242,0.261,0.241,0.259,588367.73
1755734400,0.26,0.261,0.247,0.249,259744.85
1755820800,0.249,0.274,0.237,0.271,702425.67
1755907200,0.271,0.271,0.263,0.267,250312.58
1755993600,0.267,0.271,0.253,0.261,658152.8
1756080000,0.261,0.265,0.236,0.237,440398.72
1756166400,0.238,0.252,0.237,0.248,505607.88
1756252800,0.248,0.253,0.247,0.25,312301.33
1756339200,0.251,0.254,0.248,0.254,186442.96
1756425600,0.254,0.254,0.24,0.245,373251.19
1756512000,0.244,0.25,0.24,0.247,71839.64
1756598400,0.247,0.25,0.242,0.242,91092.27
1756684800,0.241,0.259,0.231,0.237,566187.87
1756771200,0.237,0.26,0.235,0.245,926213.43
1756857600,0.245,0.251,0.24,0.248,549700.33
1756944000,0.248,0.249,0.237,0.239,569013.04
1757030400,0.239,0.249,0.239,0.244,623847.05
1757116800,0.245,0.247,0.242,0.245,151193.39
1757203200,0.244,0.248,0.243,0.246,182835.33
1757289600,0.246,0.257,0.244,0.254,183770.29
1757376000,0.254,0.26,0.249,0.254,270002.37
1757462400,0.254,0.263,0.253,0.26,177916.19
1757548800,0.26,0.275,0.259,0.267,389956.66
1757635200,0.267,0.273,0.263,0.271,540208.12
1757721600,0.272,0.281,0.27,0.274,1001123.35
1757808000,0.274,0.274,0.26,0.264,458797.37
1757894400,0.264,0.266,0.252,0.255,291626.54
1757980800,0.255,0.26,0.251,0.258,149150.57
1758067200,0.259,0.268,0.253,0.268,244290.39
1758153600,0.268,0.273,0.266,0.272,191135.66
1758240000,0.272,0.273,0.255,0.256,160733.87
1758326400,0.256,0.263,0.254,0.256,177563.87
1758412800,0.256,0.262,0.253,0.253,113478.59
1758499200,0.252,0.252,0.224,0.234,444060.66
1758585600,0.234,0.239,0.229,0.234,278607.91
1758672000,0.234,0.243,0.231,0.239,291352.53
1758758400,0.238,0.244,0.223,0.226,493397.86
1758844800,0.227,0.243,0.226,0.243,370671.64
1758931200,0.242,0.243,0.233,0.234,116125.03
1759017600,0.234,0.241,0.232,0.239,99776.79
1759104000,0.24,0.253,0.233,0.246,252843.38
1759190400,0.246,0.259,0.241,0.257,1002795.44
1759276800,0.257,0.264,0.251,0.263,571029.45
1759363200,0.263,0.271,0.262,0.266,835258.26
1759449600,0.267,0.272,0.262,0.269,457802.72
1759536000,0.269,0.269,0.255,0.26,468924.44
1759622400,0.26,0.266,0.254,0.255,188668.52
1759708800,0.254,0.268,0.253,0.265,254203.8
1759795200,0.265,0.269,0.253,0.254,337610.92
1759881600,0.254,0.267,0.251,0.259,177660.9
1759968000,0.257,0.257,0.244,0.252,491773.77
1760054400,0.252,0.255,0.106,0.188,1409618.57
1760140800,0.186,0.196,0.173,0.179,1640456.91
1760227200,0.179,0.201,0.176,0.198,1122590.32
1760313600,0.199,0.205,0.194,0.203,579081.15
1760400000,0.203,0.203,0.183,0.194,888578.31
1760486400,0.193,0.199,0.184,0.186,521466.36
1760572800,0.187,0.19,0.175,0.178,574116.58
1760659200,0.178,0.18,0.161,0.171,1097813
1760745600,0.171,0.174,0.169,0.172,360822.76
1760832000,0.172,0.178,0.171,0.174,210731.73
1760918400,0.173,0.181,0.173,0.178,428395.5
1761004800,0.178,0.184,0.171,0.171,397348.9
1761091200,0.171,0.172,0.164,0.168,382252.36
1761177600,0.169,0.177,0.169,0.174,154001.44
1761264000,0.174,0.181,0.173,0.18,306434.95
1761350400,0.18,0.18,0.176,0.179,58171.13
1761436800,0.178,0.185,0.175,0.185,555681.57
1761523200,0.185,0.187,0.179,0.18,179353.42
1761609600,0.179,0.182,0.171,0.174,220588.2
1761696000,0.174,0.175,0.166,0.172,242477.89
1761782400,0.171,0.174,0.156,0.16,452269.98
1761868800,0.161,0.163,0.158,0.162,367249.57
1761955200,0.162,0.176,0.162,0.169,831231.07
1762041600,0.169,0.173,0.166,0.172,214242.42
