ts,open,high,low,close,volume
1660521600,107.57,112.48,103.87,107.03,48903.444
1660608000,106.96,110.47,105.55,109.79,38533.351
1660694400,109.85,112.36,99.37,100.18,73676.002
1660780800,100.12,101.69,94,94.86,92932.45
1660867200,94.88,95.28,82.65,83.38,145414.109
1660953600,83.38,86.83,79.85,82.79,78669.573
1661040000,82.89,87.12,81.65,85.92,41427.926
1661126400,85.93,88.67,81.91,88.51,77638.776
1661212800,88.52,91.18,85.17,89.47,56155.227
1661299200,89.47,91.9,86.87,88.38,57678.94
1661385600,88.37,95.76,87.83,93.16,77816.035
1661472000,93.16,94.33,81.7,82.72,118613.704
1661558400,82.57,83.5,80.37,82.11,83544.632
1661644800,82.13,83.46,78.22,78.59,53387.904
1661731200,78.61,86.2,77.94,85.77,68607.05
1661817600,85.8,88.13,81.4,84.38,94398.664
1661904000,84.38,88.9,84.21,84.85,58286.335
1661990400,84.83,87.03,82.01,86.56,55890.996
1662076800,86.46,92.18,84.9,88.39,90771.404
1662163200,88.35,88.82,85.74,87.18,55508.81
1662249600,87.22,90.27,85.77,88.85,32283.962
1662336000,88.84,91.88,86.79,91.3,42332
1662422400,91.34,93.74,83,83.58,89929.247
1662508800,83.57,89.28,81.97,87.55,70720.088
1662595200,87.55,90.02,85.53,88.39,54105.57
1662681600,88.26,94.11,88.22,91.16,70597.524
1662768000,91.3,93.94,89.82,92.82,55415.501
1662854400,92.79,94.47,89.2,91.56,67349.423
1662940800,91.54,96.95,89.43,91.11,118838.21
1663027200,91.05,93.72,82.33,82.97,163910.822
1663113600,82.96,85.99,81.11,83.58,60020.399
1663200000,83.58,84.2,77.77,78.51,80088.318
1663286400,78.59,80.5,77.13,79.37,48904.922
1663372800,79.32,81.73,79.11,81.4,18826.778
1663459200,81.43,82.01,70.66,72.97,42790.917
1663545600,72.93,77.06,70.71,76.34,63681.897
1663632000,76.32,77.14,73.71,73.91,48750.655
1663718400,73.96,79.59,70.3,71.58,98514.576
1663804800,71.55,77.59,71.48,76.67,58736.428
1663891200,76.68,78.76,72.89,77.03,60967.665
1663977600,77.05,77.47,74.62,74.86,34049.463
1664064000,74.86,77.64,72.65,73.64,47745.245
1664150400,73.62,76.62,72.66,76.3,66201.133
1664236800,76.26,80.86,74.64,76.6,75750.576
1664323200,76.6,78.08,72.84,76.88,80354.765
1664409600,76.88,77.52,74.3,76.93,37185.671
1664496000,76.94,78.05,73.67,74.57,72620.464
1664582400,74.56,75.71,73.94,74.53,29257.303
1664668800,74.53,75.8,72.26,72.64,36796.673
1664755200,72.65,76.21,71.8,75.57,60862.231
1664841600,75.6,79.86,75.54,78.83,51110.555
1664928000,78.95,79.17,75.8,78.71,32896.912
1665014400,78.7,80.53,77.23,77.45,46524.299
1665100800,77.43,78.23,74.97,75.72,42515.449
1665187200,75.68,76.17,73.95,74.66,16487.846
1665273600,74.56,76.05,74.26,75.48,18791.833
1665360000,75.49,76.55,73.35,73.6,21299.958
1665446400,73.57,73.57,71.1,71.44,37236.054
1665532800,71.43,72.77,71.05,71.48,17350.813
1665619200,71.5,72.1,65,70.96,89000.321
1665705600,70.95,74.71,70.86,72.83,50252.918
1665792000,72.85,73.34,71.45,71.87,27402.435
1665878400,71.83,76.31,71.8,75.9,31127.252
1665964800,75.9,79.7,74.77,79.01,61712.83
1666051200,79.22,83.71,77.91,82.45,81573.845
1666137600,82.4,85.66,81.26,82.83,109540.943
1666224000,82.84,83.89,79.95,80.65,52599.294
1666310400,80.52,83.37,78.36,82.14,46581.824
1666396800,82.16,84.45,81.32,82.15,24913.679
1666483200,82.16,90.11,81.53,88.86,56651.971
1666569600,88.82,89.9,84.74,85.19,62104.952
1666656000,85.19,86.45,81.53,81.9,115437.601
1666742400,81.91,85.27,80.92,83.5,70622.666
1666828800,83.51,87.12,80.68,81.35,61047.608
1666915200,81.26,84.96,80.6,84.11,40983.859
1667001600,84.15,87.42,83.87,85.41,53004.437
1667088000,85.44,86.93,82.81,83.93,30309.432
1667174400,83.9,87.22,82.61,83.92,43733.473
1667260800,83.93,86.2,83.62,84.18,32644.321
1667347200,84.25,85.73,79.15,80.36,59686.544
1667433600,80.33,86.52,79.83,83.65,54494.399
1667520000,83.74,97.54,83.3,94.79,126191.718
1667606400,94.8,98.33,93.51,96.34,78595.673
1667692800,96.37,96.37,86.32,86.32,49098.57
1667779200,86.34,90.4,84,87.21,75665.243
1667865600,87.18,88.34,66.1,72.2,220211.753
1667952000,72.15,73.1,56.85,57.89,159628.624
1668038400,57.96,70.62,57,67.96,126077.797
1668124800,67.82,68.69,60.46,63.89,64288.288
1668211200,63.9,63.99,56.88,57.97,134151.753
1668297600,57.97,60.82,55.67,56.57,81924.056
1668384000,56.55,59.7,53.31,59.1,84676.733
1668470400,59.1,63,58.38,60.97,62237.204
1668556800,60.94,62.09,56.94,58.27,50292.459
1668643200,58.28,59.51,56.75,58.53,36894.091
1668729600,58.53,61.4,57.34,58.23,33588.185
1668816000,58.27,59,56.75,58.66,15030.794
1668902400,58.65,61.37,55.44,55.97,49439.548
1668988800,56.03,57.64,53.93,55.79,46733.967
1669075200,55.86,57.98,50.16,57.38,120621.364
1669161600,57.36,59.21,56.4,58.34,54879.04
1669248000,58.39,59.94,57.23,58.08,37309.621
1669334400,58.1,60.4,56.74,59.1,56956.496
1669420800,59.11,63.29,59.03,61.74,64145.542
1669507200,61.72,63.34,60.08,61.49,65481.528
1669593600,61.5,62.54,58.46,60.15,55422.234
1669680000,60.14,62.44,59.54,61.65,31411.211
1669766400,61.63,66.1,61.63,65.3,72279.595
1669852800,65.3,65.51,63.04,63.65,50361.095
1669939200,63.61,65.87,62.15,65.7,36101.111
1670025600,65.71,66.33,62.58,62.76,27151.23
1670112000,62.72,64.61,62.65,64.4,35630.731
1670198400,64.4,67.36,63.77,64.36,39159.816
1670284800,64.37,65.52,62.75,63.94,28087.101
1670371200,64,64.06,60.29,61.39,36878.176
1670457600,61.38,63.49,60.41,62.88,19022.524
1670544000,62.94,63.36,61.07,61.48,20622.065
1670630400,61.45,62.11,61.08,61.33,14962.031
1670716800,61.34,61.57,59.2,59.69,19799.696
1670803200,59.68,60.83,58.15,60.08,29548.281
1670889600,60.16,63.87,58.21,62,32876.948
1670976000,62,63.53,61.19,62.57,44467.519
1671062400,62.58,63.11,60.57,61,42128.832
1671148800,60.95,61.18,53.81,54.73,44369.29
1671235200,54.72,55.88,53.08,55.58,29888.457
1671321600,55.58,56.56,54.79,55.89,13721.638
1671408000,55.9,56.54,53.02,53.77,34003.292
1671494400,53.74,56.29,53.19,55.64,29382.163
1671580800,55.65,56.45,54.62,55.98,21994.012
1671667200,55.96,56.08,53.65,55.66,21366.882
1671753600,55.66,56.11,54.22,54.54,23506.154
1671840000,54.53,54.81,54.1,54.38,16815.059
1671926400,54.4,55.47,53.74,54.4,27459.629
1672012800,54.41,56.05,54.17,55.95,18976.622
1672099200,55.94,58.17,55.43,57.48,53801.592
1672185600,57.48,57.82,53.19,53.73,51903.67
1672272000,53.75,54.94,53.53,54.38,64070.922
1672358400,54.4,54.7,51.46,52.44,71941.855
1672444800,52.45,53.33,51.69,51.89,89708.32
1672531200,51.89,52.42,51.04,52.13,28168.143
1672617600,52.16,54.06,51.3,52.98,37234.076
1672704000,52.98,53.54,52.12,53.04,35270.389
1672790400,53.07,57.73,52.6,56.74,115187.206
1672876800,56.77,56.89,54.88,55.45,57012.662
1672963200,55.43,56.76,54,56.41,62961.457
1673049600,56.42,56.86,55.7,56.04,41721.414
1673136000,56.04,59.69,55.31,59.22,70436.31
1673222400,59.34,63.09,59.04,61.15,121704.627
1673308800,61.16,62.83,59.55,61.85,67745.552
1673395200,61.86,64.66,59.92,64.15,53762.954
1673481600,64.22,68.61,63.47,67.77,156798.248
1673568000,67.78,73.05,66.66,71.1,113923.304
1673654400,71.11,81.11,69.64,75.95,246539.593
1673740800,75.94,82.95,72.83,79.26,232538.889
1673827200,79.28,82.64,76.46,80.62,162902.906
1673913600,80.6,91.16,78.55,85.61,255036.707
1674000000,85.58,89.58,77.39,81.88,261555.703
1674086400,81.83,83.6,77.81,81.28,152917.393
1674172800,81.25,88.48,79.8,87.6,204088.195
1674259200,87.6,89.22,84.08,84.47,151712.437
1674345600,84.44,90.14,83.63,85.34,143720.051
1674432000,85.41,90.03,84.66,86.62,170598.009
1674518400,86.63,88.52,78.78,79.89,104151.572
1674604800,79.92,87.51,78.1,85.86,135083.892
1674691200,85.9,90.52,85.15,88.88,165415.433
1674777600,88.96,89.73,85.08,87.3,142630.972
1674864000,87.33,88.23,83.27,84.21,94237.795
1674950400,84.24,88.57,83.37,87.61,66075.492
1675036800,87.58,88.31,78.5,81.21,105110.203
1675123200,81.18,83.62,80.18,82.97,72716.942
1675209600,82.97,88.48,80.33,88.44,111870.973
1675296000,88.53,93.39,87.47,88.23,154871.719
1675382400,88.28,94.36,87.29,91.12,159208.113
1675468800,91.12,91.99,88.21,88.94,68625.416
1675555200,88.95,89.16,83.3,85.67,61547.487
1675641600,85.65,87.72,83.34,84.12,47594.916
1675728000,84.05,89.25,83.88,88.71,79453.657
1675814400,88.81,90.1,84.55,87.06,78683.249
1675900800,87.07,90.03,76.15,77.83,189651.404
1675987200,77.87,80.41,76.72,78.6,103360.582
1676073600,78.59,79.5,77.73,79.42,35299.494
1676160000,79.42,80.46,76.22,77.36,37992.411
1676246400,77.35,84.06,73.73,82.55,233961.469
1676332800,82.52,83.78,78.94,83.15,121054.867
1676419200,83.15,89.58,82.2,89.47,108947.527
1676505600,89.53,90.63,83.83,84.19,127097.767
1676592000,84.15,88.36,83.56,86.38,72637.866
1676678400,86.38,91.42,86.38,91.06,89060.827
1676764800,91.04,95.39,89.16,90.12,115930.68
1676851200,90.15,93.04,86.93,92.05,93850.071
1676937600,92.05,92.75,85.61,87.68,142156.151
1677024000,87.67,87.85,82.05,85.07,106526.793
1677110400,85.08,87.59,83.77,85.65,71781.986
1677196800,85.66,86.77,79.93,81.56,77184.824
