ts,open,high,low,close,volume
1695146400,61.85,62.1,61.83,61.9,616.196
1695150000,61.87,61.96,61.71,61.82,1113.023
1695153600,61.81,61.84,61.49,61.67,784.907
1695157200,61.6,61.91,61.42,61.85,1001.539
1695160800,61.89,61.9,61.58,61.82,781.16
1695164400,61.8,62.14,61.73,61.87,988.65
1695168000,61.88,62.16,61.73,61.99,2163.925
1695171600,62.02,62.47,62.02,62.36,872.711
1695175200,62.38,62.78,61.74,61.78,3879.211
1695178800,61.76,61.84,61.46,61.59,901.862
1695182400,61.63,61.84,61.45,61.65,975.251
1695186000,61.64,61.74,61.45,61.53,714.944
1695189600,61.53,61.75,61.29,61.54,740.408
1695193200,61.44,61.66,61.44,61.59,524.136
1695196800,61.55,62.42,61.48,62.3,1679.144
1695200400,62.29,62.59,61.46,61.95,1417.924
1695204000,61.92,62.21,61.63,62.12,1071.843
1695207600,62.19,62.31,62.03,62.15,917.614
1695211200,62.19,62.54,62.07,62.36,3732.713
1695214800,62.37,64.03,62.37,63.71,11331.17
1695218400,63.73,63.97,63.39,63.46,2775.08
1695222000,63.46,63.74,63.39,63.65,816.594
1695225600,63.64,63.69,63.37,63.46,1171.189
1695229200,63.48,64.08,63.26,63.62,2510.47
1695232800,63.61,64.99,63.42,64.75,6534.45
1695236400,64.72,64.81,63.52,64.51,3797.738
1695240000,64.5,65.71,64.46,65.69,6001.392
1695243600,65.69,65.8,65.3,65.44,2016.482
1695247200,65.46,65.95,65.43,65.58,2602.399
1695250800,65.58,65.78,65.41,65.5,1655.216
1695254400,65.54,66.12,65.13,65.7,4124.354
1695258000,65.68,65.75,65,65.18,2047.864
1695261600,65.14,65.46,65.02,65.16,1144.213
1695265200,65.17,65.35,64.89,65.3,1156.211
1695268800,65.3,65.44,64.97,65.05,1336.878
1695272400,65.04,65.04,64.01,64.09,2662.054
1695276000,64.09,64.09,63.54,63.93,2049.08
1695279600,63.85,63.97,63.65,63.88,635.81
1695283200,63.79,64.09,63.53,63.54,940.496
1695286800,63.54,63.66,63.07,63.25,1195.549
1695290400,63.28,63.53,62.38,62.48,1943.99
1695294000,62.42,62.82,62.4,62.68,1544.492
1695297600,62.68,63.14,62.67,63.08,1964.195
1695301200,63.08,63.1,62.1,62.52,1716.577
1695304800,62.51,63.46,62.4,63.37,4106.97
1695308400,63.38,63.69,63.19,63.42,2510.609
1695312000,63.43,63.52,63.21,63.46,571.105
1695315600,63.44,63.69,63.35,63.4,1168.206
1695319200,63.42,63.56,63.3,63.43,2802.515
1695322800,63.42,63.42,62.91,62.97,3750.122
1695326400,62.97,62.97,62.51,62.64,5000.047
1695330000,62.64,62.78,62.31,62.77,1643.932
1695333600,62.74,62.74,62.4,62.67,688.021
1695337200,62.67,62.7,62.38,62.54,578.631
1695340800,62.51,62.74,61.79,62.69,2929.431
1695344400,62.69,63.36,62.27,63.11,2636.464
1695348000,63.12,63.39,62.94,63,1699.785
1695351600,63.05,63.79,62.98,63.7,2270.439
1695355200,63.74,63.87,63.61,63.81,1255.441
1695358800,63.75,63.75,63.34,63.64,765.981
1695362400,63.64,63.67,63.33,63.36,746.456
1695366000,63.31,63.8,63.23,63.63,1334.146
1695369600,63.63,64.08,63.59,63.76,1326.447
1695373200,63.76,63.79,63.41,63.65,1098.055
1695376800,63.64,63.79,63.56,63.59,503.236
1695380400,63.53,63.95,63.53,63.74,526.248
1695384000,63.78,63.95,63.58,63.7,1136.146
1695387600,63.68,63.78,63.48,63.78,1196.015
1695391200,63.78,63.85,63.47,63.57,1783.526
1695394800,63.56,63.72,63.31,63.31,1119.21
1695398400,63.35,63.53,62.9,62.94,2539.241
1695402000,62.96,63.39,62.9,63.36,1264.163
1695405600,63.34,63.71,63.18,63.65,887.249
1695409200,63.65,63.92,63.53,63.66,1774.325
1695412800,63.67,63.83,63.46,63.61,893.098
1695416400,63.62,64.23,63.51,64.11,1175.415
1695420000,64.11,64.37,64.11,64.31,3711.762
1695423600,64.29,64.53,64.17,64.35,1549.72
1695427200,64.35,64.88,64.15,64.2,2043.43
1695430800,64.21,64.41,64.05,64.18,977.315
1695434400,64.16,64.16,63.73,63.9,695.151
1695438000,63.86,63.99,63.55,63.81,1089.947
1695441600,63.83,64.05,63.63,64.05,324.972
1695445200,64.06,64.24,63.96,64,552.225
1695448800,64,64.08,63.7,63.7,327.719
1695452400,63.68,63.83,63.52,63.8,471.837
1695456000,63.82,63.96,63.66,63.67,590.005
1695459600,63.61,63.85,63.46,63.53,732.657
1695463200,63.54,63.58,63.25,63.25,919.56
1695466800,63.24,63.39,63.16,63.29,528.941
1695470400,63.4,63.4,63.13,63.24,531.063
1695474000,63.28,63.38,62.89,62.96,1134.972
1695477600,62.93,63.23,62.92,62.96,377.179
