ts,open,high,low,close,volume
1660521600,0.5703,0.582,0.5429,0.5501,87100106.32
1660608000,0.5502,0.5701,0.5474,0.5571,65420007.01
1660694400,0.5568,0.5828,0.5282,0.5386,128953659.55
1660780800,0.5387,0.5442,0.5079,0.5121,64719988.13
1660867200,0.5121,0.5121,0.4462,0.4497,215890873.87
1660953600,0.4499,0.4633,0.435,0.4513,118571393.19
1661040000,0.4513,0.4728,0.4467,0.4624,87318033.51
1661126400,0.4626,0.463,0.4373,0.4615,103029275.56
1661212800,0.4615,0.47,0.4457,0.466,56084502.08
1661299200,0.466,0.469,0.4535,0.4577,58114221.11
1661385600,0.4577,0.4741,0.4573,0.4642,70422554.02
1661472000,0.4642,0.4822,0.4256,0.4317,161110176.53
1661558400,0.4316,0.4515,0.4261,0.45,96345689.11
1661644800,0.45,0.4546,0.4273,0.4291,68961241.84
1661731200,0.4292,0.453,0.4239,0.4505,73657498.99
1661817600,0.4505,0.4631,0.4384,0.453,78096905.66
1661904000,0.4532,0.4634,0.4434,0.4458,65656577.94
1661990400,0.4458,0.4622,0.4408,0.4576,57455133.53
1662076800,0.4577,0.4667,0.4489,0.4544,56014953.17
1662163200,0.4544,0.486,0.4534,0.4804,84139463.56
1662249600,0.4802,0.51,0.4757,0.5035,83995245.49
1662336000,0.5032,0.5074,0.4823,0.4987,47281150.48
1662422400,0.4986,0.512,0.4598,0.4626,106505594.3
1662508800,0.4625,0.4821,0.4537,0.4788,71908060.37
1662595200,0.4786,0.4834,0.4625,0.479,58038716.8
1662681600,0.4791,0.5049,0.4783,0.5022,78527559.68
1662768000,0.5022,0.5243,0.4947,0.5124,99432593.44
1662854400,0.5124,0.5203,0.5,0.5101,73090814.57
1662940800,0.5101,0.5203,0.496,0.5014,93631348.51
1663027200,0.5016,0.5094,0.4615,0.4637,97580047.36
1663113600,0.4636,0.4872,0.462,0.481,57764881.06
1663200000,0.4807,0.4821,0.4618,0.466,58758222.05
1663286400,0.4661,0.4748,0.4541,0.4748,39427697.41
1663372800,0.4746,0.4884,0.4724,0.486,32516609.83
1663459200,0.486,0.4901,0.4413,0.4478,62830566.71
1663545600,0.4477,0.4571,0.4329,0.4526,69641991.85
1663632000,0.4525,0.4545,0.4374,0.4423,55094354.98
1663718400,0.4423,0.4643,0.4254,0.4389,135362697.01
1663804800,0.4387,0.4665,0.4345,0.4583,77482556.77
1663891200,0.4583,0.4823,0.4459,0.4617,92309304.29
1663977600,0.4618,0.4688,0.4503,0.4511,45837288.36
1664064000,0.4511,0.4628,0.4385,0.4463,45212484.87
1664150400,0.4462,0.4508,0.4366,0.4471,60767583.88
1664236800,0.4471,0.4631,0.4373,0.4412,66443414.42
1664323200,0.4412,0.4432,0.425,0.4362,61225299.26
1664409600,0.4361,0.4392,0.4277,0.4381,47071937.12
1664496000,0.4382,0.4414,0.4293,0.4348,53756059.3
1664582400,0.4348,0.4365,0.4277,0.4302,26649371.05
1664668800,0.4302,0.4328,0.4178,0.4196,35853259.03
1664755200,0.4196,0.4292,0.4158,0.4276,49361575.07
1664841600,0.4276,0.4379,0.4254,0.4357,52118144.13
1664928000,0.4356,0.4367,0.4235,0.431,53303627.49
1665014400,0.431,0.4371,0.4256,0.4287,53336851.27
1665100800,0.4287,0.4305,0.4216,0.424,44380290.26
1665187200,0.4241,0.427,0.4193,0.4221,27869192.01
1665273600,0.422,0.4242,0.4191,0.423,25103478.19
1665360000,0.423,0.4268,0.3989,0.4012,65154667.39
1665446400,0.401,0.4014,0.3838,0.3906,101779972.89
1665532800,0.3906,0.3955,0.376,0.3813,57722723.36
1665619200,0.3812,0.3824,0.35,0.3769,183443417.42
1665705600,0.3768,0.3891,0.3607,0.3667,79737165.54
1665792000,0.3667,0.3701,0.3613,0.3641,55135688.08
1665878400,0.3642,0.3749,0.3638,0.3704,37436019.22
1665964800,0.3703,0.376,0.3661,0.3726,35652609.08
1666051200,0.3726,0.3744,0.3572,0.3625,49934929.72
1666137600,0.3625,0.3625,0.3472,0.3498,53678207.61
1666224000,0.3498,0.3558,0.3363,0.3401,61059005.21
1666310400,0.3401,0.3499,0.33,0.3492,73365114.17
1666396800,0.3491,0.3546,0.343,0.3514,37403222.54
1666483200,0.3515,0.3639,0.346,0.3621,48185794.42
1666569600,0.3621,0.3652,0.3533,0.3574,45830793.21
1666656000,0.3574,0.43,0.3569,0.4001,176376778.54
1666742400,0.4002,0.4122,0.3946,0.403,86024174.78
1666828800,0.4031,0.419,0.3863,0.3883,100374444.23
1666915200,0.3883,0.4115,0.378,0.4046,87802014.4
1667001600,0.4045,0.44,0.4011,0.4203,103073925.52
1667088000,0.4203,0.4217,0.3983,0.4058,80038021.83
1667174400,0.4058,0.4164,0.3976,0.4056,92126882.78
1667260800,0.4056,0.415,0.3985,0.4012,68262304.89
1667347200,0.4013,0.4119,0.38,0.3857,122806610.25
1667433600,0.3858,0.3991,0.3842,0.3895,67339573.27
1667520000,0.3894,0.4264,0.3881,0.4217,133205947.86
1667606400,0.4217,0.4377,0.4201,0.4265,91470553.37
1667692800,0.4264,0.4311,0.4016,0.4022,71428349.91
1667779200,0.4021,0.4162,0.3976,0.4042,83894014.8
1667865600,0.4042,0.4154,0.3469,0.3723,224690887.88
1667952000,0.3721,0.3763,0.31,0.3178,245732328.17
1668038400,0.3178,0.3774,0.3114,0.3677,171340824.46
1668124800,0.3678,0.3731,0.3412,0.3543,86300391.26
1668211200,0.3545,0.3558,0.3354,0.3392,64845207.04
1668297600,0.3391,0.3449,0.3249,0.3292,77101321.89
1668384000,0.3291,0.3413,0.3138,0.3318,97458184.88
1668470400,0.3317,0.3443,0.3287,0.3369,64097413.27
1668556800,0.3368,0.344,0.3235,0.3316,56155913.55
1668643200,0.3316,0.3342,0.3183,0.3248,48294842.18
