ts,open,high,low,close,volume
1695146400,0.2553,0.2567,0.2552,0.2556,660271.64
1695150000,0.2556,0.256,0.2549,0.2559,761878.26
1695153600,0.2558,0.256,0.2548,0.2551,642119.74
1695157200,0.2551,0.2553,0.2543,0.2549,408375.28
1695160800,0.2549,0.2556,0.2546,0.2555,361360.59
1695164400,0.2556,0.2562,0.2547,0.2549,479142.74
1695168000,0.2548,0.2554,0.254,0.2545,448251.49
1695171600,0.2545,0.2556,0.2542,0.2555,660464.95
1695175200,0.2555,0.256,0.2536,0.2538,626114.84
1695178800,0.2538,0.2546,0.2527,0.2537,761093.44
1695182400,0.2535,0.2548,0.2529,0.254,881862.03
1695186000,0.254,0.2543,0.2532,0.2533,337662.61
1695189600,0.2533,0.2535,0.2524,0.253,560738.27
1695193200,0.2529,0.2535,0.2525,0.2532,246850.51
1695196800,0.2531,0.254,0.2526,0.2537,533179.22
1695200400,0.2537,0.2539,0.251,0.2522,761803.62
1695204000,0.2521,0.2525,0.2511,0.2525,584101.4
1695207600,0.2524,0.2529,0.2522,0.2529,344090.13
1695211200,0.2529,0.2531,0.2516,0.252,666739.12
1695214800,0.252,0.254,0.2513,0.2534,737639.62
1695218400,0.2535,0.2553,0.2529,0.2544,848154.33
1695222000,0.2543,0.2555,0.2542,0.2553,851734.8
1695225600,0.2554,0.2555,0.2544,0.2547,897805.45
1695229200,0.2547,0.2556,0.2541,0.2545,629210.91
1695232800,0.2545,0.2565,0.2538,0.256,1326639.54
1695236400,0.2559,0.2562,0.2502,0.2512,2155783.84
1695240000,0.2512,0.252,0.2508,0.2517,1306597.43
1695243600,0.2517,0.2527,0.2513,0.2516,585500.21
1695247200,0.2517,0.252,0.2511,0.2515,602922.26
1695250800,0.2514,0.252,0.2506,0.2517,486029.92
1695254400,0.2518,0.2532,0.2512,0.2522,483125.3
1695258000,0.2522,0.2527,0.251,0.2521,722631.19
1695261600,0.2521,0.2531,0.2506,0.251,337917.86
1695265200,0.2511,0.2515,0.2498,0.2513,594427.43
1695268800,0.2511,0.2512,0.2501,0.2508,584407.51
1695272400,0.2508,0.2508,0.2496,0.2505,532041.88
1695276000,0.2504,0.2504,0.2489,0.2499,1141061.95
1695279600,0.2499,0.25,0.2491,0.2498,340954.06
1695283200,0.2497,0.2502,0.2492,0.2493,588907.39
1695286800,0.2493,0.2498,0.2477,0.2484,1355698.36
1695290400,0.2483,0.2489,0.2462,0.2467,1436573.86
1695294000,0.2467,0.2483,0.2464,0.2481,482827.93
1695297600,0.2481,0.2485,0.2473,0.2483,755496.63
1695301200,0.2482,0.2487,0.2459,0.2472,1562148.2
1695304800,0.2471,0.2485,0.2469,0.2483,723969.28
1695308400,0.2483,0.249,0.2476,0.2483,539172.07
1695312000,0.2484,0.2484,0.2476,0.2479,994048.79
1695315600,0.2479,0.2487,0.2478,0.2481,684186.7
1695319200,0.2482,0.2485,0.2475,0.2478,825144.32
1695322800,0.2479,0.2481,0.2469,0.2471,758498.66
1695326400,0.2471,0.2471,0.2456,0.2462,1071802.22
1695330000,0.2462,0.2464,0.245,0.2457,730766.26
1695333600,0.2457,0.2464,0.2451,0.2464,737039.5
1695337200,0.2463,0.2464,0.2449,0.245,468593.18
1695340800,0.2449,0.246,0.2435,0.246,970093.38
1695344400,0.246,0.2464,0.2448,0.2453,788970.18
1695348000,0.2454,0.2456,0.2444,0.2445,693363.93
1695351600,0.2444,0.2464,0.2444,0.2462,443462.85
1695355200,0.2461,0.2465,0.2459,0.246,439886.26
1695358800,0.246,0.2461,0.2451,0.246,226414.86
1695362400,0.2459,0.2461,0.2453,0.2453,347573.47
1695366000,0.2453,0.246,0.2447,0.2457,426150.07
1695369600,0.2457,0.2462,0.2449,0.2451,2175479.64
1695373200,0.245,0.2453,0.2446,0.2451,285728.78
1695376800,0.2451,0.2453,0.2447,0.2449,336121.88
1695380400,0.2449,0.2453,0.2444,0.245,502048.39
1695384000,0.2451,0.2451,0.244,0.2442,566141.65
1695387600,0.2442,0.2446,0.2438,0.2445,891012.1
1695391200,0.2445,0.2457,0.2442,0.2451,688850.42
1695394800,0.2451,0.2455,0.2442,0.2444,810163.35
1695398400,0.2444,0.2445,0.2431,0.2433,921649.67
1695402000,0.2433,0.2437,0.2427,0.2436,938285.08
1695405600,0.2436,0.2444,0.2434,0.2441,833944.93
1695409200,0.244,0.2447,0.2434,0.2437,739622.73
1695412800,0.2437,0.244,0.2431,0.2436,787203.81
1695416400,0.2435,0.2444,0.2431,0.2443,1786309.76
1695420000,0.2444,0.2454,0.2443,0.245,444590.38
1695423600,0.245,0.2453,0.2445,0.245,474457.87
1695427200,0.245,0.2461,0.2448,0.2449,617093.54
1695430800,0.2449,0.2451,0.2442,0.245,462280.89
1695434400,0.245,0.2451,0.2439,0.2444,496734.78
1695438000,0.2444,0.2448,0.2437,0.2447,447384.89
1695441600,0.2447,0.2453,0.244,0.2453,264300.32
1695445200,0.2453,0.246,0.2452,0.2455,296806.19
1695448800,0.2456,0.2458,0.2452,0.2454,160642.9
1695452400,0.2453,0.2455,0.2448,0.2455,276588.46
1695456000,0.2454,0.2461,0.2451,0.2459,183966.82
1695459600,0.2457,0.246,0.2454,0.2459,177076.32
1695463200,0.2459,0.2465,0.2456,0.2464,169817.2
1695466800,0.2464,0.2468,0.246,0.2466,237404.81
1695470400,0.2467,0.2468,0.2454,0.2456,348240.13
1695474000,0.2457,0.2457,0.2451,0.2454,365606.69
1695477600,0.2453,0.246,0.2452,0.2455,284335.72
1695481200,0.2454,0.2455,0.2444,0.2454,342478.91
1695484800,0.2453,0.2457,0.2445,0.2457,725714.54
1695488400,0.2456,0.2462,0.2449,0.246,505545.59
1695492000,0.2461,0.2465,0.2459,0.246,307688.81
1695495600,0.246,0.2466,0.2458,0.2465,264383.94
1695499200,0.2464,0.2468,0.2458,0.2459,311019.94
1695502800,0.2459,0.246,0.2453,0.2456,270902.34
1695506400,0.2456,0.2462,0.2456,0.2456,206433.47
1695510000,0.2456,0.2463,0.2453,0.2462,252618.59
1695513600,0.2462,0.2462,0.245,0.2452,507160.19
1695517200,0.2451,0.2456,0.2449,0.2452,250517.03
1695520800,0.2453,0.2453,0.2449,0.2452,170750.82
1695524400,0.2452,0.2454,0.2449,0.245,263657.74
1695528000,0.245,0.2453,0.2445,0.2449,107592.91
1695531600,0.245,0.2451,0.2446,0.245,214417.35
1695535200,0.245,0.2452,0.2444,0.2452,212953.82
1695538800,0.2452,0.2455,0.2451,0.2455,108974.83
1695542400,0.2455,0.2461,0.2454,0.2459,185763.48
1695546000,0.2459,0.2461,0.2454,0.2458,372993.07
1695549600,0.2458,0.246,0.2452,0.2455,233368.34
1695553200,0.2455,0.2458,0.2448,0.2456,174355.35
1695556800,0.2457,0.2461,0.2453,0.246,198095.16
1695560400,0.246,0.2462,0.2455,0.2457,207374.57
1695564000,0.2458,0.2458,0.245,0.2454,287118.09
1695567600,0.2454,0.2457,0.2447,0.2452,477440
1695571200,0.2452,0.2454,0.2448,0.2451,490441.16
1695574800,0.245,0.2461,0.2447,0.2459,392504.89
1695578400,0.2459,0.2463,0.2438,0.2455,885110.54
1695582000,0.2455,0.2455,0.2441,0.2443,465669.39
1695585600,0.2442,0.2449,0.2435,0.2447,359138.41
1695589200,0.2447,0.2451,0.2443,0.2451,217971.2
1695592800,0.2451,0.2454,0.2446,0.2448,238092.9
