ts,open,high,low,close,volume
1784124000,0.1663,0.1669,0.1652,0.1664,2123629.00044087
1784127600,0.1664,0.1664,0.1654,0.1656,1652962.28822346
1784131200,0.1657,0.1657,0.1624,0.1634,2956725.81892919
1784134800,0.1634,0.1652,0.1634,0.1647,2181903.33371416
1784138400,0.1647,0.1654,0.1633,0.1636,1842237.89568002
1784142000,0.1636,0.1644,0.163,0.1635,1974145.50070617
1784145600,0.1634,0.1651,0.1634,0.1646,4203873.15508428
1784149200,0.1646,0.165,0.164,0.1647,654448.79604355
1784152800,0.1646,0.1655,0.1643,0.1653,2671418.3972784
1784156400,0.1653,0.1662,0.1649,0.165,1933116.86690879
1784160000,0.1649,0.1654,0.1639,0.1647,1117811.48383493
1784163600,0.1647,0.1655,0.1637,0.1653,1161014.53951815
1784167200,0.1653,0.1664,0.1648,0.1661,1585197.43238108
1784170800,0.1661,0.1661,0.1645,0.1648,1402085.64490252
1784174400,0.1648,0.1651,0.1644,0.1646,1154655.79350403
1784178000,0.1646,0.165,0.1643,0.1644,1233475.00723036
1784181600,0.1644,0.165,0.1631,0.164,2077510.54772252
1784185200,0.164,0.1641,0.1623,0.1628,1827210.84963302
1784188800,0.1628,0.1629,0.1609,0.162,3417648.14551275
1784192400,0.1621,0.1622,0.1615,0.1616,514802.28457463
1784196000,0.1616,0.1624,0.1615,0.1623,688864.37574303
1784199600,0.1621,0.1629,0.1621,0.1628,1705415.31347445
1784203200,0.1628,0.1636,0.1615,0.162,3835921.56181378
1784206800,0.162,0.1641,0.1618,0.1641,2083985.67088835
1784210400,0.1641,0.1651,0.1633,0.1638,1945197.37503834
1784214000,0.1637,0.1643,0.1625,0.1635,2755092.16730715
1784217600,0.1635,0.1637,0.1627,0.1635,1060043.76430413
1784221200,0.1633,0.1634,0.1619,0.1624,1279062.68978199
1784224800,0.1624,0.163,0.1617,0.1622,1317381.78551977
1784228400,0.1622,0.1629,0.1619,0.1629,1159060.84461703
1784232000,0.1629,0.1629,0.1622,0.1625,693531.66203543
1784235600,0.1626,0.1635,0.1624,0.163,517744.06572073
1784239200,0.1629,0.1635,0.1605,0.1608,2567088.42937535
1784242800,0.1607,0.1609,0.1598,0.1606,2781285.95316693
1784246400,0.1606,0.1616,0.1601,0.1614,1535127.36857244
1784250000,0.1615,0.1618,0.1599,0.16,1200574.26901628
1784253600,0.1601,0.1603,0.159,0.1597,3692341.19907407
1784257200,0.1597,0.1612,0.1595,0.1602,1500512.17983992
1784260800,0.1601,0.1605,0.1594,0.16,1241974.23233922
1784264400,0.16,0.1601,0.1578,0.1581,1780475.5892649
1784268000,0.158,0.1592,0.1579,0.159,1130973.17834311
1784271600,0.1589,0.1591,0.1586,0.1588,520254.22773307
1784275200,0.1588,0.16,0.1582,0.1598,933540.47580318
1784278800,0.1598,0.1608,0.1597,0.1607,1032671.95546141
1784282400,0.1607,0.1623,0.1607,0.1608,2906494.73912632
1784286000,0.1608,0.161,0.1602,0.1608,836633.82022921
1784289600,0.1608,0.1608,0.1595,0.1596,1161904.37702203
1784293200,0.1596,0.16,0.1577,0.1599,5362758.61579978
1784296800,0.1599,0.1629,0.1599,0.1626,4609175.48134668
1784300400,0.1626,0.1641,0.161,0.164,5505020.1034779
1784304000,0.164,0.1667,0.1635,0.166,8193038.6726433
1784307600,0.166,0.1669,0.1648,0.1649,5865203.0062488
1784311200,0.165,0.1663,0.1649,0.1658,3858033.63203814
1784314800,0.1658,0.1666,0.1648,0.1658,4312027.71476842
1784318400,0.1659,0.166,0.1649,0.1657,1436366.77176104
1784322000,0.1658,0.1667,0.1658,0.1659,1124587.55846071
1784325600,0.166,0.1663,0.1654,0.1657,1076777.65384761
1784329200,0.1658,0.1674,0.1653,0.1672,3248260.33376863
1784332800,0.1672,0.1683,0.1665,0.1674,2742189.57469796
1784336400,0.1674,0.1681,0.1672,0.1674,1381178.49936304
1784340000,0.1675,0.1692,0.1675,0.1684,1472608.94013841
1784343600,0.1684,0.1686,0.1671,0.1678,677070.45118382
1784347200,0.1679,0.1679,0.1663,0.1668,810765.13662157
1784350800,0.1667,0.1673,0.166,0.1665,560474.91916817
1784354400,0.1666,0.1669,0.1658,0.1659,528359.63483013
1784358000,0.1658,0.1666,0.1658,0.1661,592737.96709042
1784361600,0.1661,0.1667,0.1658,0.1663,540045.63119847
1784365200,0.1662,0.1663,0.1649,0.1657,1284546.97291046
1784368800,0.1658,0.1663,0.1655,0.1658,651789.41960116
1784372400,0.1658,0.1661,0.1656,0.1658,257198.33920764
1784376000,0.1659,0.1665,0.1653,0.1658,1297543.07736225
1784379600,0.1658,0.1658,0.1642,0.1646,3590931.820882
1784383200,0.1645,0.165,0.164,0.1649,2292132.58035769
1784386800,0.165,0.1651,0.1642,0.1644,372388.76571665
1784390400,0.1645,0.1645,0.1634,0.1641,1007048.99843733
1784394000,0.1642,0.1652,0.164,0.1652,1252504.33856387
1784397600,0.1651,0.166,0.1648,0.1652,1292331.25630552
1784401200,0.1651,0.1658,0.165,0.1658,349750.53363689
1784404800,0.1658,0.1667,0.1656,0.1662,957928.59077556
1784408400,0.1662,0.167,0.1657,0.1661,797459.25692824
1784412000,0.1661,0.167,0.1661,0.167,480143.98846894
1784415600,0.1671,0.1673,0.1666,0.1667,625114.82378234
1784419200,0.1668,0.167,0.1661,0.167,1001863.1970703
1784422800,0.1671,0.1671,0.1666,0.1669,536626.25683561
1784426400,0.167,0.1686,0.167,0.1681,787424.75058189
1784430000,0.1679,0.1681,0.1666,0.1667,831615.7505332
1784433600,0.1668,0.1668,0.1659,0.1663,554591.03356474
1784437200,0.1663,0.1666,0.1656,0.1659,693044.0610619
1784440800,0.1659,0.1667,0.1657,0.1661,388795.93180541
1784444400,0.166,0.1661,0.1654,0.1656,399728.81649886
1784448000,0.1656,0.166,0.1653,0.1657,638854.75848423
1784451600,0.1657,0.1659,0.1646,0.1648,763375.20430431
1784455200,0.1647,0.1657,0.1644,0.1654,377017.19362247
1784458800,0.1653,0.1657,0.1648,0.1648,516484.59086586
1784462400,0.1647,0.1653,0.1644,0.1651,881257.51049946
1784466000,0.165,0.1655,0.1647,0.1655,453865.31299412
1784469600,0.1655,0.167,0.1651,0.1666,671177.85344961
1784473200,0.1666,0.1667,0.1658,0.1662,1166754.52365414
1784476800,0.1661,0.1663,0.165,0.1651,644959.05552742
1784480400,0.1651,0.1655,0.1638,0.1651,2388852.36549384
1784484000,0.1651,0.1651,0.1639,0.165,1442607.80896774
1784487600,0.1651,0.1661,0.1648,0.1661,318280.33148944
1784491200,0.1661,0.1664,0.1659,0.1664,365576.40986524
1784494800,0.1664,0.1666,0.1647,0.1647,502657.83173307
1784498400,0.1647,0.1669,0.1646,0.1657,1974874.85492535
1784502000,0.1657,0.1664,0.1652,0.1658,738790.29141261
1784505600,0.1658,0.1682,0.1651,0.1655,2324550.11968501
1784509200,0.1656,0.1672,0.1642,0.1648,2124612.60568411
1784512800,0.1648,0.1666,0.1648,0.1658,1063213.4823883
1784516400,0.166,0.1662,0.1648,0.1654,1429835.97318288
1784520000,0.1654,0.1654,0.164,0.164,999301.6706861
1784523600,0.164,0.1641,0.1619,0.1621,4156430.01573352
1784527200,0.1621,0.1624,0.1605,0.1612,1869168.59360477
1784530800,0.1613,0.1626,0.1611,0.1624,896283.45026834
1784534400,0.1624,0.163,0.1613,0.1619,1151329.35309923
1784538000,0.1618,0.163,0.1616,0.1626,592865.01264611
1784541600,0.1625,0.1633,0.1624,0.1631,496246.11029682
1784545200,0.1631,0.166,0.1627,0.1652,2335357.28201874
1784548800,0.1652,0.1652,0.1638,0.1643,1841144.34899484
1784552400,0.1643,0.1644,0.1623,0.1627,2129227.89542952
1784556000,0.1627,0.1631,0.1615,0.1622,1556004.53658697
1784559600,0.1623,0.1668,0.1623,0.1667,3733869.81949033
1784563200,0.1668,0.1673,0.1652,0.166,5119702.59150003
1784566800,0.1661,0.1677,0.1658,0.1675,2752895.2871096
1784570400,0.1675,0.1706,0.1674,0.1683,7415459.2543591
1784574000,0.1683,0.169,0.1676,0.1678,2732132.19207075
1784577600,0.1678,0.1697,0.1671,0.1697,2619639.2660866
1784581200,0.1698,0.1717,0.1694,0.1699,2527892.8524127
1784584800,0.1698,0.17,0.1688,0.169,2152126.78925976
1784588400,0.1691,0.1711,0.1691,0.1694,1601996.80558039
1784592000,0.1694,0.1726,0.1694,0.1708,3751386.96214869
1784595600,0.1707,0.1713,0.1699,0.1701,1141164.85918244
1784599200,0.1702,0.1707,0.1694,0.1704,679216.23138879
1784602800,0.1706,0.173,0.1706,0.1724,3865142.50702194
1784606400,0.1724,0.1732,0.171,0.1722,3949218.07390884
1784610000,0.1722,0.1775,0.1722,0.1757,12749799.31206635
1784613600,0.1758,0.1774,0.1754,0.1762,3641094.98601189
1784617200,0.1761,0.1766,0.1749,0.1764,2679422.31581511
1784620800,0.1762,0.1763,0.1744,0.1744,1514726.23150872
1784624400,0.1744,0.1755,0.1742,0.1747,1436464.18205022
1784628000,0.1747,0.1756,0.1743,0.1746,1732668.70703318
1784631600,0.1746,0.1748,0.1741,0.1747,1404477.7794577
1784635200,0.1747,0.1763,0.1743,0.1752,2466937.30425148
1784638800,0.1753,0.1759,0.1749,0.1757,2011982.30352203
1784642400,0.1757,0.1769,0.1747,0.1757,4792613.59772557
1784646000,0.1757,0.1761,0.1745,0.175,2031274.77008341
1784649600,0.175,0.1752,0.1718,0.1735,3541499.80518973
1784653200,0.1735,0.1739,0.172,0.1733,1926276.4672814
1784656800,0.1732,0.1736,0.1723,0.1732,1939217.74469741
1784660400,0.1733,0.1743,0.1728,0.1737,3269439.42759805
1784664000,0.1738,0.1742,0.1733,0.1734,1795064.76978018
1784667600,0.1733,0.1736,0.1727,0.1727,791616.36551191
1784671200,0.1726,0.173,0.1723,0.173,490565.6000452
1784674800,0.1729,0.1737,0.1723,0.1734,910765.63133255
1784678400,0.1734,0.1739,0.1734,0.1738,1168313.10052931
1784682000,0.1737,0.1747,0.1731,0.1741,921605.12382104
1784685600,0.174,0.1753,0.1736,0.1742,1302086.72472203
1784689200,0.1742,0.1743,0.1733,0.1733,744768.96299486
1784692800,0.1733,0.1743,0.1732,0.1741,506987.45463446
1784696400,0.1741,0.1742,0.1712,0.1714,1804616.21836709
1784700000,0.1714,0.1715,0.1705,0.1708,597341.51976129
1784703600,0.1708,0.1712,0.1703,0.171,1778180.60590963
1784707200,0.171,0.1726,0.171,0.1725,500406.74201242
1784710800,0.1725,0.1733,0.1722,0.1732,1223074.86024647
1784714400,0.1731,0.1737,0.1729,0.1734,972392.34133506
1784718000,0.1734,0.1735,0.1723,0.1729,682627.44610008
1784721600,0.173,0.173,0.1716,0.1723,913369.68261471
1784725200,0.1722,0.1757,0.1722,0.1754,3230922.62153901
1784728800,0.1753,0.1779,0.1739,0.1753,3389051.12133158
1784732400,0.1754,0.1796,0.1754,0.1778,4083270.20156096
1784736000,0.1779,0.1807,0.1771,0.1799,4116575.33132685
1784739600,0.1799,0.18,0.1776,0.1779,2521054.06775071
1784743200,0.1779,0.1783,0.1754,0.1757,2319912.65601019
1784746800,0.1758,0.1758,0.1738,0.1745,2555830.0972363
1784750400,0.1745,0.1748,0.1737,0.1741,1527167.19070324
1784754000,0.1741,0.1754,0.1739,0.1751,847495.87441867
1784757600,0.175,0.1758,0.1744,0.1751,1004638.92614946
1784761200,0.175,0.1752,0.1731,0.1744,1309142.14651569
1784764800,0.1744,0.1766,0.1741,0.1757,2180424.81853886
1784768400,0.1756,0.1759,0.1743,0.1745,771580.15040975
1784772000,0.1745,0.1748,0.1736,0.1744,428109.04276595
1784775600,0.1744,0.1747,0.1737,0.1737,652181.80199672
1784779200,0.1738,0.1754,0.1738,0.1743,438763.7590629
1784782800,0.1742,0.1749,0.1738,0.1742,428227.08119308
1784786400,0.1743,0.1744,0.1737,0.1741,461737.32223542
1784790000,0.174,0.1741,0.1722,0.173,1092966.98878415
1784793600,0.1728,0.174,0.1726,0.1739,438296.14559243
1784797200,0.1738,0.1745,0.1732,0.1732,419890.84898604
1784800800,0.1733,0.1747,0.1733,0.1747,471659.48146302
1784804400,0.1747,0.1758,0.1739,0.1743,1531225.99643806
1784808000,0.1742,0.1751,0.172,0.173,2035206.44106798
1784811600,0.1728,0.1731,0.1708,0.1714,2960662.66440083
1784815200,0.1714,0.1717,0.1687,0.1694,3097932.73916594
1784818800,0.1694,0.1707,0.1681,0.1704,3393908.39037117
1784822400,0.1704,0.1705,0.1691,0.1694,1270598.53753467
1784826000,0.1693,0.1699,0.1682,0.1685,2240009.9369231
1784829600,0.1684,0.1696,0.1684,0.1693,1049544.71747237
1784833200,0.1693,0.1698,0.1687,0.1695,709598.24877427
1784836800,0.1695,0.1703,0.1694,0.1697,643837.56956735
1784840400,0.1698,0.1699,0.1686,0.1689,1387467.20964207
1784844000,0.1688,0.1692,0.1679,0.169,1246467.31055396
1784847600,0.1691,0.1692,0.1682,0.1682,556810.84430747
1784851200,0.1682,0.1682,0.1668,0.1672,2129667.46515622
1784854800,0.1672,0.1675,0.1664,0.1668,1607523.15742896
1784858400,0.167,0.1677,0.1664,0.1666,993381.13292525
1784862000,0.1667,0.1678,0.1665,0.1673,497005.04297774
1784865600,0.1674,0.1674,0.1668,0.1673,315724.62199908
1784869200,0.1673,0.1674,0.1665,0.1666,1703565.18901242
1784872800,0.1666,0.1672,0.1664,0.1672,863996.65799741
