ts,open,high,low,close,volume
1746576000,1.523,1.633,1.452,1.628,1389125.72
1746662400,1.629,1.779,1.566,1.748,1661588.39
1746748800,1.748,2.071,1.729,1.83,2422126.75
1746835200,1.83,1.955,1.753,1.943,1174625.77
1746921600,1.942,1.942,1.774,1.822,593025.61
1747008000,1.822,1.891,1.663,1.782,1497974.97
1747094400,1.781,1.849,1.657,1.823,1011178.76
1747180800,1.824,1.829,1.693,1.706,735013.77
1747267200,1.706,1.713,1.554,1.598,709193.18
1747353600,1.598,1.652,1.55,1.568,655097.91
1747440000,1.568,1.568,1.477,1.495,331097.34
1747526400,1.5,1.612,1.494,1.579,363497.48
1747612800,1.579,1.582,1.461,1.543,378605.36
1747699200,1.543,1.565,1.478,1.516,614296.62
1747785600,1.513,1.574,1.474,1.51,1170186.47
1747872000,1.51,1.657,1.501,1.654,730926.53
1747958400,1.653,1.75,1.504,1.512,1188680.14
1748044800,1.51,1.608,1.496,1.543,538021.22
1748131200,1.542,1.549,1.459,1.536,529009.72
1748217600,1.534,1.582,1.508,1.519,389184.42
1748304000,1.518,1.598,1.477,1.554,603220.91
1748390400,1.553,1.556,1.433,1.472,1200747.6
1748476800,1.474,1.504,1.387,1.399,703868.86
1748563200,1.397,1.406,1.25,1.254,912420.11
1748649600,1.252,1.3,1.198,1.287,534432.86
1748736000,1.286,1.303,1.24,1.296,331788.77
1748822400,1.29,1.321,1.224,1.316,423236.87
1748908800,1.314,1.451,1.311,1.39,738598.82
1748995200,1.39,1.399,1.304,1.312,390578.7
1749081600,1.312,1.323,1.17,1.204,822085.3
1749168000,1.205,1.263,1.195,1.221,278317
1749254400,1.22,1.307,1.217,1.288,223135.77
1749340800,1.286,1.299,1.258,1.261,175258.84
1749427200,1.261,1.355,1.229,1.345,409157.98
1749513600,1.345,1.445,1.324,1.438,486951.62
1749600000,1.435,1.442,1.339,1.352,423102.96
1749686400,1.349,1.353,1.264,1.27,426082.63
1749772800,1.269,1.271,1.17,1.228,457650.84
1749859200,1.227,1.23,1.199,1.22,315049.9
1749945600,1.217,1.23,1.202,1.228,245724.3
1750032000,1.229,1.265,1.195,1.195,594597.19
1750118400,1.195,1.198,1.1,1.111,428951.19
1750204800,1.112,1.162,1.087,1.137,268123.97
1750291200,1.139,1.145,1.106,1.128,249755.61
1750377600,1.129,1.141,1.05,1.068,271343.84
1750464000,1.069,1.086,0.983,1.023,695161.82
1750550400,1.026,1.078,0.909,0.963,929854.93
1750636800,0.964,1.1,0.962,1.096,843169.5
1750723200,1.095,1.149,1.07,1.108,1021195.73
1750809600,1.108,1.115,1.062,1.074,460483.77
