ts,open,high,low,close,volume
1660521600,0.3643,0.376,0.35,0.3578,16987366.1
1660608000,0.3576,0.3605,0.3493,0.3526,12588645
1660694400,0.3529,0.3655,0.3373,0.3408,20324134
1660780800,0.3407,0.3479,0.3251,0.3336,12767552.8
1660867200,0.3338,0.3339,0.3002,0.303,38840587.3
1660953600,0.303,0.3128,0.2936,0.3003,24796847.5
1661040000,0.3003,0.3093,0.2972,0.3062,16157371.3
1661126400,0.3065,0.3068,0.2903,0.3032,13435215.7
1661212800,0.3031,0.3098,0.2929,0.3078,18702363.5
1661299200,0.3078,0.3093,0.2987,0.3023,19814962.7
1661385600,0.3021,0.3104,0.2993,0.3074,16456909.6
1661472000,0.3072,0.3083,0.28,0.2831,27047613.3
1661558400,0.2832,0.2908,0.2793,0.2889,17896000.4
1661644800,0.2887,0.2954,0.281,0.2823,12206891.9
1661731200,0.2825,0.2995,0.28,0.2981,16513640.8
1661817600,0.298,0.3022,0.2841,0.2917,16616722.1
1661904000,0.2919,0.3014,0.2872,0.2885,14722077.9
1661990400,0.2884,0.2939,0.2835,0.2936,12839438.9
1662076800,0.2937,0.3073,0.2899,0.3024,24667221.6
1662163200,0.3022,0.303,0.2955,0.303,12428081.9
1662249600,0.3029,0.3194,0.3029,0.3127,23825669.5
1662336000,0.3126,0.3145,0.2971,0.3046,12545700.8
1662422400,0.3046,0.3097,0.281,0.2855,26644743.3
1662508800,0.2854,0.3017,0.2812,0.2991,20778653
1662595200,0.2991,0.3084,0.2929,0.3078,22033929.5
1662681600,0.3079,0.3265,0.3074,0.3246,28974832.8
1662768000,0.3246,0.3281,0.3169,0.3223,25303680.6
1662854400,0.3223,0.3308,0.3165,0.3264,18619948.3
1662940800,0.3264,0.333,0.317,0.3237,20247284.6
1663027200,0.3235,0.324,0.2947,0.2966,33548436
1663113600,0.2966,0.3049,0.295,0.3031,12159908.5
1663200000,0.3028,0.3032,0.2889,0.295,17342266.6
1663286400,0.2949,0.3006,0.29,0.298,11797979.9
1663372800,0.298,0.3114,0.2977,0.3108,8708704.9
1663459200,0.3109,0.3179,0.2894,0.293,17120053.3
1663545600,0.2932,0.3245,0.291,0.3172,38879582.9
1663632000,0.3171,0.347,0.3169,0.3295,51130421.6
1663718400,0.3296,0.3406,0.3083,0.3352,37830603.7
1663804800,0.335,0.3873,0.3285,0.3698,75388619.1
1663891200,0.3699,0.4101,0.3632,0.3992,74931363.9
1663977600,0.399,0.4044,0.3699,0.3853,35164450.9
1664064000,0.3853,0.4012,0.3779,0.3884,35325772.1
1664150400,0.3881,0.3924,0.3574,0.3687,28893025.5
1664236800,0.3686,0.3753,0.3371,0.3524,36602563
1664323200,0.3524,0.3568,0.332,0.3495,28796156.2
1664409600,0.3498,0.3639,0.3332,0.355,27232666.1
