ts,open,high,low,close,volume
1565827200,0.7597,0.8499,0.6901,0.7064,1594503
1565913600,0.7069,0.76,0.6763,0.6785,1015429
1566000000,0.6776,0.7183,0.6733,0.6842,725533
1566086400,0.6842,0.6968,0.6658,0.6767,423205
1566172800,0.6748,0.6766,0.6506,0.6548,671582
1566259200,0.6548,0.67,0.6034,0.625,861671
1566345600,0.6258,0.6274,0.56,0.5602,773053
1566432000,0.5646,0.5922,0.5321,0.5742,699551
1566518400,0.5729,0.5915,0.5427,0.5755,380887
1566604800,0.5783,0.5799,0.5435,0.5791,240451
1566691200,0.5782,0.5815,0.5323,0.5378,178229
1566777600,0.5378,0.5789,0.5201,0.5209,364173
1566864000,0.5201,0.547,0.51,0.5203,380760
1566950400,0.527,0.5355,0.4225,0.4358,1212241
1567036800,0.436,0.449,0.3901,0.4014,713476
1567123200,0.4013,0.4245,0.3971,0.4195,476180
1567209600,0.4199,0.4316,0.397,0.4081,316204
1567296000,0.4077,0.4166,0.3803,0.3887,335617
1567382400,0.3887,0.3998,0.376,0.3942,525706
1567468800,0.3961,0.4051,0.365,0.368,342006
1567555200,0.3678,0.3693,0.345,0.3469,510498
1567641600,0.3485,0.3957,0.34,0.3857,1230006
1567728000,0.3883,0.4199,0.3411,0.347,1526488
1567814400,0.3456,0.3889,0.3406,0.3699,899613
1567900800,0.3711,0.3857,0.3552,0.3846,472965
1567987200,0.3842,0.391,0.3546,0.368,467954
1568073600,0.3675,0.3935,0.3628,0.3655,656504
1568160000,0.3671,0.3809,0.3425,0.3485,611575
1568246400,0.3482,0.3497,0.3093,0.3205,999241
1568332800,0.3204,0.3453,0.309,0.3168,656315
1568419200,0.3172,0.3247,0.311,0.3217,416379
1568505600,0.3205,0.3398,0.3204,0.3279,574422
1568592000,0.328,0.337,0.3148,0.3214,517520
1568678400,0.3223,0.3344,0.311,0.319,725633
1568764800,0.3175,0.3608,0.3157,0.3411,1930865
1568851200,0.3401,0.3402,0.3068,0.3222,1208229
1568937600,0.3222,0.3295,0.3162,0.3201,601427
1569024000,0.3201,0.33,0.314,0.3157,392010
1569110400,0.3157,0.3232,0.2693,0.3003,1002892
1569196800,0.3002,0.3002,0.2674,0.2674,932488
1569283200,0.2662,0.281,0.19,0.1947,3304461
1569369600,0.1954,0.22,0.1925,0.205,1515070
1569456000,0.205,0.2149,0.165,0.19,3093046
1569542400,0.1909,0.1975,0.177,0.1902,1231047
1569628800,0.1887,0.2079,0.1876,0.2036,1800365
1569715200,0.2031,0.2431,0.1982,0.2247,3640229
1569801600,0.2242,0.26,0.2144,0.2518,3065316
1569888000,0.2512,0.2664,0.2242,0.234,3779278
1569974400,0.2337,0.24,0.2193,0.2335,2162726
1570060800,0.2342,0.2394,0.2203,0.2293,2235347
1570147200,0.23,0.2398,0.223,0.2286,1401223
1570233600,0.2287,0.2319,0.22,0.2261,590808
1570320000,0.2254,0.227,0.2114,0.2122,1293859
1570406400,0.2123,0.2238,0.2054,0.2178,1422275
1570492800,0.218,0.234,0.2138,0.225,1553632
1570579200,0.2274,0.2562,0.2274,0.2399,2777708
1570665600,0.2375,0.2695,0.2318,0.252,3351909
1570752000,0.2518,0.2755,0.2485,0.2505,3576916
1570838400,0.251,0.2621,0.2429,0.2556,1738007
1570924800,0.2554,0.2679,0.2455,0.2508,2763188
1571011200,0.2514,0.2686,0.2456,0.2667,2218910
1571097600,0.2679,0.2748,0.245,0.2475,2485336
1571184000,0.2472,0.25,0.2225,0.229,2831418
1571270400,0.2289,0.24,0.2287,0.2358,1351398
1571356800,0.2367,0.24,0.2184,0.2258,1626491
1571443200,0.2266,0.2298,0.2229,0.2232,757360
1571529600,0.2234,0.2281,0.2105,0.2259,1295463
1571616000,0.2255,0.2321,0.2216,0.2267,1236920
1571702400,0.2267,0.2289,0.2161,0.218,1263739
1571788800,0.2171,0.2178,0.1964,0.2007,3123263
1571875200,0.2004,0.2079,0.1995,0.2021,1087144
1571961600,0.2017,0.2203,0.1997,0.214,2021968
1572048000,0.214,0.236,0.2102,0.2164,2472861
1572134400,0.2158,0.237,0.2078,0.2201,2329155
1572220800,0.2215,0.239,0.2202,0.2322,1824097
1572307200,0.2328,0.2356,0.224,0.2262,987508
1572393600,0.2263,0.2277,0.2066,0.2121,1757425
1572480000,0.2119,0.2242,0.2089,0.2229,1482410
1572566400,0.2225,0.28,0.2154,0.2618,5148555
1572652800,0.2623,0.2797,0.2489,0.2597,3529646
1572739200,0.26,0.2789,0.2425,0.266,2256738
1572825600,0.2663,0.2709,0.2531,0.2575,1003989
1572912000,0.2591,0.2974,0.2446,0.2856,4657248
1572998400,0.2877,0.3099,0.2771,0.2831,3309069
1573084800,0.2826,0.2854,0.2645,0.27,2216047
1573171200,0.2701,0.2825,0.2454,0.2553,2799678
1573257600,0.2552,0.266,0.2505,0.2631,1196336
1573344000,0.2622,0.2741,0.2549,0.2689,1881655
1573430400,0.2697,0.292,0.255,0.2833,3062447
1573516800,0.2833,0.29,0.2651,0.2732,1630516
1573603200,0.274,0.2967,0.2695,0.288,1524467
1573689600,0.2877,0.293,0.2722,0.2772,1368821
1573776000,0.2771,0.286,0.261,0.2633,1114198
1573862400,0.2633,0.2749,0.2618,0.2729,1028245
1573948800,0.273,0.2789,0.265,0.268,492665
1574035200,0.268,0.2735,0.2426,0.2488,1937364
1574121600,0.2479,0.2535,0.2311,0.2447,1535186
1574208000,0.2448,0.263,0.2377,0.2531,1322746
1574294400,0.2545,0.2642,0.2301,0.2459,2643811
1574380800,0.2459,0.2498,0.1997,0.2232,3240440
1574467200,0.2223,0.232,0.2115,0.2295,1860366
1574553600,0.2296,0.2299,0.2006,0.2034,1521101
1574640000,0.2043,0.225,0.19,0.2104,1206811
1574726400,0.2132,0.235,0.2104,0.2259,1194478
1574812800,0.2264,0.2333,0.2091,0.2253,2148647
1574899200,0.2253,0.315,0.2213,0.2831,7997846
1574985600,0.2848,0.2998,0.2716,0.2757,1263387
1575072000,0.2751,0.2892,0.2605,0.2655,1399645
1575158400,0.2654,0.2754,0.2425,0.2687,1839736
1575244800,0.2678,0.291,0.2596,0.2778,2460802
1575331200,0.2778,0.2985,0.2702,0.287,1554139
1575417600,0.2862,0.2947,0.2622,0.2622,2110715
1575504000,0.2628,0.2681,0.2553,0.2669,1176814
1575590400,0.2669,0.2717,0.2568,0.2695,1535564
1575676800,0.2698,0.2778,0.2621,0.2762,1560159
1575763200,0.2763,0.3048,0.2763,0.2938,3256810
1575849600,0.2939,0.3467,0.2853,0.294,7576142
1575936000,0.2942,0.2942,0.2646,0.2744,4339574
1576022400,0.2747,0.3048,0.2745,0.2887,3036289
1576108800,0.2886,0.298,0.269,0.277,2811293
1576195200,0.2762,0.2771,0.2681,0.2715,494001
1576281600,0.2715,0.2747,0.249,0.2517,1337103
1576368000,0.2516,0.2681,0.25,0.2672,1454092
1576454400,0.2673,0.2692,0.2342,0.241,3545823
1576540800,0.2412,0.2428,0.2151,0.2183,2080676
1576627200,0.2178,0.245,0.213,0.2437,1911248
1576713600,0.2432,0.2433,0.2265,0.2286,1266161
1576800000,0.2288,0.2448,0.2208,0.24,2410896
1576886400,0.24,0.2421,0.2303,0.2408,940260
1576972800,0.2407,0.2534,0.2383,0.2478,2357252
1577059200,0.2472,0.2532,0.2358,0.2404,1246006
1577145600,0.2401,0.2401,0.2281,0.2286,526073
1577232000,0.2302,0.2333,0.2239,0.2285,999577
1577318400,0.2285,0.2415,0.2275,0.2391,351944
1577404800,0.2385,0.2387,0.22,0.2285,644915
1577491200,0.2281,0.2361,0.228,0.2319,465698
1577577600,0.2319,0.2361,0.2279,0.2314,313709
1577664000,0.2313,0.2337,0.2219,0.2245,327644
1577750400,0.2239,0.2292,0.2127,0.2154,1468255
1577836800,0.2155,0.223,0.2148,0.2191,244812
1577923200,0.2191,0.2206,0.2095,0.2133,624817
1578009600,0.2134,0.2284,0.2134,0.227,891477
1578096000,0.227,0.2345,0.2245,0.2345,449460
1578182400,0.2345,0.2379,0.2283,0.2294,401035
1578268800,0.2294,0.2433,0.2294,0.2425,1220652
1578355200,0.2425,0.2436,0.2275,0.2305,952379
1578441600,0.2303,0.2387,0.2246,0.2275,1037770
1578528000,0.2274,0.229,0.221,0.2231,462790
1578614400,0.2217,0.2274,0.22,0.2269,842329
1578700800,0.2258,0.2323,0.224,0.226,480943
1578787200,0.2258,0.2308,0.2242,0.2291,320229
1578873600,0.2288,0.2316,0.2234,0.2275,490820
1578960000,0.2278,0.236,0.2242,0.2297,2811824
1579046400,0.2293,0.2635,0.2256,0.2484,5080058
1579132800,0.2485,0.2534,0.224,0.2413,4449663
1579219200,0.2407,0.28,0.2398,0.2625,5032350
1579305600,0.2622,0.2706,0.247,0.2587,2568147
1579392000,0.2587,0.2613,0.2322,0.2396,1896020
1579478400,0.2396,0.2426,0.2315,0.2366,1094659
1579564800,0.2365,0.2592,0.2341,0.2486,2769306
1579651200,0.2485,0.2523,0.2423,0.2456,1086656
1579737600,0.2457,0.2462,0.2325,0.2351,817430
1579824000,0.2351,0.245,0.2287,0.232,3167647
1579910400,0.2314,0.2372,0.2286,0.2329,549703
1579996800,0.233,0.2376,0.2324,0.2372,435423
1580083200,0.2372,0.2421,0.2372,0.2391,447497
1580169600,0.2394,0.2455,0.2385,0.2432,1055320
