ts,open,high,low,close,volume
1695146400,0.8457,0.8585,0.8443,0.8572,370490.71
1695150000,0.8572,0.9,0.8502,0.8965,348721.09
1695153600,0.8963,0.8963,0.844,0.8511,761718.61
1695157200,0.8513,0.8597,0.8468,0.8582,447646.97
1695160800,0.8582,0.8586,0.8531,0.8577,304580.04
1695164400,0.8574,0.8655,0.8574,0.8649,320909.3
1695168000,0.8652,0.8704,0.8608,0.8614,623875.6
1695171600,0.861,0.8719,0.8602,0.8715,389653.56
1695175200,0.8715,0.8724,0.8569,0.8576,466757.7
1695178800,0.8577,0.8611,0.852,0.8567,327154.82
1695182400,0.8564,0.8615,0.8535,0.8559,438596.3
1695186000,0.8559,0.8603,0.8551,0.8554,350331.51
1695189600,0.8556,0.8581,0.8504,0.8536,371072.33
1695193200,0.8536,0.8546,0.8504,0.851,173223.59
1695196800,0.8503,0.8552,0.85,0.854,78796.25
1695200400,0.8545,0.855,0.839,0.8444,138219.86
1695204000,0.8445,0.8445,0.8372,0.8419,92581.16
1695207600,0.8412,0.8439,0.8396,0.843,33346.41
1695211200,0.844,0.8446,0.8348,0.8401,50860.95
1695214800,0.8389,0.8467,0.8359,0.8464,37653.13
1695218400,0.8468,0.8507,0.8444,0.8481,112049.08
1695222000,0.8485,0.8525,0.8479,0.8497,62832.86
1695225600,0.8499,0.8499,0.8409,0.8419,84541.91
1695229200,0.8428,0.8494,0.842,0.8466,94186.16
1695232800,0.8483,0.855,0.8435,0.8527,78562.72
1695236400,0.8527,0.8534,0.8353,0.8416,631064.67
1695240000,0.8422,0.8525,0.8415,0.8523,459920.04
1695243600,0.8532,0.8578,0.8492,0.8566,367466.32
1695247200,0.8567,0.8597,0.8552,0.8585,355587.17
1695250800,0.8585,0.8648,0.8575,0.8637,270515.18
1695254400,0.8642,0.8706,0.8617,0.8665,229002.47
1695258000,0.8667,0.8728,0.8605,0.8637,132860.49
1695261600,0.8634,0.8663,0.856,0.8585,34110.14
1695265200,0.8585,0.863,0.8554,0.863,36754.59
1695268800,0.8626,0.8633,0.856,0.8566,37267.67
1695272400,0.8566,0.8566,0.8458,0.8478,40408.95
1695276000,0.8472,0.8489,0.8412,0.843,82630.14
1695279600,0.8421,0.8426,0.8381,0.8404,52739.94
1695283200,0.8399,0.8423,0.8369,0.838,137929.63
1695286800,0.8379,0.8384,0.824,0.8255,179053.39
1695290400,0.8253,0.8291,0.8144,0.8146,247153.67
1695294000,0.8142,0.8221,0.8141,0.8211,93824.66
1695297600,0.8212,0.8223,0.8164,0.8207,83039.8
1695301200,0.8211,0.8212,0.8099,0.8178,329624.7
1695304800,0.8172,0.824,0.8163,0.8234,281567.56
1695308400,0.8231,0.8275,0.8224,0.8257,401173.7
1695312000,0.8256,0.8266,0.8233,0.8255,276908.82
1695315600,0.8255,0.8321,0.8255,0.8279,312824.49
1695319200,0.8272,0.8303,0.8266,0.8289,295608.29
1695322800,0.8289,0.8342,0.8272,0.8333,221301.87
1695326400,0.8334,0.8336,0.8263,0.8302,216018.35
1695330000,0.8302,0.8326,0.824,0.8292,217974.33
1695333600,0.8293,0.8294,0.8264,0.8281,201719.37
1695337200,0.828,0.8295,0.8231,0.8232,217958.62
1695340800,0.8231,0.8286,0.8164,0.8286,314348.03
1695344400,0.8279,0.8311,0.8227,0.8297,311271.39
1695348000,0.8297,0.8312,0.8262,0.8285,231957.94
1695351600,0.8284,0.8361,0.8282,0.8356,251088.67
1695355200,0.8356,0.838,0.834,0.8348,170839.15
1695358800,0.8351,0.8362,0.832,0.8361,141851.76
1695362400,0.8361,0.8363,0.8328,0.8345,159285.19
1695366000,0.8343,0.8403,0.8325,0.8393,285932.22
1695369600,0.8395,0.845,0.8392,0.8438,151984.5
1695373200,0.8436,0.844,0.84,0.8416,156795.33
1695376800,0.842,0.8434,0.8362,0.8371,215359.77
1695380400,0.8371,0.843,0.8371,0.843,219421.91
1695384000,0.8431,0.8444,0.8403,0.8409,294028.12
1695387600,0.8409,0.8428,0.8386,0.8428,188554.72
1695391200,0.8428,0.8485,0.8391,0.8417,131878.23
1695394800,0.8423,0.844,0.8394,0.8396,91323.75
1695398400,0.8397,0.8416,0.8326,0.8345,189833.31
1695402000,0.8345,0.8373,0.8332,0.8363,146560.81
1695405600,0.8365,0.8391,0.8358,0.8389,114490.18
1695409200,0.8389,0.8434,0.8389,0.8398,93964.01
1695412800,0.8402,0.8433,0.8353,0.8367,58876.14
1695416400,0.8375,0.8414,0.8344,0.8411,14851.77
1695420000,0.841,0.8431,0.8397,0.8422,42864.87
1695423600,0.8419,0.8426,0.8401,0.8401,26446.46
1695427200,0.8422,0.8493,0.842,0.8444,79096.9
1695430800,0.8449,0.8463,0.8414,0.8444,82217.06
1695434400,0.8444,0.8448,0.8357,0.8379,59862.84
1695438000,0.8375,0.8375,0.8331,0.8353,39073.3
1695441600,0.8346,0.8371,0.8337,0.8353,25266.49
1695445200,0.8372,0.8387,0.8348,0.8354,12849.52
1695448800,0.836,0.8369,0.8346,0.8347,36189.92
1695452400,0.8341,0.8346,0.831,0.8335,45093.26
1695456000,0.8331,0.8336,0.8311,0.8325,88699.25
1695459600,0.832,0.8334,0.8302,0.8319,16788.1
1695463200,0.8313,0.8323,0.8309,0.8313,11710.86
1695466800,0.8308,0.8311,0.8292,0.8308,30818.23
1695470400,0.8313,0.8319,0.828,0.8297,31908.66
1695474000,0.8294,0.8295,0.8247,0.8254,200721.09
1695477600,0.8244,0.826,0.8225,0.8234,27232.66
1695481200,0.8227,0.8228,0.82,0.8214,59186.38
1695484800,0.8207,0.8235,0.8174,0.823,36932.14
1695488400,0.8234,0.825,0.8208,0.8239,52095.37
1695492000,0.8244,0.8264,0.8213,0.8213,24069.09
1695495600,0.8216,0.8241,0.8216,0.8227,27607.03
1695499200,0.8227,0.8228,0.8202,0.8202,15783.59
1695502800,0.8204,0.8228,0.8196,0.822,17331.05
1695506400,0.8222,0.8238,0.8202,0.8202,8622.96
1695510000,0.8201,0.8211,0.8192,0.8206,9767.82
1695513600,0.8205,0.8205,0.8151,0.8174,24357.58
1695517200,0.8154,0.82,0.8154,0.82,34340.96
1695520800,0.8207,0.8216,0.818,0.8182,42325.44
1695524400,0.8179,0.8193,0.8175,0.818,7006.64
1695528000,0.8177,0.8188,0.8162,0.8176,16802.23
1695531600,0.8176,0.823,0.8165,0.823,53905.16
1695535200,0.8229,0.8244,0.8217,0.8244,19499.18
1695538800,0.8238,0.8248,0.8224,0.8242,7305.11
1695542400,0.8242,0.828,0.824,0.828,37103.59
1695546000,0.8282,0.829,0.8255,0.8261,54879.67
1695549600,0.8259,0.8264,0.8242,0.8261,16156.72
1695553200,0.8266,0.8294,0.8266,0.8294,22076.12
1695556800,0.8295,0.8318,0.8252,0.8277,78035.38
1695560400,0.8276,0.8276,0.8211,0.8211,70257.92
1695564000,0.821,0.8218,0.8196,0.8216,9661.47
1695567600,0.821,0.8215,0.818,0.8211,39345.99
1695571200,0.8208,0.8208,0.8186,0.8192,7220
1695574800,0.8186,0.8249,0.8179,0.8231,15824.86
1695578400,0.824,0.8266,0.8166,0.8211,78024.37
1695582000,0.8204,0.821,0.8135,0.8156,59515.71
1695585600,0.8159,0.8187,0.8114,0.8173,78055.38
1695589200,0.8194,0.82,0.8156,0.82,16792.12
1695592800,0.82,0.8201,0.8167,0.8169,26290.61
