ts,open,high,low,close,volume
1660521600,11.585,11.956,11.18,11.399,479526.19
1660608000,11.398,11.667,11.172,11.399,505071.62
1660694400,11.399,11.925,11.182,11.75,856495.72
1660780800,11.753,12.299,11.417,11.446,953120.25
1660867200,11.442,11.451,10.15,10.759,1981037.5
1660953600,10.754,10.977,9.97,10.236,847300
1661040000,10.236,10.791,10.212,10.644,630052.39
1661126400,10.648,11.132,10.042,11.09,892266.06
1661212800,11.088,12.348,10.963,12.135,2113461.05
1661299200,12.135,13.445,11.59,13.019,3159803.22
1661385600,13.021,13.331,12.555,12.862,1684808.67
1661472000,12.855,13.126,11.34,11.554,2399260.66
1661558400,11.551,11.551,10.686,11.173,1940542.48
1661644800,11.179,11.377,10.44,10.559,1212169.88
1661731200,10.562,11.734,10.168,11.438,1787891.6
1661817600,11.437,12.161,11.12,11.928,1823673.58
1661904000,11.928,12.351,11.55,11.821,1696204.87
1661990400,11.821,12.855,11.46,12.73,1746635.64
1662076800,12.737,13.084,12.33,12.614,1517757.23
1662163200,12.612,12.898,12.126,12.641,773046.11
1662249600,12.645,13.046,12.399,13.046,639611.68
1662336000,13.043,13.357,12.467,12.633,958228.69
1662422400,12.635,12.992,11.74,11.775,2187473.23
1662508800,11.776,13.248,11.535,12.933,1415467.45
1662595200,12.925,14.15,12.626,13.893,1958872.72
1662681600,13.896,17.106,13.756,16.126,3324966.16
1662768000,16.134,16.413,15.451,15.995,1424324.24
1662854400,15.989,16.315,15.246,15.699,900014.01
1662940800,15.69,16.507,14.994,15.53,1386309.27
1663027200,15.534,16.2,13.691,13.889,2328706
1663113600,13.889,14.45,13.38,13.974,967843.63
1663200000,13.971,15.547,13.227,14.899,2359431.56
1663286400,14.912,16.77,14.594,16.596,1825554.58
1663372800,16.597,16.96,16.044,16.412,990845.3
1663459200,16.413,16.415,14.571,14.707,1086979.87
1663545600,14.707,16.169,14.606,15.618,1800693.52
1663632000,15.616,15.893,13.8,13.903,2474066.75
1663718400,13.9,15.1,12.936,13.395,2852722.47
1663804800,13.393,15,13.25,14.626,1727297.32
1663891200,14.631,15.265,13.439,14.215,1602072.52
1663977600,14.213,14.293,13.556,13.638,639769.61
1664064000,13.631,14.831,13.595,13.976,886146.34
1664150400,13.977,14.892,13.73,13.903,1829706.05
1664236800,13.903,14.73,13.159,13.486,1633938.25
1664323200,13.485,13.582,12.626,12.988,1963866.1
1664409600,12.989,13.068,12.399,12.774,1139611.94
1664496000,12.776,13.245,12.606,13.028,989837.43
1664582400,13.027,13.101,12.482,12.681,395753.79
1664668800,12.683,12.9,11.955,11.995,559382.27
1664755200,11.996,12.957,11.824,12.857,986838.47
1664841600,12.861,13.285,12.75,13.021,595547.55
1664928000,13.013,13.14,12.612,13.009,698379.43
1665014400,13.013,13.458,12.873,13.021,743840.54
1665100800,13.016,13.09,12.647,13.059,727191.08
1665187200,13.057,13.357,12.948,13.15,422676.93
1665273600,13.149,13.274,13.03,13.193,225690.48
1665360000,13.195,13.27,12.302,12.445,451420.42
1665446400,12.428,12.537,12.092,12.174,652573.16
1665532800,12.171,12.216,11.68,11.739,543200.35
1665619200,11.739,11.814,10.554,11.342,1292729.64
1665705600,11.337,12.272,11.297,11.643,844293.78
1665792000,11.65,11.769,11.44,11.517,263101.26
1665878400,11.52,11.85,11.507,11.693,294984.97
1665964800,11.696,12.5,11.636,12.435,681013.52
1666051200,12.435,12.773,12.106,12.524,813129.28
1666137600,12.53,12.642,11.693,11.749,972587.88
1666224000,11.749,12,11.22,11.374,711173.27
1666310400,11.379,11.785,10.914,11.738,574411.28
1666396800,11.733,11.895,11.466,11.718,289069.89
1666483200,11.718,12.138,11.445,12.122,369626.39
1666569600,12.123,12.174,11.579,11.649,812866.11
1666656000,11.649,12.369,11.544,12.011,742368.29
1666742400,12.015,12.561,11.918,12.28,1116226.37
1666828800,12.282,13.238,12.269,12.66,1052741.88
1666915200,12.666,13.823,12.597,13.544,1306750.76
1667001600,13.543,13.85,13.345,13.471,696097.46
1667088000,13.477,14.135,13.304,13.926,870616.76
1667174400,13.928,14.518,13.792,14.319,1395496.13
1667260800,14.322,14.465,13.852,14.082,707319
1667347200,14.085,14.239,13.028,13.3,1098728.64
1667433600,13.295,13.905,13.249,13.506,937782.55
1667520000,13.506,15.187,13.41,15.045,1751946.72
1667606400,15.054,15.817,14.957,15.383,836318.11
1667692800,15.37,15.408,14.421,14.449,609461.32
1667779200,14.444,14.802,13.867,14.274,936749.56
1667865600,14.278,14.446,11.256,12.144,2255989.36
1667952000,12.145,12.317,9.365,9.77,2981112.08
1668038400,9.776,12.5,9.557,12.132,1997659.53
1668124800,12.124,12.373,11.142,11.642,1393771.71
1668211200,11.643,11.674,10.821,10.93,506742.99
1668297600,10.932,11.081,10.027,10.171,677579.1
1668384000,10.173,10.693,9.601,10.318,935096.85
1668470400,10.314,10.875,10.165,10.539,944927.76
1668556800,10.544,10.626,9.95,10.141,864197.65
1668643200,10.136,10.184,9.844,9.906,987774.72
1668729600,9.909,10.235,9.773,9.958,872470.44
1668816000,9.954,10.049,9.72,9.989,359505.43
1668902400,9.983,10.033,9.295,9.336,475101.99
1668988800,9.338,9.345,8.76,9.003,940731.45
1669075200,9.005,9.553,8.717,9.536,911196.06
1669161600,9.537,9.967,9.518,9.924,900854.23
1669248000,9.92,10.217,9.767,10.146,632310.57
1669334400,10.146,10.173,9.752,10.02,549796.15
1669420800,10.023,10.443,9.987,10.1,430965.98
1669507200,10.102,10.329,9.892,9.92,350185.6
1669593600,9.92,9.963,9.426,9.855,596636.62
1669680000,9.851,10.31,9.833,10.175,963037.18
1669766400,10.179,10.634,10.177,10.495,1029269.81
1669852800,10.495,10.578,10.131,10.275,562062.93
1669939200,10.273,10.382,10.122,10.369,359582.55
1670025600,10.366,10.417,9.975,10.024,333469.49
1670112000,10.023,10.289,10.021,10.258,366500.91
1670198400,10.259,10.576,10.144,10.265,584556.3
1670284800,10.265,10.379,9.991,10.162,349340.71
1670371200,10.163,10.185,9.494,9.617,889295.29
1670457600,9.618,9.862,9.47,9.832,401528.56
1670544000,9.835,9.9,9.63,9.76,418664.55
1670630400,9.758,10.384,9.638,9.942,572477.71
1670716800,9.945,9.984,9.516,9.532,325955.19
1670803200,9.529,9.675,9.419,9.626,546712.97
1670889600,9.624,9.889,9.135,9.749,905263.19
1670976000,9.75,10.04,9.521,9.594,669057.81
1671062400,9.601,9.671,9.371,9.428,526213.72
1671148800,9.43,9.524,8.441,8.59,992710.95
1671235200,8.59,8.818,8.476,8.807,472594.85
1671321600,8.809,8.95,8.755,8.868,294900.62
1671408000,8.871,8.945,8.565,8.642,621393.97
1671494400,8.642,9.049,8.544,8.952,587004.81
