ts,open,high,low,close,volume
1578960000,4.55,4.937,4.457,4.558,377722.5
1579046400,4.524,4.917,4.4,4.578,315557.1
1579132800,4.58,7.6,4.172,5.1,2358342.9
1579219200,5.166,5.35,4.72,5.002,1470246.3
1579305600,4.978,4.998,4.57,4.628,392225
1579392000,4.628,4.756,4.35,4.522,227809.8
1579478400,4.514,4.676,4.401,4.501,201675.7
1579564800,4.5,4.752,4.455,4.645,239671.3
1579651200,4.631,4.683,4.552,4.65,139460.3
1579737600,4.65,4.692,4.357,4.462,275795.2
1579824000,4.462,4.532,4.35,4.482,226550.1
1579910400,4.482,4.486,4.344,4.38,146822.2
1579996800,4.376,4.511,4.356,4.484,198097.7
1580083200,4.484,4.657,4.369,4.517,279186.9
1580169600,4.519,4.622,4.431,4.592,125284.4
1580256000,4.586,4.6,4.31,4.39,293623.7
1580342400,4.4,4.49,4.293,4.414,225899.1
1580428800,4.414,4.614,4.302,4.399,228410.3
1580515200,4.405,4.45,4.304,4.378,376306.1
1580601600,4.38,4.478,4.252,4.407,236731.6
1580688000,4.4,4.49,4.25,4.27,182624.1
1580774400,4.27,4.281,4.003,4.205,529113.7
1580860800,4.208,4.35,4.144,4.336,384857.7
1580947200,4.338,4.59,4.248,4.588,397041.8
1581033600,4.589,4.92,4.511,4.812,548418
1581120000,4.803,4.835,4.5,4.638,266651.5
1581206400,4.66,4.791,4.611,4.768,210724.9
1581292800,4.769,4.791,4.55,4.754,133201.8
1581379200,4.77,5.236,4.684,5.149,415436.8
1581465600,5.127,5.32,5.053,5.123,403985.7
1581552000,5.123,5.234,4.832,4.93,307461.9
1581638400,4.93,5.155,4.841,5.118,192877.2
1581724800,5.118,5.145,4.41,4.61,301366.8
1581811200,4.617,4.754,4.002,4.406,289512.3
1581897600,4.406,4.425,3.904,4.278,205350.5
1581984000,4.278,4.534,3.993,4.442,333879.1
1582070400,4.429,4.717,4.1,4.141,331755
1582156800,4.179,4.56,4.107,4.471,301886.8
1582243200,4.469,5.135,4.41,4.996,775867.7
1582329600,4.999,5.169,4.656,5.038,724896.6
1582416000,5.036,5.09,4.732,4.829,400850.6
1582502400,4.83,4.956,4.15,4.416,617806.6
1582588800,4.406,4.427,3.985,4.063,319706.4
1582675200,4.035,4.077,3.453,3.643,488832.3
1582761600,3.643,3.889,3.334,3.683,495869.2
1582848000,3.687,3.75,3.411,3.547,200859.2
