ts,open,high,low,close,volume
1695146400,7.517,7.548,7.505,7.538,21712.51
1695150000,7.536,7.571,7.528,7.557,8716.89
1695153600,7.554,7.557,7.519,7.536,5365.76
1695157200,7.532,7.54,7.485,7.524,9240.8
1695160800,7.527,7.544,7.51,7.537,7174.48
1695164400,7.534,7.55,7.499,7.504,6905.09
1695168000,7.505,7.516,7.45,7.464,14248.48
1695171600,7.461,7.513,7.461,7.513,11215.37
1695175200,7.515,7.515,7.452,7.458,5622.93
1695178800,7.457,7.463,7.397,7.415,3388.36
1695182400,7.412,7.426,7.392,7.401,3648.84
1695186000,7.4,7.417,7.383,7.387,2994.95
1695189600,7.388,7.401,7.368,7.374,7810.27
1695193200,7.376,7.41,7.364,7.39,4531.32
1695196800,7.383,7.391,7.37,7.385,2621.91
1695200400,7.386,7.387,7.305,7.349,4956.08
1695204000,7.346,7.379,7.325,7.375,5652.99
1695207600,7.375,7.386,7.342,7.347,3146.66
1695211200,7.345,7.348,7.258,7.287,9195.07
1695214800,7.284,7.305,7.247,7.283,6310.6
1695218400,7.283,7.294,7.249,7.256,4477.4
1695222000,7.255,7.281,7.245,7.274,4210.84
1695225600,7.274,7.286,7.261,7.268,7958.38
1695229200,7.265,7.281,7.232,7.236,6561.64
1695232800,7.236,7.333,7.214,7.318,18024.54
1695236400,7.314,7.321,7.183,7.241,16333.83
1695240000,7.241,7.29,7.235,7.29,7146.75
1695243600,7.29,7.333,7.276,7.302,7110.57
1695247200,7.306,7.311,7.266,7.273,3230.34
1695250800,7.277,7.304,7.25,7.293,8768.51
1695254400,7.293,7.449,7.289,7.447,18922.12
1695258000,7.448,7.449,7.374,7.419,18431.05
1695261600,7.419,7.442,7.387,7.392,4422.3
1695265200,7.392,7.403,7.359,7.387,6093.46
1695268800,7.39,7.395,7.366,7.379,3409.45
1695272400,7.379,7.382,7.339,7.363,3212.46
1695276000,7.365,7.42,7.305,7.414,12779.87
1695279600,7.414,7.465,7.398,7.448,7656.58
1695283200,7.449,7.474,7.445,7.448,5914.02
1695286800,7.447,7.509,7.439,7.453,11690.26
1695290400,7.452,7.483,7.441,7.449,9113.73
1695294000,7.45,7.492,7.445,7.462,8662.42
1695297600,7.458,7.485,7.443,7.466,6560.02
1695301200,7.466,7.468,7.37,7.386,18675.03
1695304800,7.377,7.426,7.376,7.415,9511.1
1695308400,7.412,7.415,7.366,7.366,7630.56
1695312000,7.365,7.374,7.323,7.345,15446.02
1695315600,7.342,7.352,7.312,7.313,6692.86
1695319200,7.314,7.315,7.26,7.261,15448.03
1695322800,7.262,7.262,7.23,7.248,6323.14
1695326400,7.247,7.247,7.2,7.228,5723.37
1695330000,7.229,7.246,7.177,7.244,5329.32
1695333600,7.242,7.245,7.193,7.209,22693.79
1695337200,7.214,7.219,7.15,7.15,7077.03
1695340800,7.15,7.188,7.086,7.186,16271.04
1695344400,7.185,7.185,7.144,7.165,4592.02
1695348000,7.169,7.169,7.103,7.104,4017.21
1695351600,7.108,7.148,7.103,7.143,6255.1
1695355200,7.143,7.2,7.133,7.165,4869.34
1695358800,7.161,7.161,7.102,7.139,11615.06
1695362400,7.138,7.148,7.09,7.095,4262.39
1695366000,7.096,7.147,7.074,7.137,8492.19
1695369600,7.138,7.17,7.132,7.16,2508.13
1695373200,7.161,7.163,7.15,7.154,1769.33
1695376800,7.151,7.16,7.127,7.14,2640.77
1695380400,7.137,7.181,7.137,7.181,2762.17
1695384000,7.18,7.211,7.17,7.204,8103.71
1695387600,7.204,7.231,7.196,7.208,9241.75
1695391200,7.212,7.238,7.18,7.215,15764.79
1695394800,7.215,7.227,7.175,7.18,6062.3
1695398400,7.18,7.193,7.125,7.134,6642.34
1695402000,7.137,7.161,7.129,7.143,4268.63
1695405600,7.143,7.148,7.109,7.138,11777.06
1695409200,7.143,7.164,7.103,7.104,9494.33
1695412800,7.107,7.115,7.063,7.064,20714.81
1695416400,7.064,7.087,7.024,7.087,51617.23
1695420000,7.087,7.126,7.086,7.121,5118.51
1695423600,7.121,7.145,7.115,7.133,4105.72
1695427200,7.129,7.148,7.103,7.14,6389.96
1695430800,7.139,7.199,7.106,7.183,4129.47
1695434400,7.189,7.193,7.119,7.129,3174.29
1695438000,7.126,7.134,7.092,7.098,2671.19
1695441600,7.097,7.151,7.075,7.082,11537.9
