ts,open,high,low,close,volume
1784124000,1.583,1.584,1.573,1.575,5717.07
1784127600,1.576,1.576,1.569,1.575,20041.37
1784131200,1.576,1.576,1.559,1.565,11327.09
1784134800,1.566,1.571,1.559,1.564,37251.41
1784138400,1.564,1.565,1.557,1.558,12654.7
1784142000,1.559,1.561,1.553,1.554,11810.83
1784145600,1.554,1.562,1.553,1.557,4506.19
1784149200,1.558,1.56,1.556,1.557,1992.99
1784152800,1.558,1.566,1.554,1.56,5878.51
1784156400,1.56,1.56,1.55,1.551,31863.11
1784160000,1.554,1.558,1.545,1.546,8101.94
1784163600,1.545,1.548,1.539,1.547,6546.17
1784167200,1.547,1.552,1.544,1.551,1971.18
1784170800,1.552,1.562,1.546,1.55,22844.53
1784174400,1.549,1.553,1.546,1.553,4814.06
1784178000,1.555,1.559,1.553,1.559,17914.65
1784181600,1.56,1.562,1.553,1.556,4995.15
1784185200,1.555,1.567,1.54,1.543,87236.96
1784188800,1.542,1.542,1.527,1.534,22509.47
1784192400,1.534,1.536,1.529,1.529,7103.4
1784196000,1.53,1.541,1.528,1.535,11598.33
1784199600,1.535,1.535,1.529,1.534,7743.59
1784203200,1.534,1.535,1.525,1.526,14313.7
1784206800,1.527,1.535,1.525,1.532,4950.67
1784210400,1.532,1.545,1.527,1.528,20005.3
1784214000,1.528,1.535,1.522,1.527,29303.87
1784217600,1.527,1.539,1.524,1.528,18789.71
1784221200,1.528,1.528,1.511,1.518,13663.81
1784224800,1.521,1.531,1.521,1.53,8200.71
1784228400,1.531,1.533,1.529,1.532,7746.84
1784232000,1.532,1.532,1.526,1.531,4261.46
1784235600,1.53,1.532,1.525,1.528,12014.21
1784239200,1.527,1.528,1.512,1.512,9072.14
1784242800,1.511,1.513,1.504,1.511,32242.54
1784246400,1.512,1.514,1.503,1.514,16799.95
1784250000,1.513,1.519,1.504,1.505,4489.98
1784253600,1.507,1.51,1.5,1.504,5215.08
1784257200,1.504,1.511,1.504,1.509,4518.89
1784260800,1.507,1.513,1.499,1.508,37233.25
1784264400,1.506,1.509,1.493,1.496,14284.03
1784268000,1.495,1.506,1.494,1.505,8687.65
1784271600,1.505,1.508,1.499,1.499,1054.51
1784275200,1.501,1.505,1.498,1.501,7161.67
1784278800,1.501,1.503,1.497,1.501,6266.46
1784282400,1.501,1.509,1.501,1.505,3624.86
1784286000,1.504,1.504,1.498,1.498,5121.11
1784289600,1.497,1.498,1.49,1.495,56220.08
1784293200,1.495,1.511,1.489,1.511,84692.42
1784296800,1.511,1.516,1.505,1.506,3551.62
1784300400,1.506,1.513,1.5,1.512,30059.78
1784304000,1.512,1.523,1.508,1.519,16154.95
1784307600,1.519,1.528,1.517,1.518,21042.05
1784311200,1.518,1.523,1.513,1.521,5554.55
1784314800,1.521,1.522,1.51,1.514,7760.34
1784318400,1.514,1.517,1.511,1.514,7837.9
1784322000,1.515,1.517,1.509,1.509,3803.07
1784325600,1.509,1.512,1.503,1.507,14910.82
1784329200,1.507,1.51,1.504,1.509,1124.42
1784332800,1.507,1.513,1.507,1.509,3992.59
1784336400,1.509,1.509,1.505,1.507,2355.44
1784340000,1.506,1.509,1.504,1.504,6453.59
1784343600,1.504,1.506,1.501,1.502,3307.22
1784347200,1.502,1.502,1.496,1.496,6626.36
1784350800,1.496,1.499,1.493,1.495,5532.13
1784354400,1.495,1.5,1.495,1.496,1990.44
1784358000,1.495,1.497,1.493,1.494,3524.08
1784361600,1.494,1.503,1.493,1.493,10413.37
1784365200,1.492,1.493,1.486,1.488,11655.3
1784368800,1.49,1.494,1.487,1.49,5447.45
1784372400,1.49,1.495,1.489,1.491,5270.33
1784376000,1.491,1.508,1.484,1.492,33307.22
1784379600,1.492,1.492,1.487,1.488,15800.59
1784383200,1.487,1.494,1.484,1.489,9028.25
1784386800,1.488,1.493,1.488,1.493,5296.9
1784390400,1.494,1.5,1.49,1.494,6382.22
1784394000,1.494,1.504,1.492,1.504,13466.34
1784397600,1.504,1.506,1.493,1.499,9796.09
1784401200,1.5,1.5,1.494,1.499,5944.96
1784404800,1.5,1.503,1.494,1.5,6567.63
1784408400,1.499,1.501,1.492,1.499,4474.46
1784412000,1.5,1.504,1.495,1.502,2661.82
1784415600,1.501,1.502,1.496,1.497,3347.06
1784419200,1.498,1.503,1.496,1.502,7549.33
1784422800,1.501,1.502,1.497,1.499,4077.47
1784426400,1.501,1.504,1.497,1.497,2066.98
1784430000,1.496,1.499,1.492,1.493,3423.45
1784433600,1.494,1.496,1.491,1.495,3371.82
1784437200,1.494,1.496,1.492,1.494,2679.56
1784440800,1.493,1.495,1.493,1.493,2062.36
1784444400,1.491,1.501,1.488,1.491,9370.62
1784448000,1.491,1.499,1.491,1.496,8780.24
1784451600,1.495,1.496,1.487,1.487,2947.6
1784455200,1.487,1.494,1.485,1.489,4550.59
1784458800,1.489,1.49,1.478,1.482,24571.04
1784462400,1.482,1.488,1.482,1.488,6166.55
1784466000,1.488,1.504,1.485,1.487,43050.78
1784469600,1.487,1.49,1.485,1.486,9549.12
1784473200,1.486,1.489,1.485,1.485,3054.33
1784476800,1.485,1.488,1.482,1.483,11471.89
1784480400,1.483,1.488,1.472,1.486,9847.44
1784484000,1.484,1.485,1.478,1.482,4258.6
1784487600,1.482,1.482,1.475,1.48,3519.89
1784491200,1.48,1.481,1.477,1.478,7572.12
1784494800,1.478,1.478,1.474,1.474,3444.97
1784498400,1.476,1.481,1.475,1.475,6616.2
1784502000,1.475,1.477,1.471,1.475,6552.2
1784505600,1.474,1.484,1.466,1.466,17459.65
1784509200,1.466,1.474,1.456,1.459,23423.03
1784512800,1.458,1.465,1.458,1.461,19162.78
1784516400,1.462,1.505,1.46,1.474,113043.96
1784520000,1.474,1.475,1.463,1.472,11707.1
1784523600,1.471,1.471,1.451,1.453,28462.31
1784527200,1.453,1.459,1.445,1.454,15025.82
1784530800,1.454,1.464,1.454,1.463,1880.06
1784534400,1.462,1.462,1.452,1.456,2178.54
1784538000,1.458,1.468,1.456,1.467,13253.66
1784541600,1.468,1.472,1.467,1.472,6279.11
1784545200,1.472,1.484,1.469,1.484,11300.28
1784548800,1.483,1.491,1.48,1.48,8513.27
1784552400,1.48,1.483,1.472,1.473,4059.51
1784556000,1.472,1.484,1.465,1.483,9651.09
1784559600,1.481,1.49,1.477,1.49,7724.73
1784563200,1.49,1.499,1.482,1.487,19767.47
1784566800,1.488,1.49,1.484,1.487,16641.42
1784570400,1.489,1.497,1.488,1.493,10865.29
1784574000,1.494,1.494,1.489,1.492,4020.17
1784577600,1.491,1.507,1.49,1.505,29013.49
1784581200,1.505,1.507,1.493,1.497,11889.56
1784584800,1.497,1.497,1.491,1.493,5506.69
1784588400,1.493,1.499,1.493,1.493,7705.1
1784592000,1.493,1.497,1.492,1.496,6352.47
1784595600,1.495,1.496,1.487,1.49,5210.23
1784599200,1.49,1.495,1.484,1.493,23052.44
1784602800,1.494,1.503,1.494,1.503,5330.95
1784606400,1.503,1.504,1.496,1.497,7738.99
1784610000,1.498,1.508,1.498,1.503,16376.44
1784613600,1.506,1.509,1.504,1.504,4438.33
1784617200,1.504,1.508,1.503,1.506,4969.19
1784620800,1.506,1.509,1.5,1.5,5613.35
1784624400,1.5,1.505,1.494,1.505,16055.95
1784628000,1.506,1.508,1.496,1.496,13549.85
1784631600,1.498,1.503,1.494,1.501,3728.78
1784635200,1.5,1.504,1.498,1.498,4977.39
1784638800,1.497,1.503,1.497,1.501,7594.71
1784642400,1.5,1.502,1.493,1.494,18557.7
1784646000,1.494,1.497,1.492,1.494,7196.54
1784649600,1.496,1.497,1.49,1.493,4940.46
1784653200,1.492,1.494,1.484,1.49,9012.78
1784656800,1.49,1.495,1.486,1.49,8804.62
1784660400,1.489,1.489,1.485,1.485,7223.59
1784664000,1.488,1.488,1.484,1.485,11163.43
1784667600,1.485,1.488,1.483,1.484,9292.78
1784671200,1.484,1.486,1.482,1.483,19090.07
