ts,open,high,low,close,volume
1660521600,28.2,29.3,27.09,27.9,834225.631
1660608000,27.88,28.42,26.95,27.12,721744.653
1660694400,27.1,28.22,25.27,25.56,724364.746
1660780800,25.57,26.3,23.93,24.19,771846.763
1660867200,24.2,24.43,21.33,22.44,2211669.355
1660953600,22.45,23.08,21.62,22.3,1115746.683
1661040000,22.31,23.56,22.13,22.97,763705.299
1661126400,22.98,23,21.63,22.56,584027.076
1661212800,22.56,23.73,21.83,23.51,708188.342
1661299200,23.52,23.65,22.81,23.01,502422.706
1661385600,23,23.65,22.69,22.98,476044.382
1661472000,22.99,23.24,20.34,20.68,1051879.426
1661558400,20.67,20.9,19.78,20.05,801907.03
1661644800,20.05,20.47,18.07,18.53,1111571.313
1661731200,18.52,19.47,17.48,19.33,1615731.753
1661817600,19.33,20.64,18.86,19.4,1469182.442
1661904000,19.4,20.05,18.99,19.13,1083250.951
1661990400,19.14,19.47,18.32,19.33,1017029.195
1662076800,19.34,19.67,18.68,18.87,672505.105
1662163200,18.87,19.01,18.57,18.89,268615.465
1662249600,18.89,19.15,18.73,19.03,333085.395
1662336000,19.03,19.5,18.37,19.44,392438.521
1662422400,19.44,20.49,18.14,18.21,1123897.811
1662508800,18.21,19.31,17.85,19.01,660994.558
1662595200,18.99,19.17,18.4,19.14,613404.261
1662681600,19.16,20.8,19.11,20.4,856963.157
1662768000,20.4,21.18,20.05,20.45,613629.92
1662854400,20.46,20.96,19.96,20.69,488566.772
1662940800,20.69,21.96,20.07,21.37,1484828.079
1663027200,21.39,21.8,18.76,18.87,1444884.629
1663113600,18.86,19.31,18.42,19.12,780594.351
1663200000,19.09,19.37,18.07,18.2,865253.187
1663286400,18.19,18.3,17.55,18.06,923106.544
1663372800,18.07,18.61,18.05,18.48,309298.703
1663459200,18.48,18.76,16.24,16.72,870766.613
1663545600,16.71,17.38,16.37,17.28,688714.947
1663632000,17.28,17.4,16.59,16.65,645326.681
1663718400,16.65,17.94,16.2,16.54,1092882.769
1663804800,16.54,17.9,16.41,17.7,754991.088
1663891200,17.7,18.27,17.16,17.97,907090.466
1663977600,17.97,18.2,17.55,17.61,421317.999
1664064000,17.59,17.87,17.14,17.32,350505.524
