ts,open,high,low,close,volume
1695146400,9.19,9.23,9.19,9.2,7098.983
1695150000,9.2,9.21,9.17,9.19,7959.369
1695153600,9.17,9.18,9.14,9.17,11837.132
1695157200,9.16,9.22,9.14,9.21,6801.341
1695160800,9.22,9.23,9.18,9.21,2285.738
1695164400,9.22,9.24,9.2,9.2,2954.553
1695168000,9.21,9.24,9.12,9.16,34350.702
1695171600,9.17,9.21,9.14,9.21,2374.988
1695175200,9.2,9.21,9.09,9.1,7047.604
1695178800,9.1,9.13,9.06,9.09,12279.826
1695182400,9.08,9.12,9.07,9.09,3042.938
1695186000,9.09,9.12,9.08,9.09,3309.052
1695189600,9.09,9.1,9.05,9.08,7124.017
1695193200,9.08,9.11,9.07,9.11,1528.474
1695196800,9.08,9.13,9.08,9.13,2766.163
1695200400,9.13,9.14,9.03,9.07,7806.172
1695204000,9.07,9.1,9.02,9.09,5556.573
1695207600,9.09,9.12,9.08,9.1,3148.976
1695211200,9.1,9.11,9.02,9.02,16106.171
1695214800,9.03,9.06,8.97,9.05,20094.4
1695218400,9.04,9.09,9.02,9.05,5949.757
1695222000,9.04,9.1,9.04,9.1,6294.012
1695225600,9.1,9.12,9.08,9.09,5215.059
1695229200,9.1,9.11,9.05,9.07,11586.538
1695232800,9.06,9.11,9.03,9.06,17227.81
1695236400,9.05,9.06,8.86,8.97,32590.056
1695240000,8.96,9.03,8.96,9.02,12111.883
1695243600,9.03,9.1,9.02,9.05,7311.79
1695247200,9.05,9.06,9.03,9.04,6243.558
1695250800,9.03,9.06,9.01,9.05,17877.435
1695254400,9.03,9.11,9.03,9.05,18416.393
1695258000,9.06,9.07,8.99,9.06,6981.529
1695261600,9.06,9.1,9.01,9.03,4048.685
1695265200,9.03,9.08,9.02,9.07,3193.099
1695268800,9.08,9.09,9.04,9.07,2074.128
1695272400,9.07,9.07,9.03,9.04,5034.359
1695276000,9.03,9.03,8.94,9.01,13104.205
1695279600,9.01,9.02,8.96,8.96,1676.866
1695283200,8.96,8.98,8.91,8.91,9374.31
1695286800,8.91,8.95,8.88,8.92,10967.327
1695290400,8.92,8.92,8.77,8.8,37749.363
1695294000,8.79,8.86,8.78,8.86,12348.387
1695297600,8.85,8.89,8.82,8.89,15462.313
1695301200,8.88,8.89,8.81,8.85,10858.353
1695304800,8.84,8.89,8.84,8.87,6426.333
1695308400,8.87,8.9,8.86,8.88,3784.692
1695312000,8.88,8.88,8.84,8.86,6757.463
1695315600,8.86,8.91,8.86,8.88,3312.602
1695319200,8.88,8.91,8.87,8.91,5126.198
1695322800,8.91,8.91,8.86,8.86,6706.72
1695326400,8.85,8.86,8.8,8.84,10997.146
1695330000,8.85,8.88,8.81,8.88,3540.086
1695333600,8.87,8.87,8.83,8.85,7028.384
1695337200,8.86,8.87,8.81,8.83,6647.556
1695340800,8.82,8.89,8.72,8.89,13913.826
1695344400,8.89,8.91,8.84,8.89,3340.302
