ts,open,high,low,close,volume
1757138400,24.23,24.28,24.1,24.15,44462.69425601
1757160000,24.14,24.61,24.12,24.36,80539.21723316
1757181600,24.37,24.52,24.29,24.36,58918.04934825
1757203200,24.38,24.7,24.33,24.7,54785.94045172
1757224800,24.7,24.73,24.38,24.49,51627.27487006
1757246400,24.5,24.69,24.26,24.3,71090.82873861
1757268000,24.29,24.94,24.26,24.7,48534.81498535
1757289600,24.71,25.01,24.53,24.72,86716.75958155
1757311200,24.73,25.41,24.62,25.17,155892.65836996
1757332800,25.18,25.79,25.04,25.52,204851.38494915
1757354400,25.53,25.62,25.19,25.29,166625.06822435
1757376000,25.28,25.42,24.91,25.34,100792.99443166
1757397600,25.34,26.24,25.34,25.98,213737.98937688
1757419200,25.99,26.36,25.61,26.05,380290.2984414
1757440800,26.05,26.09,25.79,25.94,147988.05817062
1757462400,25.94,26.55,25.75,26.36,210692.47159558
1757484000,26.36,27.11,26.31,26.9,234298.9905699
1757505600,26.91,29.17,26.89,28.66,936828.64214759
1757527200,28.65,29.52,28.43,29.48,367886.99349985
1757548800,29.48,30,28.54,28.64,415365.24096208
1757570400,28.64,29.17,28.56,28.98,144078.39167623
1757592000,28.99,29.21,28.43,29.09,329887.30475447
1757613600,29.07,29.25,28.72,29.16,144098.36121672
1757635200,29.17,29.42,28.48,29,331494.45636966
1757656800,28.99,29.08,28.34,28.36,155651.2987495
1757678400,28.36,28.88,28.24,28.61,198968.84248969
1757700000,28.61,29.02,28.54,29.01,263149.62912768
1757721600,29.01,31.27,28.77,31.21,622408.33382203
1757743200,31.21,31.24,30.01,30.51,468300.35071152
1757764800,30.5,30.53,29.29,29.61,297551.42611805
1757786400,29.62,30.13,29.56,30.11,138685.06709384
1757808000,30.1,30.63,29.63,30.59,175426.00342455
1757829600,30.6,30.65,29.66,29.7,131339.08414751
1757851200,29.7,29.89,28.98,29.63,237378.77657336
1757872800,29.62,30.43,29.35,29.47,248147.92865778
1757894400,29.45,30.3,29.24,30.11,194479.77869459
1757916000,30.12,30.2,28.26,28.86,294335.07726794
1757937600,28.85,29.03,28.3,28.81,141920.85308198
1757959200,28.8,30.43,28.71,29.81,758757.1876298
1757980800,29.82,29.89,29.16,29.68,260772.30030512
1758002400,29.68,30.98,29.48,30.44,380081.57491078
1758024000,30.45,30.57,29.68,30.24,287593.79489722
1758045600,30.25,30.38,29.91,30.08,148742.72556859
1758067200,30.08,30.22,29.54,29.74,178526.10751661
1758088800,29.74,30.26,29.72,29.94,122123.28971189
1758110400,29.94,30.32,29.39,29.74,222619.27868303
1758132000,29.71,32,29.62,31.82,755497.60542077
1758153600,31.83,33.3,31.65,32.74,604397.93100907
1758175200,32.75,33.15,32.4,32.75,254952.06729991
1758196800,32.75,34.41,32.72,34.33,654837.05480518
1758218400,34.33,35.45,34.27,35.2,856893.43722355
1758240000,35.2,35.82,34.18,34.4,568115.32223831
1758261600,34.39,34.63,33.8,33.98,267155.77818107
1758283200,33.97,34.4,33.53,33.89,426212.38631153
1758304800,33.89,34.08,33.37,33.76,237124.13108239
1758326400,33.75,34.15,33.5,33.88,244985.30285401
