ts,open,high,low,close,volume
1746576000,0.13678,0.13927,0.13498,0.13874,1166325.27
1746662400,0.13896,0.15461,0.13874,0.1546,1601205.18
1746748800,0.15464,0.16241,0.15419,0.16146,1507221.14
1746835200,0.16155,0.16924,0.16,0.16887,1295237.98
1746921600,0.16932,0.16998,0.16041,0.16499,1099832.25
1747008000,0.16428,0.17289,0.157,0.16502,2553659.06
1747094400,0.16474,0.17054,0.1557,0.16838,897808.7
1747180800,0.16837,0.17049,0.15855,0.15998,960903.37
1747267200,0.16006,0.16218,0.1503,0.15374,1206660.66
1747353600,0.15373,0.15697,0.14957,0.15059,1003061.09
1747440000,0.15081,0.15091,0.14321,0.14409,838292.75
1747526400,0.14398,0.15434,0.143,0.1522,796299.34
1747612800,0.15243,0.15284,0.14206,0.1483,1153633.87
1747699200,0.14855,0.15126,0.14473,0.14971,614845.33
1747785600,0.15008,0.15224,0.14493,0.14972,2215769.63
1747872000,0.14987,0.1595,0.14963,0.15881,1236049.48
1747958400,0.15878,0.16059,0.145,0.14587,1090396.34
1748044800,0.14564,0.14918,0.14418,0.1444,421414.19
1748131200,0.14501,0.14546,0.13867,0.14443,556139.22
1748217600,0.14383,0.14608,0.13882,0.14083,583886.01
1748304000,0.14063,0.14688,0.13762,0.1445,513205.27
1748390400,0.1446,0.14618,0.1383,0.14218,902724.75
1748476800,0.14197,0.14447,0.13732,0.13821,809183.81
1748563200,0.13824,0.13958,0.12691,0.12762,1496133.8
1748649600,0.12756,0.13514,0.1245,0.12938,1145788.98
1748736000,0.12927,0.13125,0.12552,0.12899,760396.39
1748822400,0.12958,0.13527,0.12788,0.1345,767454.73
1748908800,0.13526,0.13739,0.13353,0.13439,353759.05
1748995200,0.13437,0.13656,0.131,0.13194,1019099.05
1749081600,0.13204,0.13504,0.12351,0.1254,1244153.79
1749168000,0.12495,0.13193,0.12445,0.12839,295630.74
1749254400,0.12821,0.13391,0.12807,0.13295,389797.76
1749340800,0.13299,0.13528,0.13194,0.13292,313386.41
1749427200,0.13281,0.13856,0.13012,0.13827,841816.88
1749513600,0.13812,0.14342,0.13633,0.14339,820477.16
1749600000,0.14328,0.14336,0.13589,0.1371,911307.46
1749686400,0.13689,0.1371,0.12909,0.12997,349752.24
1749772800,0.12938,0.12938,0.1225,0.12804,804398.16
1749859200,0.12794,0.12794,0.12343,0.12648,548253.94
1749945600,0.12625,0.12726,0.12369,0.12607,315150.97
1750032000,0.12579,0.131,0.12455,0.12652,324199.88
1750118400,0.12639,0.12852,0.12187,0.1235,515261.67
1750204800,0.1237,0.12464,0.1197,0.12346,691086.98
1750291200,0.12292,0.12435,0.121,0.12295,224238.69
1750377600,0.12311,0.12647,0.11858,0.12102,669442.33
1750464000,0.12085,0.12245,0.114,0.11602,853116.15
1750550400,0.11604,0.11697,0.10839,0.11223,897152.17
1750636800,0.11224,0.12294,0.11224,0.12277,902713.63
1750723200,0.12264,0.1256,0.12143,0.12516,791641.36
1750809600,0.12487,0.12578,0.12174,0.12277,1089894.46
1750896000,0.12289,0.12545,0.11924,0.12027,823540.83
1750982400,0.12004,0.12327,0.1187,0.12247,489316.45
1751068800,0.12262,0.12804,0.1224,0.12762,439500.49
1751155200,0.12789,0.13201,0.12601,0.13111,642194
1751241600,0.13121,0.13157,0.1264,0.12842,419116.03
1751328000,0.12875,0.12937,0.12044,0.1213,446262.19
1751414400,0.12156,0.13181,0.11994,0.12996,587764.14
1751500800,0.13033,0.13221,0.12698,0.12974,641497.76
1751587200,0.12944,0.13043,0.12353,0.12431,665590.16
1751673600,0.12424,0.12485,0.12132,0.12411,378776.34
1751760000,0.12421,0.12796,0.12278,0.12664,435821.43
1751846400,0.12661,0.12813,0.12504,0.12655,322182.5
1751932800,0.12607,0.12968,0.12503,0.12919,212066.2
1752019200,0.12894,0.13506,0.12763,0.13465,792806.9
1752105600,0.13478,0.14243,0.13327,0.14181,767953.77
1752192000,0.14183,0.14891,0.13945,0.14422,1675760.83
1752278400,0.14443,0.1581,0.14236,0.14786,1619723.95
1752364800,0.1479,0.15339,0.14657,0.15045,911087.9
1752451200,0.15053,0.15799,0.149,0.1516,1303355.26
1752537600,0.15179,0.15535,0.14603,0.15528,746266.48
1752624000,0.15476,0.15944,0.152,0.15664,805671.47
1752710400,0.15686,0.16012,0.15258,0.15882,909558.82
1752796800,0.15878,0.16616,0.15666,0.16044,1723933.77
1752883200,0.16017,0.16404,0.15552,0.16305,529327
1752969600,0.16363,0.17238,0.16022,0.16787,1674902.23
1753056000,0.16796,0.17332,0.16456,0.16884,845557.63
1753142400,0.16889,0.17133,0.1611,0.1708,1108552
1753228800,0.1703,0.17579,0.15266,0.1572,1274673.52
1753315200,0.15721,0.1597,0.1467,0.15301,1087857.32
1753401600,0.15261,0.15596,0.14867,0.15543,598357.2
1753488000,0.15508,0.16766,0.15498,0.16403,1223606.16
1753574400,0.1637,0.16813,0.16236,0.16761,708041.5
1753660800,0.16728,0.17473,0.1584,0.15851,1778857.07
1753747200,0.15839,0.17613,0.15495,0.17073,3490720.51
1753833600,0.17008,0.17097,0.16013,0.16766,2055634.16
1753920000,0.16736,0.18611,0.1554,0.15578,5363013.44
1754006400,0.15563,0.15626,0.14459,0.148,1068640.85
1754092800,0.14786,0.15138,0.1418,0.14443,573415.2
1754179200,0.14432,0.14858,0.14296,0.14595,1359511.84
1754265600,0.14562,0.15433,0.14562,0.15375,1044360.09
1754352000,0.15371,0.15444,0.14553,0.14825,312211.61
1754438400,0.14815,0.15217,0.14453,0.15069,491650.98
1754524800,0.15051,0.15295,0.147,0.15278,790643.89
1754611200,0.15268,0.156,0.15058,0.15573,849092.07
1754697600,0.156,0.16176,0.15527,0.15937,350309.26
1754784000,0.15979,0.16209,0.15323,0.15649,870223.94
1754870400,0.15678,0.1612,0.14633,0.14758,871641.91
1754956800,0.14756,0.15623,0.1442,0.15533,930809.3
1755043200,0.15522,0.16485,0.15358,0.16409,1889981.12
1755129600,0.16411,0.16624,0.14606,0.14802,2688986.61
1755216000,0.14847,0.15606,0.14288,0.14783,1089853.84
1755302400,0.1476,0.18117,0.14744,0.16859,9277562.41
1755388800,0.16836,0.17535,0.16,0.16039,1822194.07
1755475200,0.1606,0.16087,0.15211,0.15333,962054.31
1755561600,0.15328,0.1554,0.14697,0.14742,839609.88
1755648000,0.14752,0.15444,0.14652,0.15243,1911513.74
1755734400,0.15218,0.15375,0.14681,0.14857,150160.08
1755820800,0.14901,0.1591,0.14256,0.15839,1663484.36
1755907200,0.15824,0.16504,0.15552,0.15813,841889.29
1755993600,0.15868,0.16213,0.15267,0.15529,549290.4
1756080000,0.15548,0.16011,0.14362,0.14409,963594.98
1756166400,0.14416,0.15189,0.14283,0.15032,450564.34
1756252800,0.15049,0.15359,0.14829,0.15045,313497.72
1756339200,0.15053,0.16157,0.14957,0.15959,948123.8
1756425600,0.15965,0.16332,0.14567,0.15041,2718953.04
1756512000,0.15041,0.15417,0.14913,0.15361,211569.97
1756598400,0.15379,0.15808,0.15022,0.15022,1024711.22
1756684800,0.15001,0.15472,0.14634,0.15227,823353.84
1756771200,0.15225,0.15882,0.15096,0.15658,1103716.76
1756857600,0.15649,0.15819,0.15362,0.1567,378218.61
