ts,open,high,low,close,volume
1695146400,219.03,219.65,217.76,218.08,796.14482048
1695150000,218.01,218.98,217.47,218.84,752.17258738
1695153600,218.81,218.88,217.73,218.14,1679.2034972
1695157200,218.15,219.05,217,218.75,731.32440413
1695160800,218.56,218.89,217.41,218.71,879.20425177
1695164400,218.71,219.53,218.43,218.84,714.14387322
1695168000,218.85,219.55,217.44,217.8,679.70619543
1695171600,217.74,221.04,217.71,220.73,1794.70639784
1695175200,220.67,220.91,218.48,218.68,894.33819673
1695178800,218.47,218.94,215.49,216.47,1356.13218387
1695182400,216.44,217.15,215.53,216.24,1706.31301425
1695186000,216.31,216.57,215.63,215.81,879.11607996
1695189600,215.89,216.77,214.7,215.94,749.47616568
1695193200,216,216.47,215.47,216.21,449.94369314
1695196800,216.05,217.06,215.53,216.64,388.85509231
1695200400,216.69,216.76,211.53,213.26,2662.35591834
1695204000,213.2,213.55,212.01,213.38,1509.52485399
1695207600,213.31,213.91,212.96,213.52,652.35967682
1695211200,213.55,213.88,211.65,212.71,1763.97479008
1695214800,212.62,214.95,212.15,214.6,1451.83566758
1695218400,214.79,215.5,213.3,214.33,1782.91121801
1695222000,214.37,216,214.17,215.74,1071.80760187
1695225600,215.65,216.27,215.27,215.44,908.6643073
1695229200,215.45,218.93,215.32,217.46,2949.27102294
1695232800,217.62,218.77,216.56,217.52,1713.71237153
1695236400,217.39,217.69,213.21,214.74,3711.04951243
1695240000,214.8,215.88,214.57,215.73,772.85850578
1695243600,215.67,217.31,215.16,216.5,824.71349163
1695247200,216.51,216.83,215.91,216.02,794.40560561
1695250800,215.93,216.09,214.99,215.45,493.93269695
1695254400,215.51,215.86,214.31,214.8,1867.96992597
1695258000,214.86,214.88,213.1,213.93,1047.25072017
1695261600,213.87,214.81,213.09,213.48,1034.16981026
1695265200,213.42,214.19,213.09,214.19,375.10991657
1695268800,214.19,214.21,213.25,214.15,638.93209274
1695272400,214.11,214.11,211.69,213.81,1454.52121269
1695276000,213.79,214.26,212.46,214.04,691.06493471
1695279600,214.04,214.47,213,213.04,739.76776419
1695283200,212.96,213.39,212.25,212.65,1073.12454857
1695286800,212.44,212.83,208.92,210.18,3499.39617114
1695290400,210.09,210.66,206.52,207.18,2469.10235995
1695294000,207.1,208.98,206.86,208.8,846.86135982
1695297600,208.93,209.41,207.99,209.13,1006.90159238
1695301200,209.1,209.1,206.25,207.25,1469.56967037
1695304800,207.03,208.34,206.86,207.91,764.79639036
1695308400,207.91,207.99,206.71,207.45,629.50575347
1695312000,207.44,207.48,205.81,206.72,825.91089326
1695315600,206.77,207.86,206.61,206.92,956.8726482
1695319200,206.9,207.97,206.67,207.97,559.66483653
1695322800,207.94,208.44,207.52,208.27,303.16829913
1695326400,208.37,208.37,207,208.13,301.56505346
1695330000,208.1,208.1,206.71,207.73,285.29565948
1695333600,207.56,208.32,206.9,208.32,311.41522842
1695337200,208.33,209.02,208.18,208.54,649.52314998
1695340800,208.55,209.08,204.26,208.15,3026.80283359
1695344400,208.05,208.81,206.58,208.32,721.98067622
1695348000,208.39,208.94,207.03,207.13,343.46038428
1695351600,207.16,210.12,207.14,209.33,1553.15138004
1695355200,209.42,210,208.73,208.73,1633.06316405
1695358800,208.73,208.93,208.05,208.83,717.43779999
1695362400,208.98,208.98,207.41,208.1,1227.40444559
1695366000,208.06,209.44,208.01,209.2,706.01850046
1695369600,209.31,210.06,209.04,209.24,431.39488655
1695373200,209.18,209.67,209.05,209.26,257.42293041
1695376800,209.26,209.27,208.32,208.38,354.62195725
1695380400,208.47,209.6,208.46,209.47,315.6426097
1695384000,209.54,209.59,207.97,208.07,1029.73436659
1695387600,208.12,208.55,207.28,207.95,1344.33257414
1695391200,207.86,208.44,207.38,208.19,1505.57789309
1695394800,208.22,208.28,206.87,206.89,813.60755053
1695398400,206.82,207.26,205.88,206.33,1120.9813827
1695402000,206.49,206.69,205.25,206.23,715.99222658
1695405600,206.25,207.51,206.15,207.26,626.47702029
1695409200,207.32,207.86,206.81,206.88,335.95274142
1695412800,206.92,207.36,206.66,206.81,315.90194656
1695416400,206.89,208.17,206.5,208.17,1476.42599236
1695420000,208.13,208.41,207.62,208.03,767.87529371
1695423600,208.09,208.3,207.54,207.78,466.23824496
1695427200,207.84,209.34,207.84,208.77,722.37261243
1695430800,208.64,209.25,207.97,208.81,330.02180013
1695434400,208.78,208.91,207.28,207.66,478.19222643
1695438000,207.8,207.8,206.96,207.43,1310.95063528
1695441600,207.26,207.93,206.98,207.69,625.28013807
1695445200,207.63,207.85,207.19,207.19,186.27133186
1695448800,207.41,207.65,207.19,207.43,110.87916523
1695452400,207.21,207.5,206.62,207.15,107.42506684
1695456000,207.21,208.6,206.82,208.44,1003.81792463
1695459600,208.53,209.19,208.24,208.88,410.93482787
1695463200,208.89,209.23,208.33,208.44,191.32255412
1695466800,208.42,208.42,207.77,207.96,158.94153436
1695470400,208.04,208.55,208.01,208.07,221.94958386
1695474000,208.02,208.27,207.67,207.87,313.99190417
1695477600,207.75,209.64,207.75,208.66,680.28492459
1695481200,208.76,209.05,207.4,208.08,371.22673281
1695484800,207.93,208.7,207.6,208.63,288.95617793
1695488400,208.65,208.76,208.1,208.63,217.11166952
1695492000,208.6,209.39,208.59,209.1,258.86816806
1695495600,209.03,209.37,208.89,208.99,102.78910699
1695499200,209.1,209.37,208.29,208.42,209.38082953
1695502800,208.37,208.44,208.1,208.32,123.3291102
1695506400,208.34,208.39,207.57,207.65,188.93111503
1695510000,207.64,208.35,207.31,208.24,456.26870759
1695513600,208.18,209.16,207.78,208.79,609.44178562
1695517200,208.59,209.1,208.09,209.03,399.62020069
1695520800,208.95,209.62,208.69,209.56,1007.8070127
1695524400,209.59,210,209.11,209.45,519.43796364
1695528000,209.53,209.72,208.78,209.02,288.59318997
1695531600,208.89,209.19,208.53,208.98,252.85694706
1695535200,208.74,208.97,208.49,208.87,157.19633632
1695538800,208.76,209.27,208.57,208.71,221.04094717
1695542400,208.61,209.09,208.61,208.93,148.26963811
1695546000,209,209.35,208.65,209.14,677.24756785
1695549600,209.21,209.27,208.4,208.65,325.92925264
1695553200,208.58,208.72,208.05,208.26,142.99787561
1695556800,208.38,208.99,208.12,208.8,140.71603136
1695560400,209.03,209.09,208.04,208.04,195.79955487
1695564000,208.05,208.37,207.6,208.07,441.5400146
1695567600,208.12,208.23,207.02,207.65,382.5481134
1695571200,207.55,207.68,207.08,207.41,173.00651914
1695574800,207.36,208.86,206.92,208.28,338.32680121
1695578400,208.43,208.82,206.64,208.11,1103.43734961
1695582000,207.85,208.19,205.82,206.65,827.09739623
1695585600,206.56,207.12,206.1,207.11,226.49304337
1695589200,207,207.64,206.56,207.62,179.25716224
1695592800,207.62,207.98,207.29,207.29,358.85210468
1695596400,207.31,207.31,203.02,204.75,2377.77150596
1695600000,204.72,205.11,201.94,204.95,2125.79182481
1695603600,204.89,207.2,204.89,205.12,917.60320305
1695607200,205.15,206.57,205.03,206.09,364.07536472
1695610800,206.27,206.65,205.36,205.5,242.39353727
1695614400,205.5,206.06,205.1,205.91,459.87617976
1695618000,205.91,206.19,205.13,205.41,197.79745424
1695621600,205.28,205.58,204.37,205.21,492.9311022
1695625200,205.26,207.92,205.22,206.92,567.56275571
1695628800,207.1,207.26,205.96,207.02,742.7862833
1695632400,206.89,207.2,206.42,206.52,301.2365864
1695636000,206.53,207.24,206.44,206.53,323.75360016
1695639600,206.45,206.82,205.69,206.08,487.67320082
1695643200,206.18,207.26,205.83,206.99,601.43088299
1695646800,206.93,208.52,206.71,208.15,694.55294212
1695650400,208.16,208.85,207.8,208.05,659.43372699
1695654000,208.15,213.59,208.15,211.85,3101.90716888
1695657600,211.92,213.53,211,211,1889.18708932
1695661200,211.02,212.12,210.81,211.2,739.91773169
1695664800,211.29,211.36,210.55,210.86,301.14851915
1695668400,210.86,210.92,210.09,210.58,657.41705073
1695672000,210.65,211.08,209.48,209.48,349.6736127
1695675600,209.52,210.42,209.51,210.33,363.32384304
1695679200,210.42,210.72,209.73,210.2,381.28369142
1695682800,210.23,210.52,210.06,210.3,323.47307006
1695686400,210.31,211.3,209.52,210.85,1179.05160146
1695690000,210.96,212.28,210.13,212.18,761.68433599
1695693600,212.15,212.33,211.44,212,536.38633267
1695697200,212.06,212.17,211.29,211.72,622.42663927
1695700800,211.77,212.05,211.44,211.99,205.62248256
1695704400,212.03,212.86,211.76,211.87,1212.70709801
1695708000,211.79,212.48,211.28,212.14,961.18958732
1695711600,212.16,214.13,212.09,213.47,919.08076201
1695715200,213.45,214.03,212.41,213.05,453.86922187
1695718800,212.99,213.73,212.3,212.97,648.81877767
1695722400,213.07,213.23,211.99,213.06,817.65476142
1695726000,213.1,213.74,212.62,213.45,1177.42406979
1695729600,213.49,215.65,212.34,212.63,1948.09547632
1695733200,212.59,212.76,211.71,212.46,1024.92503474
1695736800,212.45,213.17,211.71,212.78,1895.18247797
1695740400,212.68,213,211.88,212.64,835.4917331
1695744000,212.66,215.5,212.44,214.6,2174.32651988
1695747600,214.64,214.97,213.34,213.44,1322.37402037
1695751200,213.44,214.09,213.19,213.63,551.24439111
1695754800,213.64,214.16,213.49,214.12,259.23208643
1695758400,214.04,214.64,213.43,213.47,717.12982458
1695762000,213.57,214.43,211.88,213.8,706.80224581
1695765600,213.77,214.88,213.33,213.33,962.96156356
1695769200,213.2,214.57,213.13,214.57,619.48781804
1695772800,214.6,218.58,214.31,216.55,5618.48036241
1695776400,216.57,216.81,215.43,215.7,792.91956603
1695780000,215.7,216.05,214.99,215.11,558.20549975
1695783600,215.12,215.16,213.85,214.69,665.68232543
1695787200,214.68,214.69,213.27,214.19,1217.45379154
1695790800,214.19,215.11,214.13,215.11,432.14263627
1695794400,215.09,215.65,214.44,215.1,542.24346957
1695798000,215.08,215.47,214.76,215.46,1042.0081299
1695801600,215.43,215.43,214.33,214.86,1098.01607899
1695805200,214.87,218.46,214.83,218.13,1613.56715956
1695808800,218.04,230,217.6,228.11,11127.7887864
1695812400,228.33,232.38,226.86,230.05,6149.22078241
1695816000,230.11,233.19,229.2,230.51,5076.23602617
1695819600,230.52,236.86,230.46,232.14,9594.75457883
1695823200,232.1,232.99,223.57,224.44,7343.10595152
1695826800,224.61,227.97,224.15,226.72,3067.60258926
1695830400,226.78,231.24,225.93,228.09,4288.7779672
1695834000,228.07,228.07,225.79,227.51,2784.21316563
1695837600,227.44,229.33,225.39,228.57,2070.90463591
1695841200,228.56,230.2,228.55,229.74,2110.87793393
1695844800,229.59,232.18,228.1,229.67,3350.81358418
1695848400,229.76,229.76,227.41,228.2,1351.50090706
1695852000,228.11,230.8,228.11,230.58,1685.61932891
1695855600,230.42,230.52,228.44,229.19,1710.29711928
1695859200,229.18,235.65,227.75,232.47,5298.18851101
1695862800,232.46,233.83,231.27,233.77,2192.50454729
1695866400,233.75,235.36,231.37,231.58,2993.03833537
1695870000,231.67,232.27,228.86,230.47,1785.43427149
1695873600,230.45,232.53,228.93,232.09,1518.41167813
1695877200,232.11,234.85,232.11,233.45,3371.71635978
1695880800,233.43,237.46,232.54,234.26,5177.13177171
1695884400,234.13,239.35,233.15,237.15,3413.15992527
1695888000,237.12,237.99,234.81,236,2793.98339862
1695891600,236,237.16,234.99,235.28,2463.73658287
1695895200,235.15,237.65,234.38,234.88,2353.22869034
1695898800,234.82,235.36,233.06,234.7,2783.93251398
1695902400,234.57,235.58,232.25,232.96,2508.12972105
1695906000,232.9,234.79,232.24,233.91,2065.05167654
1695909600,233.95,243.66,233.04,240.11,8753.71236384
1695913200,240.36,244.41,239.3,242.63,7536.93805926
1695916800,242.66,245.32,239.49,239.51,7982.20420192
1695920400,239.59,242.07,239.56,240.64,2948.89898339
1695924000,240.62,241.06,235.93,237.08,4309.61382879
1695927600,237.09,238.53,236.5,238.5,4165.61935344
1695931200,238.43,239.2,237.36,239.1,1613.29453487
1695934800,238.95,239.2,236.72,238.49,963.2156614
1695938400,238.6,240.14,238.25,239.88,653.31660355
1695942000,239.95,240.5,238.59,238.7,693.79053131
1695945600,238.75,241.24,235.86,237.05,1643.31451095
1695949200,237.2,237.35,234.86,236.79,1476.74970211
1695952800,236.73,237.19,234.62,235.32,1754.74526614
1695956400,235.29,236.16,234.55,235.12,1142.31627834
1695960000,235.18,236.55,234.85,236.43,1241.48601731
1695963600,236.4,236.87,235.74,236.41,1527.46848024
1695967200,236.44,237.08,235.21,236.82,774.87037931
1695970800,236.61,239.5,235.75,238.14,2055.36074006
1695974400,238.16,239.89,236.39,236.59,1925.1012172
1695978000,236.67,237.13,235.04,235.58,764.65937533
1695981600,235.67,235.67,233.67,234.26,1024.17907802
1695985200,234.11,235.07,233.69,234.03,1831.38346205
1695988800,234,234.23,232.06,233.94,3381.73821177
1695992400,234.02,234.02,230.68,231.76,2863.24327149
1695996000,231.6,233.96,228.95,232.46,3062.31364649
1695999600,232.38,233.25,231.85,232.56,696.93519636
1696003200,232.64,233.02,230.68,230.94,1180.4078983
1696006800,230.93,231.92,230.92,231.19,1158.5491063
1696010400,231.24,233.29,230.27,233.21,1074.3437747
1696014000,233.29,237.08,232.95,236.65,1305.42582394
1696017600,236.61,238.2,233.8,234.5,6535.21772768
1696021200,234.55,234.61,233.17,233.19,1320.69611162
1696024800,233.26,235.21,233.26,234.58,613.96793815
1696028400,234.55,235.67,233.95,234.97,1024.13115796
1696032000,234.95,235.81,234.14,234.9,2210.90438971
1696035600,235.08,235.52,232.72,233.22,897.91214427
1696039200,233.14,233.61,232.53,233.11,498.61643019
1696042800,233.03,233.97,231.92,232.61,734.36938679
1696046400,232.53,234.35,232.53,233.43,1087.22575387
1696050000,233.5,234.68,233.42,234.47,351.19364422
1696053600,234.43,235.13,234.2,234.6,376.01481727
1696057200,234.69,235.84,234.49,235.11,511.11241456
1696060800,235.28,237.09,234.8,236.14,751.70607802
1696064400,236,237.3,236,236.52,736.23460772
1696068000,236.73,237.19,236.44,236.44,451.31147836
1696071600,236.36,236.44,234.66,234.85,895.88559061
1696075200,234.83,236.4,234.83,235.36,809.70610559
1696078800,235.35,236.38,235.08,236.13,597.41912034
1696082400,236.2,236.83,235.72,235.84,828.00138798
1696086000,236.02,239.39,235.57,237.03,2336.77817692
1696089600,237.03,237.98,235.72,236.48,1917.73280776
1696093200,236.3,236.3,235.01,235.39,1091.16077117
1696096800,235.47,235.69,234.39,235.44,1137.95987528
1696100400,235.54,236,235,235.78,990.88027837
1696104000,235.76,236.58,235.64,236.31,633.23954352
1696107600,236.22,236.36,234.03,234.75,241.80456731
1696111200,234.58,236,234.49,235.83,168.21106038
1696114800,235.77,235.93,233.86,234,403.77949001
1696118400,233.89,238.07,233.74,237.69,2352.44349905
1696122000,237.78,238.05,236.73,237.47,1516.53779822
1696125600,237.47,237.96,236.44,236.63,1684.78206805
1696129200,236.7,237.75,236.25,237.74,703.26070852
1696132800,237.48,237.69,237.07,237.18,749.418055
1696136400,237.18,238.56,236.85,238.27,4440.35059031
1696140000,238.29,239.83,237.86,239.5,1954.79226238
1696143600,239.49,240,238.6,238.7,1676.21155614
1696147200,238.66,239.24,238.23,238.68,264.53427115
1696150800,238.86,239.99,238.26,239.98,421.85755617
1696154400,239.97,241.86,238.31,238.71,4885.97094307
1696158000,238.87,238.87,236.67,236.76,750.85780991
1696161600,236.82,237.48,235.96,236.99,939.565228
1696165200,236.98,237.27,235.52,237.02,2129.17926922
1696168800,237.08,237.5,234.73,235.85,1089.01251281
1696172400,235.89,236.16,235.4,236.14,453.07811052
1696176000,236.02,236.05,234.7,235.2,644.72977379
1696179600,235.23,235.9,234.33,234.51,485.0462769
1696183200,234.41,235.4,234.37,234.61,262.58824452
1696186800,234.65,234.88,233.99,234.26,416.57518771
1696190400,234.05,235.24,232.87,234.68,586.85307185
1696194000,234.69,235.57,234.69,235.57,242.52428803
1696197600,235.5,245,234.96,244.81,13772.13454824
1696201200,244.88,244.88,240.57,242.23,3577.81522936
1696204800,242.22,243.22,240.48,241.58,1879.59281405
1696208400,241.51,242.88,241.05,242.88,944.51586093
1696212000,242.83,245.46,242.44,243.82,3686.3347003
1696215600,243.82,244.46,242.74,243.1,1378.47390255
1696219200,243.16,243.73,242.12,242.63,696.88322431
1696222800,242.73,243.04,241.05,241.99,1081.41665127
1696226400,242.09,243.14,241.18,242.93,1148.04169266
