ts,open,high,low,close,volume
1777852800,0.03549,0.054,0.0347,0.04797,45119095
1777939200,0.04808,0.05025,0.036,0.04281,52726892
1778025600,0.04256,0.08004,0.04119,0.07557,109787119
1778112000,0.07543,0.08893,0.06328,0.07217,114852655
1778198400,0.07204,0.0995,0.07056,0.09576,68077875
1778284800,0.09584,0.15249,0.08236,0.12096,162407669
1778371200,0.121,0.13122,0.09537,0.1182,134017741
1778457600,0.11824,0.1542,0.11112,0.13875,107730098
1778544000,0.13876,0.204,0.13487,0.18865,146689675
1778630400,0.1884,0.2263,0.16572,0.1831,132926308
1778716800,0.1833,0.215,0.16,0.20844,102673086
1778803200,0.20842,0.237,0.17005,0.1738,82183664
1778889600,0.17374,0.1851,0.14101,0.14326,93580457
1778976000,0.14328,0.16595,0.12805,0.15665,70364595
1779062400,0.1567,0.16355,0.1341,0.1522,73734844
1779148800,0.15225,0.1567,0.0958,0.11193,129960470
1779235200,0.11184,0.1183,0.08411,0.08592,123766908
1779321600,0.08595,0.09626,0.06922,0.076,181839959
1779408000,0.07608,0.0941,0.0675,0.08794,232765228
1779494400,0.08772,0.11,0.08021,0.09772,191233211
1779580800,0.09772,0.11916,0.09135,0.11267,133382715
1779667200,0.11268,0.12427,0.08752,0.08888,145157940
1779753600,0.08892,0.09565,0.0842,0.0908,88308173
1779840000,0.09084,0.09328,0.07457,0.07888,82762177
1779926400,0.07889,0.09146,0.07824,0.08394,103493646
1780012800,0.08396,0.085,0.06454,0.07056,116730886
1780099200,0.07058,0.08012,0.0693,0.07362,62630186
1780185600,0.07356,0.08575,0.07312,0.08034,82450944
1780272000,0.08032,0.0941,0.07898,0.08854,96470365
1780358400,0.08852,0.0984,0.07639,0.08168,94986217
1780444800,0.08166,0.09062,0.08015,0.08665,41926655
1780531200,0.08679,0.08854,0.0729,0.07362,52684348
1780617600,0.0736,0.08149,0.0668,0.06996,62428331
1780704000,0.06994,0.07414,0.06918,0.07226,33338219
1780790400,0.0722,0.08221,0.07206,0.07435,55186617
1780876800,0.0743,0.07658,0.069,0.06982,23900879
1780963200,0.06974,0.07282,0.06817,0.07058,17448973
1781049600,0.07054,0.07242,0.06131,0.0631,28688364
1781136000,0.0632,0.07006,0.06142,0.06969,30935778
1781222400,0.06967,0.07478,0.06816,0.0734,26623395
1781308800,0.0734,0.0747,0.06816,0.07298,23395919
1781395200,0.07301,0.07692,0.07011,0.0738,26333325
1781481600,0.07386,0.07865,0.06991,0.07028,18360522
1781568000,0.07039,0.07294,0.06434,0.06792,35161299
1781654400,0.06794,0.06953,0.06553,0.0662,15324181
1781740800,0.06623,0.06763,0.06228,0.06364,20039004
1781827200,0.06362,0.06485,0.05746,0.05868,22375534
1781913600,0.05863,0.059,0.05547,0.05615,17359897
1782000000,0.05616,0.0595,0.05323,0.05778,32817539
1782086400,0.05786,0.06323,0.05584,0.05604,37204224
1782172800,0.05602,0.05775,0.05006,0.05064,28027878
1782259200,0.05075,0.05309,0.0411,0.04502,36950829
1782345600,0.04496,0.04512,0.03866,0.04138,33242039
1782432000,0.04139,0.04251,0.03924,0.041,35010517
1782518400,0.04102,0.04172,0.03845,0.03921,19130560
1782604800,0.03916,0.04794,0.03916,0.04384,30915797
1782691200,0.0438,0.05502,0.04158,0.05502,40907145
1782777600,0.05499,0.05539,0.04391,0.04451,40260026
1782864000,0.0445,0.04535,0.04173,0.04335,24106095
1782950400,0.0432,0.04618,0.0406,0.04538,24022893
1783036800,0.0454,0.04658,0.04015,0.04114,27051761
1783123200,0.04113,0.04305,0.04045,0.04134,18241196
1783209600,0.04125,0.04289,0.03944,0.04241,14450131
1783296000,0.04242,0.04789,0.0403,0.04284,53269391
1783382400,0.04282,0.04571,0.03955,0.0402,28948003
1783468800,0.04023,0.04089,0.03581,0.03759,29692112
1783555200,0.03762,0.03887,0.03658,0.03781,16328094
1783641600,0.03783,0.0405,0.03693,0.03935,25929990
1783728000,0.03946,0.04187,0.03811,0.04075,16941334
1783814400,0.04074,0.05351,0.03992,0.04951,67694816
1783900800,0.0495,0.06184,0.04752,0.05978,107510142
1783987200,0.05978,0.06822,0.03837,0.04152,172753831
1784073600,0.04162,0.04197,0.03258,0.03422,130477234
1784160000,0.03418,0.03431,0.02651,0.02658,139729461
1784246400,0.02657,0.02833,0.02236,0.02319,162126351
1784332800,0.02319,0.0261,0.02173,0.02512,121051501
1784419200,0.02518,0.02809,0.02386,0.02517,180375797
1784505600,0.02514,0.02561,0.02327,0.02401,73484294
1784592000,0.024,0.02611,0.02355,0.02548,64224306
1784678400,0.02547,0.02741,0.02464,0.02487,87340377
1784764800,0.02486,0.0321,0.02449,0.03139,158015465
1784851200,0.03142,0.03223,0.02749,0.02875,158349482
1784937600,0.02875,0.02947,0.02621,0.02674,66081638
1785024000,0.02674,0.02703,0.02468,0.02495,35499440
1785110400,0.02497,0.02563,0.0225,0.02262,44596259
1785196800,0.02261,0.02457,0.02219,0.02374,42465304
1785283200,0.02376,0.02507,0.0225,0.0234,41306784
1785369600,0.02341,0.02458,0.02326,0.02413,50069677
1785456000,0.02412,0.02448,0.02288,0.02385,27943521
1785542400,0.02384,0.02513,0.02332,0.02445,29300703
1785628800,0.02444,0.02556,0.02376,0.02386,29574281
1785715200,0.02388,0.02409,0.02206,0.02324,26541804
1785801600,0.02323,0.02468,0.02273,0.02312,32029531
1785888000,0.02319,0.02431,0.0231,0.02408,25043239
1785974400,0.02409,0.02486,0.02343,0.02397,35733294
1786060800,0.02398,0.02466,0.02326,0.02413,33321324
1786147200,0.02415,0.02516,0.024,0.02494,16824333
1786233600,0.02493,0.02751,0.0242,0.02452,65501229
1786320000,0.02451,0.02618,0.02442,0.02515,22687577
1786406400,0.02514,0.026,0.02488,0.02497,33160758
1786492800,0.02497,0.02526,0.0229,0.02306,31080800
1786579200,0.02301,0.02366,0.0225,0.02298,27628647
1786665600,0.02299,0.0232,0.02078,0.02163,35501203
1786752000,0.02163,0.02199,0.02087,0.02097,17465962
1786838400,0.02098,0.0211,0.01982,0.02038,31625298
1786924800,0.02036,0.02076,0.01955,0.02015,25365585
1787011200,0.02011,0.02016,0.01902,0.01933,20814359
1787097600,0.01933,0.02059,0.01878,0.02008,43543555
1787184000,0.02008,0.02035,0.01925,0.01996,32240912
1787270400,0.01996,0.02204,0.01986,0.0214,44573848
1787356800,0.0214,0.02255,0.01588,0.02086,73287174
1787443200,0.02091,0.02268,0.02009,0.02114,57853408
1787529600,0.02114,0.02134,0.02017,0.02046,34918917
1787616000,0.0204,0.02088,0.01895,0.01951,32279300
1787702400,0.01949,0.02025,0.01948,0.02017,13379538
1787788800,0.02016,0.02076,0.01981,0.02033,12367896
1787875200,0.02033,0.02175,0.0199,0.02019,35686138
1787961600,0.02017,0.02053,0.01962,0.01974,12616001
1788048000,0.01978,0.02018,0.01848,0.01874,16605898
1788134400,0.01873,0.01943,0.01869,0.0193,12078399
1788220800,0.01932,0.01955,0.01812,0.01822,14124954
1788307200,0.01825,0.01829,0.01593,0.01643,50538794
1788393600,0.01645,0.01723,0.01614,0.0167,23848539
1788480000,0.0167,0.01685,0.01505,0.01565,42758254
1788566400,0.01565,0.01626,0.01541,0.01552,28254423
1788652800,0.01555,0.0157,0.01473,0.01528,40535640
1788739200,0.01529,0.01581,0.01488,0.01517,21555942
1788825600,0.01519,0.01535,0.01408,0.01447,44452542
1788912000,0.01449,0.01456,0.01171,0.01341,47002987
1788998400,0.01344,0.01347,0.01256,0.0127,41042497
1789084800,0.01275,0.0141,0.01261,0.01402,48444333
1789171200,0.01404,0.01436,0.01323,0.01339,63269913
1789257600,0.01337,0.01342,0.01265,0.01267,13670130
1789344000,0.01267,0.01312,0.01255,0.01265,30589399
1789430400,0.01264,0.01392,0.0123,0.0125,84969418
1789516800,0.01245,0.01285,0.01206,0.01284,53748801
1789603200,0.01286,0.01391,0.01264,0.01384,30442502
1789689600,0.01387,0.01475,0.01374,0.01392,36559547
