ts,open,high,low,close,volume
1702573200,1.99e-05,5.5e-05,1.545e-05,1.6e-05,548416669734
1702576800,1.6e-05,1.9e-05,1.577e-05,1.746e-05,450332392414
1702580400,1.746e-05,1.789e-05,1.702e-05,1.779e-05,221083213630
1702584000,1.761e-05,1.988e-05,1.761e-05,1.905e-05,426646913436
1702587600,1.905e-05,1.98e-05,1.853e-05,1.869e-05,304492786826
1702591200,1.869e-05,2.156e-05,1.852e-05,2.107e-05,289460325591
1702594800,2.107e-05,2.71e-05,2.058e-05,2.361e-05,735658135567
1702598400,2.361e-05,2.46e-05,2.151e-05,2.187e-05,473348174577
1702602000,2.183e-05,2.399e-05,2.154e-05,2.251e-05,322308999832
1702605600,2.252e-05,2.433e-05,2.166e-05,2.403e-05,299740786602
1702609200,2.404e-05,2.82e-05,2.298e-05,2.768e-05,506005627337
1702612800,2.776e-05,2.94e-05,2.613e-05,2.878e-05,702810620855
1702616400,2.874e-05,3.19e-05,2.756e-05,2.827e-05,675142162525
1702620000,2.827e-05,3.1e-05,2.787e-05,3.05e-05,337639660450
1702623600,3.04e-05,3.489e-05,3.03e-05,3.16e-05,498904081391
1702627200,3.16e-05,3.389e-05,2.841e-05,2.95e-05,424959390086
1702630800,2.954e-05,3.034e-05,2.55e-05,2.738e-05,268037810699
1702634400,2.734e-05,2.923e-05,2.537e-05,2.889e-05,250809888556
1702638000,2.888e-05,3.198e-05,2.796e-05,3.142e-05,260440070023
1702641600,3.142e-05,3.2e-05,2.831e-05,2.854e-05,257822382109
1702645200,2.853e-05,2.95e-05,2.716e-05,2.84e-05,215044049712
1702648800,2.849e-05,2.919e-05,2.655e-05,2.824e-05,194501009942
1702652400,2.835e-05,3.03e-05,2.73e-05,2.834e-05,343839725451
1702656000,2.828e-05,2.929e-05,2.765e-05,2.899e-05,275800557911
1702659600,2.897e-05,2.998e-05,2.83e-05,2.873e-05,298042347100
1702663200,2.872e-05,3.072e-05,2.8e-05,3.047e-05,250567776758
1702666800,3.049e-05,3.091e-05,2.9e-05,2.965e-05,311188245348
1702670400,2.966e-05,2.97e-05,2.825e-05,2.912e-05,269392394257
1702674000,2.912e-05,2.935e-05,2.412e-05,2.453e-05,559679802298
1702677600,2.453e-05,2.624e-05,2.23e-05,2.364e-05,863999527569
1702681200,2.36e-05,2.515e-05,2.26e-05,2.364e-05,406102789135
1702684800,2.366e-05,2.489e-05,2.17e-05,2.313e-05,494077469882
1702688400,2.317e-05,2.475e-05,2.315e-05,2.43e-05,259027491817
1702692000,2.43e-05,2.539e-05,2.427e-05,2.51e-05,182767918666
1702695600,2.509e-05,2.679e-05,2.499e-05,2.621e-05,277460460361
1702699200,2.617e-05,2.662e-05,2.468e-05,2.494e-05,177503470163
1702702800,2.493e-05,2.551e-05,2.383e-05,2.424e-05,153435035859
1702706400,2.429e-05,2.436e-05,2.325e-05,2.415e-05,126711365699
1702710000,2.416e-05,2.46e-05,2.326e-05,2.383e-05,95810315476
1702713600,2.385e-05,2.447e-05,2.277e-05,2.335e-05,126412514690
1702717200,2.332e-05,2.403e-05,2.327e-05,2.366e-05,54147368133
1702720800,2.366e-05,2.504e-05,2.366e-05,2.44e-05,108215578379
1702724400,2.444e-05,2.516e-05,2.409e-05,2.491e-05,40969758482
1702728000,2.493e-05,2.502e-05,2.361e-05,2.418e-05,95145949276
1702731600,2.419e-05,2.54e-05,2.415e-05,2.507e-05,121670918963
1702735200,2.507e-05,2.6e-05,2.427e-05,2.549e-05,125999844258
1702738800,2.55e-05,2.556e-05,2.417e-05,2.485e-05,125618852473
1702742400,2.485e-05,2.523e-05,2.427e-05,2.451e-05,120668194427
1702746000,2.451e-05,2.454e-05,2.356e-05,2.371e-05,141276081098
1702749600,2.368e-05,2.38e-05,2.22e-05,2.251e-05,240550007691
1702753200,2.251e-05,2.28e-05,2.01e-05,2.134e-05,409185233466
1702756800,2.136e-05,2.197e-05,2.075e-05,2.134e-05,217038601045
1702760400,2.133e-05,2.165e-05,2.047e-05,2.066e-05,146369181902
1702764000,2.066e-05,2.245e-05,2.044e-05,2.217e-05,203907144836
1702767600,2.217e-05,2.244e-05,2.157e-05,2.175e-05,128514154465
1702771200,2.174e-05,2.24e-05,2.146e-05,2.174e-05,107826522367
1702774800,2.171e-05,2.261e-05,2.156e-05,2.184e-05,108170207167
1702778400,2.185e-05,2.24e-05,2.173e-05,2.174e-05,46232412657
1702782000,2.172e-05,2.256e-05,2.131e-05,2.231e-05,83842770472
1702785600,2.234e-05,2.26e-05,2.166e-05,2.177e-05,88011482103
1702789200,2.177e-05,2.181e-05,2.056e-05,2.094e-05,67607318071
1702792800,2.094e-05,2.146e-05,2.066e-05,2.13e-05,50875576308
1702796400,2.13e-05,2.136e-05,2.044e-05,2.066e-05,45613431456
1702800000,2.067e-05,2.144e-05,2.056e-05,2.138e-05,61178756703
1702803600,2.138e-05,2.2e-05,2.127e-05,2.185e-05,46483539702
1702807200,2.185e-05,2.189e-05,2.127e-05,2.142e-05,18436217912
1702810800,2.144e-05,2.146e-05,2.091e-05,2.097e-05,12379623244
1702814400,2.098e-05,2.137e-05,2.052e-05,2.117e-05,46221209295
1702818000,2.116e-05,2.124e-05,2e-05,2.03e-05,90051406257
1702821600,2.03e-05,2.121e-05,1.97e-05,2.097e-05,107379495209
1702825200,2.094e-05,2.136e-05,2.081e-05,2.132e-05,66618902171
1702828800,2.132e-05,2.133e-05,2.077e-05,2.114e-05,56138306702
1702832400,2.112e-05,2.294e-05,2.11e-05,2.163e-05,235463706872
1702836000,2.163e-05,2.173e-05,2.104e-05,2.15e-05,78011190457
1702839600,2.146e-05,2.266e-05,2.128e-05,2.255e-05,111180857246
1702843200,2.257e-05,2.478e-05,2.223e-05,2.401e-05,432107906516
