ts,open,high,low,close,volume
1660521600,24316.58,25214.57,23777,24097.82,27821.25610894
1660608000,24099.7,24253.98,23668,23857.93,19601.90580439
1660694400,23857.89,24448.49,23180.14,23341.17,22747.43895287
1660780800,23344.42,23600,23107.27,23189.46,13825.6308966
1660867200,23188.94,23206.76,20782.39,20834.94,45962.7257428
1660953600,20834.94,21372.93,20760.93,21139.23,21809.4048831
1661040000,21139.22,21795.08,21067.33,21518.62,16024.82128336
1661126400,21514.45,21540,20889.69,21398.25,26215.93682469
1661212800,21396.37,21679.52,20889.69,21528.34,22744.05096265
1661299200,21526.74,21925,21147.41,21367.12,22538.91385671
1661385600,21367.12,21818.32,21307.32,21561.86,17065.2835044
1661472000,21561.49,21878.05,20112.78,20240.72,37169.02639568
1661558400,20240.63,20389.14,19800,20036.69,22160.97938125
1661644800,20035.3,20164.26,19513.74,19554.03,17117.31912737
1661731200,19552.31,20427.19,19545.57,20286.97,33436.35652183
1661817600,20286.95,20582.64,19540.14,19813.17,46462.27938622
1661904000,19813.97,20489,19799.97,20048.26,36587.60323535
1661990400,20048.27,20205.53,19561.01,20133.65,23858.64862602
1662076800,20132.67,20444,19755,19953.74,19929.54590305
1662163200,19953.4,20053.9,19655,19835.47,9538.49811675
1662249600,19833.59,20026.2,19588.27,20004.73,10670.60766559
1662336000,20003.85,20060,19633.11,19794.58,13935.11385555
1662422400,19794.59,20179.86,18663.25,18790.91,34029.11126955
1662508800,18790.77,19466.09,18527,19293.52,25583.39915964
1662595200,19293.03,19460.7,19014.43,19321.87,20327.61614165
1662681600,19322.56,21616.21,19294.49,21364.5,39579.81208118
1662768000,21366.61,21815.15,21127.1,21651.52,17750.76003376
1662854400,21656.03,21865.66,21356.37,21831.72,14386.63340528
1662940800,21830.16,22490.05,21555,22402.71,28404.49469955
1663027200,22402.58,22800,19855,20174.78,37351.56014939
1663113600,20174.78,20545,19625,20227.77,25139.52734416
1663200000,20227.7,20336.42,19500,19703.67,21124.30384367
1663286400,19703.65,19890.95,19305,19801.04,24863.81492556
1663372800,19800.26,20183.14,19748.89,20113.37,11557.14724341
1663459200,20113.37,20119.08,19335.57,19417.64,16437.90668757
1663545600,19417.56,19689.62,18255,19540.38,30961.4463315
1663632000,19538.31,19638.46,18722,18876.91,27437.23361358
1663718400,18876.14,19949.97,18153.13,18462.64,44344.46282424
1663804800,18462.66,19521.8,18358.63,19401.25,41006.95212665
1663891200,19399.93,19500,18529,19286.01,30781.38249694
1663977600,19286.03,19311.4,18808.13,18923.2,17644.76169841
1664064000,18920.93,19184.3,18619.88,18808.61,14499.16320537
1664150400,18806.3,19320.86,18681.02,19228,33108.05445715
1664236800,19226.94,20383.15,18821.55,19077.57,51860.03004114
1664323200,19077.56,19773.67,18487,19412.07,43710.30467197
1664409600,19412.37,19646.66,18845.3,19595.57,34783.53737085
1664496000,19595.59,20182.72,19154.38,19426.11,34243.66392923
1664582400,19423.57,19486.43,19160,19315.27,7337.45595566
1664668800,19315.26,19398.94,18923.81,19059.17,12951.42404465
1664755200,19059.1,19717.67,18958.29,19633.46,28571.64018677
1664841600,19632.43,20479.43,19495.32,20345.19,32685.41637125
1664928000,20345.27,20371.15,19750,20161.62,33542.20736149
1665014400,20162.15,20455.79,19855.19,19965.64,44044.43606305
1665100800,19963.75,20065.26,19325,19533.05,34938.97272677
1665187200,19531.68,19628.78,19250,19419.39,9745.2545363
1665273600,19421.49,19563.28,19321,19443.47,12537.63788265
1665360000,19442.7,19528.04,19028.08,19132.83,26596.56843638
1665446400,19130.8,19265.69,18855.19,19058.11,36248.01909763
1665532800,19058.42,19235.26,18971.51,19155.92,24862.65344825
1665619200,19153.97,19509.23,18131,19378.65,49160.49651762
1665705600,19375.55,19954.14,19076.83,19178,46208.33260444
1665792000,19179.15,19229.12,18983,19070.24,9062.82835275
1665878400,19070.62,19425.49,19065.23,19264.44,8310.92834083
1665964800,19261.62,19679.46,19154.72,19550.4,24137.12482696
1666051200,19550.39,19702.73,19091.77,19328.76,27645.59742478
1666137600,19328.75,19361,19062.1,19124.18,22284.13292808
1666224000,19123.77,19349.04,18905,19042.48,28405.7559743
1666310400,19043.66,19254.52,18659,19166.45,24206.36088454
1666396800,19164.92,19257.66,19110.46,19209.1,7044.99034028
1666483200,19209.09,19698.1,19070.92,19572.44,12086.31175412
1666569600,19572.2,19603.57,19159.35,19330.41,29432.58356293
1666656000,19332.11,20420.88,19240.76,20086.28,42452.33701168
1666742400,20086.27,21022.81,20055.85,20775.4,43618.9919315
1666828800,20773.59,20878.17,20196.01,20296.97,34123.58255469
1666915200,20295.77,20755.09,20000,20597.91,29581.75150226
1667001600,20597.34,21080,20561.2,20823.53,19822.75126022
1667088000,20822.38,20939.35,20523.92,20630.68,13737.38848362
1667174400,20629.21,20837.68,20237,20489.94,22222.73611567
1667260800,20489.55,20691,20326.55,20479.63,21147.00854592
1667347200,20480.34,20805,20059.53,20151.4,43913.21904186
