ts,open,high,low,close,volume
1504828800,4624.18,4679.99,4140,4350,22102.7184586
1504915200,4350,4449.95,4180,4334.36,10073.89558667
1505001600,4334.36,4349.99,4139,4251.36,10078.69985674
1505088000,4251.36,4365,4111.14,4210.72,9068.25507562
1505174400,4210.72,4375.37,4080,4164.52,12373.3985777
1505260800,4164.52,4174.53,3726,3855.32,22842.53225552
1505347200,3855.61,3923,3230.05,3250.4,36363.92501211
1505433600,3249.99,3894.48,2975.01,3740.02,54488.48241948
1505520000,3740.02,4042.98,3600,3726.51,19031.68597217
1505606400,3726.51,3841,3475.64,3719.97,11718.88020167
1505692800,3719.98,4130,3717.56,4100,16906.72338998
1505779200,4100,4125.22,3850.44,3910.11,13781.15538642
1505865600,3910.11,4044,3850.01,3872.06,9910.40111429
1505952000,3872.07,3903.57,3571,3617.47,14978.48542601
1506038400,3617.47,3767.77,3509.79,3619.01,12649.02130076
1506124800,3619.01,3818.89,3580,3787.33,6595.93530667
1506211200,3787.33,3789.36,3630.01,3669.01,4692.79090244
1506297600,3669.01,3969.37,3669.01,3919.78,9583.73758911
1506384000,3919.98,3960,3854.29,3885.09,5893.22353833
1506470400,3885.09,4228.39,3880.36,4200,12072.66869574
1506556800,4200,4269.95,4122,4189.42,7903.94689054
1506643200,4189.42,4212.99,4015.17,4156.99,10360.83388071
1506729600,4156.99,4356.28,4143.52,4339,6235.07845604
1506816000,4339.01,4396.99,4256.92,4394.81,5366.91196997
1506902400,4394.81,4470,4354.23,4392.71,8647.75799194
1506988800,4392.71,4419.95,4240,4307.99,10606.10621945
1507075200,4307.99,4344,4175.3,4214.84,6555.27096872
1507161600,4214.84,4365.21,4150.01,4320.04,6482.32778439
1507248000,4320.02,4407,4299.99,4362.99,6441.72560363
1507334400,4363,4449.42,4320,4425,4178.25089288
1507420800,4425,4612,4420.01,4603.49,7159.77178341
1507507200,4603.5,4875.39,4561,4769.55,14273.86832882
1507593600,4769.55,4925.65,4701.53,4750,13709.70806252
1507680000,4750,4869.97,4720.21,4814.99,7238.87876179
1507766400,4814.99,5440.92,4809.59,5440,20097.68845511
1507852800,5440,5867,5390,5624.8,26597.9752588
1507939200,5624.87,5839.8,5567.86,5819.13,8999.20367594
1508025600,5819.13,5849.83,5455.5,5693.7,11817.32828781
1508112000,5693.7,5785.3,5575.55,5754.9,8820.66040004
1508198400,5754.9,5769.99,5525,5594,9121.4068495
1508284800,5593.97,5600,5102,5574.44,17620.49150442
1508371200,5574.02,5750,5529.44,5704.01,8908.55652227
1508457600,5704,6063.99,5630,5989.1,16708.981564
1508544000,5989.1,6189.1,5868.26,6024.86,14614.73525277
1508630400,6024.85,6082.3,5755.95,6005.05,10770.42951293
1508716800,6005.05,6057.02,5650.98,5905.99,16446.78333056
1508803200,5906,5906,5462.19,5525.43,18281.54006372
1508889600,5525.43,5765,5376.71,5739.97,14136.58125946
1508976000,5739.97,6000,5701,5891.61,11850.82718824
1509062400,5891.61,5998,5708.8,5780,9337.84412481
1509148800,5780,5894,5715,5752.01,5453.79798889
1509235200,5752.01,6298.99,5728,6140.01,12509.85515088
1509321600,6140.01,6200,6028,6124.16,8341.53244599
1509408000,6124.16,6472.13,6095.96,6445.01,15024.49558504
1509494400,6445.01,6784,6363.59,6783.69,20571.58188569
1509580800,6783.69,7445,6759,7039.98,35889.38819701
1509667200,7039.99,7449.99,6955.89,7170.01,24759.33130603
1509753600,7170.01,7498,7011.1,7412.55,13668.92328073
1509840000,7412.35,7630,7310,7392,16504.95764862
1509926400,7391.95,7432.49,6900.73,6969.76,24287.52091386
1510012800,6969.76,7232.84,6968.49,7126.63,14505.79432211
1510099200,7128.99,7898,7031.66,7467.96,38184.63758966
1510185600,7467.97,7470.01,7079,7156,18059.36167926
1510272000,7156,7350,6426,6577.62,34072.93239507
1510358400,6577.63,6894.99,6201.01,6346.7,25651.2940802
1510444800,6346.64,6486,5511.11,5886.35,52487.43253081
1510531200,5886.35,6841.45,5850,6535.87,36435.45627543
1510617600,6535.87,6748,6450,6605,20256.43299376
1510704000,6605,7349,6605,7294,27878.77629558
1510790400,7294,7985.37,7130,7838.53,29352.77615064
1510876800,7838.54,7988.5,7536,7714.71,25045.6530014
1510963200,7714.7,7847.98,7502,7777.01,14707.53684425
1511049600,7777.01,8098.62,7700,8031.82,14765.96963561
1511136000,8031.83,8293.25,7969,8256.01,15693.26060594
1511222400,8256.01,8375,7802.99,8109,31256.2619911
1511308800,8109,8298.98,8103.13,8250,13690.8317595
1511395200,8250,8274.98,8031.16,8031.16,11919.91670069
1511481600,8031.16,8324,7900,8215.01,14748.71323788
1511568000,8215.01,8795.5,8203.98,8795.5,16482.32785846
1511654400,8795.5,9596,8795.5,9401.11,28641.69759252
1511740800,9401.11,9795,9401,9768.71,25683.3262464
1511827200,9768.71,9989.95,9705.99,9949,18960.42673846
1511913600,9949,11485,8595.55,9935.98,70224.99702034
1512000000,9920.81,10850,9135.6,9903,42536.31363519
1512086400,9903.01,10937,9517,10869.84,33257.5736678
1512172800,10869.85,11100,10701,10930.24,20197.01810153
1512259200,10930.24,11891,10601,11290,31415.80537618
1512345600,11290,11650,10950,11643.98,20180.88652913
1512432000,11643.99,11875,11532,11718.35,17711.49076161
1512518400,11718.34,14425,11717.5,14090,51358.74592889
1512604800,14090,19697,13500,17390.01,84528.1023714
1512691200,17390.01,17777.69,13788.99,16367.03,68522.70363443
1512777600,16367.03,16499,13550,15309.98,41170.50758947
1512864000,15309.99,16300,13501,15290.01,52882.81594883
1512950400,15290.01,17493,15200,16885.76,41169.69239233
1513036800,16885.76,18149.99,16375,17730.12,38219.40739552
1513123200,17730.12,17900,15700,16689.61,31867.18168864
1513209600,16689.62,17199.6,16256,16749.78,16329.87585067
1513296000,16749.79,17899,16745,17738.67,28605.3275268
1513382400,17738.68,19797,17630,19650.01,24853.68358079
1513468800,19650.02,19891.99,19010,19378.99,21476.23509637
1513555200,19378.99,19385,18200,19039.01,26385.52352887
1513641600,19039.01,19099,16800,17838.73,32148.34752127
1513728000,17838.73,17890,14001,16496.89,47992.44424371
1513814400,16496.9,17364.57,15151,15758.8,28740.89368429
1513900800,15758.8,15974.95,10400,14210.57,103039.93421339
1513987200,14229.47,16261,13750,15075.89,30795.88799527
