ts,open,high,low,close,volume
1695146400,27147.51,27210.18,27089.25,27133.12,445.98561868
1695150000,27132.21,27219.58,27077.06,27198.76,609.03150536
1695153600,27199.13,27220.75,27125.51,27193.06,459.38407458
1695157200,27194.02,27195.72,26995,27162.74,570.57919972
1695160800,27161.95,27211.5,27095.11,27194.53,354.61668414
1695164400,27193.66,27233.54,27178.31,27216.13,278.91187273
1695168000,27216.52,27267,27153.13,27214.83,435.16554353
1695171600,27214.04,27356.08,27202.5,27348.07,489.75974617
1695175200,27348.07,27393.78,27151.45,27172.22,544.34038451
1695178800,27172.23,27207.51,27089.36,27122.51,294.89183537
1695182400,27122.51,27165.07,27071.28,27076.46,343.5071399
1695186000,27076,27113.22,27010.86,27028.97,299.82026217
1695189600,27031.14,27079.61,26940.66,27067.46,430.15272112
1695193200,27067.46,27135.91,27048.51,27108.95,365.05717754
1695196800,27108.94,27193.85,27091.03,27182.95,246.41823987
1695200400,27182.93,27194.17,26953.08,27057.96,442.44749147
1695204000,27058.95,27086.61,26948.88,27086.6,365.65385836
1695207600,27086.98,27122.83,27061.06,27103.66,301.8082335
1695211200,27103.87,27134.97,26995.17,27072.04,325.61314491
1695214800,27072.03,27198.99,27017.61,27166.56,401.84408148
1695218400,27164.09,27241.89,27059.44,27128.36,589.30353436
1695222000,27128.36,27207.28,27103.27,27186.7,463.22923412
1695225600,27186.69,27226.49,27141.92,27164.64,384.88706897
1695229200,27164.64,27278.83,27160.5,27198.67,539.00586192
1695232800,27202.3,27304.43,27096.01,27169.05,1081.92955258
1695236400,27169.04,27191.37,26798.98,26933.69,1650.72001113
1695240000,26934.61,27102.75,26922.72,27096.34,602.02311855
1695243600,27097.85,27240.41,27057.16,27114.15,477.46999246
1695247200,27114.15,27127.59,27051.95,27093.65,334.09254626
1695250800,27093.65,27157.35,27075,27123.94,181.09949608
1695254400,27122.65,27163.48,27039.56,27041.19,326.84082312
1695258000,27041.42,27061.35,26977.27,27029.36,284.41711184
1695261600,27029.16,27060.34,26937.12,26973.02,217.83336558
1695265200,26973.01,27038.02,26966.38,27037.48,131.89712418
1695268800,27037.47,27108.14,26994.34,27099.16,294.46005313
1695272400,27099.17,27101.63,27040,27075.29,87.20361723
1695276000,27075.13,27076.6,27006.78,27076.59,98.40904369
1695279600,27076.6,27076.6,26980.01,26988.79,144.32986163
1695283200,26988.79,27018.6,26915,26923.98,273.21423066
1695286800,26923.58,26940.82,26686.01,26743.01,1021.0266294
1695290400,26743.01,26795.21,26633.37,26645.74,1122.73336125
1695294000,26645.73,26779.15,26616.22,26728.46,607.78578357
1695297600,26728.45,26771.76,26566.57,26631.25,1285.78616378
1695301200,26632.19,26644.68,26359.7,26407.99,1532.22723905
1695304800,26408.03,26589.88,26366.31,26573.73,996.83473569
1695308400,26573.72,26655,26526,26579.44,781.95651009
1695312000,26579.44,26597.19,26541.39,26575.59,458.31930683
1695315600,26575.6,26694.35,26566.84,26646.11,394.23672429
1695319200,26648,26685.87,26605.66,26610.42,332.89389497
1695322800,26611.54,26627.56,26555.51,26605.46,515.91624196
1695326400,26605.88,26610.44,26501,26603.08,360.80701201
1695330000,26604.47,26634.99,26551.2,26618.96,220.73453848
1695333600,26619.01,26625.41,26547.42,26592.67,122.50681199
1695337200,26591.56,26619.1,26553.78,26564.54,189.619252
1695340800,26564.54,26649.22,26467.94,26640.45,407.44894154
1695344400,26640.45,26669,26566.01,26628.91,383.00668454
1695348000,26628.73,26644.76,26562.2,26564.55,235.89732474
1695351600,26564.55,26639.99,26550,26625.18,274.77552075
1695355200,26627.26,26660.7,26619.11,26642.97,202.599748
1695358800,26642.96,26668.99,26603.69,26661.29,176.38247455
1695362400,26662.64,26684.8,26600.01,26620.9,213.28898586
1695366000,26620.91,26704.35,26568.58,26672.34,260.09923844
1695369600,26672.33,26742.86,26661.38,26671.33,328.21581315
1695373200,26671.33,26674.56,26619.75,26633.9,254.64327811
1695376800,26633.7,26658.69,26584.12,26590.95,387.43242793
1695380400,26590.95,26653.04,26590.95,26640,194.34321421
1695384000,26639.99,26654.16,26576.16,26583.18,291.56986866
1695387600,26583.19,26617.58,26550,26610.82,551.0551753
1695391200,26610.82,26690.41,26586.97,26679.23,615.77884943
1695394800,26679.22,26698.57,26625.8,26631.91,425.20735158
1695398400,26631.92,26647.05,26568.4,26597.91,521.2122919
1695402000,26597.91,26628.8,26528.29,26575.18,584.89606867
1695405600,26575.19,26607.29,26534.1,26592.86,489.26024716
1695409200,26592.86,26636.24,26525.15,26534.51,519.28905246
1695412800,26534.51,26561.62,26504,26537.82,625.82307537
1695416400,26536.3,26574.3,26486.58,26569.8,271.50211811
1695420000,26569.69,26587.67,26542,26584.84,178.49979979
1695423600,26584.84,26597.5,26548.37,26578.4,170.82478105
1695427200,26578.4,26617.2,26568.19,26603.12,133.50947915
1695430800,26602.13,26603.49,26557.93,26580.03,101.31262181
1695434400,26580.03,26585.88,26538.12,26549.24,136.2891156
1695438000,26549.25,26563.07,26521.47,26532.29,81.14388551
1695441600,26532.29,26556.18,26513,26552.48,97.88087338
1695445200,26552.48,26560.21,26541.41,26545.34,86.15224253
1695448800,26545.14,26581.17,26545.14,26576.83,58.37273581
1695452400,26576.83,26587.22,26536.86,26584.99,88.56940128
1695456000,26585,26595.22,26558.27,26572.67,122.04073763
1695459600,26572.67,26588.64,26555.56,26578.97,139.15527586
1695463200,26578.96,26586.65,26567.68,26568.74,70.74057091
1695466800,26568.37,26581.81,26558.62,26579.06,104.58917482
1695470400,26579.05,26597.59,26560.24,26582.23,174.07448685
1695474000,26582.22,26588.71,26557.97,26575.78,123.53131653
1695477600,26575.78,26584.29,26557.17,26568.37,97.87844258
1695481200,26567.63,26585.63,26548.84,26578.28,119.23820855
1695484800,26578.27,26610.99,26556.65,26605.64,113.1515707
1695488400,26605.64,26611.84,26575.52,26598.19,126.26575105
1695492000,26598.19,26638.58,26596.74,26617.21,148.12980293
1695495600,26617.21,26623.81,26601,26611.92,108.57609895
1695499200,26611.76,26619.53,26585.41,26590.67,83.07865775
1695502800,26590.68,26603.22,26564.85,26574.33,84.35432572
1695506400,26574.32,26586.99,26562.2,26568.63,100.32234464
1695510000,26568.62,26582.47,26555.51,26579.6,98.89993657
1695513600,26579.59,26591.3,26562.21,26571.62,73.73874404
1695517200,26571.61,26590.9,26556.06,26589.16,90.62217333
1695520800,26589.16,26595.16,26577.03,26587.33,58.52460423
1695524400,26587.32,26588.56,26565.79,26575.05,45.28274213
1695528000,26575.04,26578.56,26552,26572.47,82.28067134
1695531600,26572.47,26579.12,26550,26560.54,86.19640669
1695535200,26560.53,26567.1,26549,26557.03,68.35203621
1695538800,26557.03,26567.45,26553.01,26565.46,58.05353477
1695542400,26565.45,26594.76,26563.46,26591.51,43.91910963
1695546000,26590.86,26612.87,26580,26592.72,80.80514325
1695549600,26592.71,26594.81,26575.76,26579.73,47.32755316
1695553200,26579.73,26611.11,26578.14,26600.46,50.19817974
1695556800,26600.47,26614,26585.4,26608.62,95.36641725
1695560400,26608.62,26625,26589.72,26593.37,100.37942567
1695564000,26593.38,26599.34,26579.31,26592.05,72.92634981
1695567600,26592.05,26598.32,26564.04,26580.97,102.14423005
1695571200,26580.98,26583.72,26563.5,26578.85,99.01902097
1695574800,26578.84,26711.05,26566.42,26673.89,240.31750501
1695578400,26673.89,26731.1,26434.14,26592.91,926.16937389
1695582000,26592.5,26592.61,26334.03,26448.43,525.2644647
1695585600,26448.42,26515.68,26404.58,26504.92,240.36934924
1695589200,26504.91,26526.66,26453.36,26519.7,150.50794973
1695592800,26519.69,26519.69,26469.1,26496.85,145.79204541
1695596400,26496.85,26496.85,26118.86,26250.24,1104.24826089
1695600000,26248.17,26256.82,25997,26250.25,1446.3038027
1695603600,26252.54,26339.07,26155.94,26161.2,549.32800318
1695607200,26159.86,26252.73,26151.43,26205.14,379.25463793
1695610800,26203.8,26235,26146.1,26152.78,238.53045247
1695614400,26152.78,26188.78,26106.77,26144.31,352.04146643
1695618000,26144.31,26146.38,26066.98,26107.44,319.29916025
1695621600,26107.44,26165.52,26033.01,26132.43,365.63748755
1695625200,26132.43,26185.3,26095.33,26181.17,232.64298443
1695628800,26181.16,26219.78,26098.43,26136.25,310.27016064
1695632400,26136.24,26139.84,26040.56,26056.72,473.36904156
1695636000,26056.72,26110.92,26042.96,26087.69,159.60066217
1695639600,26087.69,26103.61,26011.37,26065.63,242.22711512
1695643200,26065.62,26112.73,25983.78,26091.86,522.62685277
1695646800,26091.86,26185.38,26076.01,26152.59,638.12111514
1695650400,26152.51,26172.12,26106.1,26126.58,498.10812803
1695654000,26126.58,26300,26126.57,26239.08,740.70974202
1695657600,26240.18,26422.65,26240.18,26319.78,574.59933634
1695661200,26319.78,26374.65,26220.1,26359.08,557.39645401
1695664800,26359.07,26389.61,26311.86,26330.47,539.51170567
1695668400,26330.47,26354.02,26264.25,26330.57,550.00371204
1695672000,26330.78,26444.95,26276.14,26287.05,519.99041591
1695675600,26285.65,26310.51,26258.21,26276.8,222.5325553
1695679200,26276.79,26289.76,26265,26275.33,151.6466543
1695682800,26275.34,26312.07,26262.17,26296.08,179.23236801
1695686400,26296.07,26302.58,26242.09,26257.49,185.82722622
1695690000,26257.48,26294.84,26224.54,26294.54,162.77205351
1695693600,26293.57,26358.46,26274.92,26354.14,181.71437857
1695697200,26353.34,26397.59,26338.76,26348.74,185.49090894
1695700800,26348.73,26364.45,26322.3,26338.61,100.66522055
