ts,open,high,low,close,volume
1782432000,0.02475,0.04499,0.02319,0.02928,131686050
1782518400,0.02912,0.03439,0.02556,0.02719,105641857
1782604800,0.02726,0.02987,0.0244,0.02489,33575916
1782691200,0.02488,0.02897,0.02253,0.02564,44185314
1782777600,0.02574,0.036,0.02308,0.02769,130502455
1782864000,0.02766,0.02766,0.02337,0.02358,32448910
1782950400,0.0236,0.02432,0.02025,0.02255,34761869
1783036800,0.02256,0.0238,0.01917,0.02036,47552687
1783123200,0.02038,0.02315,0.0181,0.02261,120099316
1783209600,0.02262,0.02911,0.01985,0.02327,186784179
1783296000,0.0234,0.02455,0.01959,0.02129,144187923
1783382400,0.02127,0.02396,0.02016,0.02097,68620872
1783468800,0.02094,0.02304,0.01935,0.02257,54448340
1783555200,0.02254,0.02361,0.02075,0.02173,46649722
1783641600,0.02172,0.02228,0.01935,0.01962,19309111
1783728000,0.01963,0.01983,0.01571,0.01591,40922921
1783814400,0.01591,0.01793,0.0155,0.01697,32120930
1783900800,0.01699,0.01982,0.01688,0.01903,34201585
1783987200,0.01902,0.02066,0.01626,0.01656,41160079
1784073600,0.01656,0.01895,0.01567,0.0183,30842358
1784160000,0.0183,0.01971,0.0172,0.01842,43280908
1784246400,0.01844,0.01958,0.01775,0.01873,20671443
1784332800,0.01874,0.01936,0.01777,0.01893,10246932
1784419200,0.01888,0.01954,0.01834,0.01861,7496456
1784505600,0.01862,0.0218,0.01856,0.02109,17236893
1784592000,0.0211,0.0211,0.01902,0.02004,8788607
1784678400,0.02012,0.02146,0.01932,0.02116,13086297
1784764800,0.0213,0.02433,0.02123,0.02363,28039351
1784851200,0.02361,0.02847,0.02348,0.0271,52113271
1784937600,0.02708,0.02796,0.0209,0.02097,27716772
1785024000,0.02097,0.02328,0.01932,0.02245,20928341
1785110400,0.02248,0.02481,0.02045,0.0241,30421606
1785196800,0.02407,0.02816,0.02311,0.02737,52544282
1785283200,0.02738,0.028,0.02257,0.02623,62016943
1785369600,0.02617,0.03856,0.02433,0.03444,121748090
1785456000,0.03434,0.04255,0.03194,0.03926,59324905
1785542400,0.03928,0.041,0.02693,0.02729,26973832
1785628800,0.02729,0.03494,0.02729,0.02943,52665554
1785715200,0.02947,0.0298,0.02558,0.02757,28713099
1785801600,0.02758,0.02837,0.02486,0.02532,11814459
1785888000,0.02531,0.03026,0.0253,0.02782,19060014
1785974400,0.02782,0.03975,0.02782,0.03064,69272495
1786060800,0.03063,0.03842,0.02879,0.0361,38955423
1786147200,0.03612,0.04,0.03428,0.0369,29207946
1786233600,0.03692,0.04066,0.03653,0.03946,12959451
1786320000,0.0394,0.05472,0.03936,0.04609,70393483
1786406400,0.04598,0.05717,0.04316,0.05502,64530047
1786492800,0.05496,0.06125,0.05152,0.0551,40250608
1786579200,0.05508,0.05889,0.05278,0.05667,16059417
1786665600,0.05664,0.07868,0.05024,0.06501,168266833
1786752000,0.06508,0.07192,0.06144,0.06205,41941799
1786838400,0.06205,0.06996,0.06102,0.06717,16545529
1786924800,0.06717,0.07575,0.06268,0.07056,32509791
1787011200,0.07052,0.07286,0.0672,0.06899,10191215
1787097600,0.06899,0.07552,0.06629,0.06784,18114256
1787184000,0.06781,0.07206,0.06398,0.06477,31006059
1787270400,0.06472,0.07331,0.0631,0.06706,12090409
1787356800,0.06704,0.07237,0.06613,0.07024,8606266
1787443200,0.07028,0.0715,0.06698,0.06923,7276557
1787529600,0.06931,0.0723,0.06634,0.06881,10766765
1787616000,0.069,0.07032,0.06715,0.06945,4102386
1787702400,0.06959,0.07313,0.06872,0.07068,5750261
1787788800,0.07064,0.07122,0.06581,0.0661,3374213
1787875200,0.06597,0.0707,0.06418,0.06996,3594917
1787961600,0.06995,0.07077,0.06741,0.06923,1408562
1788048000,0.06949,0.06978,0.06645,0.0682,1945689
1788134400,0.06814,0.07023,0.06773,0.06845,1654129
1788220800,0.06878,0.07132,0.06816,0.07051,1557129
1788307200,0.07046,0.0732,0.06874,0.07266,1931384
1788393600,0.07281,0.07599,0.04645,0.04893,33254870
1788480000,0.04872,0.0561,0.04312,0.04499,17132299
1788566400,0.04496,0.04743,0.04381,0.04478,3654525
1788652800,0.04455,0.0452,0.04258,0.04284,2278444
1788739200,0.0428,0.05051,0.04118,0.0463,12517821
1788825600,0.04633,0.04745,0.04439,0.04674,5853404
1788912000,0.0467,0.04758,0.04495,0.04738,5561913
1788998400,0.04752,0.04826,0.04525,0.04542,3790232
1789084800,0.04541,0.04581,0.04304,0.04452,4947229
1789171200,0.04445,0.04573,0.04357,0.04466,3721132
1789257600,0.04468,0.04755,0.04435,0.04707,4125095
1789344000,0.04711,0.07333,0.04685,0.06414,61192270
1789430400,0.06423,0.07624,0.05684,0.05732,31661553
1789516800,0.05742,0.06267,0.05489,0.06016,8951584
1789603200,0.06027,0.06246,0.05451,0.05484,6953136
1789689600,0.05496,0.05696,0.05385,0.05424,4716045
