ts,open,high,low,close,volume
1592870400,427.23,427.24,230,240.8,31793.615
1592956800,240.81,249,190.19,206.73,28012.474
1593043200,206.73,254.78,197.55,228.99,66659.291
1593129600,232.38,272.9,226.3,262.38,48861.835
1593216000,262.28,265,222,231.15,34992.166
1593302400,231.15,255,228,244.81,18515.676
1593388800,244.81,247.84,230.66,233.72,11686.211
1593475200,233.42,242.55,211.32,215.98,26624.829
1593561600,216.07,220.98,201,201.14,19431.948
1593648000,201.14,205.12,175.34,180,38732.721
1593734400,180.43,196,171.08,171.77,30034.497
1593820800,171.91,194,163.01,180.54,32670.028
1593907200,180.54,220,177.5,200.16,59617.196
1593993600,200.16,207.39,186.36,195,31515.746
1594080000,195,197.43,183.2,187.7,15051.569
1594166400,187.41,190.5,174.01,184.52,23943.558
1594252800,184.98,189,175.6,180.12,14333.525
1594339200,180.34,180.71,170.5,174.98,12242.43
1594425600,175.34,185.15,174.4,178.48,13406.768
1594512000,178.84,183.57,173.92,175.86,8930.282
1594598400,176,178.48,157.38,166.19,18187.86
1594684800,166.2,168.9,159.87,164.1,11365.262
1594771200,163.69,167.44,159.35,160.12,9770.395
1594857600,160.14,163.71,152.67,155,17998.275
1594944000,155,178.99,154.17,166.07,29378.611
1595030400,166.54,167.77,160.98,163.94,11334.731
1595116800,163.95,164.73,159.59,163.08,7614.785
1595203200,163.08,175.6,155,157.86,22457.483
1595289600,157.98,163.3,157.24,159.95,8519.71
1595376000,159.71,160.03,153.71,157.63,12890.395
1595462400,157.88,165,155.5,156.13,16188.797
1595548800,156.13,158.22,155.1,155.28,6338.822
1595635200,155.44,157.5,154.58,155.8,8418.118
1595721600,155.96,163.89,153.25,157.5,15664.062
1595808000,157.46,158.19,120.02,135.84,51673.93
1595894400,135.87,142.36,130.02,136.59,22980.295
1595980800,136.59,140,132.01,133.22,9713.248
1596067200,133.24,135.15,131.47,133.35,10472.588
1596153600,133.31,139.98,127.95,134.72,19637.093
1596240000,134.94,144,134.48,138.39,21417.564
1596326400,138.39,139.22,120.02,127.31,32315.434
1596412800,127.49,132.74,125,127.01,9098.432
1596499200,127.01,133.5,126.54,131.85,9696.754
1596585600,131.98,141.66,128.82,135,17408.841
1596672000,135,142.67,133,136.79,11706.407
1596758400,136.83,157.93,136.4,154.65,43731.324
1596844800,154.66,160,147.02,152.82,27781.51
1596931200,152.64,175.96,148.95,170.54,33207.077
1597017600,170.59,192.5,163.01,176.85,48576.941
1597104000,176.36,198.96,154.87,195,62658.662
1597190400,195,264,190.28,218.58,181703.175
1597276800,218.08,235.89,186.02,205,100598.174
1597363200,205,216.69,190.91,196.39,47151.951
1597449600,196.37,212,186.87,196.97,39293.42
1597536000,196.83,207.41,191.5,201.15,32039.014
1597622400,201.38,203.54,184.31,184.8,30190.16
1597708800,185.23,191.9,173.6,187.62,25505.599
1597795200,187.4,212,176.8,182.9,60505.698
1597881600,182.94,187,178.05,180.15,23019.524
1597968000,179.9,189.88,162,169.98,41520.378
1598054400,169.75,180,160.6,174.21,25026.486
1598140800,174.2,175.9,164.44,169.23,11475.397
1598227200,169.22,189.7,165.91,181.35,29564.008
1598313600,181.35,189.99,161.21,165.41,29532.456
1598400000,165.38,190,162.27,180.01,36063.305
1598486400,179.79,180.17,165,171.24,15700.972
1598572800,171.24,204,169.27,189.25,38747.996
1598659200,189.25,200.29,185.01,193.86,16526.557
1598745600,193.74,228.57,191.74,217,47397.706
1598832000,216.92,251.77,207.73,242.98,59850.823
1598918400,242.7,272.53,234.64,256.7,86752.405
1599004800,256.63,257.11,204.04,227.18,44548.879
1599091200,227.23,244.95,180.45,187.15,68336.229
1599177600,187.15,202.06,178,189.2,38320.037
1599264000,189.63,198.4,149.84,158.03,51426.075
1599350400,158.11,177.98,145.51,170.81,39911.801
1599436800,170.62,180.31,153.97,179.33,32539.187
1599523200,179.33,184.99,167.25,173.66,20152.47
1599609600,173.66,185.17,167.34,177.8,16695.608
1599696000,177.8,186.97,169.44,171.47,19206.259
1599782400,171.55,177.85,160.04,173.04,28735.412
1599868800,173.04,181.11,169.53,180.63,10689.081
1599955200,180.71,185,161.51,164.92,20892.323
1600041600,164.95,170.74,158.8,166.26,16960.494
1600128000,166.26,169.88,152.2,154.61,13103.431
1600214400,154.61,154.94,147.25,152.99,13465.909
1600300800,152.94,161.16,146.53,158.4,20449.18
1600387200,158.34,168,151.2,153.88,24803.773
1600473600,153.89,156.6,150.99,151.84,15014.79
1600560000,151.86,152.79,140.5,144.5,20739.001
1600646400,144.5,145.99,123.36,128.33,35002.031
1600732800,128.39,146.1,127.2,143.54,28438.487
1600819200,143.46,146.92,124.27,127.16,26745.259
1600905600,127.18,141.29,126.06,138.59,21578.343
1600992000,138.67,144,133.01,139.01,19871.112
1601078400,139.31,147.42,136.89,144.27,11329.294
1601164800,144.04,147.69,135.11,138.98,9010.529
1601251200,139.21,141.46,129.99,131.53,26329.022
1601337600,131.42,134.55,127.77,132.8,15203.356
1601424000,132.71,136.22,130.02,133.49,11564.36
1601510400,133.77,140,125,129.16,18385.494
1601596800,129.12,130.82,116.53,120.4,28851.92
1601683200,120.34,125.5,120.02,121.09,8323.085
1601769600,121.04,122.8,117.01,119.6,10578.989
1601856000,119.5,124.61,117.5,122.13,11279.517
1601942400,122.01,123.03,101.3,105.85,47363.833
1602028800,105.86,111.93,101.19,110.44,47647.369
1602115200,110.43,114.19,102.2,108.42,36441.486
1602201600,108.11,117.78,103.54,115.58,46634.133
1602288000,115.46,119.73,112.83,113.75,30683.54
1602374400,113.93,117.06,111.25,115.77,16919.734
1602460800,115.77,120.78,112.28,116.7,22714.521
1602547200,116.81,119.09,111.76,114,10936.884
1602633600,113.99,115.43,105.5,107.2,13028.691
1602720000,107.25,109.81,104.68,106.88,9927.67
1602806400,106.68,107.14,99.54,103.55,20633.434
1602892800,103.55,105.9,101.56,103.09,11657.263
1602979200,103.09,107.95,102.64,104.91,17809.47
1603065600,104.91,105.91,101.53,102.98,12394.172
1603152000,102.98,102.98,92.83,94.81,30959.283
1603238400,95.06,100,92.71,95.48,41187.091
1603324800,95.47,103.02,95.44,102.51,32400.283
1603411200,102.51,106.52,99.53,103.18,30386.31
1603497600,103.18,107.86,101.1,105.17,12236.944
1603584000,105.16,105.56,101.17,101.17,13373.87
1603670400,101.18,104.57,97.94,100.18,20719.168
1603756800,100.18,113.82,99.67,109.96,49030.761
1603843200,109.96,120.37,104.75,107.7,56995.761
1603929600,107.59,111.79,94.19,96.91,38333.277
1604016000,96.95,98.96,88.44,92.23,40246.592
1604102400,92.18,95.16,89.02,90.88,25046.56
1604188800,90.88,96.21,89.5,94,12145.021
1604275200,94.04,99.12,90.33,91.17,17142.519
1604361600,90.99,91.1,80.75,87.54,51886.887
1604448000,87.65,89.01,81.37,88.86,20898.123
1604534400,88.76,93.7,83.3,90.93,25512.041
1604620800,90.93,100.17,88.7,95.73,32667.302
1604707200,95.84,111.89,89.03,92.56,84330.286
1604793600,92.52,101.07,91.25,97.1,27650.277
1604880000,97.09,100.4,93.17,94.9,21491.061
1604966400,94.91,105.5,94.07,102.59,25411.986
1605052800,102.59,115,101.84,103.11,40731.258
1605139200,103.22,108.53,99.47,104.4,21917.599
1605225600,104.28,117.99,103.39,116.7,31700.204
1605312000,116.64,124.57,107.44,121.63,71634.729
1605398400,121.64,130.57,113.13,120.11,57761.324
1605484800,120.29,124.94,114.54,120.12,26225.421
1605571200,120.31,127.77,118.27,122.74,33371.282
1605657600,122.74,126.23,107.15,114.41,50383.523
1605744000,114.26,118.63,108.74,113.46,31248.092
1605830400,113.47,124.55,113.27,116.23,33550.086
1605916800,116.19,128.45,112.96,127.49,50905.12
1606003200,127.5,129.15,112.72,116.98,47869.647
1606089600,117.07,129.63,115.61,125.72,39187.718
1606176000,125.69,133.53,121.5,127.78,59604.865
1606262400,127.74,139.8,118.99,122.6,55747.779
1606348800,122.67,125.72,96.94,106.89,68154.301
1606435200,107,110.1,99.9,104.52,35141.657
1606521600,104.56,109.88,102.11,108.27,22646.926
1606608000,108.15,111.68,106,110.8,13299.112
1606694400,110.81,114.99,109.29,112.09,18464.809
1606780800,112.12,117.95,103.02,105.05,36967.445
1606867200,105.05,114.98,104.23,113.86,29910.795
1606953600,113.85,138,112.6,131.81,88721.272
1607040000,131.81,148.06,124.95,127.21,107600.906
1607126400,127.2,145,125.14,144.02,39791.88
1607212800,143.9,144.38,132.85,137.17,20601.905
1607299200,137.23,151.22,134.57,149.94,37956.472
1607385600,149.97,180,148.77,155.44,196859.91
1607472000,155.34,171.53,145.43,164.69,102011.616
1607558400,164.69,166.16,147.84,149.17,37698.77
1607644800,149.19,150.63,137.54,142.55,52302.951
1607731200,142.44,153.69,141.3,144.59,34308.588
1607817600,144.6,153.19,140.36,147.39,25218.932
1607904000,147.21,160.45,143.55,153.07,39469.306
1607990400,153.09,154.3,146.5,150,30908.514
1608076800,150,157.68,147.5,155.5,45755.118
1608163200,155.47,179.24,152.01,177.36,72095.609
1608249600,177.52,178,150.33,160.41,54499.531
1608336000,160.39,165.32,154.48,155.94,26553.137
1608422400,155.92,162.78,151.27,153.7,25989.728
1608508800,153.67,155.63,140,141.71,27297.351
1608595200,141.79,148.87,135.61,145.35,20420.03
1608681600,145.17,149.09,121.44,129.54,39643.857
1608768000,129.54,137.79,125.84,136.62,22266.321
1608854400,136.81,143.44,134,137.71,13515.674
1608940800,137.66,138.64,127.87,129.97,22497.79
1609027200,129.83,140,127.77,131.29,30342.036
1609113600,131.39,143.7,129.79,143.37,24612.604
1609200000,143.37,146.18,130,139.33,35321.719
1609286400,139.55,159.14,138.11,157.17,46319.154
1609372800,157.16,157.2,142.49,149.27,30972.415
1609459200,149.27,155.24,140.15,145.97,26815.06
1609545600,145.93,147.95,134.91,136.66,28037.015
1609632000,136.58,151.91,135.58,147.14,36845.1
1609718400,147.12,162.34,137.76,151.21,49754.484
1609804800,151.35,166.48,146.54,162.02,43664.459
1609891200,162.08,187.14,159.98,184.52,62911.855
1609977600,184.52,193.12,165.81,172.56,73199.835
1610064000,172.78,181.85,153.06,165.73,55230.659
1610150400,165.44,186.63,161.51,180.63,46499.827
1610236800,180.63,209.89,165.29,194.67,88317.207
1610323200,195.09,196.96,147.14,168.45,74148.079
1610409600,168.75,201.63,162.25,183.61,55150.774
1610496000,183.38,218,174.34,211.12,61493.446
1610582400,211.16,225,200.91,214.52,38136.851
1610668800,214.95,217.45,186.71,202.43,37746.683
1610755200,202.64,220,200.03,206.85,28396.5
1610841600,206.8,226.72,200.2,216.61,32563.389
1610928000,216.29,238.83,207.5,225.8,33465.47
1611014400,225.86,235.19,210.06,211.35,24630.227
1611100800,211.5,218.28,198.64,212.98,18159.436
1611187200,212.97,214,174.25,176.23,36064.696
1611273600,176.55,209.14,165,199.4,32447.499
1611360000,199.54,213.62,197,206.83,16744.234
1611446400,206.82,253,205.48,250.53,61434.557
1611532800,250.54,259,206.02,212.72,78845.474
1611619200,212.43,242.55,205.44,238.64,60177.761
1611705600,238.74,240.34,210.04,219.11,42933.909
1611792000,219.11,268.75,212.64,252.36,43056.346
1611878400,252.43,304.18,236.11,295.55,81623.606
1611964800,295.54,340.01,278.76,338.27,134130.38
1612051200,338.22,349.49,305.05,347.35,70300.689
1612137600,347.35,377.1,330.67,362.01,79055.319
1612224000,361.81,365.17,336.12,356.48,35541.65
1612310400,356.48,390,343,389.94,43189.151
1612396800,389.75,499.37,380.5,455.17,163711.487
1612483200,455.17,554.32,453.39,532.75,80256.848
1612569600,532.25,550,440.68,464.99,78138.731
1612656000,465.29,479.77,393.04,458.3,48855.438
1612742400,458.35,497.89,442.4,455.2,51264.275
1612828800,455.19,490,436.2,490,49952.625
1612915200,489.65,528.41,442.07,473.03,59464.981
1613001600,473.2,525.69,456,501.77,53736.725
1613088000,502.24,573.34,480.91,537.87,66706.059
1613174400,538.14,558.9,498.27,511.68,32744.385
1613260800,511.76,529.89,460.8,471.44,33336.278
1613347200,471.84,506.26,400,461.35,59944.846
1613433600,461.4,506.07,435.48,457.22,27894.955
1613520000,457.24,475,413.11,474.27,30129.203
1613606400,474.67,481.73,451.01,456.77,18457.886
1613692800,457.45,481.4,435.71,451.46,24379.747
1613779200,451.62,506.64,430,453.66,51118.074
1613865600,453.6,469.82,442.7,453.6,17772.557
1613952000,453.79,470,375,422.65,70754.478
1614038400,423.48,430.83,325,384,77563.521
1614124800,384.35,461.27,366.73,438.11,53727.557
1614211200,437.73,459,392.2,396.22,20803.356
1614297600,397.11,423,370.03,397.68,32151.18
