ts,open,high,low,close,volume
1695200400,39.85,40.01,39.45,39.68,335.205
1695204000,39.65,39.65,39.43,39.48,159.987
1695207600,39.49,39.61,39.44,39.53,141.445
1695211200,39.48,39.48,39.28,39.43,49.535
1695214800,39.4,39.77,39.4,39.68,304.693
1695218400,39.66,39.72,39.39,39.51,127.473
1695222000,39.53,39.69,39.47,39.69,143.49
1695225600,39.62,39.62,39.42,39.48,51.733
1695229200,39.42,39.52,39.3,39.46,67.049
1695232800,39.37,39.99,39.33,39.86,241.059
1695236400,39.84,39.92,38.88,39.42,1302.715
1695240000,39.48,39.76,39.48,39.75,270.467
1695243600,39.79,40.13,39.71,40.05,684.963
1695247200,40.05,40.08,39.8,39.93,238.011
1695250800,39.95,40,39.81,39.98,105.35
1695254400,40.01,42.15,40,41.03,5371.235
1695258000,40.97,40.99,40.29,40.67,2495.184
1695261600,40.72,40.83,40.41,40.43,1706.08
1695265200,40.42,40.67,40.13,40.63,396.784
1695268800,40.65,40.66,40.2,40.28,1289.026
1695272400,40.28,40.28,39.96,40.04,351.876
1695276000,40.01,40.01,39.55,39.76,1072.338
1695279600,39.79,39.92,39.71,39.74,570.14
1695283200,39.74,39.74,39.42,39.49,250.684
1695286800,39.44,39.61,39.15,39.33,775.635
1695290400,39.37,39.37,38.75,38.79,551.323
1695294000,38.85,39.01,38.79,39.01,311.86
1695297600,38.99,39.15,38.93,39.06,1564.825
1695301200,39.01,39.01,38.52,38.71,572.189
1695304800,38.7,39.08,38.62,38.99,714.172
1695308400,39.04,39.1,38.92,39.04,318.679
1695312000,38.88,38.97,38.64,38.7,282.571
1695315600,38.66,38.93,38.61,38.76,764.529
1695319200,38.84,38.9,38.73,38.82,234.756
1695322800,38.86,38.89,38.77,38.82,210.282
1695326400,38.84,38.88,38.53,38.78,522.257
1695330000,38.86,38.86,38.41,38.7,663.817
1695333600,38.7,38.88,38.56,38.84,239.803
1695337200,38.86,38.88,38.57,38.58,220.836
1695340800,38.62,38.78,38.18,38.76,437.531
1695344400,38.77,38.89,38.49,38.79,243.358
1695348000,38.8,39.04,38.76,38.8,360.135
1695351600,38.85,39.13,38.85,39.1,117.031
1695355200,39.15,39.34,39.15,39.31,314.303
1695358800,39.31,39.31,39.16,39.23,368.503
1695362400,39.24,39.27,39.03,39.06,283.494
1695366000,39.03,39.11,38.87,39.06,788.487
1695369600,39.07,39.24,39.04,39.15,164.933
1695373200,39.15,39.25,39.07,39.22,179.109
1695376800,39.16,39.19,39.05,39.11,224.779
1695380400,39.16,39.2,39.14,39.2,89.21
1695384000,39.2,39.25,39.04,39.09,384.984
1695387600,39.09,39.16,38.94,39.06,210.098
1695391200,39.03,39.26,39,39.26,398.398
