ts,open,high,low,close,volume
1746576000,0.0724,0.0745,0.0699,0.072,9685545.5
1746662400,0.0722,0.0811,0.072,0.0811,28474677.7
1746748800,0.0812,0.085,0.0806,0.085,24747404.5
1746835200,0.0849,0.0903,0.0833,0.0893,25503134.2
1746921600,0.0891,0.0896,0.0833,0.0854,17603893.8
1747008000,0.0854,0.0904,0.0788,0.083,25976336.9
1747094400,0.083,0.0876,0.0772,0.0864,19251126.9
1747180800,0.0865,0.0893,0.0802,0.0808,15073842.7
1747267200,0.0808,0.0814,0.0741,0.0766,21805539.7
1747353600,0.0764,0.0778,0.0725,0.0726,20241340.6
1747440000,0.0726,0.0726,0.0696,0.0708,10817763.6
1747526400,0.0709,0.0775,0.0705,0.0748,9817614.1
1747612800,0.0747,0.0752,0.067,0.0709,15337591.8
1747699200,0.0709,0.0735,0.0686,0.0718,15505531.2
1747785600,0.0718,0.074,0.0695,0.072,11065483.3
1747872000,0.072,0.0765,0.072,0.0759,10279795.8
1747958400,0.0758,0.0774,0.0675,0.0679,13201415.4
1748044800,0.0679,0.0722,0.0675,0.0698,6360671.4
1748131200,0.0698,0.0712,0.0666,0.0708,6534643.4
1748217600,0.0708,0.0715,0.0679,0.0686,5248691.7
1748304000,0.0686,0.0723,0.0666,0.0705,3709317.2
1748390400,0.0705,0.0712,0.0677,0.0699,5698754.6
1748476800,0.0698,0.0718,0.0661,0.0664,7247320.8
1748563200,0.0667,0.0667,0.0564,0.0578,19607240.7
1748649600,0.0575,0.0606,0.0551,0.0601,10194094.4
1748736000,0.06,0.0604,0.058,0.06,4425029.8
1748822400,0.0601,0.0603,0.057,0.0603,7172055.9
1748908800,0.06,0.0613,0.059,0.0597,5475439.8
1748995200,0.0596,0.0606,0.0577,0.0585,3957052.4
1749081600,0.0584,0.0597,0.0531,0.0546,8901450.6
1749168000,0.0546,0.0587,0.0544,0.0562,10585634.5
1749254400,0.0562,0.0588,0.0559,0.0582,2693295.5
1749340800,0.0584,0.0589,0.0573,0.0579,3031141.7
1749427200,0.0579,0.061,0.057,0.0605,2868174.6
1749513600,0.0605,0.0622,0.059,0.0621,3522859.5
1749600000,0.0621,0.0622,0.0569,0.0575,4961189.6
1749686400,0.0575,0.0579,0.0542,0.0543,8754899.8
1749772800,0.0541,0.0541,0.0494,0.0528,10495837.5
1749859200,0.0527,0.0527,0.0498,0.0508,2347794.3
1749945600,0.051,0.0541,0.051,0.0524,2387801.4
1750032000,0.0523,0.0549,0.0514,0.0516,4182497.7
1750118400,0.0513,0.0522,0.0484,0.0496,5059950.9
1750204800,0.0498,0.0515,0.0482,0.0513,6767070.5
1750291200,0.0512,0.0522,0.0499,0.0508,5719903.5
1750377600,0.051,0.0521,0.0489,0.0502,5608169.8
1750464000,0.0501,0.051,0.045,0.0465,3238338.3
1750550400,0.0467,0.0472,0.042,0.0446,11596815.5
1750636800,0.0448,0.0511,0.0448,0.0506,6831883.3
1750723200,0.0506,0.0527,0.05,0.0507,3136072.8
1750809600,0.0507,0.0516,0.0492,0.0499,5252413.6
1750896000,0.0502,0.0518,0.0485,0.0489,3143256.3
1750982400,0.0488,0.05,0.0482,0.0499,1576880.6
1751068800,0.0497,0.051,0.0492,0.0507,950672.3
1751155200,0.0508,0.055,0.0497,0.0545,3776880.1
1751241600,0.0546,0.0546,0.0514,0.0519,2526145.3
1751328000,0.0518,0.0519,0.049,0.0496,1940876.6
1751414400,0.0495,0.0537,0.0491,0.0525,3052878.5
1751500800,0.0525,0.0534,0.0516,0.0521,2407553
1751587200,0.0521,0.0526,0.0486,0.0494,2755801.9
1751673600,0.0495,0.05,0.0485,0.0493,1292088.1
1751760000,0.0493,0.0511,0.049,0.0502,840225.9
1751846400,0.0502,0.0509,0.0483,0.0491,2351619.2
1751932800,0.049,0.0507,0.0482,0.0507,1938675
1752019200,0.0508,0.0539,0.0504,0.0535,3908588.1
1752105600,0.0535,0.0573,0.053,0.0568,4334777
1752192000,0.0565,0.06,0.0556,0.0564,6934999.6
1752278400,0.0565,0.0577,0.0539,0.0541,6956129.5
1752364800,0.0542,0.0583,0.0533,0.0564,5157607.8
1752451200,0.0563,0.0593,0.0547,0.0555,3976271.1
1752537600,0.0555,0.0566,0.0527,0.0564,5478870.1
1752624000,0.0562,0.0599,0.0554,0.0577,4451709.6
1752710400,0.0577,0.0598,0.0565,0.0588,5134207
1752796800,0.0588,0.0635,0.0584,0.0606,13772337.4
1752883200,0.0605,0.0635,0.059,0.0623,4967659.9
1752969600,0.0623,0.0687,0.0621,0.0652,11498409.1
1753056000,0.0651,0.069,0.0644,0.0671,8610596.4
1753142400,0.067,0.0676,0.0621,0.066,6336365.5
1753228800,0.0658,0.069,0.0585,0.0609,10656517.9
1753315200,0.0608,0.0622,0.0552,0.0577,9833345.2
1753401600,0.0576,0.0604,0.0559,0.0598,6361716
1753488000,0.0598,0.0604,0.0588,0.0594,4227763.7
1753574400,0.0593,0.0621,0.0593,0.0607,2747963.5
1753660800,0.0607,0.0647,0.0575,0.0579,7825680
1753747200,0.0579,0.0599,0.0544,0.0558,4975038.2
1753833600,0.0556,0.0575,0.0535,0.0573,8354847.6
1753920000,0.0572,0.0583,0.0532,0.0533,8951524.2
1754006400,0.0532,0.0542,0.0497,0.0517,6710334.9
1754092800,0.0515,0.0521,0.0488,0.0505,1990809
1754179200,0.0503,0.0543,0.0496,0.0525,7975716.8
1754265600,0.0526,0.0548,0.0523,0.0544,1855579.3
1754352000,0.0545,0.0548,0.0507,0.0521,3294605.9
1754438400,0.0519,0.0536,0.0508,0.0528,2393093.1
1754524800,0.053,0.0544,0.0524,0.0543,1964854.5
1754611200,0.0542,0.0558,0.0534,0.0555,2210102.7
1754697600,0.0555,0.0583,0.0546,0.0575,9065653.5
1754784000,0.0575,0.0577,0.0539,0.056,6316814.2
1754870400,0.056,0.0577,0.052,0.0523,4433468.1
1754956800,0.0525,0.0565,0.052,0.0563,3902716.4
1755043200,0.0563,0.0617,0.0553,0.0602,12471298.6
1755129600,0.0605,0.0643,0.0529,0.0543,18216302.8
1755216000,0.0543,0.0556,0.0511,0.0538,7891831.4
1755302400,0.0538,0.0561,0.0534,0.0555,3054117.1
1755388800,0.0555,0.0569,0.0548,0.055,2058026.5
1755475200,0.055,0.055,0.0513,0.0522,4097890.2
1755561600,0.052,0.0533,0.0501,0.0505,4492100.2
1755648000,0.0508,0.0546,0.0502,0.054,7429296.5
1755734400,0.054,0.0547,0.0523,0.0529,2180268.7
1755820800,0.0531,0.058,0.0511,0.0579,4898546.8
1755907200,0.0578,0.0579,0.0548,0.056,7988004.7
1755993600,0.0561,0.0627,0.0535,0.0554,11507878.1
1756080000,0.0554,0.0565,0.0498,0.0503,6071869.6
1756166400,0.0503,0.0529,0.05,0.0527,2385183.5
1756252800,0.0528,0.0531,0.0518,0.0523,893020.3
1756339200,0.0523,0.0537,0.0518,0.0535,1840199.6
1756425600,0.0536,0.0543,0.0499,0.0509,3285412
1756512000,0.0509,0.0526,0.0502,0.0519,2400869.7
1756598400,0.052,0.0546,0.0516,0.0516,2056783.6
1756684800,0.0515,0.0525,0.0479,0.0492,6936465.6
1756771200,0.0491,0.0511,0.049,0.0506,2323473.7
1756857600,0.0504,0.0509,0.0497,0.0504,2482020.1
1756944000,0.0505,0.0506,0.0479,0.0481,6078734
1757030400,0.0481,0.0499,0.048,0.049,3246663.3
1757116800,0.049,0.0493,0.0482,0.0487,1744864.2
1757203200,0.0488,0.0492,0.0482,0.049,1233393.7
1757289600,0.0489,0.0508,0.0486,0.0506,3939752.8
1757376000,0.0508,0.053,0.05,0.0505,3811802.2
1757462400,0.0505,0.0514,0.05,0.0508,3648130.1
1757548800,0.0509,0.0517,0.05,0.0516,2438575.7
1757635200,0.0517,0.0525,0.0506,0.0523,3614568.6
1757721600,0.0524,0.058,0.0522,0.0562,9354524.4
1757808000,0.0564,0.0568,0.0525,0.0529,5582309.6
1757894400,0.053,0.0538,0.0495,0.0509,3050931.9
1757980800,0.0508,0.0569,0.0499,0.0548,11004585.1
1758067200,0.0547,0.0559,0.0526,0.0546,6780309.9
1758153600,0.0545,0.0558,0.0538,0.0548,2167730.1
1758240000,0.0549,0.0552,0.0515,0.0517,3618408.6
1758326400,0.0517,0.0536,0.0514,0.0524,2048697.5
1758412800,0.0526,0.0533,0.051,0.0515,2023799.9
1758499200,0.0513,0.0513,0.0453,0.0472,8511894.3
1758585600,0.0472,0.0483,0.0459,0.0464,4403571
1758672000,0.0469,0.0475,0.0451,0.0463,5841025.5
1758758400,0.0464,0.0464,0.0425,0.0433,15439561.5
1758844800,0.0433,0.0442,0.0422,0.0439,3996171.4
1758931200,0.044,0.0444,0.0432,0.0438,2328967.1
1759017600,0.0438,0.0446,0.0427,0.0442,3315830.9
1759104000,0.0443,0.0444,0.0426,0.0432,3502025.3
1759190400,0.0432,0.0437,0.0417,0.043,3824096
1759276800,0.0431,0.0459,0.0426,0.0459,2107098.9
1759363200,0.0459,0.0474,0.0455,0.0472,4893793.5
1759449600,0.0471,0.0484,0.0466,0.0477,2692891.7
1759536000,0.0475,0.0475,0.0455,0.046,1681877.9
1759622400,0.0459,0.0479,0.0447,0.0452,3160341.9
1759708800,0.0453,0.0505,0.0445,0.048,7731853.4
1759795200,0.0479,0.0489,0.0449,0.0453,5634844.5
1759881600,0.0455,0.0514,0.0447,0.0511,13192454.1
1759968000,0.051,0.0537,0.0485,0.0497,34509651
1760054400,0.0496,0.0554,0.0367,0.0404,39757204.9
1760140800,0.0407,0.042,0.0335,0.0353,33563777
1760227200,0.0353,0.0391,0.0343,0.0381,11877265.8
1760313600,0.038,0.0413,0.0375,0.0407,7235516.3
1760400000,0.0409,0.0409,0.0359,0.0394,14449667.3
1760486400,0.0394,0.0397,0.0365,0.0371,8141642.6
1760572800,0.0371,0.0378,0.0343,0.035,11485953.4
1760659200,0.035,0.0355,0.0313,0.033,14101425
1760745600,0.033,0.0349,0.033,0.0342,3562736.6
1760832000,0.0342,0.0346,0.0325,0.034,15039644.5
1760918400,0.0339,0.0354,0.0332,0.0342,7763204.9
1761004800,0.0342,0.0361,0.033,0.0333,10542543.7
1761091200,0.0335,0.0343,0.0318,0.0327,8065319.3
1761177600,0.0327,0.0345,0.0325,0.034,4194754.8
1761264000,0.034,0.0348,0.0333,0.0338,2809237.2
1761350400,0.0338,0.034,0.0336,0.0337,1662706.8
1761436800,0.0336,0.0349,0.033,0.0344,5594681.2
1761523200,0.0346,0.0357,0.0335,0.0338,7817982.1
1761609600,0.0339,0.0366,0.0329,0.0334,14435928.1
1761696000,0.0334,0.0344,0.0323,0.0337,5945624.4
1761782400,0.0337,0.0338,0.0296,0.0307,11541145.2
1761868800,0.0307,0.0316,0.0304,0.0313,3266459.1
1761955200,0.0314,0.0343,0.0314,0.0336,8950894.3
1762041600,0.0336,0.0344,0.032,0.0332,11929588.1
1762128000,0.0331,0.0331,0.0268,0.0285,13256892.1
1762214400,0.0284,0.03,0.0251,0.0274,20400899.4
1762300800,0.0274,0.0284,0.0257,0.028,10582257.2
1762387200,0.0279,0.0299,0.0267,0.0291,10779779.3
1762473600,0.0292,0.0402,0.0292,0.0376,47256158.6
1762560000,0.0377,0.0379,0.0337,0.0353,16783887.2
1762646400,0.0353,0.064,0.0334,0.0592,118460807.8
1762732800,0.059,0.062,0.0452,0.0466,194607816.7
1762819200,0.0463,0.047,0.0399,0.0413,65538633.7
1762905600,0.0413,0.0433,0.0377,0.038,39086688.3
1762992000,0.0381,0.0417,0.0362,0.0371,31078188.1
1763078400,0.0371,0.0379,0.034,0.035,43632267.4
