ts,open,high,low,close,volume
1746576000,0.0904,0.0931,0.09,0.0914,12618435.5
1746662400,0.0916,0.0992,0.0914,0.0983,21071475.9
1746748800,0.0984,0.1043,0.0971,0.1013,15732489.5
1746835200,0.1013,0.1064,0.0984,0.1053,21544735.9
1746921600,0.1052,0.1056,0.0971,0.0985,16369957.9
1747008000,0.0986,0.1034,0.0968,0.1016,17604180.4
1747094400,0.1015,0.1046,0.0952,0.1033,34542393.3
1747180800,0.1032,0.1045,0.1003,0.1015,18271488.4
1747267200,0.1017,0.1034,0.0973,0.101,19693522
1747353600,0.1009,0.1022,0.0995,0.0997,8355551.7
1747440000,0.0995,0.1005,0.0964,0.0977,7654279.3
1747526400,0.0976,0.1009,0.0956,0.0997,9322993
1747612800,0.0995,0.1,0.0928,0.0961,10145030.8
1747699200,0.096,0.0976,0.0946,0.0968,6439942.3
1747785600,0.0969,0.0989,0.0948,0.0978,13890721.6
1747872000,0.0977,0.102,0.0977,0.1004,10587960.5
1747958400,0.1004,0.102,0.0945,0.095,17701550.5
1748044800,0.0946,0.0984,0.0944,0.0958,3574968
1748131200,0.0959,0.0968,0.0936,0.0967,4672161.1
1748217600,0.0967,0.0976,0.096,0.0972,5250769.9
1748304000,0.097,0.1033,0.0953,0.0982,12209572.1
1748390400,0.0982,0.0985,0.0959,0.0978,5162331.2
1748476800,0.0979,0.099,0.094,0.0944,5819163.9
1748563200,0.0944,0.1041,0.0899,0.0997,50947973.1
1748649600,0.0997,0.1099,0.0984,0.1055,64425493.3
1748736000,0.1057,0.109,0.1017,0.1058,26178268.7
1748822400,0.1058,0.1063,0.1011,0.1033,9527655.3
1748908800,0.1034,0.1047,0.1018,0.1024,9575691.8
1748995200,0.1022,0.1034,0.0999,0.1001,9590211.9
1749081600,0.1001,0.1036,0.0954,0.0981,10271948.8
1749168000,0.0981,0.1002,0.0964,0.0967,4650074.3
1749254400,0.0967,0.0981,0.096,0.097,3627767.1
1749340800,0.097,0.1,0.0967,0.098,5810734.7
1749427200,0.098,0.1013,0.0978,0.1012,6085676.2
1749513600,0.1012,0.1021,0.0996,0.1018,7527509.4
1749600000,0.1019,0.102,0.0978,0.099,8565605
1749686400,0.0989,0.0992,0.0954,0.0966,6646307.5
1749772800,0.0965,0.0965,0.0878,0.0921,23221827.3
1749859200,0.092,0.092,0.0896,0.0909,4694023.1
1749945600,0.0909,0.0916,0.0895,0.0908,2513075.2
1750032000,0.0908,0.0935,0.0903,0.0903,6014161.7
1750118400,0.0903,0.0916,0.0872,0.088,10002637.9
1750204800,0.0882,0.0938,0.0855,0.0912,13307169.1
1750291200,0.0913,0.0921,0.0899,0.0909,3991306.8
1750377600,0.0909,0.0917,0.0862,0.0881,12617099.7
1750464000,0.0881,0.089,0.0833,0.0848,7488608.8
1750550400,0.0848,0.0851,0.0772,0.0801,17132699.7
1750636800,0.0801,0.0853,0.0787,0.0851,9157300
1750723200,0.085,0.087,0.0837,0.0844,7903272.7
1750809600,0.0843,0.0846,0.0815,0.0824,8030948.5
1750896000,0.0824,0.0836,0.0803,0.0808,4657856.8
1750982400,0.0808,0.083,0.08,0.081,4682454.3
1751068800,0.081,0.0814,0.0803,0.0811,2544756.8
1751155200,0.0812,0.0826,0.0803,0.082,5487453.2
1751241600,0.082,0.0825,0.08,0.0817,5554380.5
1751328000,0.0817,0.0822,0.0794,0.0801,4736754.2
1751414400,0.08,0.0832,0.0793,0.0826,4835476.9
1751500800,0.0826,0.0839,0.082,0.083,6229052.5
1751587200,0.0834,0.0835,0.0803,0.0812,3339555.9
1751673600,0.0812,0.0816,0.0802,0.0811,2561255.3
1751760000,0.0811,0.0819,0.08,0.0813,5876003
1751846400,0.0813,0.0819,0.0805,0.0807,3227735.7
1751932800,0.0808,0.1002,0.08,0.0974,94093257.1
1752019200,0.0973,0.1006,0.0922,0.097,65110430.3
1752105600,0.097,0.0997,0.0931,0.0981,27165438.2
1752192000,0.098,0.1057,0.0959,0.1047,37058498.7
1752278400,0.1048,0.1124,0.0994,0.1018,38257914.4
1752364800,0.1019,0.1092,0.1001,0.107,22070691.7
1752451200,0.1071,0.1193,0.1051,0.1071,38071590.3
1752537600,0.107,0.1103,0.1026,0.1081,18661717.4
1752624000,0.108,0.1111,0.1067,0.1084,15352759.9
