ts,open,high,low,close,volume
1660176000,1.3911,1.4462,1.3487,1.3604,3416951.45
1660262400,1.3601,1.4231,1.335,1.4212,1750793.96
1660348800,1.4224,1.4714,1.4078,1.4349,1345570.45
1660435200,1.4349,1.4922,1.3655,1.3903,2498178.04
1660521600,1.3895,1.46,1.3085,1.3341,3299870.3
1660608000,1.334,1.3441,1.2806,1.2854,1760885.52
1660694400,1.2853,1.3345,1.16,1.1821,3633562.93
1660780800,1.1823,1.2205,1.0889,1.1146,3173187.99
1660867200,1.1131,1.1156,1.0101,1.0504,5671376.47
1660953600,1.0505,1.0926,0.9696,0.9985,4580442.49
1661040000,0.9994,1.051,0.9875,1.0251,2297297.18
1661126400,1.0248,1.1059,0.9751,1.0995,4658643.41
1661212800,1.1018,1.1995,1.0649,1.1837,5283065.48
1661299200,1.1847,1.2244,1.1363,1.178,5635446.99
1661385600,1.1773,1.2371,1.1631,1.18,4495808.41
1661472000,1.1788,1.2148,1.0421,1.0529,5015225.37
1661558400,1.0525,1.0666,1.0199,1.0484,3344862.12
1661644800,1.0484,1.0665,0.9886,0.9934,3251340.32
1661731200,0.9932,1.0868,0.975,1.0799,4108670.07
1661817600,1.0797,1.1187,1.0235,1.0664,5716644.79
1661904000,1.0664,1.1891,1.0654,1.1463,7454124.42
1661990400,1.1473,1.1665,1.0628,1.1541,4811753.71
1662076800,1.155,1.1852,1.08,1.0936,4669313.89
1662163200,1.0939,1.1092,1.06,1.0732,1942062.31
1662249600,1.0731,1.1028,1.0483,1.0935,1852386.26
1662336000,1.0934,1.1597,1.06,1.1527,2536872.54
1662422400,1.1521,1.1991,1.019,1.0368,5811916.29
1662508800,1.0377,1.1888,1.0139,1.1669,5797635.17
1662595200,1.1667,1.1765,1.1048,1.1314,3461545.04
1662681600,1.1304,1.2485,1.1258,1.2051,4209181.48
1662768000,1.2077,1.2771,1.1655,1.2442,2693364.28
1662854400,1.2461,1.2554,1.155,1.183,2059256.67
1662940800,1.1824,1.2054,1.1228,1.1425,3305439.01
1663027200,1.1426,1.1528,1.03,1.0523,5601520.02
1663113600,1.0518,1.1292,1.029,1.0703,3946653.75
1663200000,1.0729,1.0916,1.0163,1.0528,3354276.04
1663286400,1.0539,1.0836,1.0219,1.0589,3102042.47
1663372800,1.0589,1.0877,1.0447,1.0834,812936.4
1663459200,1.0844,1.0886,0.9,0.935,2614819.32
1663545600,0.9353,0.9914,0.8887,0.9824,3316182.94
1663632000,0.9825,0.9873,0.938,0.9445,1746758.16
1663718400,0.9428,0.9796,0.8374,0.8625,5904224.11
1663804800,0.8615,0.9299,0.8609,0.9165,1784446.34
1663891200,0.9162,0.9757,0.8682,0.9441,3140167
1663977600,0.9441,0.9506,0.9125,0.9197,583752.31
1664064000,0.9202,0.9316,0.8771,0.8884,916103
1664150400,0.8883,0.935,0.872,0.9302,2673812.31
1664236800,0.9304,0.982,0.9045,0.9128,2327585.03
1664323200,0.9132,0.9432,0.8646,0.9401,2278416.64
1664409600,0.9381,0.9455,0.8982,0.9263,1459695
1664496000,0.9264,0.9458,0.9053,0.9171,1618493.45
1664582400,0.9166,0.9297,0.8854,0.8918,1007877.11
1664668800,0.8917,0.9077,0.8538,0.859,742183.92
1664755200,0.8589,0.9062,0.8475,0.8979,1409482.6
1664841600,0.898,0.9199,0.8874,0.9119,1571380.56
1664928000,0.9121,0.9156,0.874,0.9064,1711747.43
1665014400,0.9065,0.9384,0.888,0.8902,2963231.92
1665100800,0.8908,0.9025,0.8698,0.8972,906910.04
1665187200,0.8964,0.9121,0.875,0.8838,962407.52
1665273600,0.8839,0.8911,0.8752,0.883,314031.08
1665360000,0.8827,0.8918,0.8476,0.8489,906264.96
1665446400,0.849,0.849,0.8094,0.8195,1623171.11
