ts,open,high,low,close,volume
1616630400,2.78,2.78,2.347,2.3891,3617332.16
1616716800,2.3853,2.6565,2.3783,2.6279,4294734.48
1616803200,2.6275,3.1957,2.561,3.1222,15285010.45
1616889600,3.1183,3.39,2.9116,3.0253,14522103.9
1616976000,3.0206,3.5892,2.9907,3.528,10265807.23
1617062400,3.523,3.5285,3.05,3.2916,5496294.48
1617148800,3.2916,3.2998,2.958,3.1406,3671332.28
1617235200,3.1406,3.5089,3.05,3.3077,5410839.02
1617321600,3.3228,3.54,3.196,3.3508,3098968.57
1617408000,3.35,3.4085,2.9,2.9233,3049017.58
1617494400,2.9203,3.119,2.8578,3.1164,3249325.08
1617580800,3.1121,3.501,2.9155,3.3266,4137947.29
1617667200,3.3266,3.3976,3.0011,3.1859,2705118.51
1617753600,3.1893,3.3795,2.75,2.8943,3170207.79
1617840000,2.8927,3.0947,2.85,3.0775,1855236.06
1617926400,3.076,3.1411,2.9152,2.9808,2310518.39
1618012800,2.9808,3.049,2.8602,2.9537,1575035.36
1618099200,2.9613,3.208,2.8822,3.1091,1844679.49
1618185600,3.1068,3.1216,2.9292,3.0459,3129859.03
1618272000,3.0458,3.194,2.98,3.1248,1915902.19
1618358400,3.1285,3.2977,2.9759,3.1591,2916124.05
1618444800,3.1561,4.1669,3.1415,4.0238,7510754.73
1618531200,4.0238,4.66,3.67,3.9118,8603230.61
1618617600,3.9118,4.34,3.7555,3.7837,3502286.52
1618704000,3.7891,3.8763,2.7,3.2282,8187178.15
1618790400,3.2315,3.4661,2.7852,2.8293,3364986.5
1618876800,2.8318,3.1022,2.5861,3.0348,4245946.78
1618963200,3.0328,3.1627,2.8223,2.8858,2975872.35
1619049600,2.8989,3.3402,2.6705,2.756,4812535.99
1619136000,2.7541,2.855,2.2548,2.6481,4326400.61
1619222400,2.6491,2.65,2.3502,2.3739,2021967.9
1619308800,2.3786,2.5521,2.201,2.3841,2048165.5
1619395200,2.3907,2.8447,2.3518,2.7745,3363687.45
1619481600,2.7726,3.2044,2.7139,3.1358,3607502.53
1619568000,3.1303,3.22,2.8175,3.042,2980179.76
1619654400,3.0457,3.2497,2.9,3.0181,2324311.63
1619740800,3.0186,3.4009,2.9597,3.3462,3158645.06
1619827200,3.3419,3.49,3.1651,3.4101,2282405.33
1619913600,3.4104,3.4196,3.1102,3.2779,1577292.2
1620000000,3.28,3.3781,3.1862,3.2461,1972301.01
1620086400,3.2474,3.2496,2.8143,2.8248,4657170.62
1620172800,2.8278,3.1318,2.7568,3.0998,3069970.64
1620259200,3.0963,3.422,3.0287,3.2452,4901423.89
1620345600,3.2395,3.896,3.12,3.6587,6198244.95
1620432000,3.6584,3.99,3.4692,3.5772,4908159.03
1620518400,3.5773,3.607,3.2661,3.4508,2219250.16
1620604800,3.452,3.6969,2.8027,3.0957,3762548.21
1620691200,3.0896,3.3491,2.9671,3.3217,2572895.8
1620777600,3.3197,3.9058,3.1211,3.3473,10726916.63
1620864000,3.3472,4.3,2.9627,3.3655,12860165.45
1620950400,3.3653,3.846,3.31,3.6851,5530874.59
1621036800,3.6885,3.9069,3.1712,3.2233,6913932.05
1621123200,3.2259,3.4964,3,3.2734,3864492.91
1621209600,3.2702,3.2751,2.85,3.0792,5478421.38
1621296000,3.0894,3.6183,3.0426,3.492,12410143.86
1621382400,3.4917,3.58,1.68,1.9548,12407873.63
1621468800,1.962,2.4396,1.65,2.2029,10322906.05
1621555200,2.2035,2.3519,1.5164,1.8481,9664479.14
1621641600,1.8507,1.99,1.5438,1.6292,6661348.95
1621728000,1.6282,1.7061,1.0582,1.32,8378704.32
1621814400,1.3253,1.6495,1.2788,1.628,8086512.61
1621900800,1.6284,1.7072,1.3913,1.6143,6207098.41
1621987200,1.6159,1.9983,1.5784,1.8987,10922993.85
1622073600,1.8986,1.9497,1.65,1.7593,6915219.91
1622160000,1.7591,1.9038,1.4973,1.5883,6206587.6
1622246400,1.587,1.91,1.483,1.7473,7818609.06
1622332800,1.747,1.8039,1.6153,1.6797,7049575.11
1622419200,1.6761,1.9708,1.6034,1.9593,5914167.21
1622505600,1.9572,2.0824,1.7864,2.049,5990889.28
1622592000,2.0495,2.5183,1.9828,2.3327,16861765.05
1622678400,2.3341,2.75,2.2902,2.5032,10010618.65
1622764800,2.5032,2.7894,2.1499,2.6816,12776513.03
1622851200,2.6863,2.9043,2.4043,2.5336,9059499.24
1622937600,2.5285,2.6232,2.403,2.461,4797033.71
1623024000,2.4598,2.575,2.119,2.1514,4865386.73
1623110400,2.1479,2.3824,1.9779,2.3151,7247115.32
1623196800,2.3151,2.5948,2.1662,2.5297,8082261.13
1623283200,2.5166,2.5434,2.2105,2.264,4264109.14
1623369600,2.2657,2.3107,2.0624,2.1624,3849014.84
1623456000,2.1637,2.2881,2.0057,2.0864,4874219.32
1623542400,2.0858,2.2718,2.0546,2.2061,3753148.01
1623628800,2.2086,2.3211,2.1507,2.2749,3188151.88
1623715200,2.2718,2.3571,2.1934,2.2359,2510402.77
1623801600,2.2359,2.2534,2.0437,2.0752,2309731.41
1623888000,2.0733,2.1728,2.0106,2.0956,1254857.6
1623974400,2.0956,2.1371,1.8479,1.9269,2520425.26
1624060800,1.9265,1.9721,1.855,1.855,1040995.71
1624147200,1.8583,1.9568,1.7461,1.9245,2008645.37
1624233600,1.9285,1.9477,1.422,1.4461,5233971.32
1624320000,1.4469,1.5944,1.2158,1.4046,7578501.35
1624406400,1.4037,1.5788,1.3384,1.5026,3869400.01
1624492800,1.5046,1.7266,1.4421,1.6791,2956039.04
1624579200,1.6801,1.7374,1.4298,1.4411,3753439.12
1624665600,1.4396,1.5133,1.3673,1.4885,2220853.81
1624752000,1.4903,1.5996,1.4377,1.5898,1687820.99
1624838400,1.5898,1.6662,1.5541,1.6174,1746355.13
1624924800,1.6177,1.8639,1.6032,1.7947,3060724.38
1625011200,1.7915,1.848,1.6752,1.8177,1922063
1625097600,1.8171,1.8542,1.6509,1.69,1112185.38
1625184000,1.6894,1.7258,1.569,1.6639,897493.38
1625270400,1.6663,1.789,1.6318,1.7591,786478.55
1625356800,1.757,1.9041,1.703,1.8391,1181598.59
1625443200,1.835,1.846,1.6901,1.796,1347350.56
1625529600,1.7967,2.0645,1.7967,1.96,2558713.59
1625616000,1.9602,2.1,1.9283,1.9416,1750965.42
1625702400,1.9361,1.952,1.7127,1.7543,2027389.53
1625788800,1.7541,1.7954,1.6774,1.769,829178.27
1625875200,1.7702,1.8076,1.657,1.7483,1246019.38
1625961600,1.7524,1.7793,1.7174,1.7615,781435.11
1626048000,1.7622,1.7892,1.6381,1.6782,1194502.38
1626134400,1.6782,1.6892,1.5669,1.6036,1124236.07
1626220800,1.605,1.6301,1.4979,1.5978,1247412.05
1626307200,1.6002,1.6475,1.4867,1.5032,1029091.15
1626393600,1.5058,1.5434,1.4109,1.418,888691.37
1626480000,1.4198,1.4636,1.3961,1.4271,764375.52
1626566400,1.4275,1.509,1.3934,1.4109,517371.84
1626652800,1.4105,1.4204,1.3239,1.342,924765.33
1626739200,1.3421,1.3703,1.2237,1.2821,1461887.23
1626825600,1.2793,1.4721,1.2443,1.45,1160225.4
1626912000,1.4496,1.5506,1.4145,1.5438,1170913.74
1626998400,1.5455,1.621,1.4783,1.6048,1264656.72
1627084800,1.6106,1.6183,1.514,1.5476,952877.96
1627171200,1.5478,1.5579,1.4561,1.5258,1086190.72
1627257600,1.5263,1.7093,1.5158,1.5306,2888573.46
1627344000,1.5299,1.5865,1.4731,1.57,924541.16
1627430400,1.5702,1.5832,1.4963,1.5446,763036.33
1627516800,1.5449,1.633,1.5097,1.6238,1093448.24
1627603200,1.6242,1.708,1.527,1.7003,2463166.58
1627689600,1.701,1.7612,1.6448,1.709,2625674.65
1627776000,1.7034,1.7804,1.6369,1.6574,1336053.09
1627862400,1.659,1.6921,1.6054,1.6237,789538.69
1627948800,1.625,1.6387,1.5337,1.57,1174391.81
1628035200,1.571,1.6477,1.53,1.6281,1420717.77
1628121600,1.6297,1.8273,1.586,1.772,2469847.03
1628208000,1.7702,1.9756,1.7,1.9242,3323012.1
1628294400,1.9251,1.9808,1.8185,1.915,2009705.33
1628380800,1.9105,1.9397,1.7212,1.7596,1607639.08
1628467200,1.7619,1.9086,1.71,1.8757,1889980.71
1628553600,1.8757,2.0797,1.8277,2.0692,3646682.59
1628640000,2.0687,2.1934,2.0256,2.0391,3667194.16
1628726400,2.0362,2.1507,1.9261,2.0331,2148861.71
1628812800,2.0329,2.382,2.0242,2.3633,3318872.54
1628899200,2.3632,2.3633,2.1599,2.2674,1900801.76
1628985600,2.2674,2.2912,2.0803,2.2261,1777475.04
1629072000,2.2262,2.288,2.09,2.1207,2413991.28
1629158400,2.1191,2.2342,1.9052,1.92,3409859.85
1629244800,1.9201,2.0158,1.847,1.911,2227952.03
1629331200,1.9201,2.1621,1.871,2.1534,2826855.89
1629417600,2.1534,2.344,2.1294,2.2674,3109631.75
1629504000,2.2667,2.3294,2.152,2.2275,2295542.11
1629590400,2.224,2.4699,2.1808,2.4429,3687523.37
1629676800,2.4458,2.5149,2.278,2.3644,3077765.6
1629763200,2.3642,2.3873,2.08,2.095,3986837.97
1629849600,2.096,2.2513,2.087,2.1981,3261816.72
1629936000,2.1983,2.24,2.008,2.0501,2800636.46
1630022400,2.0477,2.1954,1.986,2.1855,2746381.8
1630108800,2.1859,2.1997,2.0807,2.095,1734458.79
1630195200,2.0974,2.1678,2.0361,2.1048,3584068.52
1630281600,2.1041,2.2721,2.0214,2.0977,4489346.16
1630368000,2.0965,2.3833,2.045,2.2322,4705124.31
1630454400,2.232,2.3167,2.1617,2.3093,3235230.59
1630540800,2.307,2.31,2.203,2.2055,2999755.89
1630627200,2.2062,2.2745,2.1613,2.2075,2889431.99
1630713600,2.2075,2.3376,2.1816,2.2738,5162269.44
1630800000,2.2728,2.5456,2.25,2.4828,6581524.65
1630886400,2.4828,2.6578,2.3646,2.4869,4847048.26
1630972800,2.4938,2.5007,1.6524,1.9938,7356990.58
1631059200,1.9948,2.0583,1.821,1.9874,6674471.9
1631145600,1.9888,2.4337,1.9111,2.3833,8420027.57
1631232000,2.3843,2.475,2.057,2.1452,8409844.37
1631318400,2.1451,2.3311,2.123,2.2704,5357953.57
1631404800,2.2678,2.4333,2.203,2.4215,4112489.87
1631491200,2.4224,2.48,2.0476,2.3638,7207078.74
1631577600,2.361,2.8565,2.3569,2.7991,12917960.28
1631664000,2.7991,3.2296,2.7179,3.0135,15204730.67
1631750400,3.0159,3.4427,2.9224,3.1069,16262848.47
1631836800,3.1096,3.2369,2.7741,2.8042,9541556.58
1631923200,2.8068,2.977,2.7,2.8847,6750928.57
1632009600,2.8834,3.095,2.6803,3.0446,6654105.82
1632096000,3.0466,3.1421,2.3456,2.4095,10416314.33
1632182400,2.4098,2.6629,2.13,2.2017,8289798.96
1632268800,2.2017,2.521,2.15,2.4498,6417609.6
1632355200,2.4491,2.8383,2.3555,2.7905,7410419.05
1632441600,2.7891,2.7953,2.25,2.428,7257124.47
1632528000,2.4293,2.4822,2.2684,2.3109,2810291.18
1632614400,2.3111,2.6197,2.0666,2.5451,5371662.53
1632700800,2.5455,2.7514,2.3601,2.3695,7227516.56
1632787200,2.369,2.4185,2.2209,2.2278,4820003.46
1632873600,2.226,2.4005,2.2123,2.2879,2493944.98
1632960000,2.2884,2.3995,2.253,2.3346,3492951.14
1633046400,2.3326,2.56,2.285,2.5345,4510421.22
1633132800,2.5343,2.6555,2.4583,2.5345,3339903.87
1633219200,2.5356,2.962,2.4816,2.8148,7921899.41
1633305600,2.8175,2.9117,2.634,2.8814,6906239.12
1633392000,2.881,3.0374,2.7572,2.9405,7021564.21
1633478400,2.9395,2.9486,2.6274,2.7378,4811114.64
1633564800,2.7383,2.9005,2.6497,2.8128,4348751.47
1633651200,2.8137,2.9647,2.7517,2.9579,3408119.57
1633737600,2.9606,3.0959,2.8667,2.9105,5102920.02
1633824000,2.9108,2.9108,2.6794,2.6976,3181525.89
1633910400,2.696,2.812,2.6348,2.6948,2409447.43
1633996800,2.696,2.705,2.52,2.6875,2415969.67
1634083200,2.6852,3.0011,2.647,2.9601,7298042.21
1634169600,2.9604,3.1541,2.8564,2.8902,4742026.98
1634256000,2.8902,3.014,2.8046,2.8979,3479955.13
1634342400,2.8972,3.0813,2.881,2.9073,2507537.77
1634428800,2.9042,2.9179,2.725,2.8699,2232197.57
1634515200,2.8699,2.8741,2.722,2.7943,2013572.36
1634601600,2.7957,2.846,2.6829,2.7962,2255232.02
1634688000,2.7928,2.9716,2.7914,2.9381,3697090.35
1634774400,2.9389,3.0605,2.8371,2.8585,4269584.34
1634860800,2.8584,3.3744,2.857,3.3353,7243572.64
1634947200,3.3392,3.7966,3.1732,3.6941,8518948.39
1635033600,3.6941,3.948,3.456,3.5013,8644943
1635120000,3.5015,4.8836,3.4829,4.8092,16717886.88
