ts,open,high,low,close,volume
1695214800,0.4364,0.4388,0.4357,0.4385,33585.56
1695218400,0.4378,0.4416,0.4378,0.4393,212904.45
1695222000,0.4386,0.4394,0.4373,0.438,42565.94
1695225600,0.4384,0.4384,0.4363,0.4365,3696.47
1695229200,0.4366,0.4384,0.4362,0.4374,14088.15
1695232800,0.4389,0.4423,0.4382,0.4423,11082.28
1695236400,0.441,0.441,0.4336,0.4373,26806.97
1695240000,0.4365,0.4386,0.4355,0.4384,58954.83
1695243600,0.4389,0.4435,0.4383,0.4422,129065.79
1695247200,0.4411,0.4422,0.4402,0.4413,54304.64
1695250800,0.4404,0.4422,0.4393,0.4422,34604.25
1695254400,0.4418,0.448,0.4414,0.4468,88349.01
1695258000,0.4461,0.4461,0.4433,0.4437,17217.44
1695261600,0.4445,0.4465,0.4418,0.4427,54464.68
1695265200,0.444,0.4496,0.4436,0.4492,25052.87
1695268800,0.4494,0.4566,0.4494,0.4512,243045.73
1695272400,0.4524,0.4535,0.4491,0.4521,86063.89
1695276000,0.4523,0.4523,0.4475,0.4494,47326
1695279600,0.4494,0.4517,0.4494,0.4495,68093.79
1695283200,0.4491,0.4512,0.4491,0.4493,42518.85
1695286800,0.4493,0.4493,0.4373,0.4406,35939.1
1695290400,0.4412,0.4415,0.4324,0.4324,157549.25
1695294000,0.4324,0.4381,0.4324,0.4381,81536.99
1695297600,0.4376,0.4389,0.4371,0.4385,28172.26
1695301200,0.4385,0.4386,0.4343,0.4365,35966.34
1695304800,0.4358,0.4452,0.4358,0.4447,37570.71
1695308400,0.445,0.4464,0.4431,0.4452,34042.23
1695312000,0.4456,0.4456,0.4424,0.4442,89459.42
1695315600,0.4443,0.4471,0.4443,0.4449,31010.28
1695319200,0.4438,0.4462,0.4438,0.4461,17987.46
1695322800,0.4454,0.4498,0.4454,0.4472,107058.51
1695326400,0.447,0.447,0.4428,0.4449,38492.76
1695330000,0.4453,0.4453,0.4414,0.4425,65381.96
1695333600,0.4436,0.4461,0.4434,0.4461,105772.55
1695337200,0.4463,0.4463,0.4438,0.4446,66613.16
1695340800,0.4446,0.4446,0.4366,0.4427,103309.83
1695344400,0.4427,0.4484,0.4419,0.4473,25354.49
1695348000,0.4475,0.4481,0.4426,0.4426,38455.31
1695351600,0.4413,0.4508,0.4412,0.4506,119402.76
1695355200,0.4512,0.4519,0.4492,0.4492,125263.3
1695358800,0.4485,0.4496,0.4474,0.4493,32622.93
1695362400,0.4466,0.4469,0.4424,0.4424,35560.57
1695366000,0.4435,0.4435,0.4401,0.4423,35751.32
1695369600,0.4421,0.461,0.4421,0.4529,396304.14
1695373200,0.4543,0.4586,0.4533,0.4568,34938.68
1695376800,0.4573,0.4607,0.4573,0.458,63794.52
1695380400,0.4577,0.4619,0.4574,0.46,112518.83
1695384000,0.4594,0.4595,0.4559,0.4567,90725.68
1695387600,0.4563,0.466,0.4562,0.465,320170.34
1695391200,0.4641,0.4767,0.4627,0.4704,365766.83
1695394800,0.4706,0.4728,0.4664,0.4664,89174.05
1695398400,0.4674,0.4908,0.4674,0.4766,493193.27
1695402000,0.4772,0.5012,0.4772,0.4912,508868.87
1695405600,0.491,0.4919,0.4858,0.4918,72675.3
1695409200,0.4923,0.4972,0.4894,0.495,275232.85
1695412800,0.4948,0.4968,0.4877,0.4884,107152.54
1695416400,0.4878,0.4931,0.4871,0.4924,185135.74
1695420000,0.492,0.4926,0.4846,0.4868,98491.03
1695423600,0.4865,0.4925,0.4854,0.4911,72677.37
1695427200,0.4911,0.4968,0.4846,0.4875,76134.05
1695430800,0.4889,0.4917,0.4866,0.4901,265275.49
1695434400,0.4898,0.4898,0.4821,0.4823,80565
1695438000,0.4828,0.485,0.4801,0.4807,58217.39
1695441600,0.4801,0.4877,0.4791,0.4868,36408.67
1695445200,0.4869,0.4897,0.4858,0.4875,89912.7
1695448800,0.488,0.488,0.4795,0.4796,67426.24
1695452400,0.4802,0.4804,0.477,0.478,50385.41
1695456000,0.4795,0.4804,0.4766,0.4792,33009.84
1695459600,0.4781,0.4809,0.4764,0.4786,154159.65
1695463200,0.4767,0.477,0.4743,0.4759,9454.94
1695466800,0.4746,0.4773,0.4736,0.4773,33236.46
1695470400,0.477,0.477,0.4709,0.474,102478.26
