ts,open,high,low,close,volume
1746576000,3.07,3.417,2.992,3.081,415228.786
1746662400,3.081,3.501,3.072,3.455,419605.225
1746748800,3.443,3.78,3.327,3.355,515997.714
1746835200,3.382,3.644,3.361,3.62,263949.496
1746921600,3.605,3.707,3.324,3.43,428551.573
1747008000,3.432,3.614,3.165,3.316,395142.04
1747094400,3.31,3.518,3.075,3.355,330171.819
1747180800,3.36,3.474,3.223,3.319,160493.625
1747267200,3.322,3.409,3.021,3.102,221837.18
1747353600,3.101,3.262,3.03,3.1,133541.65
1747440000,3.087,3.12,2.978,3.051,81037.445
1747526400,3.056,3.35,3.039,3.301,157119.927
1747612800,3.275,3.309,3.059,3.198,96242.138
1747699200,3.2,3.501,3.16,3.323,303387.976
1747785600,3.325,3.525,3.269,3.416,206938.914
1747872000,3.414,3.846,3.368,3.7,248019.063
1747958400,3.693,3.832,3.323,3.366,277204.139
1748044800,3.365,3.448,3.237,3.248,98435.175
1748131200,3.249,3.274,3.01,3.159,139635.776
1748217600,3.165,3.285,3.156,3.204,92653.256
1748304000,3.202,3.467,3.154,3.335,102554.075
1748390400,3.326,3.397,3.219,3.304,101060.233
1748476800,3.323,3.428,3.149,3.21,180202.921
1748563200,3.229,3.236,2.794,2.824,205908.302
1748649600,2.808,2.821,2.622,2.739,201636.172
1748736000,2.743,2.761,2.611,2.676,105439.199
1748822400,2.675,2.787,2.53,2.772,129346.656
1748908800,2.771,2.797,2.643,2.656,119328.589
1748995200,2.66,2.907,2.629,2.753,325254.329
1749081600,2.752,2.759,2.52,2.593,127907.587
1749168000,2.6,2.731,2.58,2.618,59418.799
1749254400,2.614,2.727,2.601,2.717,26294.458
1749340800,2.705,2.721,2.643,2.665,24993.376
1749427200,2.672,2.873,2.661,2.873,76266.329
1749513600,2.871,3.138,2.838,3.061,117462.257
1749600000,3.059,3.099,2.829,2.866,149874.603
1749686400,2.858,2.858,2.624,2.65,67395.294
1749772800,2.65,2.662,2.48,2.662,151123.563
1749859200,2.661,2.7,2.535,2.611,90464.556
1749945600,2.607,2.669,2.581,2.634,56893.291
1750032000,2.634,2.786,2.537,2.54,152046.897
1750118400,2.534,2.716,2.337,2.524,390569.65
1750204800,2.526,2.66,2.386,2.58,250721.165
1750291200,2.579,2.699,2.534,2.615,216634.382
1750377600,2.619,2.636,2.412,2.504,106918.208
1750464000,2.504,2.573,2.3,2.39,184845.815
1750550400,2.389,2.427,2.235,2.34,166467.071
1750636800,2.349,2.765,2.315,2.598,279302.383
1750723200,2.618,2.785,2.584,2.636,116252.908
1750809600,2.638,2.663,2.45,2.464,86645.835
1750896000,2.462,2.547,2.335,2.375,93538.077
1750982400,2.377,2.502,2.318,2.364,112373.531
1751068800,2.351,2.399,2.318,2.389,47025.009
1751155200,2.386,2.485,2.309,2.44,106766.683
1751241600,2.437,2.448,2.18,2.342,108803.611
1751328000,2.345,2.35,2.179,2.188,110720.914
1751414400,2.184,2.397,2.162,2.358,91162.856
1751500800,2.361,2.427,2.32,2.364,110286.627
1751587200,2.366,2.378,2.154,2.201,141804.766
1751673600,2.201,2.214,2.121,2.16,90671.699
1751760000,2.155,2.429,2.141,2.327,113688.048
1751846400,2.34,2.361,2.229,2.301,49360.907
1751932800,2.301,2.474,2.297,2.462,90437.074
1752019200,2.457,2.68,2.429,2.658,150035.03
1752105600,2.653,3.045,2.629,2.986,260949.234
1752192000,2.995,3.358,2.922,3.058,350128.934
1752278400,3.044,3.276,2.96,3.079,193323.716
1752364800,3.081,3.642,3.075,3.549,202814.606
1752451200,3.56,4.094,3.537,3.894,452268.085
1752537600,3.889,4.25,3.777,4.216,272022.531
1752624000,4.207,5.25,4.178,4.877,1024984.714
