ts,open,high,low,close,volume
1695200400,26.4,26.42,26.08,26.18,112.911
1695204000,26.12,26.27,26.12,26.22,22.127
1695207600,26.23,26.24,26.2,26.2,46.445
1695211200,26.19,26.24,26.08,26.12,156.99976761
1695214800,26.13,26.34,26.11,26.28,63.27822813
1695218400,26.36,26.39,26.26,26.28,30.94746967
1695222000,26.27,26.37,26.26,26.37,54.074
1695225600,26.37,26.39,26.29,26.29,129.42
1695229200,26.3,26.41,26.27,26.39,123.721
1695232800,26.4,26.53,26.36,26.47,97.57507099
1695236400,26.5,26.51,26.07,26.21,46.71287369
1695240000,26.14,26.39,26.14,26.39,43.999
1695243600,26.42,26.5,26.42,26.45,48.84207099
1695247200,26.45,26.51,26.45,26.5,55.688
1695250800,26.51,26.55,26.46,26.53,108.91274763
1695254400,26.5,26.74,26.5,26.61,146.943
1695258000,26.66,26.75,26.51,26.58,29.86052797
1695261600,26.68,26.76,26.53,26.59,45.19700413
1695265200,26.61,26.65,26.53,26.63,27.612
1695268800,26.62,26.68,26.55,26.63,21.43498832
1695272400,26.68,26.68,26.42,26.57,10.269
1695276000,26.4,26.45,26.32,26.39,26.536
1695279600,26.41,26.42,26.34,26.36,52.171
1695283200,26.36,26.41,26.31,26.41,44.938
1695286800,26.3,26.35,26.09,26.14,58.715
1695290400,26.16,26.18,25.86,25.86,219.153
1695294000,25.89,26.11,25.89,26.08,256.999
1695297600,26.1,26.17,26.05,26.12,130.723
1695301200,26.09,26.1,25.9,25.99,49.819
1695304800,26.02,26.27,26,26.27,181.74154714
1695308400,26.22,26.29,26.19,26.29,36.447
1695312000,26.27,26.29,26.22,26.22,105.088
1695315600,26.18,26.35,26.18,26.22,124.83360379
1695319200,26.21,26.28,26.21,26.28,132.27905289
1695322800,26.25,26.32,26.23,26.32,6.917
1695326400,26.25,26.27,26.11,26.22,20.037
1695330000,26.24,26.24,26.13,26.18,33.308
1695333600,26.22,26.26,26.17,26.26,130.55765409
1695337200,26.3,26.35,26.23,26.24,25.9476428
1695340800,26.19,26.29,26.01,26.29,29.451
1695344400,26.32,26.48,26.22,26.42,46.818
1695348000,26.45,26.45,26.32,26.39,13.919
1695351600,26.43,26.48,26.36,26.46,145.24826757
1695355200,26.44,26.49,26.31,26.36,232.77997092
1695358800,26.36,26.36,26.2,26.26,61.83
1695362400,26.25,26.25,26.18,26.18,4.25
1695366000,26.21,26.36,26.21,26.36,49.397
1695369600,26.33,26.44,26.32,26.44,15.913
1695373200,26.36,26.47,26.35,26.42,58.375
1695376800,26.44,26.46,26.39,26.44,9.2227099
1695380400,26.41,26.52,26.41,26.46,95.921
1695384000,26.47,26.55,26.38,26.39,70.44112806
1695387600,26.4,26.46,26.37,26.44,93.4006538
1695391200,26.38,26.56,26.34,26.56,415.84810309
1695394800,26.51,26.54,26.41,26.42,53.584
1695398400,26.38,26.53,26.37,26.39,44.57753335
1695402000,26.41,26.55,26.39,26.53,19.447
1695405600,26.58,26.7,26.54,26.7,154.895
1695409200,26.7,26.7,26.57,26.65,117.10224793
1695412800,26.62,26.67,26.54,26.54,37.82
1695416400,26.53,26.72,26.52,26.72,74.102
1695420000,26.75,26.78,26.71,26.74,59.003
1695423600,26.8,26.83,26.7,26.72,151.195
1695427200,26.74,26.87,26.74,26.86,63.10399535
