ts,open,high,low,close,volume
1757138400,0.21548,0.21613,0.214,0.21432,9951407.5
1757160000,0.21431,0.21589,0.21334,0.21377,28408765.5
1757181600,0.21377,0.2181,0.21228,0.21596,34092197.4
1757203200,0.21598,0.21763,0.21576,0.21751,21502109.8
1757224800,0.21755,0.21952,0.21659,0.21927,14318085.8
1757246400,0.21922,0.22512,0.21833,0.2213,95638498.8
1757268000,0.22134,0.22922,0.21988,0.22876,87940687.5
1757289600,0.22884,0.23495,0.22648,0.23246,147461371.5
1757311200,0.23248,0.23481,0.23088,0.23337,72347508.5
1757332800,0.23342,0.23981,0.23293,0.23766,168504773
1757354400,0.23764,0.2441,0.23686,0.24166,170598665.7
1757376000,0.2417,0.24393,0.23358,0.23742,124417197.3
1757397600,0.23743,0.24265,0.23711,0.2416,64262654.2
1757419200,0.24156,0.24945,0.23672,0.24001,224338914.6
1757440800,0.23995,0.24344,0.23893,0.24059,64544659.6
1757462400,0.24054,0.2421,0.23618,0.23958,59308990.4
1757484000,0.23956,0.24248,0.23851,0.24014,42308593.7
1757505600,0.24015,0.24874,0.24001,0.24542,113859954.3
1757527200,0.2454,0.24605,0.23848,0.24543,89680027.9
1757548800,0.2454,0.25346,0.2438,0.25008,161478054.4
1757570400,0.25007,0.25198,0.24831,0.25102,71333003.1
1757592000,0.25104,0.25484,0.24255,0.25001,136393329.8
1757613600,0.25,0.25706,0.24932,0.25613,123386535.6
1757635200,0.25615,0.26465,0.25494,0.2633,164335171.2
1757656800,0.26335,0.26342,0.25855,0.25995,46253672.6
1757678400,0.25997,0.2732,0.25789,0.27011,212964187.4
1757700000,0.27012,0.2788,0.26961,0.27565,112299297.5
1757721600,0.27568,0.28596,0.27282,0.28262,149163400.7
1757743200,0.28264,0.29957,0.28237,0.29639,168028266.1
1757764800,0.29639,0.30759,0.28088,0.28717,331317091.5
1757786400,0.28721,0.29255,0.28407,0.28951,96681832.1
1757808000,0.28952,0.29521,0.28158,0.28942,135689099.1
1757829600,0.28939,0.29345,0.28501,0.28567,71939714.9
1757851200,0.28567,0.2873,0.27278,0.28183,230108429.3
1757872800,0.28172,0.28298,0.27684,0.27805,78151191.5
1757894400,0.27804,0.28214,0.27426,0.2817,98848254.5
1757916000,0.28168,0.28181,0.25877,0.2654,212740603.6
1757937600,0.26537,0.26696,0.2611,0.26629,137420826.2
1757959200,0.26624,0.26945,0.26285,0.26836,109677839.1
1757980800,0.2684,0.27018,0.26224,0.2681,91712704.2
1758002400,0.26812,0.26969,0.26349,0.26464,103922429.6
1758024000,0.26466,0.26997,0.2568,0.26676,177626536.2
1758045600,0.26679,0.27214,0.26633,0.27001,78613061.3
1758067200,0.27006,0.27144,0.26385,0.2672,84801380.7
1758088800,0.26718,0.2702,0.26448,0.26547,48634443.6
1758110400,0.26554,0.27216,0.26208,0.26208,69070949.4
1758132000,0.26214,0.28405,0.26079,0.2826,258455650.5
1758153600,0.2827,0.28595,0.27845,0.27982,135945761.2
1758175200,0.27984,0.28217,0.2764,0.27967,59293477.9
1758196800,0.27966,0.28899,0.27871,0.2839,126914442.1
1758218400,0.28389,0.28626,0.27564,0.27868,86859386
1758240000,0.27865,0.28502,0.2736,0.27636,93142797.6
1758261600,0.27637,0.27694,0.27,0.27132,50161754.8
1758283200,0.2713,0.27276,0.26424,0.26523,104183402.7
1758304800,0.26518,0.26754,0.26323,0.26542,43619073.8
1758326400,0.26541,0.26753,0.26315,0.26705,34614715
1758348000,0.26702,0.26704,0.26343,0.26531,21325806.4
