ts,open,high,low,close,volume
1623801600,24,24,22.5,23.04,731607.48
1623888000,23.04,24.004,22.002,22.553,777914.524
1623974400,22.559,22.571,20.222,21.468,1330098.09
1624060800,21.437,21.665,20.227,20.227,547034.134
1624147200,20.222,21,18.878,20.653,601282.398
1624233600,20.596,20.8,15.673,15.732,1365773.166
1624320000,15.726,22.8,13.15,14.676,2995484.869
1624406400,14.715,16.842,14,15.813,2036329.839
1624492800,15.813,16.606,14.737,16.224,1155981.42
1624579200,16.22,16.731,14.419,14.434,1190915.644
1624665600,14.433,14.987,13.705,14.677,1006464.295
1624752000,14.68,15.2,14.077,15.014,845818.234
1624838400,15.027,16.038,14.602,15.786,1367247.335
1624924800,15.806,17.112,15.72,16.255,1674870.891
1625011200,16.305,16.636,15.097,16.416,1172400.684
1625097600,16.42,16.42,14.85,15.202,954947.584
1625184000,15.188,15.459,14.63,15.295,738167.921
1625270400,15.3,15.756,14.99,15.53,480326.707
1625356800,15.53,16.58,15.17,15.974,690420.012
1625443200,15.972,15.983,14.755,15.239,738731.255
1625529600,15.248,16.231,15.199,16.144,926262.027
1625616000,16.128,17.677,16.083,16.853,1894698.013
1625702400,16.837,16.916,15.001,15.32,1521815.66
1625788800,15.316,15.91,14.84,15.683,721279.887
1625875200,15.695,15.995,15.05,15.287,396697.764
1625961600,15.275,15.704,15.149,15.493,344700.405
1626048000,15.488,15.651,14.411,14.854,556254.368
1626134400,14.855,15.1,14.02,14.184,549838.253
1626220800,14.209,14.233,13.169,13.808,923940.487
1626307200,13.801,14.108,12.743,13.108,982451.262
1626393600,13.112,13.321,12.005,12.026,974652.264
1626480000,12.032,12.747,11.722,12.3,999868.767
1626566400,12.304,12.935,12.266,12.678,771950.001
1626652800,12.678,12.748,11.354,11.457,1018502.085
1626739200,11.467,11.557,10.378,10.96,1618913.699
1626825600,10.97,12.864,10.66,12.336,1853976.604
1626912000,12.343,13.374,11.801,13.175,1382718.554
1626998400,13.167,13.531,12.33,13.408,1432322.598
1627084800,13.413,14.07,13.135,13.758,1365732.116
1627171200,13.781,13.846,13.088,13.758,1057455.209
1627257600,13.758,15.3,13.658,13.926,2403351.077
1627344000,13.921,14.547,13.358,14.387,1699803.602
1627430400,14.37,14.769,13.939,14.543,1383476.266
1627516800,14.544,15.395,14.27,15.264,1439467.851
1627603200,15.264,15.86,14.428,15.812,1501381.706
1627689600,15.801,17.04,15.593,16.803,1570179.456
1627776000,16.796,19.899,16.564,18.413,3702793.656
1627862400,18.425,18.924,17.563,17.986,1735216.059
1627948800,17.987,18.538,16.812,17.436,1084497.075
1628035200,17.429,19.589,17.1,19.15,1670809.795
1628121600,19.152,19.454,17.869,19.137,1548852.237
1628208000,19.149,20.833,18.526,20.436,1355346.026
1628294400,20.436,21.697,20.017,20.972,1522210.125
1628380800,20.987,21.219,19.206,19.675,1227232.338
1628467200,19.683,21.278,18.641,20.583,1409763.135
1628553600,20.583,21.424,20.069,20.621,1814688.095
1628640000,20.623,22.472,20.55,21.354,2109535.941
1628726400,21.364,22.309,19.913,20.751,1237086.382
1628812800,20.772,22.775,20.521,22.752,1545861.948
1628899200,22.752,23.483,21.792,22.865,1246219.751
1628985600,22.862,23.356,21.853,23.179,948875.99
1629072000,23.178,25.72,22.85,24.433,2940809.639
1629158400,24.43,27.499,23.016,23.53,3926168.973
1629244800,23.539,25.187,22.5,23.875,2769231.047
1629331200,23.886,26.882,23.471,26.596,2200394.837
1629417600,26.6,28.48,26.094,28.169,2289660.975
1629504000,28.179,29.386,27.508,27.883,1622341.555
1629590400,27.871,28.747,26.529,27.69,1693529.747
1629676800,27.71,28.65,27.331,27.894,1721620.591
1629763200,27.893,28.185,24.325,25.088,2207682.159
1629849600,25.086,26.569,24.484,25.995,1821656.327
1629936000,25.985,26.408,23.471,23.932,1933525.087
1630022400,23.915,26.814,23.461,26.543,1962748.464
1630108800,26.559,26.772,25.44,25.98,1089324.031
1630195200,25.981,26.49,25.273,25.735,1230076.517
1630281600,25.725,27.596,24.328,26.03,2814095.511
1630368000,26.055,32,25.614,31.353,6604408.881
1630454400,31.356,33.882,29.618,33.2,5058796.822
1630540800,33.196,33.223,31.308,31.814,2904863.258
1630627200,31.813,34.041,31.011,33.601,3060637.38
1630713600,33.612,34.153,32.023,32.384,1866652.269
1630800000,32.425,34.797,32.01,34.454,1980645.625
1630886400,34.45,35.076,32.416,34.355,2230283.895
1630972800,34.361,35.683,22,27.965,6528203.537
1631059200,28,28.917,25.217,27.778,4910793.008
1631145600,27.784,31.88,27.007,29.842,4743556.6
1631232000,29.817,32.695,28,29.2,3517122.346
1631318400,29.178,32.097,28.274,31.57,2733793.424
1631404800,31.57,36.515,30.631,35.825,5121519.12
1631491200,35.823,38.159,31.452,34.859,7672100.211
1631577600,34.86,38.791,34.05,37.38,5528270.858
1631664000,37.382,38.045,35.553,36.456,2508198.638
1631750400,36.468,36.97,34.053,35.531,2330788.699
1631836800,35.519,36.97,32.2,33.055,2778482.053
1631923200,33.061,35.92,32.526,34.869,2624763.26
1632009600,34.858,34.887,33.05,33.853,1734371.232
1632096000,33.864,33.92,26.604,28.319,4789243.081
1632182400,28.308,30.368,25.5,26.368,4361675.707
1632268800,26.401,32.005,25.92,31.604,4219155.426
1632355200,31.602,33.624,30.379,33.425,2701680.175
1632441600,33.441,33.534,27.92,30.841,4185202.79
1632528000,30.841,32.245,29.438,29.848,2322256.371
1632614400,29.86,30.027,26.785,28.86,2802602.685
1632700800,28.83,30.254,27.59,27.752,2186507.023
1632787200,27.729,28.381,26.134,26.33,1945126.052
1632873600,26.315,28.584,26.118,27.27,2374803.459
1632960000,27.27,28.979,27.124,28.616,1601578.446
1633046400,28.627,32.341,28.505,31.953,2726540.597
1633132800,31.955,33.416,31.527,32.034,1842537.307
1633219200,32.027,32.699,31.276,32.114,1670895.207
1633305600,32.126,32.128,30.07,31.152,1658842.32
1633392000,31.179,32.159,30.565,31.4,1695192.933
1633478400,31.4,33.101,29.13,32.201,3141940.603
1633564800,32.221,35.332,30.951,33.98,3373945.386
1633651200,33.998,34.491,33.03,33.349,2338582.509
1633737600,33.379,36.909,32.992,36.325,3396753.639
1633824000,36.33,37.486,34.118,34.441,2841873.926
1633910400,34.442,36.088,33.251,34.122,2501226.84
1633996800,34.126,35.443,32.078,35.187,2858620.014
1634083200,35.181,43.355,33.61,41.68,6504657.772
1634169600,41.7,42.492,39.317,40.701,4184759.884
1634256000,40.7,44.197,39.445,43.281,4536613.05
1634342400,43.276,44.75,41.26,41.765,3209878.285
1634428800,41.768,42.864,39.56,42.11,2481893.646
1634515200,42.127,43.265,40.24,41.173,2600323.138
1634601600,41.164,41.655,40.022,41.36,2151091.405
1634688000,41.34,45.212,41.087,44.433,2508531.409
1634774400,44.438,45.531,41.904,42.847,3065219.076
1634860800,42.844,46.38,42.704,43.511,3311165.631
1634947200,43.494,44.781,43.07,43.943,1655772.175
1635033600,43.943,44.16,41.308,42.29,1911051.977
1635120000,42.287,44.781,42.116,44.542,1756514.858
1635206400,44.547,46.189,43.329,44.913,3353738.378
1635292800,44.93,45.743,38.501,40.425,4098121.772
1635379200,40.471,43.124,39.88,41.834,3504139.137
1635465600,41.821,44.376,41.6,44.183,3065825.75
1635552000,44.206,44.332,42.12,42.715,1695641.747
1635638400,42.735,43.392,41.048,42.803,2830736.096
1635724800,42.818,51.681,41.785,50.007,5464258.909
1635811200,50.032,53.384,48.092,51.713,4489253.164
1635897600,51.713,54.634,49.12,53.4,3877286.495
1635984000,53.403,55.134,52.208,53.899,2947777.762
1636070400,53.899,53.982,50.624,51.827,1989461.55
1636156800,51.826,52.474,49.034,52.098,2047031.582
1636243200,52.087,53.514,51.359,52.253,1434427.296
1636329600,52.264,53.905,51.679,53.41,1825931.59
1636416000,53.393,53.457,50.51,50.77,2002934.54
1636502400,50.788,52.021,42.341,46.797,3892757.796
1636588800,46.794,49.473,45.577,47.49,2329324.686
1636675200,47.464,47.752,44.053,45.939,2439714.914
1636761600,45.92,47.555,44.886,47.098,1230022.489
1636848000,47.098,47.859,45.043,46.404,966237.023
1636934400,46.424,47.481,44.53,44.758,1467116.383
1637020800,44.757,44.767,38.09,40.87,4453819.24
1637107200,40.869,42.791,38.56,42.778,2900525.236
1637193600,42.758,43.292,37.613,39.062,3158204.952
1637280000,39.059,42.333,38.403,41.264,2132533.632
1637366400,41.262,42.14,39.886,42.14,1172937.353
1637452800,42.141,43.656,40.656,41.976,1436092.232
1637539200,42.018,42.18,38.828,39.525,1757167.492
1637625600,39.513,41.493,38.577,40.776,1532225.493
1637712000,40.79,40.805,38.064,38.297,1799408.39
1637798400,38.297,40.964,38.059,39.469,1446436.438
1637884800,39.513,39.648,33.713,34.591,3506433.892
1637971200,34.588,35.973,34.463,35.167,1523111.889
1638057600,35.167,35.888,32.23,35.785,2242886.035
1638144000,35.789,37.586,35.443,37.146,1849733.045
1638230400,37.153,39.4,35.397,37.982,2136360.897
1638316800,37.996,38.795,36.24,36.827,3336733.3
1638403200,36.813,36.84,35.115,35.791,2200167.856
1638489600,35.79,36.883,32.55,33.71,2894480.944
1638576000,33.719,33.874,25.633,29.463,4687318.894
1638662400,29.431,29.796,26.395,28.373,3540685.619
1638748800,28.375,28.989,24.87,28.184,4880826.264
1638835200,28.184,31.517,27.744,30.551,3412921.095
1638921600,30.539,30.664,27.963,29.83,2493358.648
1639008000,29.873,30.18,26.804,26.94,2610199.858
1639094400,26.94,28.44,25.67,26.44,2602565.298
1639180800,26.43,28.21,25.81,27.82,2729161.7
