ts,open,high,low,close,volume
1695146400,4.133,4.154,4.132,4.138,14940.132
1695150000,4.137,4.145,4.131,4.141,22577.191
1695153600,4.14,4.149,4.132,4.137,15341.054
1695157200,4.137,4.163,4.124,4.159,11475.062
1695160800,4.159,4.164,4.144,4.154,8821.066
1695164400,4.151,4.165,4.15,4.155,8771.809
1695168000,4.155,4.166,4.134,4.151,9432.503
1695171600,4.15,4.163,4.146,4.163,5649.723
1695175200,4.164,4.17,4.134,4.136,30407.47
1695178800,4.135,4.145,4.12,4.13,8589.746
1695182400,4.129,4.133,4.122,4.122,6106.132
1695186000,4.123,4.128,4.116,4.119,5630.894
1695189600,4.119,4.121,4.104,4.113,4439.35
1695193200,4.113,4.124,4.108,4.12,3262.212
1695196800,4.118,4.136,4.116,4.132,10477.605
1695200400,4.131,4.133,4.085,4.108,13335.415
1695204000,4.106,4.11,4.087,4.105,8370.822
1695207600,4.101,4.117,4.1,4.109,5459.819
1695211200,4.109,4.112,4.085,4.095,14740.135
1695214800,4.092,4.11,4.075,4.107,12570.02
1695218400,4.109,4.116,4.094,4.099,16794.323
1695222000,4.098,4.115,4.098,4.108,6816.435
1695225600,4.106,4.122,4.101,4.117,8708.971
1695229200,4.117,4.126,4.107,4.117,10626.704
1695232800,4.117,4.155,4.102,4.144,24836.108
1695236400,4.142,4.148,4.066,4.104,29463.687
1695240000,4.105,4.128,4.1,4.128,8758.586
1695243600,4.129,4.155,4.12,4.141,11337.371
1695247200,4.141,4.146,4.131,4.139,8462.698
1695250800,4.138,4.145,4.128,4.138,6799.901
1695254400,4.139,4.165,4.136,4.154,7434.364
1695258000,4.153,4.158,4.126,4.141,7056.006
1695261600,4.14,4.156,4.133,4.138,5474.58
1695265200,4.139,4.153,4.133,4.153,6660.115
1695268800,4.152,4.154,4.144,4.149,3829.227
1695272400,4.148,4.148,4.122,4.136,3792.14
1695276000,4.131,4.132,4.1,4.118,8374.254
1695279600,4.12,4.12,4.106,4.109,4727.355
1695283200,4.105,4.119,4.093,4.097,8012.809
1695286800,4.092,4.093,4.057,4.067,20693.807
1695290400,4.067,4.073,4.021,4.021,21427.425
1695294000,4.02,4.056,4.02,4.053,9625.769
1695297600,4.052,4.055,4.03,4.043,10549.337
1695301200,4.041,4.044,4.007,4.024,15977.409
1695304800,4.024,4.045,4.02,4.037,16524.511
1695308400,4.04,4.049,4.032,4.039,11111.974
1695312000,4.035,4.036,4.023,4.028,8232.518
1695315600,4.029,4.041,4.026,4.029,7327.478
1695319200,4.029,4.035,4.023,4.029,2879.402
1695322800,4.029,4.033,4.02,4.028,17752.302
1695326400,4.024,4.025,4,4.02,13936.542
1695330000,4.019,4.022,4.003,4.022,7468.333
1695333600,4.022,4.023,4.013,4.023,4744.769
1695337200,4.024,4.027,4.012,4.013,5915.664
1695340800,4.013,4.025,3.979,4.025,20746.916
1695344400,4.024,4.035,4.012,4.03,4111.565
1695348000,4.03,4.036,4.022,4.024,6333.894
1695351600,4.024,4.037,4.015,4.023,21394.969
1695355200,4.023,4.031,4.021,4.024,7511.73
1695358800,4.025,4.028,4.014,4.028,8272.113
1695362400,4.028,4.029,4.015,4.015,4031.44
1695366000,4.014,4.024,4.006,4.022,7862.258
1695369600,4.022,4.031,4.02,4.023,4474.295
1695373200,4.024,4.026,4.017,4.024,4726.184
1695376800,4.025,4.031,4.019,4.022,4802.273
1695380400,4.022,4.03,4.019,4.028,8479.603
1695384000,4.028,4.035,4.016,4.017,12222.093
1695387600,4.017,4.018,4.002,4.014,15568.156
1695391200,4.012,4.019,4.003,4.015,11126.9
1695394800,4.016,4.022,4.008,4.009,6424.935
1695398400,4.008,4.016,3.996,4.004,8441.897
1695402000,4.004,4.013,3.995,4.011,5900.525
1695405600,4.011,4.021,4.004,4.014,13746.69
1695409200,4.014,4.021,4.003,4.004,14557.741
1695412800,4.005,4.011,3.999,4.005,21104.344
1695416400,4.006,4.025,3.998,4.025,19759.027
1695420000,4.025,4.028,4.011,4.02,8850.237
1695423600,4.02,4.024,4.012,4.019,18875.185
1695427200,4.02,4.039,4.02,4.029,17766.521
