ts,open,high,low,close,volume
1757138400,3.83,3.837,3.795,3.813,178154.80883599
1757160000,3.814,3.826,3.781,3.802,192819.16560809
1757181600,3.802,3.836,3.789,3.826,169888.25721835
1757203200,3.826,3.868,3.823,3.868,111031.90426204
1757224800,3.868,3.869,3.847,3.867,95643.47258236
1757246400,3.868,4.088,3.865,3.956,1534442.97250268
1757268000,3.956,4.019,3.954,3.995,465422.60075043
1757289600,3.993,4.072,3.981,4.034,548746.66140084
1757311200,4.035,4.054,3.986,4.022,510394.18905118
1757332800,4.023,4.081,4.006,4.031,879974.88312825
1757354400,4.031,4.07,4.003,4.045,441306.0061382
1757376000,4.045,4.099,4.005,4.056,515737.78396541
1757397600,4.057,4.181,4.051,4.146,644829.33666887
1757419200,4.148,4.182,4.029,4.057,1481262.30094635
1757440800,4.057,4.147,4.054,4.139,497361.34222432
1757462400,4.139,4.154,4.076,4.094,442091.11126198
1757484000,4.09,4.126,4.054,4.081,398399.25260522
1757505600,4.081,4.208,4.078,4.187,723312.92316573
1757527200,4.189,4.226,4.144,4.218,540146.55926539
1757548800,4.217,4.258,4.195,4.219,376383.66992073
1757570400,4.218,4.233,4.173,4.198,274675.24314826
1757592000,4.199,4.246,4.135,4.192,619353.12801622
1757613600,4.189,4.256,4.175,4.244,370139.31983205
1757635200,4.243,4.28,4.201,4.252,434579.61243179
1757656800,4.252,4.271,4.17,4.175,299315.31278143
1757678400,4.175,4.267,4.154,4.253,532381.17508365
1757700000,4.253,4.325,4.245,4.322,844023.93725632
1757721600,4.322,4.42,4.306,4.417,636552.44308145
1757743200,4.416,4.596,4.412,4.587,1804512.76059249
1757764800,4.588,4.627,4.415,4.488,1789065.67892827
1757786400,4.487,4.518,4.455,4.495,346168.27839723
1757808000,4.494,4.501,4.365,4.444,610712.51397089
1757829600,4.445,4.468,4.368,4.376,431937.31881002
1757851200,4.375,4.397,4.278,4.364,772825.79718289
1757872800,4.362,4.373,4.309,4.317,370010.48688364
1757894400,4.316,4.401,4.289,4.401,734890.8091357
1757916000,4.4,4.404,4.137,4.193,909562.8028256
1757937600,4.192,4.206,4.106,4.146,755241.35849915
1757959200,4.146,4.18,4.118,4.153,317246.07043264
1757980800,4.152,4.207,4.111,4.206,479795.20917253
1758002400,4.206,4.254,4.145,4.212,511699.55064167
1758024000,4.213,4.289,4.152,4.27,916710.47682035
1758045600,4.27,4.297,4.248,4.256,392966.58468447
1758067200,4.255,4.267,4.174,4.212,539471.52352757
1758088800,4.213,4.242,4.162,4.182,375089.06928262
1758110400,4.184,4.235,4.137,4.16,481314.02875804
1758132000,4.159,4.434,4.158,4.407,1829702.29790788
1758153600,4.407,4.497,4.375,4.459,830425.9436472
1758175200,4.46,4.57,4.417,4.527,905667.82880375
1758196800,4.524,4.594,4.513,4.588,1116969.0998809
1758218400,4.586,4.597,4.511,4.533,1094499.46819657
1758240000,4.535,4.881,4.534,4.653,3551277.25186998
1758261600,4.655,4.657,4.461,4.497,1390939.06031162
1758283200,4.495,4.543,4.375,4.375,1009728.91155265
1758304800,4.377,4.44,4.32,4.361,599616.10218178
1758326400,4.358,4.391,4.291,4.376,731098.47134015
1758348000,4.376,4.418,4.337,4.36,331770.56940104
1758369600,4.36,4.466,4.326,4.402,694866.4753155
1758391200,4.402,4.402,4.343,4.359,347974.73916134
1758412800,4.357,4.376,4.324,4.373,535401.58233198
1758434400,4.373,4.389,4.286,4.307,344518.08211476
1758456000,4.306,4.341,4.24,4.287,462636.39950093
1758477600,4.288,4.303,4.257,4.263,253689.20771933
1758499200,4.262,4.282,4.047,4.053,1445517.56648732
1758520800,4.053,4.058,3.828,3.978,1633588.29372503
1758542400,3.977,4.031,3.959,3.988,891042.30819822
1758564000,3.987,4.043,3.934,4.041,722086.61468918
1758585600,4.04,4.064,3.943,3.996,592066.69464632
1758607200,3.997,4.047,3.99,4.022,519318.75232968
1758628800,4.022,4.057,3.981,3.986,573430.79238776
1758650400,3.986,4.017,3.96,3.966,435047.93314861
1758672000,3.967,4.035,3.891,4.034,783913.26210954
1758693600,4.032,4.083,4.016,4.069,387468.88770407
1758715200,4.068,4.117,4.048,4.053,504172.17518375
1758736800,4.055,4.061,3.979,3.995,464637.0996911
1758758400,3.993,4.005,3.876,3.942,781541.24819675
1758780000,3.938,3.959,3.892,3.904,629060.66728412
1758801600,3.904,3.992,3.778,3.799,1566514.85055641
1758823200,3.798,3.911,3.773,3.807,995686.8635218
1758844800,3.808,3.864,3.796,3.828,662817.41360247
1758866400,3.833,3.857,3.78,3.823,416044.76646113
1758888000,3.822,3.971,3.788,3.958,928304.24556584
1758909600,3.959,3.973,3.905,3.925,578968.73323153
1758931200,3.925,3.928,3.794,3.9,1535037.52794749
1758952800,3.898,3.904,3.852,3.881,214346.94072937
1758974400,3.882,3.902,3.856,3.871,281369.37549252
1758996000,3.87,3.919,3.855,3.891,160283.05977902
1759017600,3.892,3.892,3.819,3.827,269169.43680147
1759039200,3.827,3.835,3.795,3.812,243328.71293589
1759060800,3.81,3.897,3.798,3.889,363026.63026043
1759082400,3.89,4.028,3.885,3.997,504851.15749442
1759104000,3.996,4.009,3.949,3.965,360933.39269728
1759125600,3.965,4.003,3.918,3.934,440918.41916277
1759147200,3.933,4.008,3.861,3.958,683760.37806494
1759168800,3.961,4.024,3.939,3.982,330578.48628628
1759190400,3.981,3.993,3.917,3.932,355828.04322228
1759212000,3.931,3.944,3.862,3.905,311919.12222832
1759233600,3.903,3.91,3.808,3.817,645593.60155145
1759255200,3.817,3.935,3.809,3.911,374316.40315768
1759276800,3.91,3.941,3.885,3.924,269206.07344718
1759298400,3.923,4.111,3.891,4.082,1128411.42615835
1759320000,4.084,4.089,4.042,4.059,477010.2282244
1759341600,4.058,4.127,4.058,4.127,476728.89968309
1759363200,4.128,4.214,4.101,4.205,446778.13862599
1759384800,4.207,4.27,4.181,4.254,435076.37300827
1759406400,4.253,4.319,4.173,4.298,1067746.99764945
