ts,open,high,low,close,volume
1779926400,0.076,0.08599,0.076,0.08088,4023058.6
1780012800,0.08088,0.08341,0.07926,0.08004,2179062
1780099200,0.08002,0.08215,0.07969,0.07969,489627.6
1780185600,0.08001,0.081,0.0796,0.08077,468336
1780272000,0.08066,0.09738,0.07786,0.09616,4992513.6
1780358400,0.09618,0.10803,0.08793,0.08886,13473435.6
1780444800,0.08884,0.10334,0.08289,0.10182,6257439.5
1780531200,0.10182,0.10621,0.09475,0.09978,4994347.7
1780617600,0.10008,0.10127,0.08255,0.087,2338882.3
1780704000,0.08784,0.09153,0.08637,0.09153,762247
1780790400,0.09161,0.10496,0.09161,0.10362,1012542.3
1780876800,0.10362,0.12525,0.10362,0.11156,3944781.9
1780963200,0.11155,0.11486,0.10468,0.10516,1369359.4
1781049600,0.10516,0.10682,0.09425,0.09867,2104242.7
1781136000,0.09832,0.10621,0.098,0.10412,1201000.6
1781222400,0.10412,0.10443,0.1016,0.10177,464866.9
1781308800,0.10217,0.1033,0.10036,0.10077,270689.7
1781395200,0.10077,0.1012,0.1,0.10102,855685.5
1781481600,0.10095,0.10352,0.10041,0.10145,787921.1
1781568000,0.10145,0.10856,0.09963,0.10036,2709982.6
1781654400,0.10048,0.10048,0.09562,0.09756,338763
1781740800,0.09756,0.09756,0.09261,0.09402,415905.7
1781827200,0.09402,0.09689,0.09161,0.09513,494378.6
1781913600,0.0957,0.09967,0.09511,0.09867,231949.7
1782000000,0.09907,0.09945,0.0907,0.0908,815183.3
1782086400,0.0908,0.09274,0.08636,0.08721,576166.8
1782172800,0.0866,0.08909,0.08555,0.08594,997223.9
1782259200,0.08625,0.0875,0.08095,0.08275,1023128.2
1782345600,0.08276,0.08966,0.0805,0.0819,677387.5
1782432000,0.08155,0.08296,0.08001,0.08296,437524
1782518400,0.08285,0.0889,0.08285,0.08731,259097.4
1782604800,0.08725,0.1084,0.08705,0.10184,2368365
1782691200,0.10184,0.10796,0.10032,0.10562,956024.8
1782777600,0.10541,0.11729,0.1,0.11361,2931962.9
1782864000,0.11373,0.13151,0.10498,0.10729,6897117.7
1782950400,0.10668,0.1168,0.106,0.11211,926989
1783036800,0.1121,0.11336,0.1,0.11062,2789170.8
1783123200,0.10986,0.111,0.0975,0.1081,2178438.3
1783209600,0.10796,0.11459,0.10528,0.11174,643358.1
1783296000,0.11238,0.11838,0.10977,0.11414,1606618.6
1783382400,0.11301,0.11572,0.1075,0.11085,2322482
1783468800,0.11058,0.11144,0.10754,0.10922,469598.2
1783555200,0.10922,0.11657,0.10865,0.11375,950205.6
1783641600,0.11437,0.12294,0.11221,0.11831,3526708.4
1783728000,0.1175,0.12903,0.1156,0.12378,1170759
1783814400,0.12231,0.12851,0.12074,0.12292,2123005.4
1783900800,0.12315,0.12385,0.11267,0.11675,1662365
1783987200,0.11648,0.1922,0.11392,0.15468,19356072.1
1784073600,0.15471,0.16004,0.14011,0.14649,7569136.1
1784160000,0.14629,0.14674,0.13401,0.13476,1307917.1
1784246400,0.13476,0.13573,0.12611,0.13,1314986.1
1784332800,0.13,0.14051,0.12304,0.1261,1959147.5
1784419200,0.12534,0.12656,0.12161,0.12334,758081.2
1784505600,0.12355,0.12549,0.12063,0.12339,679759.3
1784592000,0.12339,0.1253,0.11787,0.12037,1016962.7
1784678400,0.12028,0.12228,0.118,0.12144,428710.5
1784764800,0.12182,0.12327,0.11874,0.11889,439617.3
1784851200,0.11889,0.11894,0.11428,0.11449,731422.8
1784937600,0.1146,0.1151,0.11318,0.1139,160180
1785024000,0.11415,0.11622,0.11323,0.11427,244763.9
1785110400,0.11426,0.11523,0.1047,0.10546,769347
1785196800,0.10579,0.10599,0.10266,0.10368,440104.6
1785283200,0.10338,0.1045,0.09487,0.09653,2205287.9
1785369600,0.09639,0.09716,0.0931,0.09444,724643.7
1785456000,0.09437,0.1211,0.09405,0.11719,7726664.8
1785542400,0.1164,0.11887,0.10515,0.10601,2376797.3
1785628800,0.10591,0.10694,0.09884,0.09932,501317.1
1785715200,0.09932,0.10741,0.09396,0.09716,1615376.9
1785801600,0.09716,0.11058,0.09641,0.10156,3119759.2
1785888000,0.10156,0.10171,0.09862,0.10086,364512.7
1785974400,0.10055,0.10082,0.09708,0.09738,307450.1
1786060800,0.09734,0.09866,0.09588,0.09707,566027.9
1786147200,0.09674,0.09902,0.0957,0.09716,152676.8
1786233600,0.09716,0.0985,0.0962,0.09672,155306.4
1786320000,0.09694,0.09742,0.09257,0.09375,775879.6
1786406400,0.09375,0.10254,0.09375,0.09857,1298790.3
1786492800,0.09806,0.10157,0.09769,0.09885,607259.1
1786579200,0.09863,0.09903,0.09472,0.09472,360083.7
1786665600,0.09456,0.09497,0.0921,0.09281,148969.1
1786752000,0.09294,0.09424,0.09217,0.09285,181121.5
1786838400,0.09278,0.12715,0.09278,0.10351,10124281.1
1786924800,0.10394,0.10394,0.09493,0.09608,1342166
1787011200,0.0961,0.09717,0.0921,0.09283,753298
1787097600,0.09288,0.10059,0.091,0.09863,1284832.6
1787184000,0.09863,0.10252,0.09545,0.09909,1285707.9
1787270400,0.09941,0.12414,0.09941,0.11885,8917948.9
1787356800,0.11884,0.12393,0.11227,0.113,2842250
1787443200,0.11279,0.13491,0.11231,0.13124,3496038.5
1787529600,0.13146,0.1698,0.1287,0.16406,8983866.4
1787616000,0.16404,0.17039,0.12891,0.14805,6221821.6
1787702400,0.14751,0.19468,0.1422,0.16759,8178468.8
1787788800,0.16784,0.19138,0.15227,0.17649,8283988.1
1787875200,0.17634,0.18165,0.15736,0.16944,6431909
1787961600,0.16944,0.18425,0.15914,0.17181,3567544.8
1788048000,0.17183,0.17658,0.15212,0.15632,2852565.1
1788134400,0.15632,0.15791,0.14338,0.14542,2131924.3
1788220800,0.14467,0.15442,0.13777,0.14262,3054500.1
1788307200,0.14231,0.14666,0.13724,0.14339,2493363.4
1788393600,0.14297,0.17999,0.14143,0.15839,5520396.9
1788480000,0.15772,0.15907,0.14682,0.14964,4131425.8
1788566400,0.14991,0.19948,0.14803,0.17313,12045166.7
1788652800,0.17243,0.17453,0.16336,0.16514,2512070.7
1788739200,0.1648,0.16559,0.15505,0.15731,1759838.6
1788825600,0.15747,0.16745,0.1571,0.16361,3835992.7
1788912000,0.16403,0.17032,0.15174,0.15411,7265616.3
1788998400,0.15385,0.1596,0.14747,0.14747,7192225.2
1789084800,0.14746,0.15588,0.13878,0.14837,7377911.2
1789171200,0.14865,0.15112,0.14656,0.14992,3359019.4
1789257600,0.14985,0.14999,0.14333,0.14333,3521294.7
1789344000,0.14356,0.14749,0.14065,0.14111,5199481.9
1789430400,0.14093,0.14425,0.13478,0.13689,5174723.8
1789516800,0.13689,0.24599,0.13575,0.24364,31039632.5
1789603200,0.24456,0.2849,0.21851,0.2536,32817122.9
1789689600,0.25421,0.31148,0.22784,0.27773,22856113.8
