ts,open,high,low,close,volume
1746576000,0.795,0.806,0.744,0.775,219938.2
1746662400,0.774,1.189,0.774,1.129,1860338.41
1746748800,1.131,1.509,1.084,1.237,2626569.48
1746835200,1.236,1.492,1.21,1.474,1429841.03
1746921600,1.471,1.485,1.326,1.391,917702.22
1747008000,1.392,1.488,1.228,1.334,1072751.41
1747094400,1.335,1.62,1.228,1.588,1161602.74
1747180800,1.586,1.635,1.42,1.456,945624.53
1747267200,1.454,1.548,1.274,1.374,1163902.48
1747353600,1.373,1.4,1.262,1.286,773193.45
1747440000,1.287,1.293,1.168,1.21,407663.71
1747526400,1.211,1.518,1.202,1.487,1073894.6
1747612800,1.488,1.498,1.269,1.364,993435.33
1747699200,1.365,1.45,1.334,1.413,540558.75
1747785600,1.414,1.573,1.371,1.527,1104172.27
1747872000,1.528,1.615,1.51,1.598,767890.78
1747958400,1.599,1.705,1.383,1.395,838189.55
1748044800,1.396,1.472,1.384,1.403,434928.68
1748131200,1.405,1.438,1.302,1.427,342440.87
1748217600,1.426,1.53,1.413,1.445,374125.77
1748304000,1.446,1.616,1.396,1.529,1506678.51
1748390400,1.53,1.611,1.459,1.599,1090334.1
1748476800,1.6,1.811,1.566,1.589,1306946.6
1748563200,1.587,1.598,1.289,1.289,676710.78
1748649600,1.289,1.385,1.206,1.35,907211.26
1748736000,1.349,1.421,1.279,1.384,390686.94
1748822400,1.382,1.518,1.318,1.499,1405575.73
1748908800,1.501,1.577,1.49,1.528,642526.28
1748995200,1.529,1.63,1.471,1.492,731084.69
1749081600,1.492,1.521,1.291,1.306,825245.66
1749168000,1.305,1.466,1.288,1.387,1357676.56
1749254400,1.385,1.461,1.376,1.383,390506.48
1749340800,1.384,1.435,1.34,1.398,203964.85
1749427200,1.395,1.582,1.358,1.571,926354.43
1749513600,1.572,1.688,1.501,1.688,561069.77
1749600000,1.689,1.711,1.532,1.558,964853.16
1749686400,1.557,1.561,1.364,1.364,1150072.42
1749772800,1.365,1.365,1.229,1.312,1924033.91
1749859200,1.311,1.315,1.194,1.229,437958.27
1749945600,1.231,1.28,1.222,1.264,265436.82
1750032000,1.263,1.328,1.179,1.183,813101.87
1750118400,1.185,1.222,1.126,1.186,1889231.89
1750204800,1.187,1.245,1.119,1.232,1300645.51
1750291200,1.233,1.251,1.164,1.196,834079.75
1750377600,1.197,1.23,1.098,1.128,625811.56
1750464000,1.129,1.134,1.007,1.035,548220.95
1750550400,1.036,1.059,0.956,1.007,1437384.7
1750636800,1.008,1.165,0.991,1.15,701692.31
1750723200,1.153,1.195,1.134,1.163,808220.91
1750809600,1.162,1.169,1.102,1.116,508538.96
1750896000,1.114,1.184,1.059,1.069,316857.84
1750982400,1.07,1.123,1.03,1.063,466312.3
1751068800,1.062,1.111,1.046,1.101,508079.29
1751155200,1.102,1.233,1.074,1.217,524681.88
1751241600,1.217,1.233,1.123,1.145,410575.05
1751328000,1.146,1.153,1.053,1.062,867690.7
1751414400,1.061,1.229,1.055,1.189,846652.7
1751500800,1.191,1.225,1.142,1.172,319163.12
1751587200,1.173,1.173,1.073,1.107,307812.64
1751673600,1.108,1.128,1.069,1.096,318346.15
1751760000,1.096,1.176,1.086,1.157,304276.39
1751846400,1.155,1.169,1.109,1.13,172623.58
1751932800,1.129,1.171,1.107,1.153,300293.18
1752019200,1.154,1.258,1.132,1.247,415539.07
1752105600,1.248,1.389,1.234,1.382,747077.29
1752192000,1.382,1.446,1.318,1.349,576862.09
1752278400,1.349,1.369,1.241,1.307,233286.8
1752364800,1.308,1.371,1.29,1.327,161005.5
1752451200,1.325,1.411,1.284,1.315,374220.11
1752537600,1.314,1.44,1.254,1.439,616322.23
1752624000,1.436,1.506,1.394,1.459,771665.89
1752710400,1.458,1.616,1.411,1.529,2249284.92
1752796800,1.527,1.631,1.444,1.491,680872.51
1752883200,1.492,1.587,1.446,1.549,294227.6
1752969600,1.549,1.637,1.516,1.55,450673.75
1753056000,1.55,1.641,1.502,1.545,342439.76
1753142400,1.543,1.556,1.41,1.493,2118556.52
1753228800,1.492,1.496,1.286,1.329,604664.68
1753315200,1.329,1.362,1.241,1.299,323614.14
1753401600,1.297,1.388,1.247,1.359,384208.88
1753488000,1.36,1.382,1.344,1.358,125521.48
1753574400,1.356,1.433,1.346,1.41,162750.69
1753660800,1.41,1.481,1.284,1.296,229669.86
1753747200,1.296,1.381,1.272,1.31,329601.1
1753833600,1.31,1.324,1.188,1.26,793917.79
1753920000,1.26,1.302,1.155,1.161,412100.39
1754006400,1.161,1.162,1.064,1.103,275644.13
1754092800,1.105,1.114,1.031,1.072,192215.7
1754179200,1.073,1.128,1.056,1.123,164135.39
1754265600,1.123,1.185,1.113,1.178,124463.16
1754352000,1.178,1.178,1.078,1.105,235288.6
1754438400,1.104,1.174,1.075,1.146,458055.3
1754524800,1.147,1.259,1.131,1.25,2496276.21
1754611200,1.25,1.329,1.236,1.319,2477791.6
1754697600,1.32,1.461,1.314,1.434,738355.68
1754784000,1.435,1.458,1.352,1.416,232430.44
1754870400,1.417,1.471,1.301,1.321,735086.73
1754956800,1.323,1.435,1.319,1.399,484932.49
1755043200,1.398,1.674,1.362,1.665,1031117.84
1755129600,1.667,1.671,1.365,1.409,1162495.22
1755216000,1.409,1.491,1.338,1.349,500539.24
1755302400,1.35,1.374,1.314,1.356,242797.76
1755388800,1.356,1.456,1.348,1.388,238193.54
1755475200,1.386,1.391,1.294,1.333,366362.11
