ts,open,high,low,close,volume
1746576000,17.72,18.27,17.33,18.06,69938.361
1746662400,18.07,21.99,17.88,21.93,243201.163
1746748800,21.93,24.29,21.46,22.58,226567.876
1746835200,22.59,24.5,21.84,24.18,196550.96
1746921600,24.18,25.05,22.8,23.44,135512.249
1747008000,23.44,24.72,22.11,22.94,141067.347
1747094400,22.94,25.23,21.72,24.71,268812.404
1747180800,24.71,25.22,23.23,23.51,121656.934
1747267200,23.53,23.91,21.88,22.66,155180.985
1747353600,22.67,23.66,22.09,22.3,94700.214
1747440000,22.3,22.34,21.21,21.43,55638.695
1747526400,21.42,22.9,20.59,22.42,86671.442
1747612800,22.41,22.53,20.64,22.25,95789.879
1747699200,22.25,22.85,21.44,22.22,74026.999
1747785600,22.23,23.35,22,22.93,102779.845
1747872000,22.94,24.28,22.9,23.83,105673.536
1747958400,23.85,24.47,21.92,22.1,97636.049
1748044800,22.1,22.71,21.99,22.1,23371.198
1748131200,22.09,22.26,21.3,22.26,45754.993
1748217600,22.26,22.64,21.68,21.98,27316.617
1748304000,21.98,23.54,21.38,22.84,77202.034
1748390400,22.85,24,22.55,23.48,93179.539
1748476800,23.48,25.28,22.75,22.91,219578.651
1748563200,22.9,23.08,20.7,21.07,76808.494
1748649600,21.05,21.13,19.81,20.79,56585.796
1748736000,20.79,21.2,20.05,21.09,32134.571
1748822400,21.1,21.71,20.46,21.62,71223.535
1748908800,21.62,22.35,21.4,21.55,47736.618
1748995200,21.57,22.53,21.42,21.56,64489.656
1749081600,21.56,22.07,19.54,19.83,95212.496
1749168000,19.83,20.81,19.48,20.12,49244.388
1749254400,20.12,21.12,20.07,20.86,24173.945
1749340800,20.86,21.11,20.51,20.72,27568.419
1749427200,20.7,22.03,20.18,22,27952.768
1749513600,22,23.73,21.68,23.7,139228.254
1749600000,23.7,24.9,22.24,22.55,269642.67
1749686400,22.54,22.69,21.09,21.12,80150.24
1749772800,21.11,21.13,19.57,20.45,107744.581
1749859200,20.45,20.47,19.3,20.2,49797.496
