ts,open,high,low,close,volume
1660521600,41.58,43.57,40.1,41.97,307294.0239692
1660608000,41.92,42.31,39.39,39.91,221423.76914076
1660694400,39.89,42.56,38.78,40.29,467740.06466933
1660780800,40.28,41.84,39.02,39.6,286240.18933704
1660867200,39.59,39.67,32.52,32.98,800513.10194461
1660953600,32.98,34.68,31.32,32.82,373125.16038285
1661040000,32.81,34.25,32.16,33.76,235534.61098517
1661126400,33.75,34.12,31.26,34.05,268210.17111708
1661212800,34.07,34.72,32.25,34.38,203962.36602446
1661299200,34.38,37.13,32.94,35.45,275537.52619179
1661385600,35.47,38.15,35.38,37.14,407481.55710481
1661472000,37.1,38.34,33.46,33.88,488353.90110757
1661558400,33.87,34.42,31.96,33.01,253681.94911303
1661644800,32.96,33.4,30.53,30.93,172439.65261735
1661731200,30.93,33.76,30.35,33.55,234652.03106598
1661817600,33.54,34.36,31.34,32.36,240434.56647598
1661904000,32.37,33.78,31.91,32.41,159355.58306292
1661990400,32.41,32.98,31.06,32.92,172169.89666228
1662076800,32.95,33.91,31.88,32.44,168579.34137324
1662163200,32.43,32.71,31.94,32.23,57581.18775377
1662249600,32.24,32.5,31.56,32.46,67831.2603066
1662336000,32.45,40.19,31.59,39.67,529619.49988457
1662422400,39.68,42.33,34.08,34.44,1026439.0356122
1662508800,34.43,38.2,33.12,37.27,765610.33406957
1662595200,37.26,37.78,35.47,37.1,455925.95582514
1662681600,37.17,40.19,36.61,39.17,439087.09032204
1662768000,39.22,40.68,38.02,39.31,305437.14501333
1662854400,39.3,39.43,37.73,38.56,197289.37321046
1662940800,38.56,40.54,37.25,38.45,409279.97474878
1663027200,38.48,39,34.68,35.29,421326.52393397
1663113600,35.29,39.87,35.1,39.37,457797.21056045
1663200000,39.31,39.8,35.2,35.67,720992.0635565
1663286400,35.67,35.79,32.8,34.06,536620.77950257
1663372800,34.06,34.92,33.54,34.42,157716.6203674
1663459200,34.43,34.44,29.13,29.61,325088.66766653
1663545600,29.6,31.11,27.55,30.44,491256.56447612
1663632000,30.4,30.58,28.66,29.1,250478.77687238
1663718400,29.13,30.7,26.96,27.69,501255.91626848
1663804800,27.69,28.92,27.66,28.63,309126.90604654
1663891200,28.63,29.47,27.24,28.88,320277.72861057
1663977600,28.89,29.63,28.33,28.64,165951.92572505
1664064000,28.66,29.46,27.97,28.35,163129.02548896
1664150400,28.36,28.57,27.49,28.46,207272.4112176
1664236800,28.46,30.23,27.62,28.08,319842.83914911
1664323200,28.08,28.28,26.64,27.58,155597.5020965
1664409600,27.58,28.25,27.07,27.83,88852.22526789
1664496000,27.83,28.3,27.29,27.75,122061.13138343
1664582400,27.73,27.88,27.29,27.51,30596.80432365
1664668800,27.54,27.75,26.74,26.95,65092.03604677
1664755200,26.95,27.65,26.54,27.42,73632.00679907
1664841600,27.42,28.08,27.29,27.87,103848.96057438
1664928000,27.88,27.99,27.13,27.62,92850.30379281
1665014400,27.63,28.95,27.61,27.83,173986.08535022
1665100800,27.83,27.86,27.11,27.49,80451.67027729
1665187200,27.49,27.62,26.68,26.97,54875.75684587
1665273600,26.94,27.17,26.77,26.94,52452.27815225
1665360000,26.94,27.16,23.1,24.25,180350.36482071
1665446400,24.25,24.31,23.5,23.74,147730.70291547
1665532800,23.73,24.5,23.51,23.79,86556.0859013
1665619200,23.77,23.91,20.68,23.01,390169.23073673
