ts,open,high,low,close,volume
1533686400,15.5,15.69,14.52,15.09,87443.41861452
1533772800,15.15,15.49,14.3,15,108458.01829661
1533859200,15.01,15.32,13.7,14.24,109325.29887109
1533945600,14.24,14.24,12.51,13.22,74933.18853546
1534032000,13.24,13.6,12.85,13.17,55847.25137356
1534118400,13.17,13.46,11.9,12.04,118175.86114138
1534204800,12.04,12.05,10.11,11.77,250129.13234532
1534291200,11.78,13.32,11.62,13.14,410222.39223689
1534377600,13.14,14.95,12.8,13.91,643903.47064147
1534464000,13.91,14.94,13.07,14.82,1638466.74135158
1534550400,14.82,14.86,12.69,13.28,1000705.64639056
1534636800,13.29,13.88,12.9,13.37,426464.42205606
1534723200,13.37,13.56,12.12,12.37,499795.9546939
1534809600,12.38,12.9,12.26,12.77,358299.98988646
1534896000,12.77,13.5,11.78,12.22,677241.76262534
1534982400,12.22,12.63,12.1,12.52,266720.08507893
1535068800,12.52,12.58,12.3,12.57,231246.3791645
1535155200,12.57,12.83,12.45,12.54,198473.57951443
1535241600,12.54,12.65,12.09,12.47,215405.9664244
1535328000,12.47,12.71,12.3,12.69,315871.8558458
1535414400,12.69,13.38,12.64,13.24,400882.38372822
1535500800,13.22,13.3,12.81,13.01,266755.1374301
1535587200,13.02,13.04,12.44,12.84,204347.92870582
1535673600,12.84,12.92,12.52,12.76,193568.97748842
1535760000,12.76,13.39,12.72,13.17,257896.00109017
1535846400,13.15,13.35,13,13.34,169967.69676013
1535932800,13.35,14.49,13.34,14.1,500128.48922064
1536019200,14.1,14.24,13.74,13.98,223400.32633884
1536105600,13.99,14.09,11.7,11.8,570485.11291256
1536192000,11.8,12.08,11.04,12.05,530651.84641654
1536278400,12.05,12.29,11.43,11.61,291984.67598488
1536364800,11.59,11.8,10.69,10.99,289444.76358141
1536451200,10.98,11.72,10.85,11.22,296404.26484726
1536537600,11.22,11.5,10.93,11.32,237095.3006358
1536624000,11.31,11.49,10.86,11.23,225950.58150922
1536710400,11.23,11.25,10.1,10.68,427141.42479991
1536796800,10.69,11.36,10.67,11.12,369533.93535042
1536883200,11.11,11.39,10.9,10.97,249704.93436263
