ts,open,high,low,close,volume
1695124800,15.76,15.8,15.69,15.72,338.57528959
1695128400,15.71,15.78,15.67,15.7,1229.34551581
1695132000,15.66,15.72,15.63,15.7,4099.4097022
1695135600,15.71,15.96,15.68,15.91,5994.97000436
1695139200,15.92,15.92,15.77,15.78,1971.32685642
1695142800,15.78,15.8,15.72,15.75,1160.35247898
1695146400,15.77,15.78,15.69,15.71,1058.77302649
1695150000,15.69,15.74,15.67,15.74,723.33974795
1695153600,15.71,15.72,15.66,15.7,275.96187565
1695157200,15.69,15.73,15.65,15.72,913.28779239
1695160800,15.71,15.78,15.7,15.74,1560.23284402
1695164400,15.74,15.76,15.73,15.74,482.72734675
1695168000,15.74,15.77,15.65,15.7,1048.38485973
1695171600,15.71,15.79,15.68,15.76,1406.63651345
1695175200,15.78,15.78,15.66,15.67,872.58096101
1695178800,15.67,15.69,15.59,15.61,1658.71491182
1695182400,15.59,15.66,15.59,15.62,387.57169694
1695186000,15.62,15.64,15.58,15.63,1033.52342254
1695189600,15.59,15.63,15.54,15.6,4512.00856766
1695193200,15.62,15.63,15.59,15.6,175.1125578
1695196800,15.61,15.62,15.59,15.61,125.56371551
1695200400,15.65,15.65,15.45,15.51,1975.04743592
1695204000,15.52,15.53,15.46,15.53,466.11467111
1695207600,15.54,15.56,15.52,15.54,249.53316322
1695211200,15.53,15.53,15.43,15.47,1036.01854475
1695214800,15.47,15.55,15.41,15.5,1512.00627235
1695218400,15.51,15.55,15.47,15.52,1207.72162189
1695222000,15.49,15.56,15.49,15.55,1832.78459884
1695225600,15.53,15.56,15.5,15.51,1323.3959468
1695229200,15.51,15.6,15.49,15.55,1970.44153329
1695232800,15.56,15.68,15.5,15.64,3046.18908248
1695236400,15.63,15.64,15.36,15.48,4626.0993328
1695240000,15.48,15.57,15.48,15.55,1075.13881513
1695243600,15.57,15.63,15.54,15.6,519.47222767
1695247200,15.61,15.61,15.56,15.59,223.58914769
1695250800,15.55,15.61,15.52,15.6,606.70255044
1695254400,15.56,15.64,15.55,15.58,317.86890686
1695258000,15.58,15.58,15.44,15.5,789.85758485
1695261600,15.5,15.58,15.49,15.52,144.35725294
1695265200,15.55,15.57,15.52,15.57,649.35149247
1695268800,15.57,15.61,15.53,15.59,656.61193535
1695272400,15.6,15.6,15.48,15.52,880.13819799
1695276000,15.47,15.47,15.4,15.46,354.32087091
1695279600,15.47,15.47,15.43,15.46,174.02277932
1695283200,15.43,15.46,15.4,15.41,579.0736195
1695286800,15.4,15.42,15.28,15.3,1844.78600237
1695290400,15.34,15.34,15.17,15.19,1517.26002223
1695294000,15.18,15.28,15.17,15.27,582.51961118
1695297600,15.29,15.38,15.24,15.31,3892.76516907
1695301200,15.32,15.32,15.06,15.18,8439.26746316
1695304800,15.19,15.28,15.15,15.28,2061.59204234
1695308400,15.26,15.3,15.23,15.28,480.4839433
1695312000,15.23,15.25,15.21,15.22,999.92137491
1695315600,15.19,15.26,15.19,15.23,548.51173674
1695319200,15.23,15.28,15.21,15.28,2295.06609895
1695322800,15.28,15.28,15.24,15.27,1502.71110516
1695326400,15.25,15.26,15.16,15.26,925.25206717
1695330000,15.27,15.27,15.18,15.22,467.29109214
1695333600,15.22,15.25,15.19,15.25,583.59277899
1695337200,15.23,15.24,15.2,15.22,50.64242902
1695340800,15.22,15.27,15.06,15.27,1439.90187344
1695344400,15.26,15.3,15.19,15.28,947.11515132
1695348000,15.29,15.31,15.22,15.22,757.9864165
1695351600,15.3,15.32,15.27,15.32,215.42681893
1695355200,15.33,15.33,15.28,15.3,197.22318167
1695358800,15.29,15.31,15.27,15.31,283.48696296
1695362400,15.32,15.32,15.25,15.26,68.07426567
1695366000,15.25,15.29,15.22,15.28,155.82867576
1695369600,15.27,15.32,15.27,15.27,368.89799059
1695373200,15.27,15.27,15.24,15.25,24.71407441
1695376800,15.22,15.23,15.22,15.22,41.67654955
1695380400,15.23,15.27,15.21,15.26,173.90165184
1695384000,15.26,15.27,15.22,15.22,465.79524556
1695387600,15.21,15.22,15.18,15.18,735.35181087
1695391200,15.19,15.23,15.17,15.2,410.90210467
1695394800,15.21,15.23,15.16,15.16,508.04930878
1695398400,15.17,15.19,15.12,15.14,575.60612109
1695402000,15.15,15.19,15.12,15.19,1276.90379547
1695405600,15.2,15.25,15.17,15.25,358.84340828
1695409200,15.27,15.27,15.17,15.18,133.86581063
1695412800,15.16,15.18,15.12,15.14,752.42187461
1695416400,15.14,15.18,15.1,15.18,290.87875889
1695420000,15.18,15.21,15.18,15.19,42.71730557
1695423600,15.2,15.21,15.18,15.19,80.44185611
1695427200,15.19,15.26,15.19,15.22,483.88070453
1695430800,15.2,15.25,15.18,15.25,172.37659458
1695434400,15.23,15.23,15.16,15.17,56.06631719
1695438000,15.14,15.18,15.14,15.16,37.70667561
1695441600,15.15,15.2,15.15,15.18,31.04339686
1695445200,15.19,15.23,15.19,15.21,157.75178011
1695448800,15.21,15.26,15.21,15.22,277.31487657
1695452400,15.25,15.25,15.23,15.23,30.77867402
1695456000,15.22,15.23,15.2,15.23,648.04096762
1695459600,15.21,15.23,15.21,15.22,164.85991147
1695463200,15.22,15.22,15.2,15.22,70.96747177
1695466800,15.21,15.21,15.19,15.2,281.03493463
1695470400,15.22,15.22,15.19,15.2,16.792703
1695474000,15.21,15.23,15.21,15.23,503.3397509
1695477600,15.23,15.28,15.23,15.26,103.40029385
1695481200,15.24,15.26,15.21,15.24,203.2155056
1695484800,15.23,15.26,15.22,15.26,57.24170003
1695488400,15.27,15.27,15.22,15.23,141.57150684
1695492000,15.23,15.26,15.21,15.21,139.04756976
1695495600,15.23,15.25,15.23,15.25,289.68961391
1695499200,15.24,15.29,15.24,15.24,1065.59670638
1695502800,15.24,15.27,15.23,15.25,94.56532818
1695506400,15.26,15.26,15.23,15.25,69.49487433
1695510000,15.21,15.26,15.21,15.26,21.74771164
1695513600,15.25,15.41,15.24,15.35,4955.17155075
1695517200,15.35,15.37,15.31,15.33,1576.83909421
1695520800,15.33,15.35,15.32,15.32,937.17791018
1695524400,15.3,15.32,15.27,15.27,103.80916137
1695528000,15.27,15.27,15.22,15.26,257.26608164
1695531600,15.24,15.28,15.24,15.27,105.44158366
1695535200,15.27,15.27,15.24,15.27,78.59446726
1695538800,15.27,15.28,15.25,15.26,90.2069729
1695542400,15.29,15.29,15.28,15.28,20.72678563
1695546000,15.29,15.3,15.26,15.27,423.19104619
1695549600,15.26,15.26,15.22,15.23,189.39009807
1695553200,15.22,15.26,15.2,15.26,466.0910791
1695556800,15.26,15.28,15.25,15.25,699.27162447
1695560400,15.27,15.28,15.24,15.28,1491.06742893
1695564000,15.26,15.27,15.24,15.26,320.09558127
1695567600,15.26,15.26,15.21,15.26,378.51839743
1695571200,15.25,15.27,15.22,15.22,381.21250836
1695574800,15.22,15.31,15.21,15.31,1205.94558105
1695578400,15.3,15.3,15.15,15.22,585.54390106
1695582000,15.21,15.23,15.07,15.14,1679.70294425
1695585600,15.14,15.17,15.09,15.16,451.60440118
1695589200,15.17,15.18,15.14,15.15,76.25753622
1695592800,15.16,15.21,15.16,15.18,357.17126931
1695596400,15.17,15.19,14.97,15.08,3017.4419757
1695600000,15.08,15.2,14.92,15.2,3372.51388413
1695603600,15.18,15.3,15.15,15.15,1930.681301
1695607200,15.18,15.28,15.16,15.21,4680.03235765
1695610800,15.21,15.24,15.15,15.15,830.5899749
1695614400,15.15,15.21,15.15,15.2,599.19389582
1695618000,15.19,15.19,15.13,15.13,671.95558876
1695621600,15.11,15.18,15.09,15.15,5463.72704018
1695625200,15.17,15.17,15.13,15.15,958.71515318
1695628800,15.17,15.18,15.13,15.14,652.91718921
1695632400,15.14,15.15,15.13,15.14,569.70670278
1695636000,15.16,15.18,15.14,15.18,82.41249792
1695639600,15.19,15.19,15.12,15.13,47.48281452
