ts,open,high,low,close,volume
1660521600,1936,2013.47,1866.51,1899.39,473905.07822533
1660608000,1899.05,1915.51,1852.85,1876.57,362478.81254801
1660694400,1877.06,1957.59,1815,1834.61,450374.826949
1660780800,1834.52,1883.35,1821.02,1845.9,270253.66533006
1660867200,1846.15,1848.29,1602.28,1608.72,731158.98936189
1660953600,1608.64,1658.14,1523.54,1575.76,450361.01659576
1661040000,1575.76,1646.69,1562.27,1617.84,397164.81880075
1661126400,1617.88,1629.61,1528.93,1624.78,518834.55819815
1661212800,1624.89,1674.12,1563.29,1665.93,445250.58071281
1661299200,1665.95,1694.89,1604.6,1656.74,508562.94204632
1661385600,1656.54,1722.18,1653.57,1695.27,300950.83219719
1661472000,1695.16,1706.41,1485.94,1508.02,570455.80622658
1661558400,1508.04,1519.11,1446.62,1491.22,368067.50483068
1661644800,1490.87,1511.12,1423.85,1426.63,292543.93479078
1661731200,1426.29,1560.37,1420.74,1551.65,488169.79068986
1661817600,1551.51,1606.34,1474.14,1524.81,544379.70835677
1661904000,1524.61,1619.99,1524.12,1554,511240.91582582
1661990400,1554.25,1599.51,1512.83,1586.23,327753.13141002
1662076800,1586.1,1650,1546.2,1575.69,321184.07570982
1662163200,1575.81,1582.69,1534.54,1557.7,129300.81242992
1662249600,1557.55,1583.52,1540.59,1579.04,100143.24859449
1662336000,1578.97,1631.44,1557.04,1618.01,183163.38342493
1662422400,1617.87,1686.82,1554.03,1559.28,440790.49644997
1662508800,1558.92,1657.68,1489.98,1629.92,335894.82441078
1662595200,1629.61,1664.52,1594.31,1635.73,321019.10969844
1662681600,1635.72,1746.87,1630.51,1719.21,343757.70988125
1662768000,1719.38,1789.86,1706.94,1774.69,175467.88521982
1662854400,1774.73,1789.98,1719.01,1766.95,153045.89168193
1662940800,1766.97,1783.56,1692.45,1716.71,257983.67681215
1663027200,1716.65,1761.04,1561.06,1574.71,456961.84966513
1663113600,1574.4,1649.44,1552.88,1639.14,311641.00945194
1663200000,1639.12,1655.55,1457.69,1472.68,415068.57662522
1663286400,1472.85,1483.21,1404.31,1433.73,391498.26827311
1663372800,1433.64,1476.22,1408.79,1468.97,193158.36959142
1663459200,1468.9,1470.15,1325.48,1334.72,310480.68847119
1663545600,1334.71,1392.94,1279,1376.17,381868.12870185
1663632000,1376.23,1385,1312.4,1322.8,419548.01749631
1663718400,1322.74,1412,1220,1245.65,569985.27204919
1663804800,1245.36,1348.87,1237,1326.43,563572.08233165
1663891200,1326.14,1359.99,1261.9,1326.82,519153.45184389
1663977600,1327.24,1349.31,1306.29,1317.25,206779.39938562
1664064000,1317.49,1337.26,1269.41,1294.63,185703.74947364
1664150400,1294.65,1341,1278.24,1336.61,416561.97805353
1664236800,1336.45,1400.51,1303.66,1327.92,457125.64604668
1664323200,1327.87,1355.34,1253.65,1336.93,488408.68270425
1664409600,1336.92,1351.85,1288.12,1336.02,409208.96175042
1664496000,1336.04,1373.46,1315,1328.95,423994.58067369
1664582400,1328.74,1333.99,1302.65,1311.76,98845.97328111
1664668800,1311.79,1318,1269.69,1277.02,150803.12600735
1664755200,1276.84,1330.24,1262.45,1323.31,341841.34001978
1664841600,1323.44,1370.43,1318.82,1362.06,265741.94725719
1664928000,1362.1,1364.93,1316.54,1352.48,297201.24863549
1665014400,1352.37,1384.41,1345,1352.24,437205.23026817
1665100800,1352.18,1362.14,1317.54,1331.14,268128.07428348
1665187200,1331.12,1337.61,1303.76,1315.71,85052.24063383
1665273600,1315.71,1329.33,1307.21,1323.41,98670.85008504
1665360000,1323.27,1338.41,1287.66,1290.06,248135.48630736
1665446400,1289.94,1297.95,1267,1279.94,361513.38640616
1665532800,1279.87,1306.72,1274.73,1294.33,257271.51091194
1665619200,1294.21,1301.85,1190,1286.96,533160.99117969
1665705600,1286.89,1344.4,1283.26,1296.36,483178.87927368
1665792000,1296.42,1302.14,1263.6,1275.09,146252.46427666
1665878400,1275.16,1315.62,1274.61,1306.04,160206.63331032
1665964800,1305.89,1338.69,1295.36,1331.49,274413.38632897
1666051200,1331.57,1342.28,1286.67,1310.78,375586.2181984
1666137600,1310.79,1313.8,1280.02,1284.76,249903.49640293
1666224000,1284.92,1311.1,1270.34,1282.6,310500.82723664
1666310400,1282.59,1307.18,1254,1299.83,307346.53371619
1666396800,1299.94,1320.56,1294.17,1313.88,98142.700874
1666483200,1313.82,1370.66,1299.47,1364.06,182202.51780535
1666569600,1363.93,1370.9,1324.04,1343.71,330219.49579837
1666656000,1343.74,1525.38,1335.12,1460.34,738604.66673918
1666742400,1460.34,1595.44,1457.41,1566.37,867339.4350063
1666828800,1566.46,1580,1502.8,1514.09,768442.493559
1666915200,1514.2,1577.89,1479.41,1554.83,517416.22097988
1667001600,1554.81,1664.29,1547.79,1620.09,371454.96971093
1667088000,1620.18,1640.41,1576.24,1590.89,262404.11149452
1667174400,1590.88,1635.7,1546.31,1572.67,442623.55124963
1667260800,1572.58,1612.74,1563.05,1578.24,338781.998348
1667347200,1578.35,1622.24,1502,1518.04,597803.71672197
1667433600,1518.15,1558.95,1515,1530.81,417983.19723455
1667520000,1530.81,1677,1528.01,1644.61,595048.87785607
1667606400,1644.84,1667.03,1621.05,1627,191562.15441931
1667692800,1627.17,1638.72,1564.17,1568.34,206626.51589598
1667779200,1568.27,1608.66,1545.97,1568.34,420305.13392561
1667865600,1568.45,1580,1227.4,1334.25,1191644.98913668
1667952000,1333.97,1337.49,1071.11,1099.9,1483345.10339453
1668038400,1099.9,1347.62,1083.95,1295.36,898160.51223308
1668124800,1295.55,1307.36,1197.9,1285.29,807406.05368993
1668211200,1285.57,1289.16,1235.53,1255.14,252702.81256691
1668297600,1254.98,1272,1198.99,1219.43,245429.7415013
1668384000,1219.4,1289.17,1169.4,1241.56,524054.26384295
1668470400,1241.58,1289.78,1232.56,1251.74,417549.56093034
1668556800,1251.95,1266.99,1185.2,1215.21,430253.13724259
1668643200,1215.2,1227.34,1181.02,1199.44,347569.96062493
1668729600,1199.39,1232.37,1198.01,1210.93,276244.25355508
1668816000,1210.73,1231.62,1196.27,1216.12,154207.57456321
1668902400,1216.31,1225.26,1130.2,1140.07,309725.68130629
1668988800,1140.04,1145,1080,1105.91,645537.15248314
1669075200,1105.68,1141.26,1073.42,1138.17,571006.86329332
1669161600,1138.25,1189.51,1126.22,1183.53,488293.70716425
1669248000,1183.55,1216.1,1179.1,1202.81,347857.6927724
1669334400,1202.78,1206.84,1170.17,1198.66,255469.51018685
1669420800,1198.65,1234.97,1195.54,1204.8,194599.63009605
1669507200,1204.89,1222.81,1188.31,1193.3,160395.219962
1669593600,1193.46,1198.87,1150.09,1167.24,336303.06814697
1669680000,1167.22,1227.08,1157.37,1215.91,334230.25859657
1669766400,1216.04,1311.76,1212,1294.77,513868.94915466
1669852800,1294.68,1302,1262.85,1276.48,341051.44664941
1669939200,1276.48,1297.57,1265.56,1295.63,312335.42943569
1670025600,1295.63,1308.89,1236.42,1240.91,233057.32789248
1670112000,1240.91,1287.44,1240.27,1279.68,195680.27732029
1670198400,1279.67,1305.75,1246.73,1259.23,334071.84681319
1670284800,1259.32,1274.57,1241.83,1271.19,310591.43275838
1670371200,1271.36,1277.49,1215,1231.56,294892.06525655
1670457600,1231.49,1292.58,1221.72,1280.33,305010.10153789
1670544000,1280.15,1296.55,1255.61,1262.95,268613.51750162
1670630400,1262.75,1283.4,1259.59,1266.45,127080.35178923
1670716800,1266.45,1284.68,1255.7,1262.92,136453.26405627
1670803200,1263.08,1279.22,1240,1275.72,244239.65101571
1670889600,1275.74,1351.05,1255.67,1320.47,340963.9356146
1670976000,1320.47,1351.87,1300.85,1307.47,490007.78017941
1671062400,1307.42,1311.5,1259.37,1266.48,394788.38073718
1671148800,1266.48,1279.99,1155.55,1166.98,529307.05569583
1671235200,1166.98,1190,1161.83,1187.06,227688.40724908
1671321600,1187.17,1196.6,1172.43,1183.32,174291.58481891
1671408000,1183.37,1195.34,1150.34,1167.6,324622.25840589
1671494400,1167.59,1231.28,1163.02,1216.69,341462.57912696
1671580800,1216.76,1222.99,1203.06,1213.7,237732.89806607
1671667200,1213.7,1238.76,1182.43,1217.5,316565.60833412
1671753600,1217.48,1231.7,1210.6,1219.92,287942.04914518
1671840000,1219.99,1227.47,1213.7,1220.51,135682.63966273
1671926400,1220.49,1224.1,1193.17,1218.37,167839.6524151
1672012800,1218.41,1230.92,1209,1227.58,133431.00775547
1672099200,1227.66,1233.75,1199.58,1210.99,214552.81999638
1672185600,1211.06,1215.38,1180.04,1189.24,301571.06009872
1672272000,1189.33,1206.07,1186.13,1199.74,240611.27081058
1672358400,1199.73,1201.64,1180.44,1199.1,228129.48726539
1672444800,1199.19,1208,1191.01,1195.25,144035.63835908
1672531200,1195.25,1204.17,1190.03,1199.92,110146.33985965
1672617600,1199.97,1224.59,1192.41,1213.69,181181.02038691
1672704000,1213.77,1219.79,1204.04,1214.21,185992.27832726
1672790400,1214.21,1272.01,1212.17,1256.34,339875.39832487
1672876800,1256.35,1259.77,1239.97,1250.88,236940.93295139
1672963200,1250.87,1276.6,1234.2,1268.84,290563.27086874
1673049600,1268.94,1270.83,1260.75,1263.94,105755.0768252
1673136000,1263.84,1295.38,1257.34,1289.92,158918.85227266
1673222400,1289.73,1345.87,1285,1320.02,422757.66914599
1673308800,1320,1348.19,1316.63,1335.56,312409.22657272
1673395200,1335.69,1397.98,1319.81,1389.24,323378.0899808
1673481600,1389.21,1438.55,1361.39,1416.05,498193.37603557
1673568000,1416.05,1466,1400.75,1451.78,360619.22951853
1673654400,1451.7,1597.99,1449.38,1550.06,416565.15549879
1673740800,1550.06,1567.37,1516.06,1552.89,239830.62852681
1673827200,1552.83,1603.91,1521.01,1576.85,358689.23697211
1673913600,1577.01,1608.65,1540.49,1565.68,305156.24219933
1674000000,1565.52,1612.66,1500.32,1510.83,448866.83667712
