ts,open,high,low,close,volume
1504828800,335.56,335.56,292.71,307.96,299196.18205446
1504915200,307.96,313.87,294,304.99,97356.16715522
1505001600,305,306.5,285,300.33,123364.47278542
1505088000,300.34,307.97,288,298.47,131872.4413353
1505174400,298.47,316.19,286,294.5,193866.88976529
1505260800,294.5,294.5,256.41,275.71,330077.26740091
1505347200,275.71,280.75,221.3,223.85,517640.07889459
1505433600,223.85,270,202.25,260.88,667715.3795006
1505520000,260.87,278,247.1,255.84,194275.26114785
1505606400,255.85,272,240.15,259.66,127514.7477237
1505692800,259.66,303.78,259.65,298,298160.31829275
1505779200,298,301,275.25,282.8,172906.38843809
1505865600,282.94,293.71,278.04,283.55,108925.71300684
1505952000,283.55,286.99,252.55,258.11,211091.13505245
1506038400,258.11,272,254.01,263.88,120473.05688255
1506124800,263.88,286.63,260.02,286.03,79343.8978278
1506211200,286.03,294.89,276.23,283.21,95448.67822107
1506297600,283.21,296.7,282.66,294.41,90047.80087125
1506384000,294.41,295.48,286,288.77,64077.24189666
1506470400,288.77,312.75,288.25,309.85,121905.91012243
1506556800,309.86,310,298.1,302.33,94872.87426245
1506643200,302.33,302.6,278,291.88,165285.97835623
1506729600,291.88,304.69,291.25,301.57,62093.33386924
1506816000,301.57,303.25,295.75,303.25,42910.47058427
1506902400,303.25,303.5,293.73,296.72,62589.24548424
1506988800,296.78,299,287.65,292.36,59960.60279169
1507075200,292.36,295,289.62,292,42408.18343628
1507161600,292,296.99,286.44,294.89,44754.00010261
1507248000,294.89,308.5,294.21,307.73,95965.30843062
1507334400,307.73,314.62,304.57,311.12,66524.25999297
1507420800,311.12,313.6,308.62,309.2,44589.14793264
1507507200,309.2,309.32,285.88,297,145514.15882144
1507593600,297,305,290.23,297.99,88318.01221504
1507680000,297.99,303,297.53,302,45397.39333105
1507766400,302,307,300.3,302.12,114002.1952516
1507852800,302.12,345,298.29,335.89,272969.19650775
1507939200,335.85,347,332.46,338.37,91560.24722557
1508025600,338.37,341,320,336.89,103363.87991863
1508112000,336.89,350,330.84,334.36,140569.03708849
1508198400,334.33,334.66,310.5,316.37,117188.42621289
1508284800,316.32,316.53,287.4,313.59,167629.0127989
1508371200,313.59,316.21,305.34,308.02,84536.00998177
1508457600,308.02,311.53,302,303.15,93615.86032848
1508544000,303.16,303.74,291.38,300,116955.08960367
1508630400,300,306.55,291.81,295.14,62949.25853616
1508716800,295.14,295.15,275.46,285.83,130465.48008549
1508803200,285.84,311.7,280.3,296.99,173126.46810102
1508889600,297,300.97,288.05,296.76,73647.31462122
1508976000,296.76,299.95,293.81,295.98,46575.16530348
1509062400,295.98,298.98,291.53,297.59,40781.36186865
1509148800,297.48,297.9,293.51,295.11,27343.87091403
1509235200,295.12,310,294.29,303.38,68441.69707434
