ts,open,high,low,close,volume
1695146400,1645.73,1649.59,1643.74,1644.86,1970.51863848
1695150000,1644.86,1645.49,1640.23,1644.36,2223.10919719
1695153600,1644.4,1644.74,1639.38,1642.73,3348.45650248
1695157200,1642.73,1642.73,1636.94,1641.17,2367.93283973
1695160800,1641.17,1643.09,1637.6,1642.01,1407.98280338
1695164400,1642,1644.85,1641.27,1643.42,1256.25557722
1695168000,1643.41,1644.47,1639.27,1642.29,1399.64179387
1695171600,1642.27,1649.05,1641.21,1648.58,1702.77951285
1695175200,1648.6,1649.57,1639.51,1640.22,1533.8154146
1695178800,1640.23,1641.74,1635.69,1637.83,1351.02977941
1695182400,1637.73,1639.5,1635.37,1635.79,1228.78804606
1695186000,1635.78,1637.56,1633.55,1634.41,1050.68692816
1695189600,1634.38,1638.01,1630.75,1633.76,2540.91339062
1695193200,1633.76,1637.26,1632.76,1634.66,1547.45944316
1695196800,1634.66,1637.95,1633.48,1637.31,1740.33072193
1695200400,1637.31,1637.94,1619.35,1627.43,4974.19748725
1695204000,1627.32,1629.28,1623.36,1629.28,1565.5797113
1695207600,1629.28,1632.92,1628.57,1629.86,1322.2715492
1695211200,1629.86,1632.94,1623.11,1626.39,2434.11029157
1695214800,1626.23,1633.15,1620.55,1631.27,3051.61861366
1695218400,1631.38,1634.48,1624.84,1627.58,2735.86291257
1695222000,1627.58,1630.83,1625.14,1629.47,1626.72079056
1695225600,1629.48,1630.64,1626.22,1627.82,2169.75431201
1695229200,1627.88,1632.82,1625.88,1628.8,2558.59738271
1695232800,1628.76,1640.62,1625.49,1632.36,7964.60102764
1695236400,1632.22,1633.91,1604.91,1616.35,11831.85901888
1695240000,1616.39,1624.46,1615.15,1624.46,5391.22657049
1695243600,1624.52,1629.86,1622.12,1626.02,3138.58253956
1695247200,1626.02,1626.5,1621.2,1622.9,3012.85665708
1695250800,1622.89,1624.33,1619.58,1622.27,1540.36420104
1695254400,1622.26,1625.23,1620.19,1620.45,1386.9709958
1695258000,1620.44,1621.3,1613.85,1617.63,2315.96161214
1695261600,1617.63,1621.19,1615.55,1618.29,1761.62555848
1695265200,1618.28,1623.54,1618,1623.47,1112.63274948
1695268800,1623.58,1624.84,1621.1,1624.39,1182.45937697
1695272400,1624.46,1624.62,1620.58,1623.86,956.72718123
1695276000,1623.86,1623.86,1618.1,1621.7,825.25263675
1695279600,1621.75,1621.76,1616.57,1617.99,3104.15523888
1695283200,1617.99,1622.39,1616.52,1616.98,2519.46904446
1695286800,1616.97,1618.05,1605.47,1610.14,3320.80453383
1695290400,1610.14,1611.7,1588.88,1592.23,8953.81658062
1695294000,1591.92,1597.87,1590.25,1595.02,3623.57173494
