ts,open,high,low,close,volume
1784124000,1923.69,1933.73,1917.51,1931.59,6707.79044631
1784127600,1931.59,1936,1923.96,1930,6342.69338177
1784131200,1930.01,1931.34,1902.44,1918.13,8284.93188812
1784134800,1918.17,1929.8,1917.8,1926.62,4217.79704679
1784138400,1926.58,1935.49,1920.78,1922.91,5052.10773631
1784142000,1922.91,1927.95,1917.8,1922.68,9611.69922774
1784145600,1922.6,1929.78,1918.8,1922.47,3026.21532883
1784149200,1922.47,1924.81,1918.73,1920.94,1808.26009227
1784152800,1920.95,1928.2,1916.87,1922.25,2902.19892914
1784156400,1922.24,1926.18,1913.35,1916.76,2806.77137097
1784160000,1916.75,1923.81,1909.66,1913.6,2909.67304797
1784163600,1913.62,1924.81,1906.86,1921.51,2405.66006256
1784167200,1921.5,1925,1917.75,1923.89,1326.23906054
1784170800,1923.88,1927.74,1915.52,1917.48,1655.07744784
1784174400,1917.47,1919.61,1912.79,1916.89,1396.24167397
1784178000,1916.9,1926.2,1915.74,1924.23,1674.04568252
1784181600,1924.22,1928.2,1914.26,1921.16,2507.74538948
1784185200,1921.16,1921.19,1903.68,1908.88,3047.83417012
1784188800,1908.88,1911.32,1874.12,1884.97,12049.21909782
1784192400,1884.91,1887.75,1879.15,1882.94,2949.96407317
1784196000,1882.95,1890.01,1882.22,1886.99,5012.6378761
1784199600,1886.99,1886.99,1877.7,1883.78,2682.57183517
1784203200,1883.76,1883.77,1865.37,1871.29,4090.35296996
1784206800,1871.29,1888.85,1869.67,1881.11,5514.72944696
1784210400,1880.83,1891.22,1872.59,1881.66,5495.1565945
1784214000,1881.68,1892.6,1869.35,1880.3,5536.71277357
1784217600,1880.34,1881.66,1872.7,1877.48,4511.18470417
1784221200,1877.47,1877.7,1861.52,1867.66,8272.30430442
1784224800,1867.66,1878.3,1866.62,1874.28,2221.21121006
1784228400,1874.35,1876.44,1869.45,1874.1,6956.26734069
1784232000,1874,1874.38,1869.4,1870.01,2156.62217937
1784235600,1870.01,1879.55,1870.01,1877.11,2476.76942817
1784239200,1877.11,1880,1866.64,1867.58,2857.67230476
1784242800,1867.57,1869.11,1855.79,1863.17,3545.41828551
1784246400,1863.16,1865.15,1846.7,1864.26,3154.54059527
1784250000,1864.41,1869.36,1846.4,1849.75,3044.78408388
1784253600,1849.6,1853.88,1841.35,1846.54,2278.70417952
1784257200,1846.51,1858.01,1845.53,1850.91,2723.44029035
1784260800,1850.9,1851.19,1842.06,1848.44,3711.81384599
1784264400,1848.33,1848.33,1819.88,1822.22,5340.77596938
1784268000,1822.25,1834.57,1819.14,1830.65,2902.99740881
1784271600,1830.65,1831.8,1824.6,1826.51,1345.21456026
1784275200,1826.52,1830.71,1819.19,1828.17,2398.2914721
1784278800,1828.2,1834.2,1827.33,1833.13,1305.61652945
1784282400,1833.13,1838.27,1832.09,1835.17,1876.30383917
1784286000,1835.21,1841.4,1831.54,1837.42,2138.59208081
1784289600,1837.42,1838.54,1825.67,1826.64,4061.64744204
1784293200,1826.62,1827.53,1800.82,1823.45,9913.48713817
1784296800,1823.42,1832.09,1815.16,1820.48,5171.75762759
1784300400,1820.53,1829.95,1809.21,1829.36,5152.72468822
1784304000,1829.44,1839.36,1824.92,1834.85,6519.49208909
1784307600,1834.91,1855.26,1834.91,1842.43,7831.67494192
1784311200,1842.38,1848.83,1833.87,1845.98,5299.99974826
1784314800,1845.85,1846.2,1834.78,1842.61,7493.30169847
1784318400,1842.38,1845.29,1836.12,1841.74,2911.43392415
1784322000,1841.58,1845.66,1839.48,1840.44,1613.41602286
1784325600,1840.47,1842.83,1836.19,1838.64,1726.34366964
1784329200,1838.68,1843.3,1833.97,1840.94,1758.65805962
1784332800,1840.92,1843.8,1838.88,1839.86,913.36265438
1784336400,1839.82,1842.25,1838.3,1841.3,622.3075267
1784340000,1841.32,1845.71,1840.09,1841,1475.38661801
1784343600,1840.99,1845.24,1840.26,1844.81,872.50286015
1784347200,1844.9,1845.09,1841.23,1843.37,546.6283209
1784350800,1843.39,1848.55,1841.88,1844.75,3989.76622878
1784354400,1844.75,1846.79,1841.83,1843.61,487.00925311
1784358000,1843.61,1844.9,1841.79,1843.03,484.6872513
1784361600,1842.97,1848.11,1841.2,1846.19,868.1904392
1784365200,1846.2,1846.79,1841.72,1843.7,937.54255238
1784368800,1843.69,1845.48,1841.84,1844.19,3244.65795918
1784372400,1844.19,1845.41,1842.88,1844.17,393.05451596
1784376000,1844.16,1849.09,1838.77,1843.41,1775.98779703
1784379600,1843.42,1843.42,1835.91,1840.31,1184.59415814
1784383200,1840.44,1845.09,1839.37,1844.55,1369.58549275
1784386800,1844.69,1844.95,1840.71,1842.5,1071.42496982
1784390400,1842.49,1845.69,1840.11,1844.55,1575.61510654
1784394000,1844.55,1852.18,1842,1851.41,2139.83109175
1784397600,1851.47,1865.01,1848.5,1856.29,3532.7125719
1784401200,1856.28,1860.14,1854.55,1857.24,1760.79393826
1784404800,1857.25,1862.4,1854.22,1855.92,1967.14872959
1784408400,1855.92,1861.68,1854.64,1859.53,2357.48316459
1784412000,1859.52,1864.33,1858.44,1862.42,1727.73327542
1784415600,1862.41,1863.12,1858.8,1861.54,1061.78122716
1784419200,1861.61,1862.6,1858.01,1860.11,2334.45402434
1784422800,1860.17,1860.37,1857.22,1857.87,1437.35732454
1784426400,1857.73,1876.28,1856.96,1870.25,2406.07509288
1784430000,1870.29,1871.84,1862.6,1866.06,1341.17223206
1784433600,1866,1869.1,1863.07,1866.09,747.32655786
1784437200,1866.14,1869.19,1864.36,1867.21,598.48940891
1784440800,1867.17,1870.2,1866.83,1867.9,581.93753042
1784444400,1867.8,1870.64,1865.9,1868.65,688.63058719
1784448000,1868.76,1874.23,1866.46,1872.5,906.20899528
1784451600,1872.53,1872.83,1864.2,1865.16,1104.85426712
1784455200,1865.05,1877.67,1862.88,1870.95,1854.27339883
1784458800,1871.03,1877.5,1868.96,1870.05,1408.02427665
1784462400,1869.96,1873,1863.25,1869.12,2110.9580881
1784466000,1869.11,1872.35,1864.57,1870.42,786.46961066
