ts,open,high,low,close,volume
1746576000,0.505,0.56,0.502,0.549,334352.07
1746662400,0.549,0.77,0.546,0.714,2262472.86
1746748800,0.713,0.791,0.674,0.748,1436765.13
1746835200,0.748,1.242,0.744,1.113,5531417.89
1746921600,1.116,1.37,1.022,1.076,8418288.59
1747008000,1.075,1.216,0.965,1.056,3630437.57
1747094400,1.055,1.423,0.988,1.379,5258652.67
1747180800,1.381,1.515,1.263,1.346,3617503.36
1747267200,1.346,1.66,1.243,1.438,5367646.87
1747353600,1.438,1.533,1.295,1.322,3105930.12
1747440000,1.321,1.392,1.184,1.238,1863097.98
1747526400,1.24,1.412,1.223,1.36,1789565.87
1747612800,1.362,1.372,1.217,1.276,1296072.96
1747699200,1.277,1.357,1.225,1.275,1078842.13
1747785600,1.276,1.393,1.245,1.33,864811.75
1747872000,1.332,1.43,1.329,1.357,1509239.28
1747958400,1.357,1.447,1.216,1.227,977742.36
1748044800,1.226,1.266,1.214,1.233,421719.18
1748131200,1.233,1.244,1.144,1.24,676272.85
1748217600,1.241,1.297,1.193,1.24,453250.56
1748304000,1.241,1.55,1.196,1.381,1737088.87
1748390400,1.381,1.447,1.308,1.385,1298892.04
1748476800,1.386,1.537,1.325,1.336,1280437.38
1748563200,1.334,1.342,1.066,1.077,1755456.45
1748649600,1.078,1.173,1.009,1.14,696582.77
1748736000,1.135,1.212,1.091,1.171,469886.96
1748822400,1.169,1.237,1.119,1.224,533257.23
1748908800,1.224,1.271,1.188,1.219,570652.59
1748995200,1.223,1.252,1.127,1.147,254332.63
1749081600,1.147,1.167,1.013,1.057,992803.99
1749168000,1.058,1.164,1.048,1.128,806116.68
1749254400,1.13,1.202,1.13,1.164,445079.15
1749340800,1.165,1.187,1.121,1.154,415718.36
1749427200,1.154,1.282,1.124,1.277,1414475.94
1749513600,1.278,1.381,1.276,1.377,2900239.41
1749600000,1.377,1.408,1.253,1.274,1694845.99
1749686400,1.276,1.278,1.121,1.121,526844.49
1749772800,1.122,1.122,1.025,1.114,1133813.24
1749859200,1.115,1.125,1.046,1.076,414369.9
1749945600,1.077,1.097,1.043,1.072,175496.36
1750032000,1.072,1.15,1.052,1.075,605397.78
1750118400,1.075,1.114,0.987,1.011,1173348.61
1750204800,1.012,1.03,0.932,1.009,544188.91
1750291200,1.01,1.029,0.968,1.004,1579688.85
1750377600,1.004,1.034,0.914,0.94,593028.2
1750464000,0.94,0.947,0.837,0.86,464363.95
1750550400,0.862,0.883,0.794,0.838,794809.49
1750636800,0.839,0.977,0.824,0.97,1008342.53
1750723200,0.97,1.009,0.956,0.984,609263.58
1750809600,0.984,0.993,0.914,0.922,472694.86
1750896000,0.921,0.987,0.893,0.928,518948.64
1750982400,0.928,0.949,0.877,0.899,264679.67
1751068800,0.898,0.932,0.884,0.922,100317.45
1751155200,0.921,1.064,0.912,1.043,242027.11
1751241600,1.043,1.049,0.941,0.965,397646.71
1751328000,0.966,0.975,0.887,0.894,361215.25
1751414400,0.894,1.043,0.888,1.009,600486.59
1751500800,1.011,1.049,0.98,0.996,362340.97
1751587200,0.997,1.008,0.907,0.929,333441.44
