ts,open,high,low,close,volume
1746576000,0.6811,0.7156,0.6578,0.6759,10470721.6
1746662400,0.6763,0.7984,0.6761,0.7795,21255933.6
1746748800,0.7793,0.8797,0.7594,0.8276,24544421.6
1746835200,0.828,0.9076,0.8239,0.9071,15251663
1746921600,0.9071,0.9087,0.8307,0.8512,11525958.5
1747008000,0.8516,0.9145,0.7964,0.831,18694568.1
1747094400,0.8324,0.9094,0.7901,0.8918,16455903.6
1747180800,0.8917,0.8943,0.8206,0.83,13522750.5
1747267200,0.8308,0.84,0.7507,0.7815,19549121
1747353600,0.7814,0.8086,0.755,0.7647,8902563.5
1747440000,0.7647,0.768,0.7347,0.7465,8900360.7
1747526400,0.7466,0.8005,0.7208,0.7785,11432370.5
1747612800,0.7793,0.7847,0.7047,0.7365,10450041.2
1747699200,0.7368,0.7586,0.7113,0.7535,11748427.5
1747785600,0.7538,0.852,0.743,0.8058,20183496.9
1747872000,0.806,0.911,0.8048,0.8843,26171366.8
1747958400,0.8843,0.9905,0.8422,0.8469,38352992.1
1748044800,0.8468,0.8772,0.8369,0.8541,11151277
1748131200,0.8543,0.8684,0.7949,0.8492,13720879.5
1748217600,0.8493,0.945,0.8371,0.8699,24796609.5
1748304000,0.8699,0.9319,0.8479,0.891,14210644.2
1748390400,0.8912,0.9254,0.8581,0.9144,14076005.8
1748476800,0.9147,0.9315,0.8474,0.8534,12271861.7
1748563200,0.8532,0.8564,0.7401,0.7462,18286490.7
1748649600,0.7466,0.7736,0.7114,0.7558,13729593.6
1748736000,0.756,0.7756,0.7217,0.7622,9728657.6
1748822400,0.7624,0.7874,0.7238,0.7826,11830919.2
1748908800,0.7828,0.8468,0.773,0.8219,17186966.2
1748995200,0.8221,0.8424,0.785,0.7964,10371857.4
1749081600,0.7968,0.8174,0.7135,0.7227,15627526.6
1749168000,0.7232,0.7581,0.71,0.7197,10142604.8
1749254400,0.7198,0.7775,0.7181,0.7703,6862817.4
1749340800,0.7708,0.7763,0.7363,0.7425,5968947.5
1749427200,0.7426,0.8118,0.7309,0.7945,15341405.8
1749513600,0.7946,0.8246,0.7758,0.8176,12102207.4
1749600000,0.8175,0.8341,0.7657,0.7766,15121033.4
1749686400,0.7766,0.7774,0.7155,0.7185,11608639.5
1749772800,0.7187,0.7191,0.6469,0.6777,23701196
1749859200,0.6777,0.6813,0.65,0.6666,6847455.5
1749945600,0.6668,0.7055,0.666,0.698,7056063.8
1750032000,0.6981,0.7405,0.6896,0.6935,11015683.2
1750118400,0.6936,0.6956,0.6409,0.6538,20556443
1750204800,0.6537,0.6782,0.6341,0.6727,7432903.3
1750291200,0.6726,0.7055,0.6648,0.6785,8862938.3
1750377600,0.6784,0.7003,0.632,0.6476,10355532.6
1750464000,0.6476,0.6611,0.5916,0.6101,12560337.8
1750550400,0.6099,0.6226,0.5486,0.5839,20216884.4
1750636800,0.5838,0.693,0.5758,0.6872,22842006.9
1750723200,0.6871,0.7178,0.6589,0.6784,15542757
1750809600,0.6785,0.6845,0.6533,0.6587,8837137.6
1750896000,0.6588,0.6837,0.6432,0.6648,11372265.5
1750982400,0.6649,0.6846,0.649,0.6729,12050426.4
1751068800,0.673,0.6918,0.6622,0.6859,3353344.9
1751155200,0.686,0.7215,0.6739,0.7116,6756839.5
1751241600,0.7116,0.7208,0.6634,0.6778,10632653.4
1751328000,0.6782,0.6854,0.6541,0.6667,6683800.9
1751414400,0.6668,0.7264,0.6546,0.7126,8747622.7
1751500800,0.7125,0.7484,0.6996,0.7237,9360417.7
1751587200,0.7238,0.731,0.6671,0.6752,7663196.9
1751673600,0.6753,0.6788,0.6533,0.6634,3982688.9
1751760000,0.6634,0.6967,0.6465,0.6827,5100698.8
1751846400,0.6828,0.6894,0.6577,0.671,4284245.5
1751932800,0.671,0.6867,0.6613,0.6745,5166747.6
1752019200,0.6745,0.7151,0.6633,0.7037,8881913.1
1752105600,0.7038,0.7538,0.6897,0.7459,11069602.5
1752192000,0.7459,0.7731,0.7036,0.7158,14594433.1
1752278400,0.7156,0.73,0.6698,0.6885,10544004.6
1752364800,0.6885,0.7409,0.6857,0.7318,10587455
1752451200,0.732,0.7557,0.7012,0.7106,16117539
1752537600,0.7108,0.755,0.6785,0.7499,20442069.6
1752624000,0.75,0.79,0.7303,0.7771,16948549.1
1752710400,0.7772,0.7878,0.7465,0.7688,16990723.2
1752796800,0.7688,0.8374,0.7397,0.759,21791153.6
1752883200,0.7589,0.7986,0.739,0.7825,7828164.8
