ts,open,high,low,close,volume
1660521600,8.237,8.59,8.008,8.417,1097420.76
1660608000,8.417,8.831,8.155,8.426,1571495.457
1660694400,8.428,8.9,7.982,8.195,1327321.313
1660780800,8.188,8.287,6.759,7.478,1016785.537
1660867200,7.481,7.573,6.357,6.466,2112951.947
1660953600,6.466,6.721,6.058,6.255,1084079.204
1661040000,6.259,6.579,6.213,6.418,751812.182
1661126400,6.417,6.425,6.03,6.323,885678.483
1661212800,6.325,6.444,6.116,6.378,606482.728
1661299200,6.382,6.595,6.173,6.275,880611.095
1661385600,6.275,6.492,6.254,6.356,802193.398
1661472000,6.35,6.359,5.565,5.663,1394723.044
1661558400,5.661,5.865,5.589,5.83,690955.265
1661644800,5.826,5.884,5.596,5.639,423448.032
1661731200,5.643,6.053,5.528,6.017,745398.907
1661817600,6.032,6.106,5.577,5.711,1121385.486
1661904000,5.713,5.887,5.676,5.746,1031680.705
1661990400,5.746,5.809,5.594,5.77,429818.406
1662076800,5.774,5.988,5.686,5.827,502738.744
1662163200,5.826,6.638,5.798,6.507,1743190.543
1662249600,6.508,6.646,6.136,6.265,890522.947
1662336000,6.265,6.335,5.921,6.141,882966.478
1662422400,6.144,6.301,5.53,5.599,1569844.093
1662508800,5.601,5.943,5.521,5.857,994647.906
1662595200,5.858,5.954,5.706,5.874,951742.353
1662681600,5.871,6.486,5.858,6.379,2313524.679
1662768000,6.383,6.57,6.206,6.362,1025997.579
1662854400,6.368,6.985,6.162,6.411,1152746.102
1662940800,6.405,6.797,6.327,6.546,1565023.971
1663027200,6.546,6.552,5.807,5.88,1595963.57
1663113600,5.873,6.019,5.75,5.956,904067.804
1663200000,5.955,5.975,5.638,5.726,780021.139
1663286400,5.716,5.856,5.649,5.825,595938.654
1663372800,5.823,5.956,5.792,5.909,493274.606
1663459200,5.909,5.92,5.125,5.25,806743.365
1663545600,5.252,5.523,5.136,5.476,566714.513
1663632000,5.486,5.518,5.27,5.314,554389.516
1663718400,5.312,5.631,5.1,5.247,900722.561
1663804800,5.251,5.567,5.233,5.522,600074.669
1663891200,5.524,5.825,5.326,5.695,859573.778
1663977600,5.705,5.798,5.508,5.568,534741.336
1664064000,5.567,5.905,5.51,5.713,658941.023
1664150400,5.718,5.802,5.514,5.696,719364.792
1664236800,5.697,6.15,5.592,5.73,1289397.595
1664323200,5.73,6.055,5.55,5.851,777396.923
1664409600,5.853,5.949,5.665,5.782,621603.686
1664496000,5.787,5.841,5.615,5.683,972420.941
1664582400,5.68,5.698,5.47,5.52,577223.386
1664668800,5.52,5.572,5.339,5.384,483008.929
1664755200,5.38,5.55,5.29,5.523,601373.683
1664841600,5.519,5.654,5.486,5.606,731120.677
1664928000,5.602,5.655,5.437,5.585,677123.669
1665014400,5.589,5.653,5.461,5.485,644450.456
1665100800,5.482,5.533,5.374,5.473,397652.453
1665187200,5.473,5.507,5.351,5.397,203112.276
1665273600,5.395,5.482,5.382,5.434,167871.241
1665360000,5.434,5.485,5.09,5.154,619146.652
1665446400,5.15,5.231,4.985,5.133,598551.259
1665532800,5.133,5.222,5.102,5.146,542492.564
1665619200,5.146,5.179,4.64,5.141,1441286.309
1665705600,5.138,5.32,5,5.068,770720.937
1665792000,5.066,5.285,4.971,5.194,1095365.095
1665878400,5.194,5.281,5.093,5.156,720285.322
1665964800,5.154,5.275,5.091,5.256,765580.493
1666051200,5.259,5.278,5.05,5.134,808374.651
1666137600,5.132,5.146,4.917,4.974,557121.201
1666224000,4.971,5.093,4.9,4.938,563432.417
1666310400,4.935,4.991,4.804,4.963,709952.969
1666396800,4.963,4.998,4.903,4.959,268112.177
1666483200,4.96,5.164,4.943,5.121,629896.467
1666569600,5.12,5.147,4.911,4.949,616853.524
1666656000,4.95,5.317,4.912,5.183,1073355.767
1666742400,5.191,5.377,5.176,5.249,1079554.918
1666828800,5.259,5.517,5.192,5.231,1220805.686
1666915200,5.23,5.496,5.114,5.366,1160829.189
1667001600,5.366,5.903,5.342,5.714,1676508.727
1667088000,5.715,5.752,5.277,5.391,1193530.361
1667174400,5.392,5.516,5.298,5.425,1071524.137
1667260800,5.426,5.505,5.328,5.366,1073718.05
1667347200,5.365,5.429,5.096,5.223,1104782.666
1667433600,5.222,6.239,5.215,5.784,2553592.174
1667520000,5.786,6.324,5.742,6.149,1583428.863
1667606400,6.15,6.551,6.008,6.163,1074797.516
1667692800,6.165,6.393,5.774,5.822,1006444.325
1667779200,5.822,5.95,5.599,5.726,917389.694
1667865600,5.73,5.857,4.163,4.804,2070519.334
1667952000,4.811,4.873,3.972,4.143,2227506.711
1668038400,4.144,4.771,4.077,4.62,2253893.527
1668124800,4.616,4.667,4.186,4.466,1188624.714
1668211200,4.476,4.486,4.212,4.266,927470.913
1668297600,4.266,4.443,4.203,4.278,1294925.768
1668384000,4.275,4.397,4.063,4.325,1514749.544
1668470400,4.325,4.5,4.268,4.383,424711.274
1668556800,4.387,4.545,4.256,4.328,1614384.211
1668643200,4.331,4.392,4.221,4.313,1153482.52
1668729600,4.31,4.411,4.274,4.341,1002809.872
1668816000,4.341,4.423,4.244,4.379,470472.861
1668902400,4.377,4.45,4.096,4.161,1098296.731
1668988800,4.159,4.222,4.034,4.162,958668.796
1669075200,4.163,4.354,4.087,4.318,903849.774
1669161600,4.316,4.484,4.29,4.439,1242790.772
1669248000,4.439,4.454,4.339,4.388,1417118.39
1669334400,4.387,4.397,4.244,4.295,966221.398
1669420800,4.295,4.402,4.269,4.303,577913.251
1669507200,4.299,4.508,4.293,4.339,1098419.927
1669593600,4.336,4.383,4.13,4.253,977436.896
1669680000,4.252,4.402,4.217,4.347,608243.674
1669766400,4.35,4.501,4.232,4.419,1095763.529
1669852800,4.418,4.481,4.347,4.393,621448.957
1669939200,4.396,4.705,4.346,4.647,935532.966
1670025600,4.649,4.69,4.383,4.428,579883.36
1670112000,4.426,4.6,4.421,4.574,385122.093
1670198400,4.574,4.623,4.46,4.522,551180.695
1670284800,4.525,4.626,4.493,4.591,579095.808
1670371200,4.594,4.6,4.185,4.351,1375314.529
1670457600,4.35,4.441,4.33,4.395,829151.279
1670544000,4.398,4.465,4.379,4.437,452159.011
1670630400,4.437,4.448,4.36,4.378,402575.593
1670716800,4.379,4.419,4.24,4.285,337311.551
1670803200,4.282,4.291,4.17,4.268,520590.953
1670889600,4.268,4.363,4.118,4.322,647647.22
1670976000,4.325,4.372,4.172,4.229,732379.633
1671062400,4.229,4.243,4.092,4.15,1158387.337
1671148800,4.149,4.182,2.371,3.057,2644476.657
1671235200,3.052,3.399,2.864,3.196,3113534.412
1671321600,3.198,3.204,3.022,3.048,1608299.688
1671408000,3.048,3.107,2.677,2.815,2808537.902
1671494400,2.814,3.118,2.801,2.975,2581477.67
1671580800,2.975,3.006,2.882,2.978,1464756.913
1671667200,2.976,3.008,2.887,2.996,1286990.981
1671753600,2.997,3.037,2.945,2.969,743662.354
1671840000,2.969,2.991,2.919,2.934,586579.803
1671926400,2.931,2.97,2.896,2.962,594757.872
1672012800,2.964,3.007,2.944,3.001,457816.165
1672099200,3.003,3.318,2.958,3.071,1706651.503
