ts,open,high,low,close,volume
1695142800,3.384,3.398,3.375,3.386,10285.975
1695146400,3.387,3.411,3.387,3.406,12429.565
1695150000,3.404,3.404,3.37,3.383,7894.324
1695153600,3.381,3.387,3.373,3.379,10811.362
1695157200,3.378,3.38,3.354,3.378,15913.566
1695160800,3.381,3.384,3.369,3.382,3336.192
1695164400,3.38,3.389,3.367,3.37,3264.522
1695168000,3.37,3.374,3.354,3.368,20239.025
1695171600,3.367,3.412,3.366,3.41,16952.167
1695175200,3.41,3.413,3.383,3.384,12972.214
1695178800,3.384,3.393,3.36,3.366,3954.232
1695182400,3.368,3.382,3.361,3.37,3400.234
1695186000,3.369,3.381,3.359,3.36,4934.261
1695189600,3.36,3.376,3.35,3.363,4639.495
1695193200,3.359,3.375,3.359,3.373,2844.065
1695196800,3.371,3.385,3.368,3.382,12217.593
1695200400,3.385,3.386,3.329,3.34,9752.805
1695204000,3.338,3.355,3.325,3.353,6050.278
1695207600,3.356,3.364,3.35,3.359,9427.076
1695211200,3.36,3.376,3.338,3.361,13320.601
1695214800,3.367,3.385,3.359,3.383,8853.539
1695218400,3.386,3.398,3.372,3.383,11173.392
1695222000,3.382,3.397,3.376,3.389,58304.444
1695225600,3.389,3.392,3.373,3.375,16906.928
1695229200,3.376,3.389,3.368,3.374,33961.256
1695232800,3.378,3.4,3.368,3.385,17793.571
1695236400,3.384,3.388,3.318,3.339,64146.473
1695240000,3.339,3.347,3.331,3.347,15339.591
1695243600,3.347,3.364,3.345,3.36,13314.973
1695247200,3.358,3.367,3.35,3.355,9574.733
1695250800,3.355,3.367,3.345,3.366,6320.321
1695254400,3.366,3.389,3.361,3.376,10936.57
1695258000,3.374,3.377,3.35,3.366,19666.144
1695261600,3.366,3.379,3.325,3.345,11213.744
1695265200,3.353,3.356,3.339,3.356,4794.286
1695268800,3.356,3.357,3.342,3.357,23374.291
1695272400,3.355,3.355,3.331,3.338,9800.105
1695276000,3.336,3.336,3.288,3.317,12006.261
1695279600,3.316,3.316,3.302,3.307,11699.759
1695283200,3.304,3.309,3.269,3.281,47686.975
1695286800,3.278,3.287,3.245,3.251,9552.106
1695290400,3.251,3.265,3.226,3.234,16731.574
1695294000,3.232,3.266,3.232,3.266,4956.883
1695297600,3.263,3.273,3.249,3.261,11338.609
1695301200,3.258,3.263,3.21,3.244,76792.038
1695304800,3.242,3.266,3.238,3.261,29626.943
1695308400,3.262,3.262,3.243,3.244,8117.414
1695312000,3.24,3.25,3.234,3.243,4619.782
1695315600,3.242,3.26,3.237,3.237,6598.518
1695319200,3.234,3.241,3.232,3.24,4506.022
1695322800,3.238,3.241,3.228,3.234,3156.185
1695326400,3.232,3.232,3.19,3.218,25033.717
1695330000,3.217,3.231,3.193,3.231,46682.493
1695333600,3.225,3.23,3.211,3.226,20954.582
1695337200,3.233,3.233,3.209,3.214,4173.386
1695340800,3.214,3.229,3.19,3.226,15876.041
1695344400,3.227,3.239,3.212,3.229,5030.082
1695348000,3.231,3.235,3.221,3.221,6446.905
1695351600,3.223,3.238,3.221,3.231,4305.416
1695355200,3.23,3.241,3.221,3.222,4848.512
1695358800,3.222,3.222,3.208,3.22,7563.993
1695362400,3.222,3.223,3.209,3.217,2355.532
1695366000,3.216,3.222,3.203,3.219,5336.429
1695369600,3.218,3.23,3.216,3.226,3716.986
1695373200,3.226,3.227,3.207,3.21,12908.521
1695376800,3.211,3.221,3.207,3.22,4567.493
1695380400,3.221,3.242,3.219,3.237,2907.445
1695384000,3.234,3.237,3.221,3.221,2778.068
1695387600,3.223,3.233,3.219,3.22,2456.918
1695391200,3.223,3.241,3.221,3.236,3881.51
1695394800,3.233,3.236,3.214,3.215,20327.904
1695398400,3.218,3.221,3.206,3.207,7932.361
1695402000,3.207,3.223,3.203,3.223,2963.694
1695405600,3.224,3.234,3.219,3.228,2513.797
1695409200,3.23,3.237,3.216,3.216,6676.769
1695412800,3.216,3.221,3.205,3.21,22341.678
1695416400,3.212,3.223,3.202,3.222,14196.295
