ts,open,high,low,close,volume
1746576000,7.63e-05,7.77e-05,7.4e-05,7.66e-05,4272765940
1746662400,7.65e-05,9.48e-05,7.62e-05,9.17e-05,19441190193
1746748800,9.16e-05,0.0001047,9.07e-05,9.99e-05,28991885830
1746835200,9.98e-05,0.0001105,9.81e-05,0.0001098,24597474737
1746921600,0.0001099,0.00011,0.0001014,0.0001038,13823998961
1747008000,0.0001039,0.0001238,0.0001037,0.0001119,44447679983
1747094400,0.0001119,0.0001196,0.0001015,0.0001145,26089700652
1747180800,0.0001145,0.0001157,0.0001067,0.0001079,9284420427
1747267200,0.0001079,0.0001097,9.71e-05,9.98e-05,10030255844
1747353600,0.0001,0.0001037,9.63e-05,9.7e-05,6113315767
1747440000,9.7e-05,9.75e-05,8.89e-05,9.04e-05,8637102408
1747526400,9.02e-05,0.0001041,8.97e-05,0.0001004,10425131878
1747612800,0.0001003,0.0001009,9.12e-05,9.88e-05,8360657375
1747699200,9.86e-05,0.0001023,9.35e-05,9.88e-05,7369704196
1747785600,9.9e-05,0.0001061,9.63e-05,0.000102,8462246405
1747872000,0.0001021,0.0001131,0.000102,0.0001121,18195236127
1747958400,0.0001122,0.0001179,0.0001003,0.000101,15298275355
1748044800,0.0001009,0.000104,9.78e-05,9.86e-05,4856651872
1748131200,9.85e-05,9.98e-05,9.21e-05,9.81e-05,5902790443
1748217600,9.82e-05,0.0001039,9.67e-05,9.8e-05,6265148747
1748304000,9.81e-05,0.0001038,9.54e-05,0.000101,5201578378
1748390400,0.0001009,0.0001039,9.83e-05,0.0001023,9320311296
1748476800,0.0001022,0.0001077,9.7e-05,9.73e-05,12986339300
1748563200,9.73e-05,9.82e-05,8.23e-05,8.3e-05,8346452648
1748649600,8.3e-05,8.68e-05,7.93e-05,8.51e-05,8468425781
1748736000,8.5e-05,8.73e-05,8.24e-05,8.6e-05,4133224288
1748822400,8.6e-05,8.88e-05,8.29e-05,8.81e-05,4787328302
1748908800,8.81e-05,9.16e-05,8.57e-05,8.65e-05,4190570476
