ts,open,high,low,close,volume
1787702400,0.36,0.3765,0.3501,0.3637,481051.5
1787788800,0.3637,0.3971,0.36,0.3628,230023.8
1787875200,0.3668,0.3745,0.3487,0.3543,233771.7
1787961600,0.3531,0.366,0.3453,0.3656,252596.3
1788048000,0.3667,0.3766,0.3533,0.3607,157621.4
1788134400,0.3604,0.3679,0.3475,0.354,59248
1788220800,0.3556,0.3575,0.3425,0.3457,50436.8
1788307200,0.3452,0.3452,0.3231,0.3344,287192.4
1788393600,0.3362,0.355,0.3328,0.3466,44897.4
1788480000,0.3463,0.3579,0.339,0.3463,55369.6
1788566400,0.3454,0.3518,0.3413,0.3422,132317.3
1788652800,0.3429,0.3488,0.337,0.3448,233136.9
1788739200,0.345,0.3465,0.3294,0.3455,241334.8
1788825600,0.3466,0.3505,0.321,0.3325,278011
1788912000,0.3325,0.3841,0.3325,0.3428,423881.2
1788998400,0.3424,0.3533,0.3264,0.3412,317179
1789084800,0.3416,0.3532,0.3236,0.3291,333869.8
1789171200,0.328,0.3395,0.3252,0.3308,98534.8
1789257600,0.3304,0.3345,0.3044,0.3136,152488.2
1789344000,0.314,0.3367,0.3084,0.332,1422121.8
1789430400,0.3324,0.3374,0.302,0.3118,749013
1789516800,0.312,0.3232,0.3056,0.3229,377673.4
1789603200,0.3223,0.3414,0.3219,0.3335,617931.2
1789689600,0.3333,0.3476,0.3329,0.346,447196.7
