ts,open,high,low,close,volume
1746576000,0.0899,0.0926,0.0888,0.0914,11667096.24
1746662400,0.0915,0.1038,0.0913,0.1038,23400817.31
1746748800,0.1039,0.1136,0.1026,0.1123,26831108.03
1746835200,0.1122,0.1259,0.1115,0.1254,32354759.23
1746921600,0.1253,0.1263,0.1153,0.1182,20503127.75
1747008000,0.1183,0.1255,0.1125,0.1185,38994687.54
1747094400,0.1183,0.1319,0.1112,0.128,33124457.23
1747180800,0.128,0.1312,0.1204,0.1218,19093769.22
1747267200,0.1218,0.1234,0.1113,0.1142,27249351.64
1747353600,0.1142,0.1165,0.109,0.1102,27846384.85
1747440000,0.1104,0.1106,0.1039,0.1057,17884238.42
1747526400,0.1055,0.1165,0.1051,0.1145,23578870.75
1747612800,0.1144,0.1148,0.1047,0.1104,20328925.47
1747699200,0.1105,0.1142,0.1059,0.1108,19614496.37
1747785600,0.1109,0.1163,0.1088,0.1147,24046469.7
1747872000,0.1146,0.1237,0.1146,0.1223,26294655.19
1747958400,0.1224,0.1252,0.1083,0.1093,29522558.55
1748044800,0.1092,0.1143,0.1073,0.1081,22527155.32
1748131200,0.108,0.1103,0.1039,0.1102,16220664.6
1748217600,0.1103,0.115,0.1079,0.1102,14596889.53
1748304000,0.1101,0.1154,0.107,0.1116,17946469.16
1748390400,0.1115,0.1138,0.1065,0.1113,19635352.09
1748476800,0.1113,0.114,0.1046,0.1054,22279416.84
1748563200,0.1052,0.106,0.091,0.0926,34637831.52
1748649600,0.0926,0.0971,0.0893,0.0951,17911767.17
1748736000,0.0951,0.097,0.0927,0.0961,16979007.1
1748822400,0.0962,0.0983,0.0929,0.0978,12458810.08
1748908800,0.0979,0.1021,0.0973,0.0976,11566907.98
1748995200,0.0976,0.0997,0.0938,0.0946,12520584.52
1749081600,0.0945,0.0959,0.086,0.0872,19628772.27
1749168000,0.0872,0.0928,0.0867,0.0894,12345842.29
1749254400,0.0894,0.0936,0.0892,0.0917,5394305.33
1749340800,0.0919,0.0937,0.0907,0.0917,10598295.06
1749427200,0.0916,0.0978,0.0897,0.0975,13263620.17
1749513600,0.0975,0.1025,0.0956,0.1022,13561821.03
1749600000,0.1021,0.103,0.0963,0.0972,15134269.54
1749686400,0.0972,0.0974,0.0898,0.0898,15008909.4
1749772800,0.0898,0.0898,0.083,0.0882,25291080.49
1749859200,0.0881,0.0888,0.0856,0.0874,6497234.93
1749945600,0.0871,0.0878,0.0849,0.0867,9053469.21
1750032000,0.0865,0.0918,0.0854,0.0875,20141108.46
1750118400,0.0877,0.0887,0.0818,0.0838,13402772.14
1750204800,0.084,0.0853,0.0802,0.0845,17026394.72
1750291200,0.0846,0.0855,0.082,0.0838,9001442.5
1750377600,0.0838,0.0855,0.079,0.0803,18765465.68
1750464000,0.0803,0.0821,0.0749,0.0767,16523811.41
1750550400,0.0768,0.0776,0.0693,0.0732,26824933.47
1750636800,0.0732,0.0818,0.0724,0.0815,21547020.84
1750723200,0.0817,0.0855,0.0815,0.0841,13049897.94
1750809600,0.0842,0.0846,0.0804,0.081,7978723.35
1750896000,0.081,0.0835,0.0788,0.0789,8096342.91
1750982400,0.0789,0.0824,0.0779,0.0811,7228551.24
1751068800,0.0811,0.0847,0.0809,0.0844,4983853.5
1751155200,0.0844,0.0886,0.0833,0.0878,8902607.35
1751241600,0.0878,0.0883,0.0837,0.084,9330738.3
