ts,open,high,low,close,volume
1695106800,2.991,3.001,2.986,2.998,588.7137
1695110400,2.997,3.018,2.992,3.018,1240.5211
1695114000,3.019,3.059,3.019,3.038,47089.1424
1695117600,3.034,3.034,3.02,3.027,7054.2653
1695121200,3.035,3.035,3.023,3.035,2860.7136
1695124800,3.037,3.044,3.025,3.035,3551.6795
1695128400,3.038,3.049,3.022,3.024,2360.3282
1695132000,3.022,3.043,3.019,3.035,9416.9623
1695135600,3.04,3.056,3.027,3.043,5230.7109
1695139200,3.045,3.051,3.03,3.033,19964.5639
1695142800,3.033,3.038,3.021,3.027,6732.2953
1695146400,3.027,3.04,3.027,3.033,7378.529
1695150000,3.031,3.036,3.016,3.036,2767.0487
1695153600,3.032,3.033,3.014,3.017,30236.6613
1695157200,3.021,3.021,3.008,3.018,9055.5403
1695160800,3.019,3.03,3.018,3.025,3974.672
1695164400,3.026,3.036,3.024,3.03,5106.278
1695168000,3.029,3.034,3.016,3.022,6776.2452
1695171600,3.021,3.038,3.021,3.032,3746.0412
1695175200,3.032,3.038,2.993,3.001,10881.7717
1695178800,3,3.013,2.991,3,5489.545
1695182400,3.001,3.013,2.995,3.01,9695.4972
1695186000,3.007,3.02,3.001,3.001,11785.5424
1695189600,3,3.005,2.99,2.999,3091.5673
1695193200,3.001,3.021,2.993,3.017,4217.75
1695196800,3.015,3.03,3.014,3.029,12525.7099
1695200400,3.028,3.028,2.992,3.001,5112.6805
1695204000,3.002,3.002,2.98,2.996,12173.1608
1695207600,2.996,3.007,2.996,3,1112.4624
1695211200,3.002,3.002,2.968,2.991,11897.8836
1695214800,2.989,3.017,2.989,3.013,6502.0953
1695218400,3.018,3.026,3.005,3.01,6716.569
1695222000,3.011,3.011,3,3.002,6150.9232
1695225600,3.005,3.013,2.996,2.996,4637.8335
1695229200,2.998,3.005,2.984,2.992,21563.7118
1695232800,2.99,3.015,2.982,3,8168.9966
1695236400,3.003,3.005,2.936,2.969,10881.3804
1695240000,2.97,2.983,2.966,2.974,17557.6695
1695243600,2.98,2.994,2.979,2.985,10192.7114
1695247200,2.986,2.996,2.985,2.993,11505.1028
1695250800,2.993,3,2.986,3,14343.0207
1695254400,2.999,3.009,2.992,2.996,24863.7197
1695258000,2.998,3.004,2.99,3.004,16764.3454
1695261600,3.004,3.013,2.997,3.004,19072.877
1695265200,3.008,3.013,2.998,3.002,934.4566
1695268800,3.007,3.016,3.002,3.013,9188.8075
1695272400,3.011,3.011,2.99,2.999,6005.9291
1695276000,2.995,2.995,2.971,2.994,12754.1525
1695279600,2.989,3.007,2.985,2.992,1501.0569
1695283200,2.986,2.997,2.982,2.986,4192.2099
1695286800,2.983,2.985,2.946,2.95,21719.6569
1695290400,2.95,2.956,2.917,2.921,12533.9715
1695294000,2.919,2.947,2.919,2.939,3284.7183
1695297600,2.94,2.944,2.928,2.934,7944.9381
1695301200,2.933,2.933,2.897,2.93,13772.9402
1695304800,2.928,2.947,2.925,2.933,3290.7995
1695308400,2.934,2.934,2.913,2.927,11333.9807
1695312000,2.926,2.926,2.91,2.91,2376.1843
1695315600,2.911,2.919,2.9,2.9,11173.1257
1695319200,2.903,2.906,2.893,2.899,6326.5611
1695322800,2.903,2.911,2.9,2.905,8593.7024
1695326400,2.905,2.908,2.879,2.893,26429.0029
1695330000,2.894,2.904,2.884,2.902,10942.4921
1695333600,2.907,2.909,2.891,2.909,7792.7051
1695337200,2.909,2.911,2.898,2.899,4354.0483
1695340800,2.9,2.908,2.825,2.908,24129.7386
1695344400,2.907,2.909,2.887,2.905,8308.5124
1695348000,2.903,2.908,2.897,2.901,2435.5395
1695351600,2.901,2.914,2.899,2.905,3792.078
1695355200,2.908,2.928,2.905,2.914,23230.5616
1695358800,2.915,2.926,2.91,2.925,1830.2586
1695362400,2.924,2.925,2.912,2.913,2163.7
1695366000,2.911,2.911,2.902,2.902,7700.6326
1695369600,2.899,2.91,2.898,2.909,5345.7811
1695373200,2.91,2.911,2.899,2.908,6470.5505
1695376800,2.908,2.923,2.905,2.909,6714.8735
1695380400,2.911,2.919,2.911,2.917,11022.4586
1695384000,2.918,2.93,2.91,2.912,4329.2703
