ts,open,high,low,close,volume
1663632000,1.56,1.66,1.509,1.527,77422.8
1663718400,1.529,1.596,1.442,1.471,66818.74
1663804800,1.477,1.548,1.472,1.539,34913.89
1663891200,1.544,1.655,1.467,1.581,66342.89
1663977600,1.588,1.694,1.543,1.646,181199.05
1664064000,1.637,1.996,1.61,1.796,315992.49
1664150400,1.795,1.941,1.686,1.784,429293.54
1664236800,1.782,1.849,1.699,1.739,158988.5
1664323200,1.735,1.751,1.625,1.716,79305.33
1664409600,1.716,1.716,1.638,1.673,70147.94
1664496000,1.673,1.759,1.64,1.698,97817.24
1664582400,1.707,1.721,1.645,1.65,43526.25
1664668800,1.654,1.68,1.552,1.552,44960.35
1664755200,1.56,1.751,1.557,1.708,86648.32
1664841600,1.708,1.891,1.694,1.8,171872.63
1664928000,1.801,1.985,1.763,1.918,322295.09
1665014400,1.92,1.933,1.829,1.835,258864.09
1665100800,1.851,2.065,1.826,1.992,188198.88
1665187200,1.983,2.05,1.951,1.989,158492.68
1665273600,1.991,2.016,1.89,1.923,120560.81
1665360000,1.924,1.956,1.751,1.751,122933.12
1665446400,1.75,1.911,1.7,1.827,148647.03
1665532800,1.826,1.842,1.761,1.789,48539.32
1665619200,1.787,1.789,1.569,1.742,453965.02
1665705600,1.732,1.897,1.723,1.762,103196.53
1665792000,1.773,1.787,1.714,1.757,84068.55
1665878400,1.761,1.952,1.76,1.909,132721.23
1665964800,1.909,2.279,1.887,2.102,376882.87
1666051200,2.099,2.166,2.037,2.09,156566.78
1666137600,2.086,2.086,1.959,1.977,134929.49
1666224000,1.982,2.034,1.818,1.851,263627.04
1666310400,1.845,1.9,1.765,1.847,162726.62
1666396800,1.841,1.97,1.828,1.914,170660.48
1666483200,1.916,1.982,1.897,1.93,191285.94
1666569600,1.93,1.93,1.85,1.893,102020.99
1666656000,1.903,2.028,1.888,1.96,250328.07
1666742400,1.961,2.18,1.924,2.058,162744.64
1666828800,2.055,2.192,1.99,2.037,250888.65
1666915200,2.039,2.078,1.91,2.05,133432.96
1667001600,2.048,2.412,2.036,2.303,489506.04
1667088000,2.304,2.427,2.134,2.203,253314.33
1667174400,2.213,2.731,2.151,2.439,510088.57
1667260800,2.428,2.575,2.278,2.502,541592.28
1667347200,2.505,2.68,2.309,2.518,807355.4
1667433600,2.514,3.04,2.472,2.641,686935.83
1667520000,2.639,2.926,2.614,2.717,462439.89
1667606400,2.718,2.998,2.648,2.682,337388.28
1667692800,2.683,2.877,2.566,2.613,330034.83
1667779200,2.618,2.804,2.418,2.681,369328.24
1667865600,2.681,2.753,1.593,1.985,929150.23
1667952000,1.978,1.998,1.368,1.453,696348.03
1668038400,1.435,1.874,1.432,1.792,203367.86
1668124800,1.793,1.872,1.61,1.76,202040.69
