ts,open,high,low,close,volume
1695222000,7.442,7.471,7.396,7.428,3601.9
1695225600,7.428,7.432,7.379,7.396,1296.66
1695229200,7.39,7.488,7.385,7.469,12109.44
1695232800,7.47,7.554,7.447,7.497,5947.43
1695236400,7.5,7.601,7.385,7.436,15462.83
1695240000,7.426,7.445,7.4,7.425,1750.92
1695243600,7.428,7.5,7.417,7.493,1982.44
1695247200,7.494,7.494,7.438,7.454,1064.31
1695250800,7.464,7.468,7.438,7.446,410.93
1695254400,7.44,7.5,7.439,7.459,2393.3
1695258000,7.469,7.471,7.374,7.374,635.32
1695261600,7.371,7.407,7.349,7.361,739.9
1695265200,7.368,7.382,7.33,7.382,1161.97
1695268800,7.378,7.42,7.344,7.419,10160.89
1695272400,7.411,7.411,7.356,7.395,585.15
1695276000,7.387,7.387,7.27,7.309,3504.31
1695279600,7.301,7.304,7.251,7.259,292.51
1695283200,7.25,7.283,7.209,7.235,1804.83
1695286800,7.228,7.234,7.171,7.217,14899.15
1695290400,7.213,7.224,7.102,7.102,4440.86
1695294000,7.106,7.238,7.1,7.155,12441.14
1695297600,7.156,7.175,7.122,7.143,3533.94
1695301200,7.141,7.144,7.05,7.102,6692.72
1695304800,7.101,7.145,7.093,7.121,2866.46
1695308400,7.113,7.116,7.081,7.096,1047.61
1695312000,7.097,7.115,7.06,7.115,2692.97
1695315600,7.11,7.148,7.1,7.1,3694.62
1695319200,7.1,7.137,7.1,7.137,4166.86
1695322800,7.136,7.15,7.1,7.121,4127.15
1695326400,7.13,7.138,7.1,7.119,7641.74
1695330000,7.124,7.125,7.082,7.117,2793.71
1695333600,7.113,7.122,7.084,7.113,308.73
1695337200,7.122,7.127,7.082,7.107,425.03
1695340800,7.107,7.121,7.026,7.121,16648.67
1695344400,7.114,7.14,7.084,7.14,440.36
1695348000,7.128,7.135,7.102,7.116,203.48
1695351600,7.108,7.207,7.108,7.157,2905.96
1695355200,7.149,7.22,7.149,7.156,4180.3
1695358800,7.154,7.189,7.137,7.174,399.05
1695362400,7.173,7.183,7.126,7.128,124.7
1695366000,7.122,7.15,7.114,7.144,78.37
1695369600,7.162,7.185,7.13,7.158,2723.76
1695373200,7.138,7.186,7.125,7.153,409.54
1695376800,7.175,7.229,7.16,7.186,3407.24
1695380400,7.176,7.22,7.176,7.206,4206.89
1695384000,7.187,7.204,7.174,7.179,1481.37
1695387600,7.181,7.231,7.176,7.186,1009.16
1695391200,7.21,7.216,7.184,7.209,1120.08
1695394800,7.21,7.216,7.186,7.204,1050.32
1695398400,7.204,7.207,7.13,7.139,1510.97
1695402000,7.146,7.154,7.108,7.15,970.73
1695405600,7.149,7.16,7.106,7.141,1084.39
1695409200,7.13,7.161,7.115,7.123,1820.8
1695412800,7.13,7.153,7.12,7.12,493.1
1695416400,7.137,7.184,7.103,7.183,444.38
1695420000,7.18,7.2,7.166,7.2,3934.14
1695423600,7.2,7.203,7.191,7.197,7043.41
1695427200,7.202,7.251,7.195,7.222,1297.39
1695430800,7.23,7.233,7.194,7.215,574.37
1695434400,7.218,7.219,7.138,7.158,448.64
1695438000,7.15,7.156,7.121,7.153,580.78
1695441600,7.137,7.18,7.123,7.164,4854.79
1695445200,7.175,7.199,7.175,7.185,2880.34
1695448800,7.185,7.195,7.177,7.181,74.3
1695452400,7.18,7.192,7.147,7.147,1106.98
1695456000,7.16,7.17,7.12,7.139,431.52
1695459600,7.135,7.156,7.12,7.152,574.5
1695463200,7.153,7.153,7.12,7.129,264.65
1695466800,7.122,7.138,7.12,7.12,1855.36
1695470400,7.124,7.133,7.097,7.097,8705.07
1695474000,7.106,7.119,7.086,7.088,255.19
1695477600,7.098,7.101,7.07,7.09,423.63
1695481200,7.085,7.092,7.053,7.053,284.52
1695484800,7.052,7.09,7.048,7.09,480
1695488400,7.088,7.088,7.047,7.057,1606.59
1695492000,7.067,7.116,7.061,7.098,611.49
1695495600,7.121,7.127,7.101,7.101,453.37
1695499200,7.105,7.105,7.06,7.069,986.3
1695502800,7.069,7.084,7.052,7.056,473.5
1695506400,7.078,7.088,7,7.017,9804.85
1695510000,7.011,7.036,7.006,7.027,1558.32
1695513600,7.02,7.02,6.9,6.908,7723.23
1695517200,6.914,6.993,6.88,6.993,3106.58
1695520800,6.988,7.024,6.984,7.006,354.27
1695524400,6.988,7.015,6.988,6.993,1912.05
1695528000,6.984,7.006,6.949,6.976,1323
1695531600,6.982,7.018,6.976,7.018,868.47
1695535200,7.007,7.007,6.992,6.999,294.55
1695538800,7.001,7.003,6.994,6.998,176.55
1695542400,6.999,7.02,6.998,7.002,4874.63
1695546000,7.008,7.017,7.003,7.011,247.63
1695549600,7.004,7.023,7.001,7.016,103.77
1695553200,7.003,7.02,7,7.007,664.58
1695556800,7.012,7.034,7.012,7.024,1222.15
1695560400,7.028,7.032,7,7,883.21
1695564000,7,7.019,6.988,6.997,6107.05
1695567600,6.994,7.008,6.982,7.002,857.97
1695571200,7.003,7.008,6.963,6.969,1216.56
1695574800,6.963,7.017,6.96,7.004,339.81
1695578400,7.016,7.026,6.959,6.987,837.2
1695582000,6.981,6.981,6.927,6.943,1213.03
1695585600,6.951,6.952,6.926,6.952,384.2
1695589200,6.956,6.981,6.951,6.981,264.92
1695592800,6.977,6.99,6.972,6.99,1018.21
1695596400,6.982,6.987,6.892,6.934,1104.86
1695600000,6.958,6.96,6.859,6.96,3294.97
1695603600,6.967,7.015,6.967,6.996,1523.28
1695607200,7.012,7.029,6.993,6.996,174.47
1695610800,7.006,7.007,6.978,6.981,129.92
1695614400,6.97,7.001,6.96,6.978,87.15
1695618000,6.96,6.96,6.896,6.921,9121.41
1695621600,6.925,7.024,6.892,7.022,2625.7
1695625200,7.022,7.036,6.978,7.019,1075.27
1695628800,7.015,7.019,6.976,7.001,1629.47
1695632400,7.003,7.02,7.001,7.007,190.76
1695636000,7.005,7.024,7.003,7.003,535.12
1695639600,7.012,7.028,6.969,7.023,1055.84
1695643200,7.036,7.052,7.013,7.033,933.88
1695646800,7.037,7.07,7.03,7.067,1066.24
1695650400,7.066,7.077,7.027,7.039,554.63
1695654000,7.037,7.125,7.037,7.107,711.46
