ts,open,high,low,close,volume
1746576000,0.9691,1.555,0.9591,1.449,15894407.35
1746662400,1.4493,1.535,1.3035,1.3585,9966688.9
1746748800,1.358,1.5785,1.2757,1.3689,5082596.72
1746835200,1.3696,1.98,1.3406,1.9069,6349377.07
1746921600,1.9063,1.9548,1.6679,1.7093,2182634.21
1747008000,1.7106,1.9,1.6111,1.77,3075908.88
1747094400,1.7709,2.1244,1.713,1.9319,4039650.63
1747180800,1.9343,1.9666,1.8148,1.936,1383586.97
1747267200,1.9393,1.9956,1.7169,1.7679,1959635.85
1747353600,1.7703,2.0882,1.7703,1.9437,1644159.74
1747440000,1.9423,1.9773,1.6586,1.698,1176542.8
1747526400,1.6981,1.948,1.6248,1.882,3647148.29
1747612800,1.8831,1.9549,1.7312,1.9084,1471727.54
1747699200,1.9123,1.9773,1.8097,1.9489,691283.76
1747785600,1.9492,2.257,1.9492,2.1702,4667496.44
1747872000,2.1703,2.2069,2.0432,2.1659,2140615.49
1747958400,2.1672,2.1672,1.8822,1.9068,1541931.56
1748044800,1.9072,1.9968,1.8978,1.9503,748171.23
1748131200,1.95,1.9922,1.78,1.896,1351474.12
1748217600,1.8954,2.0879,1.8749,2.0387,1420899.78
1748304000,2.0385,2.3913,1.9786,2.3105,4204511.08
1748390400,2.309,2.3474,2.1645,2.1706,1781659.78
1748476800,2.1713,2.42,2.1421,2.2187,2467007.2
1748563200,2.2182,2.3016,1.9114,1.918,2946571.97
1748649600,1.9185,2.0399,1.81,1.965,2550074.92
1748736000,1.9643,2.0768,1.8325,2.0248,1347701.12
1748822400,2.024,2.0531,1.8803,1.9605,1279871.25
1748908800,1.9611,1.9909,1.8189,1.8389,1235059.57
1748995200,1.839,1.8461,1.6384,1.6588,1313514.21
1749081600,1.6599,1.7667,1.566,1.6612,1254045.41
1749168000,1.6621,1.74,1.6093,1.6512,713530.92
1749254400,1.6494,1.694,1.6212,1.6595,317362.88
1749340800,1.6602,1.7412,1.6176,1.6512,650609.05
1749427200,1.6518,1.8211,1.569,1.7712,895691.93
1749513600,1.7736,1.7984,1.7088,1.7856,537635.63
1749600000,1.7878,1.8192,1.6285,1.6473,439201.12
1749686400,1.647,1.6476,1.4314,1.4481,778423.56
1749772800,1.4478,1.473,1.3552,1.4716,932395.88
1749859200,1.4716,1.486,1.3836,1.401,497737.51
1749945600,1.4018,1.4186,1.3532,1.399,265477.18
1750032000,1.3992,1.4798,1.3732,1.398,853427.82
1750118400,1.3982,1.474,1.3559,1.3876,491905.72
1750204800,1.3878,1.44,1.2786,1.4396,406543.5
1750291200,1.4384,1.466,1.3723,1.4145,285931.73
1750377600,1.413,1.5183,1.3565,1.3776,510300.24
1750464000,1.3773,1.4103,1.2458,1.3176,318025.86
1750550400,1.3188,1.3533,1.2056,1.2676,430160.52
1750636800,1.2678,1.4308,1.254,1.4275,431274.33
1750723200,1.4286,1.4692,1.3948,1.4625,268569.65
1750809600,1.4622,1.5072,1.4046,1.4127,233492.24
1750896000,1.413,1.4691,1.3452,1.359,138152.59
1750982400,1.3576,1.4352,1.3492,1.4301,153066.54
1751068800,1.4292,1.541,1.4277,1.5138,237840.01
1751155200,1.5144,1.6576,1.4985,1.6397,402385.52
1751241600,1.6407,1.6664,1.5828,1.5912,464998.83
1751328000,1.5914,1.6247,1.531,1.6236,246594.66
1751414400,1.624,1.7328,1.5136,1.6307,973866.38
1751500800,1.6314,1.647,1.5678,1.6335,379428.89
1751587200,1.6327,1.6365,1.4814,1.5185,192887.94
1751673600,1.5184,1.547,1.4892,1.532,187925.62
1751760000,1.5323,1.5844,1.518,1.5627,269061.42
1751846400,1.563,1.5663,1.4535,1.4637,169978.32
1751932800,1.463,1.487,1.4322,1.4708,205839.08
1752019200,1.4704,1.516,1.4507,1.505,191234.65
1752105600,1.5048,1.6768,1.4906,1.6604,412452.56
1752192000,1.6608,1.719,1.6044,1.6152,543064.48
1752278400,1.6155,1.6317,1.5028,1.544,470443.78
1752364800,1.5444,1.5938,1.4871,1.5099,427846.97
1752451200,1.51,1.6545,1.4952,1.5462,604534.12
1752537600,1.5459,1.6152,1.4718,1.6144,509159
1752624000,1.6142,1.811,1.5699,1.7416,1075616.51
1752710400,1.742,1.826,1.671,1.7112,1017254.73
1752796800,1.7116,1.7767,1.5869,1.6295,873705.4
1752883200,1.63,1.6499,1.5876,1.6484,283615.81
1752969600,1.6486,1.7055,1.626,1.6628,416504.01
1753056000,1.6624,1.765,1.631,1.7452,409740.11
1753142400,1.7456,1.7808,1.5858,1.6806,550079.44
1753228800,1.6794,1.6794,1.4065,1.4526,845594.68
1753315200,1.4529,1.4691,1.3134,1.3497,574407.13
1753401600,1.35,1.3785,1.2883,1.37,607013.94
1753488000,1.3692,1.4124,1.3487,1.352,286004.3
1753574400,1.3521,1.3812,1.3422,1.365,258036.95
1753660800,1.3647,1.3868,1.2669,1.2822,361769.9
1753747200,1.2825,1.3194,1.2354,1.2582,298071.7
1753833600,1.2582,1.2678,1.1781,1.2328,410230.5
1753920000,1.2324,1.2564,1.1594,1.1676,339053.11
1754006400,1.1678,1.169,1.0926,1.1368,613256.44
1754092800,1.1372,1.1542,1.0888,1.1152,400236.25
1754179200,1.1146,1.152,1.0996,1.1434,325435.92
1754265600,1.143,1.1693,1.1353,1.1594,262318.91
1754352000,1.1596,1.16,1.0825,1.1033,415109.28
1754438400,1.1024,1.147,1.0776,1.1444,255277.16
1754524800,1.1448,1.1676,1.1124,1.1546,350539.12
1754611200,1.1548,1.2194,1.1378,1.2016,343054.68
1754697600,1.2024,1.2962,1.1906,1.2396,313687.39
1754784000,1.2388,1.263,1.174,1.2336,258610.66
1754870400,1.2334,1.2602,1.1268,1.1466,443790.43
1754956800,1.1464,1.2392,1.1059,1.2155,415337.8
1755043200,1.2156,1.2545,1.1998,1.2262,353220.01
1755129600,1.2264,1.2522,1.0658,1.0818,576462.55
1755216000,1.082,1.1044,1.0138,1.057,605867.06
1755302400,1.057,1.1414,1.0524,1.131,528651.81
1755388800,1.131,1.1488,1.1044,1.1058,347440.52
1755475200,1.1052,1.1102,1.0547,1.0686,359846.19
1755561600,1.0688,1.0796,1.0158,1.0238,438329.4
1755648000,1.024,1.1972,1.0172,1.1385,1265199.23
1755734400,1.1384,1.1422,1.0627,1.071,932110.46
1755820800,1.0712,1.1949,1.058,1.1885,870992.11
1755907200,1.1884,1.1916,1.1447,1.1542,236249.48
1755993600,1.1544,1.1706,1.0974,1.1124,361813.54
1756080000,1.1126,1.1322,0.9716,1.004,492207.67
1756166400,1.0034,1.0802,0.9936,1.0724,503844.57
1756252800,1.0722,1.0955,1.0545,1.0652,512900.21
1756339200,1.0644,1.1246,1.061,1.1172,226027.4
1756425600,1.1171,1.1228,1.0387,1.0618,572013.32
1756512000,1.0616,1.1386,1.0396,1.0876,627464.86
1756598400,1.0874,1.0989,1.0506,1.0511,241944.25
1756684800,1.051,1.0759,0.9832,1.0062,443889.66
1756771200,1.0064,1.0523,0.997,1.05,250914.78
1756857600,1.0497,1.0566,1.0303,1.0368,262222.66
1756944000,1.037,1.0408,0.9682,0.9686,507644.06
1757030400,0.9684,1.0064,0.9552,0.9696,416055.32
1757116800,0.9694,0.9955,0.9534,0.9822,282480.53
1757203200,0.9826,1.0061,0.98,0.9976,244273.02
1757289600,0.9976,1.091,0.9908,1.0858,783091.48
1757376000,1.0861,1.5506,1.0848,1.2922,13072932.9
1757462400,1.2922,1.5635,1.2209,1.2552,3467440.51
1757548800,1.2548,1.3801,1.1948,1.2728,1376838.39
1757635200,1.2732,1.2802,1.2116,1.2449,845706
1757721600,1.2452,1.2598,1.208,1.2296,408605.97
1757808000,1.229,1.229,1.1711,1.1781,227966.23
1757894400,1.1786,1.2026,1.0976,1.1204,429783.68
1757980800,1.1202,1.1232,1.0878,1.1156,216731.3
1758067200,1.1158,1.2229,1.1072,1.1584,1288039.78
1758153600,1.1588,1.2358,1.1479,1.1987,726557.51
1758240000,1.1984,1.2019,1.1249,1.1347,289288.15
1758326400,1.1348,1.2029,1.1346,1.1721,886700.57
1758412800,1.1721,1.1721,1.1242,1.1394,310838.31
1758499200,1.1396,1.1418,0.9801,1.0287,585065.45
1758585600,1.0286,1.0374,0.9926,1.0051,259294.12
1758672000,1.005,1.0431,0.9817,1.0356,256425.33
1758758400,1.0354,1.0354,0.9391,0.9618,490288.93
1758844800,0.9612,1.0398,0.9594,1.0266,322384.69
1758931200,1.0268,1.4369,1.0268,1.206,6138520.41
