ts,open,high,low,close,volume
1674086400,1.05,1.29,1.0054,1.013,897845.84
1674172800,1.0125,1.09,1.0057,1.0681,1635914.99
1674259200,1.0684,1.1493,1.0287,1.0443,893152.68
1674345600,1.0448,1.0818,0.9801,0.9995,818638.99
1674432000,0.9995,1.0324,0.9831,0.9971,819207.49
1674518400,0.9976,1.1379,0.9925,1.064,1503452.26
1674604800,1.064,1.074,0.9853,1.0112,1536277.98
1674691200,1.0111,1.0749,1.0103,1.0321,938119.67
1674777600,1.0324,1.0392,0.9901,1.0232,999428.31
1674864000,1.0234,1.0404,0.9903,0.9985,791668.06
1674950400,0.9992,1.0455,0.9895,1.0312,638802.88
1675036800,1.0317,1.0387,0.9235,0.9417,813770.46
1675123200,0.9416,0.9798,0.9311,0.9506,847484.51
1675209600,0.951,0.9748,0.8962,0.971,961696.85
1675296000,0.971,1.0725,0.9701,1.0137,1224104.33
1675382400,1.0148,1.0637,1.0008,1.0421,817218.11
1675468800,1.0421,1.0546,1.0016,1.0079,449723.12
1675555200,1.0079,1.0458,0.9475,0.968,932362.72
1675641600,0.9676,0.9858,0.9422,0.9598,646039.96
1675728000,0.9598,1.0438,0.9462,1.043,1143675.07
1675814400,1.043,1.0952,0.9873,1.0137,1441757.15
1675900800,1.0136,1.0262,0.8492,0.8726,1250331.76
1675987200,0.8735,0.8957,0.8312,0.845,768055.37
1676073600,0.845,0.8665,0.8403,0.8617,151346.88
1676160000,0.8617,0.8936,0.8411,0.8643,346237.92
1676246400,0.8642,0.87,0.8122,0.8571,689745.24
1676332800,0.8571,0.8902,0.8339,0.8836,1573886.88
1676419200,0.8838,0.9526,0.8634,0.9501,863222.96
1676505600,0.9521,0.9754,0.8824,0.8868,1861919.04
1676592000,0.887,0.94,0.8823,0.9157,1127975.77
1676678400,0.9156,0.9363,0.9069,0.9197,428019.87
1676764800,0.9196,0.978,0.9136,0.929,823681.5
1676851200,0.9307,1.0006,0.9155,0.992,1467278.82
1676937600,0.992,1.0062,0.9532,0.9651,1208399.85
1677024000,0.9646,0.9693,0.88,0.91,946208.48
1677110400,0.9101,0.9357,0.888,0.9169,561823.05
1677196800,0.917,0.9292,0.8588,0.8823,629959.5
1677283200,0.8823,0.8892,0.8347,0.8597,638507.9
1677369600,0.8569,0.8813,0.8511,0.8764,228778.31
1677456000,0.8752,0.89,0.8471,0.8615,407436.89
1677542400,0.8622,0.882,0.85,0.8535,370975.45
1677628800,0.8532,0.9239,0.8383,0.8968,463578.06
1677715200,0.897,0.8997,0.8507,0.8662,472999.6
1677801600,0.8662,0.8675,0.7629,0.7981,991437.45
1677888000,0.7977,0.8031,0.7915,0.7915,625681.03
1677974400,0.7915,0.8085,0.789,0.791,463510.55
1678060800,0.7903,0.8264,0.7793,0.8143,957057.26
1678147200,0.8145,0.8196,0.7723,0.8089,335990.48
1678233600,0.808,0.8616,0.7883,0.8309,2465617.84
1678320000,0.8298,0.894,0.8181,0.8482,1883592.6
1678406400,0.8496,0.9834,0.8382,0.9408,2431337.53
1678492800,0.9412,1.004,0.8665,0.8864,2479085.67
1678579200,0.8837,1.005,0.8777,0.9973,1158464.85
1678665600,0.9969,1.156,0.9951,1.0892,2098642.47
1678752000,1.0867,1.25,1.077,1.1199,1977913.17
1678838400,1.1187,1.1774,1.069,1.0857,1395754.59
1678924800,1.0819,1.1276,0.9903,0.9943,748709.61
1679011200,0.9936,1.0423,0.9641,1.0386,806577.4
1679097600,1.0392,1.0796,0.9768,0.9879,1087749.84
1679184000,0.9882,1.0205,0.9768,0.9931,451163.85
1679270400,0.9931,1.0184,0.935,0.9411,736089.1
1679356800,0.9407,0.978,0.8949,0.9761,682343.4
1679443200,0.976,0.9807,0.8473,0.8866,920439.13
1679529600,0.8881,0.9024,0.8606,0.8848,735323.76
1679616000,0.8854,0.9016,0.8415,0.8889,1220341.41
1679702400,0.8882,0.9066,0.8457,0.8548,778866.13
1679788800,0.8548,0.8729,0.8376,0.8673,248653.44
1679875200,0.8698,0.8723,0.8171,0.8378,803608.85
1679961600,0.8378,0.8978,0.826,0.8831,427488.26
1680048000,0.8819,0.9311,0.877,0.9175,834488.14
1680134400,0.9174,0.9237,0.8689,0.8807,349391.49
1680220800,0.8824,0.893,0.8643,0.8856,291241.74
1680307200,0.8857,0.8935,0.8648,0.8769,188933.11
1680393600,0.8766,0.879,0.8335,0.8471,221341.79
1680480000,0.8479,0.8667,0.8215,0.8497,282448.62
1680566400,0.8512,0.869,0.8414,0.8629,110827.61
1680652800,0.864,0.8885,0.857,0.8831,223428.38
1680739200,0.8834,0.8834,0.8591,0.8727,148556.81
1680825600,0.8727,0.8903,0.8668,0.8753,243917.53
1680912000,0.877,0.8808,0.8517,0.8555,137454.92
1680998400,0.8559,0.8695,0.8539,0.8649,114300.82
1681084800,0.8654,0.9023,0.8588,0.8907,322431.31
1681171200,0.8922,0.954,0.8873,0.9264,572281.77
1681257600,0.9287,0.9328,0.8978,0.9011,550298.05
1681344000,0.9024,0.9503,0.8936,0.9243,443122.94
1681430400,0.9249,0.9724,0.9248,0.9389,542832.27
1681516800,0.9391,0.9491,0.9198,0.9304,282802.42
1681603200,0.9293,0.9594,0.9137,0.9534,276428.87
1681689600,0.9534,0.9618,0.9043,0.9117,465972.47
1681776000,0.9118,0.9544,0.9,0.9318,442757.49
1681862400,0.9324,0.9325,0.8238,0.8415,564735.81
1681948800,0.8401,0.8509,0.7979,0.8079,833903.56
1682035200,0.8079,0.8232,0.7564,0.7636,571668.63
1682121600,0.7655,0.7803,0.7551,0.7759,146768.66
1682208000,0.777,0.7779,0.75,0.7737,129009.77
1682294400,0.7742,0.8006,0.7571,0.7839,210260.45
1682380800,0.7854,0.8115,0.7539,0.7988,361332.96
1682467200,0.7987,0.8333,0.75,0.7782,345144.46
1682553600,0.7782,0.8433,0.7763,0.8181,462431.3
1682640000,0.8177,0.8204,0.7791,0.7875,100845.99
1682726400,0.7866,0.8083,0.7844,0.7999,104896.35
1682812800,0.801,0.8015,0.7724,0.7757,207683.19
1682899200,0.7753,0.7854,0.756,0.7593,346538.84
1682985600,0.7581,0.7843,0.7542,0.7741,199659.36
1683072000,0.774,0.7838,0.7466,0.7816,219479.14
1683158400,0.7818,0.8041,0.7734,0.7917,145591.26
1683244800,0.7911,0.8107,0.7795,0.7939,315129.03
1683331200,0.7948,0.8001,0.7151,0.7249,193700.37
1683417600,0.7255,0.7438,0.7251,0.726,402613.58
1683504000,0.7262,0.7802,0.6723,0.7475,940994.71
1683590400,0.7464,0.8821,0.7326,0.8024,654212.9
1683676800,0.8006,0.9055,0.8006,0.8864,989080.7
1683763200,0.8909,0.9073,0.85,0.8598,366056.33
1683849600,0.8589,0.9511,0.8362,0.9143,333739.92
1683936000,0.9173,0.9554,0.9057,0.9215,166649.89
1684022400,0.9212,1.047,0.9204,1.005,478993.53
1684108800,1.0022,1.0465,0.9875,1.0068,339143.96
1684195200,1.0042,1.0042,0.9229,0.9258,271246.42
1684281600,0.9258,0.9528,0.8969,0.94,330171.25
1684368000,0.9375,0.9874,0.9272,0.9332,239444.05
1684454400,0.9355,1.0367,0.9209,1.007,474141.86
1684540800,1.0058,1.0941,0.9939,1.0444,323557.9
1684627200,1.0423,1.0797,1.0137,1.0157,332465.97
1684713600,1.0157,1.12,1.0108,1.0735,337909.83
1684800000,1.0722,1.7194,1.0691,1.3065,1603439.47
1684886400,1.3064,1.3766,1.1088,1.1687,1226074.96
1684972800,1.1635,1.1644,1.0837,1.0948,327210.87
1685059200,1.0939,1.1575,1.0633,1.1223,831948.1
1685145600,1.1202,1.1448,1.109,1.1262,335788.78
1685232000,1.1232,1.1667,1.1118,1.1581,470267.99
1685318400,1.1581,1.1628,1.1191,1.1279,346771.4
1685404800,1.128,1.1373,1.0803,1.0803,427429.14
1685491200,1.0791,1.0819,1.02,1.0362,424388.77
1685577600,1.0358,1.0379,0.9883,1.0013,324919.54
1685664000,0.9999,1.0233,0.9757,1.0168,106829.51
1685750400,1.0152,1.0152,0.9999,1.0045,137100.07
1685836800,1.0054,1.0197,0.9962,1.0032,244203.14
1685923200,1.0015,1.124,0.9484,1.0164,1298134.42
1686009600,1.0152,1.1279,1.0138,1.089,1728626.7
1686096000,1.0894,1.223,0.9766,0.9928,2016894.12
1686182400,0.9939,1.008,0.9327,0.9759,961936.08
1686268800,0.9748,0.9748,0.9282,0.9359,642989.68
1686355200,0.9343,0.9351,0.7607,0.8042,794570.84
1686441600,0.805,0.841,0.7892,0.8223,668782.62
1686528000,0.8212,0.8214,0.7874,0.7974,778145.96
1686614400,0.7969,0.8133,0.7703,0.8068,678443.06
1686700800,0.8066,0.8149,0.7546,0.7656,671655.28
1686787200,0.7652,0.7724,0.7309,0.758,355124.74
1686873600,0.7571,0.7772,0.7393,0.7655,288835.57
1686960000,0.7656,0.799,0.7572,0.7872,272832.6
1687046400,0.7867,0.8267,0.7789,0.7866,622112.39
1687132800,0.7911,0.8271,0.784,0.8133,433913.97
1687219200,0.8134,0.8826,0.803,0.8678,671581.76
1687305600,0.8693,0.9813,0.864,0.9411,1546176.39
1687392000,0.9427,0.9629,0.8907,0.8914,969978.15
1687478400,0.8923,0.9479,0.8923,0.9255,722568.66
1687564800,0.9255,1.0719,0.9154,1.0328,1130169.95
1687651200,1.034,1.269,1.034,1.1205,1758888.38
1687737600,1.1195,1.1195,1.0008,1.0116,1061195.25
1687824000,1.0109,1.0282,0.9678,0.9805,1060918.75
1687910400,0.982,0.9821,0.9026,0.913,698176.52
1687996800,0.9117,0.9794,0.9099,0.9325,767493.99
1688083200,0.9323,0.9853,0.8899,0.9707,1029268.12
1688169600,0.9659,0.9686,0.9261,0.9532,144845.28
1688256000,0.9525,0.9605,0.922,0.9564,137409.61
1688342400,0.9567,0.9864,0.9488,0.9656,191450.94
1688428800,0.9628,0.98,0.9527,0.9613,86445.55
1688515200,0.9631,0.9768,0.9248,0.9401,150929.11
1688601600,0.9403,0.985,0.9326,0.9336,144547.72
1688688000,0.9323,0.9571,0.9074,0.9445,96111.7
1688774400,0.9455,0.9559,0.9332,0.948,55878.29
1688860800,0.9494,0.96,0.9253,0.9294,42080.99
1688947200,0.9303,1.0005,0.9083,0.9751,569530.33
1689033600,0.9767,1.0248,0.9763,1.0167,195214.65
1689120000,1.0189,1.0737,0.9572,0.9673,328520.42
1689206400,0.9685,0.9781,0.9257,0.9585,613896.1
1689292800,0.9586,0.9807,0.9011,0.9283,502780.21
1689379200,0.9271,0.94,0.9212,0.9326,55102.21
1689465600,0.93,0.937,0.9085,0.9168,93657.48
1689552000,0.9169,0.932,0.9041,0.9278,91578.51
1689638400,0.9295,0.9321,0.8871,0.8986,161655.8
1689724800,0.8954,0.9152,0.8938,0.8996,83521.24
1689811200,0.9001,0.9142,0.8859,0.8985,107499.05
1689897600,0.8971,0.9198,0.8909,0.9076,97952.23
1689984000,0.9086,0.92,0.8946,0.8992,62004.69
1690070400,0.9016,0.9102,0.8932,0.9052,47471.12
1690156800,0.9043,0.9068,0.858,0.8592,301862.9
1690243200,0.8585,0.8611,0.8365,0.8507,112259.58
1690329600,0.8496,0.8903,0.8416,0.8734,94467.99
1690416000,0.8734,0.9036,0.866,0.8898,77632.87
1690502400,0.8898,0.8914,0.8684,0.8822,52155.9
1690588800,0.8824,0.8921,0.8732,0.8903,26112.84
1690675200,0.8892,0.8965,0.8618,0.8731,116166.31
1690761600,0.8714,0.8826,0.86,0.8672,85656.55
1690848000,0.8675,0.8712,0.8442,0.8692,106228.53
1690934400,0.8678,0.8754,0.8466,0.8641,77256.17
1691020800,0.8637,0.8742,0.8502,0.8542,42793.17
1691107200,0.8542,0.8543,0.8294,0.8471,108163.2
1691193600,0.848,0.848,0.822,0.8331,54375.53
1691280000,0.8333,0.8428,0.8318,0.8363,36876.12
1691366400,0.8357,0.8458,0.8072,0.8276,80013.21
1691452800,0.828,0.8425,0.8188,0.8336,38375.73
1691539200,0.8337,0.8353,0.8206,0.8299,66483.61
1691625600,0.8305,0.8372,0.823,0.8273,59058.83
1691712000,0.8262,0.8323,0.8186,0.8272,15531.25
1691798400,0.827,0.8425,0.827,0.8373,52015.73
1691884800,0.8378,0.8489,0.8225,0.8252,95713.35
1691971200,0.8226,0.8378,0.8167,0.8301,89933.19
1692057600,0.8282,0.8294,0.75,0.7866,234012.59
1692144000,0.7875,0.7899,0.71,0.7277,341488.42
1692230400,0.7263,0.7719,0.6539,0.6669,306544.18
1692316800,0.6646,0.727,0.6646,0.6974,192004.77
1692403200,0.6979,0.7097,0.6865,0.7047,69437.97
1692489600,0.7029,0.7185,0.695,0.7101,56528.23
1692576000,0.7101,0.7309,0.6873,0.6955,159437.56
1692662400,0.6969,0.7055,0.6577,0.6862,162592.5
1692748800,0.6861,0.7063,0.6824,0.6996,63639.88
1692835200,0.7016,0.713,0.6927,0.6975,79600.32
1692921600,0.6967,0.6974,0.6722,0.6836,67258.06
1693008000,0.6818,0.6916,0.677,0.6819,185603.23
1693094400,0.6809,0.6849,0.6755,0.6802,27809.62
1693180800,0.6816,0.7007,0.6601,0.6898,353016.34
1693267200,0.6909,0.7199,0.6761,0.7118,148395.36
1693353600,0.7119,0.712,0.693,0.6966,96510.89
1693440000,0.6977,0.6983,0.6514,0.6576,264418.77
1693526400,0.6571,0.682,0.646,0.6539,138945.74
1693612800,0.6541,0.6595,0.6429,0.6503,186224.63
1693699200,0.6509,0.6515,0.6363,0.6409,88228.35
1693785600,0.6426,0.6535,0.6315,0.6511,126635.43
1693872000,0.6514,0.6686,0.6433,0.6552,143624.08
1693958400,0.6566,0.6731,0.6476,0.6586,101271.44
1694044800,0.6586,0.6885,0.6554,0.6715,182181.8
1694131200,0.6724,0.6753,0.6528,0.6686,68037.06
1694217600,0.6687,0.6761,0.6652,0.6729,34566.23
1694304000,0.6728,0.6728,0.6323,0.6447,127276.57
1694390400,0.6441,0.6466,0.5994,0.6053,155646.75
1694476800,0.6066,0.6246,0.6033,0.6086,60280.19
1694563200,0.6092,0.6215,0.6057,0.6172,156185.91
1694649600,0.6173,0.6318,0.614,0.6301,72548.27
1694736000,0.6322,0.6408,0.6187,0.6317,78150.22
1694822400,0.6311,0.6893,0.6311,0.6783,265499.5
1694908800,0.6781,0.6791,0.6166,0.6219,130536.31
1694995200,0.6211,0.6437,0.6099,0.6286,97293.67
1695081600,0.6303,0.644,0.6192,0.6374,119839.45
1695168000,0.6357,0.64,0.6192,0.6309,67082.43
1695254400,0.6328,0.6375,0.612,0.6217,47796.4
1695340800,0.6249,0.6381,0.618,0.6288,191974.14
1695427200,0.6311,0.64,0.6238,0.6319,107424.34
1695513600,0.63,0.6304,0.6135,0.6154,55040.57
1695600000,0.615,0.6353,0.6099,0.6265,54545.49
