ts,open,high,low,close,volume
1690736400,0.8803,0.8834,0.8795,0.8826,767.79
1690740000,0.8826,0.8839,0.8819,0.882,687.71
1690743600,0.8826,0.8826,0.8672,0.8672,2996.81
1690747200,0.8664,0.8744,0.8618,0.8728,30207.05
1690750800,0.8728,0.8737,0.8653,0.8672,19943.19
1690754400,0.8657,0.8679,0.8657,0.867,7879.85
1690758000,0.867,0.8732,0.867,0.8731,2928.38
1690761600,0.8714,0.8765,0.8687,0.8764,1911.63
1690765200,0.8766,0.8801,0.873,0.8801,3920.52
1690768800,0.8803,0.8826,0.8798,0.8826,3853.51
1690772400,0.8823,0.8823,0.8773,0.8792,4253.48
1690776000,0.8766,0.8766,0.8722,0.8741,160.12
1690779600,0.8741,0.8755,0.8724,0.8725,953.92
1690783200,0.8725,0.876,0.871,0.876,716.91
1690786800,0.8757,0.8779,0.8754,0.8772,208.68
1690790400,0.8752,0.8772,0.8744,0.8752,99.95
1690794000,0.8758,0.8759,0.8717,0.8717,3471.5
1690797600,0.8716,0.8746,0.8715,0.874,57.99
1690801200,0.8743,0.8763,0.8736,0.8744,276.67
1690804800,0.8744,0.8764,0.8722,0.8753,196.6
1690808400,0.8753,0.8763,0.8713,0.8744,5362.58
1690812000,0.8738,0.8809,0.8732,0.8794,5773.51
1690815600,0.8791,0.8795,0.874,0.8749,6268.58
1690819200,0.8741,0.8787,0.8741,0.8786,270.9
1690822800,0.8771,0.8782,0.8724,0.8757,7452.6
1690826400,0.8742,0.8748,0.8704,0.8706,1915.46
1690830000,0.8705,0.8716,0.8621,0.8662,20725.65
1690833600,0.8662,0.8678,0.8609,0.8634,5018.18
1690837200,0.8614,0.8658,0.86,0.8628,3820.14
1690840800,0.8634,0.8668,0.8628,0.8661,4983.31
1690844400,0.8666,0.8686,0.8651,0.8672,3984.16
1690848000,0.8675,0.8711,0.8659,0.8702,1448.44
1690851600,0.8702,0.8712,0.864,0.8648,520.29
1690855200,0.8649,0.8667,0.8486,0.853,57067.4
1690858800,0.853,0.8535,0.8465,0.8486,4287.05
1690862400,0.8477,0.8519,0.8472,0.8503,446.65
1690866000,0.8501,0.8529,0.8501,0.8524,1745.54
1690869600,0.8517,0.8567,0.8514,0.8557,702.42
1690873200,0.8569,0.8606,0.8569,0.8583,8850.74
1690876800,0.8585,0.8606,0.8583,0.8606,141.22
1690880400,0.8603,0.8621,0.8593,0.8594,599.12
1690884000,0.8596,0.8601,0.8583,0.8601,194.12
1690887600,0.8598,0.8623,0.8597,0.8597,6297.49
1690891200,0.8601,0.8626,0.8563,0.8565,3003.14
1690894800,0.8565,0.8579,0.8553,0.856,893.23
1690898400,0.8559,0.8568,0.8494,0.8504,1971.86
1690902000,0.8518,0.8562,0.8442,0.8553,4938.95
1690905600,0.8554,0.8597,0.8517,0.8519,654.02
1690909200,0.8528,0.856,0.8526,0.8527,1636.09
1690912800,0.8529,0.8603,0.8529,0.8603,1783.71
1690916400,0.8603,0.8628,0.8594,0.8606,5626.13
1690920000,0.8607,0.8631,0.8597,0.8618,296.42
1690923600,0.8608,0.8627,0.8582,0.8585,946.62
1690927200,0.8576,0.8606,0.8576,0.8595,287.96
1690930800,0.8595,0.8692,0.8594,0.8692,1889.92
1690934400,0.8678,0.8707,0.8635,0.8659,519.81
1690938000,0.8647,0.8712,0.8647,0.8678,683
1690941600,0.8669,0.8684,0.8654,0.8663,855.33
1690945200,0.8649,0.8662,0.861,0.861,687.42
1690948800,0.8611,0.8619,0.8596,0.8613,269.26
1690952400,0.8602,0.8606,0.8553,0.8568,2557.88
1690956000,0.8565,0.8574,0.8538,0.8538,576.21
1690959600,0.8559,0.8576,0.8535,0.8535,887.56
1690963200,0.8534,0.8574,0.8521,0.8574,757.03
1690966800,0.8574,0.8596,0.8563,0.8584,1708
1690970400,0.8586,0.8607,0.8581,0.8596,569.21
1690974000,0.8597,0.8676,0.8596,0.8671,4015.18
1690977600,0.8672,0.8683,0.863,0.8641,5831.74
1690981200,0.8632,0.8754,0.8607,0.8697,7487.06
1690984800,0.8706,0.8706,0.855,0.8552,3154.3
1690988400,0.8542,0.8599,0.8542,0.8583,1732.11
1690992000,0.8579,0.8595,0.8466,0.8488,5977.09
1690995600,0.8516,0.8539,0.8497,0.8509,1154.66
1690999200,0.8506,0.8541,0.8502,0.8541,1239.24
