ts,open,high,low,close,volume
1746576000,14.63,14.89,14.34,14.67,10161.6905
1746662400,14.72,16.91,14.71,16.86,22637.6153
1746748800,16.86,18.1,16.85,18.08,19539.6083
1746835200,18.06,19.6,17.97,19.59,41086.7892
1746921600,19.61,19.62,18.34,18.86,30593.4303
1747008000,18.88,24.67,18.58,22.32,135507.6976
1747094400,22.3,23.14,20.7,22.23,58331.5174
1747180800,22.21,22.57,20.93,21.07,16139.4387
1747267200,21.06,21.24,18.93,19.37,38764.6978
1747353600,19.34,20.12,18.66,18.93,15737.1675
1747440000,18.94,18.99,18.05,18.26,9296.8839
1747526400,18.25,20,18.19,19.43,18182.7207
1747612800,19.41,19.48,17.64,18.51,13659.3907
1747699200,18.47,19.29,18.07,18.61,13844.7937
1747785600,18.63,19.39,18.15,18.94,19225.2724
1747872000,18.95,20.18,18.92,20.12,14627.4228
1747958400,20.08,20.67,18.17,18.23,16578.3613
1748044800,18.21,18.65,18.07,18.19,6507.2189
1748131200,18.2,18.35,17.44,18.26,4165.7933
1748217600,18.29,18.69,18.05,18.11,4350.8503
1748304000,18.14,18.91,17.71,18.31,9377.6498
1748390400,18.28,19.43,17.81,19.26,17957.0932
1748476800,19.28,19.33,17.56,17.56,19456.931
1748563200,17.76,17.8,15.78,15.97,8718.1928
1748649600,15.98,16.66,15.36,16.17,7952.0585
1748736000,16.1,16.21,15.56,16.17,3242.1138
1748822400,16.13,16.6,15.61,16.58,3272.1177
1748908800,16.57,17.05,16.55,16.61,6899.8397
1748995200,16.59,16.91,16.12,16.2,9040.8704
1749081600,16.22,16.49,14.85,15.2,15251.5093
1749168000,15.18,15.96,15.12,15.48,6539.4786
1749254400,15.52,16.52,15.45,16.26,2622.2117
1749340800,16.27,16.47,15.99,16.24,3508.2176
1749427200,16.24,16.84,15.88,16.76,7596.6964
1749513600,16.82,17.48,16.49,17.41,5227.2898
1749600000,17.42,17.5,16.59,16.75,8609.7932
1749686400,16.72,16.73,15.21,15.61,33518.7061
1749772800,15.45,15.45,14.35,15.18,23150.7451
1749859200,15.17,15.23,14.5,14.89,2726.512
1749945600,14.9,14.98,14.4,14.77,3215.2854
1750032000,14.78,15.45,14.61,14.76,5418.7905
1750118400,14.74,14.96,13.83,14.28,13994.7115
1750204800,14.32,14.55,13.93,14.35,8634.7456
1750291200,14.41,14.53,13.97,14.25,5152.5296
1750377600,14.19,14.65,13.54,13.8,6603.8744
1750464000,13.81,14.09,12.79,13.05,10301.6267
1750550400,13.19,13.23,12,12.61,18593.3174
1750636800,12.62,14.04,12.55,14.03,8399.9493
1750723200,14.04,14.4,13.84,13.95,7720.4093
1750809600,14.04,14.08,13.01,13.14,13191.2103
1750896000,13.07,13.56,12.68,12.75,8467.1737
1750982400,12.77,13.17,12.64,13.01,4841.0744
1751068800,12.98,13.54,12.86,13.46,2113.1472
1751155200,13.51,13.97,13.07,13.82,6591.3557
1751241600,13.8,14.11,12.68,12.9,27067.0843
1751328000,12.91,12.92,12.21,12.3,11346.7184
1751414400,12.31,13.46,12.18,13.25,7052.9468
1751500800,13.29,13.58,13.07,13.29,11132.0324
1751587200,13.35,13.35,12.34,12.46,11255.409
1751673600,12.45,12.73,12.35,12.63,10723.3857
1751760000,12.63,12.95,12.45,12.7,5598.6626
1751846400,12.7,12.88,12.39,12.5,6399.0968
1751932800,12.51,12.86,12.35,12.73,6500.5796
1752019200,12.71,13.62,12.62,13.56,20290.6736
1752105600,13.58,14.69,13.37,14.57,8222.586
1752192000,14.59,15.16,14.29,14.57,15508.4382
1752278400,14.52,14.88,13.91,14.26,7575.4855
1752364800,14.31,14.96,14.18,14.7,8265.3703
1752451200,14.7,15.49,14.52,14.72,10685.7558
1752537600,14.74,15.13,14.19,15.1,7728.9826
