ts,open,high,low,close,volume
1761091200,0.4918,0.5895,0.4724,0.52,6274497.9
1761177600,0.5201,0.65,0.4928,0.5722,11702175.8
1761264000,0.5725,0.622,0.5479,0.5616,6052931
1761350400,0.5658,0.5689,0.4977,0.5066,2383996.6
1761436800,0.5067,0.5561,0.4941,0.5369,3550967.7
1761523200,0.5424,0.5786,0.5,0.5039,2967054.4
1761609600,0.5028,0.5139,0.41,0.4531,2883773.7
1761696000,0.4516,0.4949,0.4117,0.4325,3927334.4
1761782400,0.4349,0.4565,0.3824,0.4284,4531792
1761868800,0.4158,0.4251,0.3908,0.3944,2852544.8
1761955200,0.3955,0.3985,0.3709,0.3844,1911703.9
1762041600,0.3837,0.4308,0.3783,0.4282,2908271.6
1762128000,0.4279,0.4279,0.34,0.353,3492616.8
1762214400,0.3528,0.3596,0.2777,0.3038,5582752.5
1762300800,0.3031,0.3875,0.2846,0.3842,5030048.8
1762387200,0.3839,0.3996,0.3225,0.3708,4307199.2
1762473600,0.3706,0.4298,0.3473,0.393,5569717.9
1762560000,0.3932,0.4332,0.3468,0.3633,3196464
1762646400,0.3661,0.4219,0.3411,0.3969,2415688.2
1762732800,0.3967,0.4506,0.3905,0.4112,2395350
1762819200,0.409,0.425,0.351,0.3637,2053916.2
1762905600,0.3637,0.4036,0.3581,0.3729,1581631.3
1762992000,0.3728,0.405,0.3353,0.3456,2091016.7
1763078400,0.345,0.3501,0.2861,0.3079,4377604.7
1763164800,0.3076,0.334,0.302,0.3186,1746235.2
1763251200,0.3186,0.3239,0.268,0.295,2355864.6
1763337600,0.2962,0.311,0.2708,0.2864,1808102.9
1763424000,0.2864,0.3105,0.2655,0.3038,2787114.2
1763510400,0.3027,0.3051,0.2601,0.2766,3051732.6
1763596800,0.2757,0.2786,0.23,0.237,5159552.3
1763683200,0.2357,0.2729,0.1754,0.2599,4682451.7
1763769600,0.2599,0.3333,0.25,0.2639,5079878.6
1763856000,0.264,0.2715,0.249,0.2504,934626
1763942400,0.2504,0.2718,0.2414,0.2659,1748314.3
1764028800,0.2654,0.2897,0.2516,0.2852,1799118.3
1764115200,0.285,0.3001,0.264,0.2974,2307133.3
1764201600,0.2965,0.365,0.2854,0.3126,3533649.6
1764288000,0.3123,0.3528,0.305,0.331,1735370
1764374400,0.3309,0.3319,0.3167,0.3183,652732
1764460800,0.3183,0.3386,0.2965,0.2965,519991.7
1764547200,0.302,0.3036,0.22,0.2508,4621645.8
1764633600,0.2509,0.2922,0.2459,0.2711,2028420.5
1764720000,0.274,0.3,0.2686,0.2839,1531364.2
1764806400,0.2827,0.2891,0.252,0.269,1363116
1764892800,0.2672,0.2735,0.2436,0.2449,858499.6
1764979200,0.2449,0.2612,0.2407,0.2518,937876.6
1765065600,0.2511,0.2612,0.2401,0.248,1057463.6
1765152000,0.248,0.256,0.217,0.2369,1777203.4
1765238400,0.2365,0.2726,0.2315,0.2594,1954966.5
1765324800,0.2588,0.2654,0.2381,0.248,1607256.5
1765411200,0.248,0.312,0.2366,0.2976,3768567.6
1765497600,0.2995,0.35,0.27,0.3026,8371378.3
1765584000,0.3033,0.313,0.2951,0.3035,1390001.6
1765670400,0.304,0.3106,0.2657,0.2722,2267479.8
1765756800,0.2723,0.2887,0.231,0.2511,3406517.2
1765843200,0.2528,0.2645,0.2435,0.261,1388927.9
1765929600,0.2625,0.2629,0.2307,0.2376,1838796.5
1766016000,0.2378,0.2679,0.2311,0.2438,1836069.3
1766102400,0.2418,0.2647,0.2376,0.2563,1571608.7
1766188800,0.2563,0.2591,0.2388,0.2426,814375.8
