ts,open,high,low,close,volume
1746576000,0.778,0.8,0.754,0.78,1328091.61
1746662400,0.78,0.966,0.78,0.966,2807548.07
1746748800,0.966,1.07,0.95,1.031,5211095.16
1746835200,1.03,1.178,1.014,1.163,3041310.53
1746921600,1.164,1.178,1.074,1.098,3159255.09
1747008000,1.098,1.165,1.028,1.079,4056329.65
1747094400,1.079,1.171,1.013,1.15,2751618.82
1747180800,1.15,1.176,1.052,1.062,1991955.66
1747267200,1.061,1.078,0.96,0.987,2082900.99
1747353600,0.987,1.015,0.952,0.962,1618686.13
1747440000,0.962,0.964,0.902,0.913,2606558.77
1747526400,0.913,0.978,0.859,0.942,2228938.22
1747612800,0.943,0.951,0.857,0.9,2299886.26
1747699200,0.902,0.927,0.849,0.87,1919891.29
1747785600,0.87,0.942,0.864,0.9,2796573.01
1747872000,0.901,0.985,0.899,0.966,2931056.07
1747958400,0.966,1.013,0.854,0.86,6217599.68
1748044800,0.859,0.879,0.854,0.873,1021314.99
1748131200,0.875,0.877,0.83,0.874,911962.24
1748217600,0.875,0.9,0.864,0.885,1178966.49
1748304000,0.885,0.95,0.858,0.911,1884431.44
1748390400,0.911,0.943,0.88,0.937,1803482.94
1748476800,0.937,1.012,0.896,0.903,4127928.81
1748563200,0.903,1.018,0.806,0.816,6723405.89
1748649600,0.815,0.861,0.778,0.833,2405156.36
1748736000,0.834,0.875,0.816,0.856,2332150.23
1748822400,0.854,0.895,0.813,0.873,4405223.64
1748908800,0.872,0.895,0.842,0.846,2067488.07
1748995200,0.846,0.944,0.842,0.886,4251723.79
1749081600,0.887,0.896,0.745,0.763,3774655.06
1749168000,0.762,0.802,0.755,0.773,2312407.08
1749254400,0.773,0.834,0.772,0.832,1175462.94
1749340800,0.832,0.832,0.804,0.811,1091574.98
1749427200,0.812,0.882,0.802,0.88,1344382.27
1749513600,0.88,0.984,0.861,0.983,2703471.43
1749600000,0.983,1.009,0.945,0.959,2242440.47
1749686400,0.96,0.978,0.862,0.862,1361908.56
1749772800,0.862,0.863,0.786,0.831,2642821.8
1749859200,0.831,0.831,0.789,0.811,1846224.02
1749945600,0.809,0.827,0.793,0.816,1176658.64
1750032000,0.815,0.879,0.805,0.822,1457899.81
1750118400,0.819,0.847,0.763,0.776,1903388.38
1750204800,0.776,0.795,0.741,0.78,1212399.12
1750291200,0.782,0.792,0.76,0.778,668400.49
1750377600,0.778,0.79,0.721,0.73,888697.24
1750464000,0.731,0.744,0.66,0.681,2348246.62
1750550400,0.681,0.694,0.62,0.655,2140705.64
1750636800,0.655,0.742,0.628,0.709,1998410.92
1750723200,0.711,0.735,0.703,0.721,949084.53
1750809600,0.723,0.729,0.689,0.697,2015290.08
1750896000,0.698,0.728,0.679,0.69,916658.99
1750982400,0.691,0.71,0.682,0.698,1270071.53
1751068800,0.698,0.725,0.695,0.72,586007.7
1751155200,0.721,0.776,0.714,0.768,802089.84
1751241600,0.768,0.777,0.729,0.742,1727250.19
1751328000,0.743,0.749,0.694,0.698,1251288.05
1751414400,0.699,0.783,0.691,0.764,2179446.91
1751500800,0.765,0.791,0.76,0.771,1152753.35
1751587200,0.772,0.78,0.715,0.724,703174
1751673600,0.724,0.732,0.708,0.725,404299.05
1751760000,0.723,0.758,0.716,0.744,503057.68
1751846400,0.745,0.758,0.723,0.729,815421.8
1751932800,0.728,0.736,0.704,0.725,1133651.86
1752019200,0.724,0.805,0.709,0.801,1416974.9
1752105600,0.8,0.852,0.762,0.845,1606124.5
1752192000,0.845,0.883,0.817,0.835,2974061.89
1752278400,0.835,0.848,0.794,0.809,1162490.26
1752364800,0.808,0.855,0.802,0.839,804364.78
1752451200,0.838,0.897,0.836,0.861,3063998.04
1752537600,0.861,0.909,0.826,0.906,1634155.35
1752624000,0.905,0.953,0.883,0.93,2162882.46
1752710400,0.929,1.079,0.904,1.042,6244607.74
1752796800,1.043,1.156,1.03,1.057,6258370.07
1752883200,1.056,1.13,1.03,1.11,2402549.04
1752969600,1.108,1.291,1.092,1.191,7557397.67
1753056000,1.192,1.277,1.173,1.204,5240647.28
1753142400,1.204,1.221,1.134,1.219,3534250.95
1753228800,1.217,1.217,1.047,1.093,3117831.95
1753315200,1.094,1.132,1.026,1.074,2841346.77
1753401600,1.072,1.111,1.031,1.096,2391897.76
1753488000,1.095,1.108,1.073,1.078,991151.88
1753574400,1.078,1.152,1.076,1.142,1494561.21
1753660800,1.14,1.192,1.06,1.074,3460039.43
1753747200,1.074,1.119,1.012,1.041,2486202.05
1753833600,1.041,1.052,0.97,1.014,2251633.46
1753920000,1.013,1.05,0.945,0.951,1478229.24
1754006400,0.952,0.959,0.869,0.898,2427969.36
1754092800,0.898,0.907,0.851,0.87,1068438.83
1754179200,0.872,0.926,0.857,0.919,769876.62
1754265600,0.919,0.958,0.918,0.954,907929.27
1754352000,0.954,0.958,0.888,0.91,1632356.8
1754438400,0.91,0.949,0.887,0.941,1465705.87
1754524800,0.941,1.064,0.93,1.059,3368005.02
1754611200,1.06,1.145,1.036,1.12,4934126.51
1754697600,1.121,1.368,1.121,1.329,6729949.65
1754784000,1.329,1.452,1.234,1.438,8714885.4
1754870400,1.437,1.617,1.405,1.497,11368398.3
1754956800,1.497,1.627,1.457,1.54,10344476.74
1755043200,1.541,1.57,1.459,1.504,5574761.29
1755129600,1.503,1.522,1.288,1.387,8265654.06
1755216000,1.387,1.443,1.322,1.387,4992223.43
1755302400,1.385,1.438,1.359,1.41,1911924.51
1755388800,1.411,1.447,1.357,1.368,2624663.53
1755475200,1.369,1.377,1.278,1.287,2568439.86
1755561600,1.286,1.329,1.261,1.275,3497700.28
1755648000,1.276,1.36,1.271,1.309,2464054.27
1755734400,1.309,1.314,1.247,1.277,1646824.46
1755820800,1.278,1.55,1.267,1.54,4413833.45
1755907200,1.541,1.577,1.481,1.531,2426979.98
1755993600,1.531,1.543,1.405,1.436,2522175.75
1756080000,1.437,1.447,1.245,1.268,4115034.35
1756166400,1.266,1.312,1.255,1.305,1942520.26
1756252800,1.304,1.306,1.245,1.254,3006843.46
1756339200,1.254,1.29,1.233,1.269,1824450.59
1756425600,1.268,1.271,1.186,1.213,2739895.44
1756512000,1.214,1.239,1.192,1.209,673807.42
1756598400,1.21,1.246,1.19,1.19,1418972.64
1756684800,1.189,1.212,1.128,1.16,2243742.23
1756771200,1.159,1.202,1.131,1.2,1392781.96
1756857600,1.199,1.255,1.19,1.24,1691890.22
1756944000,1.238,1.247,1.152,1.159,1330691.1
1757030400,1.16,1.233,1.16,1.181,2158441.61
1757116800,1.181,1.196,1.146,1.156,738597.36
1757203200,1.156,1.205,1.156,1.201,1087858.89
1757289600,1.202,1.229,1.18,1.2,1598181.03
1757376000,1.2,1.264,1.163,1.183,2153868.94
1757462400,1.185,1.257,1.175,1.237,1772654.09
1757548800,1.237,1.296,1.21,1.295,3650441.15
1757635200,1.294,1.312,1.257,1.305,1786573.86
1757721600,1.304,1.332,1.264,1.296,1293418.93
1757808000,1.296,1.299,1.214,1.231,1532974.84
1757894400,1.232,1.26,1.165,1.176,1218906.93
1757980800,1.176,1.214,1.149,1.203,1106655.37
1758067200,1.203,1.327,1.176,1.308,1649798.65
1758153600,1.309,1.353,1.292,1.34,2951012.96
1758240000,1.339,1.357,1.243,1.253,1601761.1
1758326400,1.255,1.305,1.238,1.269,1260454.56
1758412800,1.27,1.277,1.244,1.248,443528.73
1758499200,1.247,1.255,1.09,1.112,2583513.85
1758585600,1.112,1.138,1.088,1.112,943417.94
1758672000,1.111,1.139,1.088,1.11,602124.7
1758758400,1.111,1.114,1.041,1.06,2278677.72
